Date,Open,High,Low,Close,Volume
2009-12-11,9.948,13.5,9.65,12.302,115845
2009-12-14,12.9,17.08,12.6,17.08,161484
2009-12-15,18.885,20.496,17.56,20.496,73550
2009-12-16,24.595,24.595,17.66,19.999,245884
2009-12-17,19.25,21.5,16.814,20.405,102999
2009-12-18,19.947,22.499,19.45,21.985,106295
2009-12-21,22.002,22.98,21.5,22.42,59164
2009-12-22,23.22,23.22,21.332,21.401,27527
2009-12-23,21.99,21.99,19.11,19.987,32526
2009-12-24,20.65,20.65,18.62,18.904,23069
2009-12-25,16.925,19.22,16.925,18.538,24301
2009-12-28,17.955,18.93,17.955,18.17,9421
2009-12-29,18.255,18.26,17.14,17.779,12208
2009-12-30,17.914,18.5,17.2,18.465,8176
2009-12-31,18.7,18.7,18.072,18.382,1071
2010-1-11,18.488,19,17.8,17.943,8754
2010-1-12,18.101,18.101,17.11,17.648,5793
2010-1-13,17.648,17.648,17.001,17.272,7071
2010-1-14,17.275,17.342,16.09,16.24,13505
2010-1-15,16.24,16.43,15.41,15.611,12647
2010-1-18,15.667,15.667,14.465,14.5,27992
2010-1-19,14.655,14.655,13.2,13.5,20134
2010-1-20,13.5,16.124,13.28,16.124,79518
2010-1-21,16.994,18.29,15.3,15.721,87029
2010-1-22,14.989,15.4,14.39,14.779,27624
2010-1-25,14.565,17.2,14.3,16.34,50069
2010-1-26,16.231,16.4,15.264,15.771,13184
2010-1-27,15.77,16.19,15.55,15.699,8166
2010-1-28,15.896,16.111,15.684,15.799,7987
2010-1-29,15.995,16.85,15.37,16.029,18336
2010-2-1,15.995,16.609,15.5,15.975,6129
2010-2-2,17.546,17.546,15.749,15.85,5318
2010-2-3,15.85,16.13,15.697,15.74,7954
2010-2-4,15.779,15.95,14.49,14.62,11152
2010-2-5,14.5,15.29,14.364,14.99,7884
2010-2-8,15,15.4,14.71,15.15,5956
2010-2-9,15.1,15.17,14.51,15,3114
2010-2-10,14.99,15.031,14.48,14.533,3191
2010-2-11,14.63,14.75,14.301,14.49,3502
2010-2-12,14.49,14.567,13.868,14.39,4487
2010-2-15,15.71,15.71,13.88,14.242,2273
2010-2-16,14.155,14.599,14.02,14.484,2768
2010-2-17,14.494,14.6,14.31,14.41,1524
2010-2-18,14.319,14.319,13.507,13.857,4150
2010-2-19,13.902,13.999,13.519,13.901,2597
2010-2-24,13.843,13.95,13.55,13.6,1263
2010-2-25,13.628,13.68,13.019,13.299,5237
2010-2-26,13.3,15.95,13.25,15.95,31727
2010-2-27,16.22,16.227,14.762,14.98,24762
2010-3-1,15.15,15.15,14.31,14.49,10588
2010-3-2,14.685,14.685,14.17,14.199,3202
2010-3-3,14.241,14.997,13.92,14.48,9083
2010-3-4,14.511,14.559,14.003,14.14,3686
2010-3-5,14.363,14.363,14.125,14.226,3880
2010-3-9,14.2,14.293,14.079,14.199,1742
2010-3-10,14.199,14.88,14.138,14.23,8180
2010-3-11,14.278,14.599,14.07,14.2,4117
2010-3-12,14.238,14.423,14.201,14.299,4559
2010-3-15,14.227,15.2,14.195,14.563,15153
2010-3-16,14.677,14.91,14.4,14.614,8920
2010-3-17,14.617,14.85,14.414,14.54,4652
2010-3-18,14.5,15.1,14.3,14.617,9729
2010-3-19,14.335,14.85,14.33,14.456,5624
2010-3-22,14.56,14.69,14.365,14.6,2945
2010-3-23,14.6,14.62,14.351,14.439,4717
2010-3-24,14.47,14.55,14.307,14.436,1658
2010-3-25,14.49,14.547,13.954,14.34,3708
2010-3-26,14.388,14.6,14.07,14.18,2852
2010-3-29,14.205,14.28,13.95,14.165,8469
2010-3-30,14.218,14.787,14.005,14.496,23482
2010-3-31,14.5,14.64,14.3,14.382,8700
2010-4-1,14.243,14.436,14.203,14.297,6818
2010-4-2,14.308,14.501,14.07,14.195,8690
2010-4-5,14.211,14.211,14.052,14.137,4096
2010-4-6,14.157,14.239,13.95,14.133,7284
2010-4-7,14.134,14.154,13.9,14.046,5516
2010-4-8,14.081,14.081,13.818,13.938,3014
2010-4-9,12.637,14.439,12.637,14.127,11508
2010-4-12,14.099,14.1,13.924,13.987,4488
2010-4-13,13.994,14.05,13.877,14.038,3917
2010-4-14,14.065,14.143,13.884,14.053,5607
2010-4-15,14.1,15.28,13.964,14.124,43762
2010-4-16,14.03,14.275,13.965,14.037,9534
2010-4-19,14,14.002,13.5,13.724,4969
2010-4-20,13.735,14.035,13.668,13.99,3854
2010-4-21,13.995,14,13.719,13.85,2945
2010-4-22,14.525,14.525,13.709,13.8,3761
2010-4-23,14.119,14.119,13.691,13.761,2461
2010-4-26,13.761,13.995,13.748,13.837,1812
2010-4-27,13.855,13.855,13.343,13.644,2415
2010-4-28,13.544,13.544,13.008,13.169,5465
2010-4-29,13.19,13.45,12.85,13.175,3583
2010-4-30,14.448,14.448,12.94,13.143,1109
2010-5-4,13.18,13.18,12.29,12.3,3235
2010-5-5,12.295,13,12,12.281,3301
2010-5-6,12.472,12.472,11.718,11.849,3527
2010-5-7,11.65,11.7,10.5,10.645,5749
2010-5-11,10.85,11.231,10.58,10.908,4088
2010-5-12,10.908,11.58,10.616,11.397,8402
2010-5-13,11.8,11.8,11.037,11.141,4089
2010-5-14,11.141,11.355,10.67,10.793,2077
2010-5-17,10.627,11.399,10.3,11.366,7531
2010-5-18,11.922,11.922,11.03,11.27,4441
2010-5-19,11.002,11.11,10.612,10.889,3233
2010-5-20,10.495,11.2,10.4,10.67,5178
