Date,Open,High,Low,Close,Volume
2009-2-26,9.8,9.8,9.8,9.8,1
2009-3-13,9.8,9.8,9.8,9.8,1
2009-3-24,9.8,9.8,9.8,9.8,2
2009-3-26,9.8,9.8,9.8,9.8,1
2009-4-1,9.8,9.8,9.8,9.8,1
2009-4-16,9.8,9.8,9.8,9.8,1
2009-4-21,9.8,9.8,9.8,9.8,1
2009-5-4,9.8,9.9,7,9.9,1012
2009-5-14,9.8,9.8,9.8,9.8,1
2009-5-15,5.9,8,5.9,8,28
2009-5-19,8.75,8.75,8.75,8.75,1
2009-5-21,9.8,9.8,9.8,9.8,1
2009-5-25,9.8,9.8,9.8,9.8,5
2009-6-4,9.8,9.8,9.8,9.8,6
2009-7-9,8,8,5.9,5.9,5
2009-7-30,8.26,8.26,8.26,8.26,1
2009-9-29,8,8,8,8,6
2009-10-6,8.5,8.5,8.5,8.5,5
2009-10-7,8.5,8.5,8.5,8.5,8
2009-10-8,9,9,9,9,6
2009-10-16,8.9,8.9,8.9,8.9,1000
2009-10-26,8.8,8.8,8.8,8.8,20
2009-10-30,8.6,8.6,8.6,8.6,1
2009-11-6,8.9,12,8.9,9,57
2009-11-11,8,8,8,8,2
2009-11-12,8.9999,8.9999,7.5,7.5,5
2009-11-13,6.0006,9,6.0006,8.003,24
2009-11-16,6.0006,8.4,6.0006,8.0001,48
2009-11-17,8.7999,9,7.8002,8.35,148
2009-11-18,7.7,8.2,7.15,8.2,11
2009-11-20,8.2,8.3,8.2,8.3,3
2009-12-30,7.5,7.5,7.3999,7.3999,14
2010-1-11,7.4,7.555,7.4,7.555,57
2010-1-12,7.55,7.55,7.55,7.55,1
2010-1-13,7.555,7.56,7.555,7.56,50
2010-1-14,7.565,7.65,6.5009,7.45,101
2010-1-15,6.8881,7.5199,6.777,7.4,26
2010-1-18,7.5999,7.6,7.5999,7.6,7
2010-1-19,7.7,7.9,7.65,7.7501,120
2010-1-20,7.9999,8.42,7.9999,8.41,226
2010-1-21,8.5,11.781,7.2,11,497
2010-1-22,15,15.5823,12.7,15.5823,204
2010-1-25,17.5,21,12.5038,16.3,64
2010-1-26,15,15,13.5,14.6999,59
2010-1-27,14,14,14,14,1000
2010-1-28,16,16.4999,16,16.4999,6
2010-1-29,16.5,17,16.5,17,4
2010-2-1,14,14.999,13.5,14,488
2010-2-2,13.63,13.8999,13,13,176
2010-2-3,12.9999,13.7985,12.5112,13.4996,130
2010-2-4,13.5,14.25,13.15,13.4545,385
2010-2-5,13.2503,13.2503,13.2,13.2,26
2010-2-8,13.2,13.2,13.2,13.2,10
2010-2-9,13.05,13.05,12.95,13.011,64
2010-2-10,13,14,13,14,41
2010-2-11,13.8997,13.8997,12.95,13,71
2010-2-12,13.4,14.5,13.4,13.9,70
2010-2-15,14,14.2499,13.5004,13.5004,24
2010-2-17,13.65,14.2498,13.5002,13.5002,3
2010-2-18,13.5008,13.5008,13.01,13.5,20
2010-2-19,13.5,13.5,13.5,13.5,2
2010-2-24,13.5,13.5,13.5,13.5,5
2010-2-25,13.5,13.69,13,13.4,208
2010-2-26,13.7498,16.9499,13.7498,14.75,81
2010-2-27,14.9999,17.98,14.9999,17.98,157
2010-3-1,15.5,17.4998,15.5,17,311
2010-3-2,16.9999,17.75,16.9999,17.1,71
2010-3-3,17.1,17.2,14.5001,16.3984,108
2010-3-4,15.5,17,15,17,320
2010-3-9,17,17,15.1001,15.5,118
2010-3-10,16,16.4669,15.5,15.5,74
2010-3-11,15.5,15.5,14.6299,15.004,77
2010-3-12,15.9969,16.5,15.9969,16.3,178
2010-3-15,15.5537,16.4996,15.5537,16.4996,2
2010-3-17,16.5999,16.999,16,16.55,40
2010-3-18,16.45,16.9999,16.45,16.9999,21
2010-3-19,16.3,16.5998,16.02,16.5998,106
2010-3-22,15.8999,15.9,15.8999,15.9,18
2010-3-23,16,16,15.5005,15.5005,4
2010-3-24,17,17,16.1,16.7,7
2010-4-1,15.6003,16.45,15.6003,16.45,101
2010-4-2,16.7,16.7,16.7,16.7,1
2010-4-6,16,16,16,16,6
2010-4-7,15.5003,15.5003,15.25,15.25,69
2010-4-9,15.4999,15.4999,15.4999,15.4999,1
2010-4-12,15.5,15.6,15.5,15.6,301
2010-4-13,15.5,15.5,15.35,15.35,214
2010-4-15,15.5,15.8,15.45,15.5,1099
2010-4-16,15.5,15.5,15,15,42
2010-4-21,14.5001,14.5001,14.5001,14.5001,2
2010-4-22,15.75,19.9,15.25,19.9,1061
2010-4-23,19.95,24.3899,19.9499,20.95,2818
2010-4-26,22,22,20.5009,20.8,416
2010-4-27,20,20,18.1,19.9999,384
2010-4-28,19.1001,21.5,19.1,21,209
2010-4-29,21.49,21.995,20,21.2488,127
2010-4-30,20.9997,20.9997,19,19.1,231
2010-5-4,20.3,20.3,17.1002,18.8,432
2010-5-5,18.4999,18.4999,18.4999,18.4999,1
2010-5-6,17.5,17.5,17.02,17.02,106
2010-5-7,16.9997,18.5,16.9997,17,16
2010-5-11,16.0011,16.0011,16,16,92
2010-5-12,16.0001,18,16.0001,18,26
2010-5-13,18,18,18,18,25
2010-5-14,16.8001,16.8001,16.8,16.8,50
2010-5-17,17.8,17.9,17.8,17.9,16
2010-5-18,18,18,17.8,17.8,2
2010-5-20,18,18.6999,16.9,18.6999,4
2010-5-21,16.0817,18.7999,16.0817,18.7999,2
2010-5-24,18.5,18.5,16,16,101
2010-5-25,15.9,17.9991,15.01,17.9991,106
2010-5-26,17.9994,17.9994,16.5,16.5,4
2010-5-27,15.85,18.9995,15.85,18.9995,25
