Date,Open,High,Low,Close,Volume
2010-7-22,15.54,15.54,15.54,15.54,1000
2010-7-23,21.76,24.86,21.76,24.84,41
2010-7-26,27,27,14.9,14.9,412
2010-7-27,14,14.95,13.15,13.48,185
2010-7-28,12.82,14.05,12.82,13.3,14
2010-7-29,12.82,13.9,12.11,13.9,57
2010-7-30,12.5,13,12.5,13,20
2010-8-2,12.22,13.89,12.21,13.89,7
2010-8-4,14.09,14.09,12,12.62,21
2010-8-5,12.49,12.49,11.22,11.99,781
2010-8-6,11.5,11.5,10.27,11.16,99
2010-8-9,11.47,12,11.47,11.5,96
2010-8-10,11.5,11.5,11,11,52
2010-8-11,10.88,10.88,10.6,10.6,6
2010-8-12,10.99,11.4,10.99,11.4,6
2010-8-13,11.5,11.5,11.5,11.5,1
2010-8-16,11.5,11.5,11.5,11.5,1
2010-8-17,11.5,11.5,11.5,11.5,1
2010-8-18,10.99,11,10.99,11,2
2010-8-19,11,11,10.01,10.75,16
2010-8-23,10,10.72,10,10.23,96
2010-8-24,10,10,10,10,1
2010-8-25,10,10,10,10,18
2010-8-26,10.04,10.1,10.01,10.1,20
2010-8-27,10.01,10.03,10.01,10.03,11
2010-8-30,10.01,10.02,10,10,27
2010-8-31,9.4,10.1,8.01,9.91,48
2010-9-1,9.71,11,9.55,10.75,1425
2010-9-6,10.75,11,10.75,10.75,232
2010-9-7,10.5,10.74,10.02,10.49,207
2010-9-8,10.5,10.5,10.06,10.5,98
2010-9-9,10.5,10.5,10.03,10.49,82
2010-9-10,10.03,10.49,10.03,10.49,30
2010-9-13,10.5,10.8,10.5,10.5,2116
2010-9-14,10.5,10.5,9.12,9.12,79
2010-9-17,9.99,10,9.99,10,23
2010-9-20,9.41,9.42,9.4,9.4,57
2010-9-22,9.97,9.97,9.97,9.97,2
2010-9-24,9.34,9.94,9.34,9.94,3
2010-9-30,9.31,9.72,9.3,9.72,62
2010-10-1,9.71,9.97,9.71,9.97,20
2010-10-4,9.74,10,9.74,9.75,225
2010-10-5,9.74,10,9.74,9.75,640
2010-10-6,9.75,9.75,9.75,9.75,20
2010-10-11,9.75,9.75,9.75,9.75,20
2010-10-13,9.75,10,9.75,9.75,374
2010-10-14,9.75,9.75,9.75,9.75,3
2010-10-15,9.15,9.5,9.15,9.5,79
2010-10-21,9.5,9.5,9.5,9.5,1
2010-10-22,9.15,9.15,9,9,106
2010-10-27,9.01,9.01,9,9,6
2010-10-29,9.24,9.24,9.24,9.24,2
2010-11-3,9.19,9.19,9.19,9.19,2
2010-11-8,8.51,9.18,8.5,9.18,133
2010-11-9,9,9.01,8.99,9,406
2010-11-10,8.99,9,8.99,9,126
2010-11-11,9,9,8.56,8.9,182
2010-11-12,8.99,8.99,8.95,8.95,2
2010-11-13,9,9,9,9,101
2010-11-15,9,9.25,9,9,21
2010-11-16,8.95,8.95,8.95,8.95,25
2010-11-17,8.7,8.95,8.6,8.95,4
2010-11-18,8.9,8.9,8.9,8.9,2
2010-11-22,8.52,8.93,8.51,8.51,31
2010-11-24,8.45,8.52,8,8.51,158
2010-11-25,8.49,8.75,8.49,8.75,36
2010-11-26,8.65,8.9,8.65,8.9,12
2010-11-29,8.61,9.97,8.61,9.79,2743
2010-11-30,9.75,9.75,8.52,9.15,1128
2010-12-1,9.15,9.22,8.61,8.9,213
2010-12-2,8.82,9.3,8.63,8.82,360
2010-12-3,8.8,9.2,8.51,9.2,162
2010-12-6,8.83,9,8.05,8.99,425
2010-12-7,8.63,9,8.63,8.85,176
2010-12-8,8.8,8.98,8.8,8.9,79
2010-12-9,8.7,8.98,8.7,8.98,131
2010-12-10,8.94,9.09,8.9,8.94,132
2010-12-13,9,9.09,9,9.09,10
2010-12-14,9.14,9.21,9.13,9.21,13
2010-12-15,8.85,9.8,8.81,9.25,1467
2010-12-16,9.24,9.67,8.8,8.81,770
2010-12-17,9.63,9.75,9.25,9.48,565
2010-12-20,9.11,9.62,9.11,9.48,85
2010-12-21,9.45,9.45,9.25,9.25,100
2010-12-22,9.21,9.36,8.89,9.36,253
2010-12-23,9.47,9.48,9.17,9.25,74
2010-12-24,9.44,9.46,9.18,9.38,645
2010-12-27,9.37,9.5,9.29,9.29,186
2010-12-28,9.5,9.5,9.29,9.44,13
2010-12-29,9.47,9.75,9.3,9.73,254
2010-12-30,9.73,9.74,9.4,9.74,142
2011-1-11,9.75,9.75,9.52,9.74,58
2011-1-12,9.61,9.73,9.61,9.73,33
2011-1-13,9.52,9.65,9,9.54,60
2011-1-14,9.49,9.49,9.49,9.49,1
2011-1-17,9.7,9.74,9.52,9.74,14
2011-1-18,9.57,9.95,9.57,9.9,316
2011-1-19,9.71,9.73,9.6,9.73,343
2011-1-20,9.57,9.75,9.57,9.75,414
2011-1-24,9.73,9.75,9.4,9.6,509
2011-1-25,9.45,9.45,9.04,9.39,1139
2011-1-26,9.09,9.3,9.02,9.1,307
2011-1-27,9,9.01,9,9.01,131
2011-1-28,8.91,8.93,8.6,8.93,202
2011-1-31,8.7,9.24,8.69,9.24,99
2011-2-1,9.2,9.2,8.88,9.2,6
2011-2-2,8.94,9,8.94,9,3
2011-2-3,9,9,9,9,81
2011-2-4,8.9,8.9,8.5,8.5,70
2011-2-7,8.97,8.98,8.97,8.98,2
2011-2-8,8.99,9,8.91,9,72
2011-2-9,9,9.3,8.58,9.3,154
2011-2-10,8.65,8.99,8.12,8.6,189
2011-2-14,8.59,8.6,8.44,8.6,21
2011-2-15,8.91,9,8.91,9,154
2011-2-17,9,9.1,8.41,9,84
2011-2-21,9.07,9.1,8.64,8.64,39
2011-2-24,8.94,9,8.94,8.95,160
2011-2-25,9,9,9,9,5
2011-2-28,8.61,8.61,8.56,8.56,10
2011-3-1,8.85,8.85,8.85,8.85,6
2011-3-3,8.799,8.799,8.501,8.501,48
2011-3-9,8.921,8.921,8.921,8.921,2
2011-3-11,8.505,8.505,8.4,8.5,23
2011-3-14,8.5,8.55,8.5,8.5,61
2011-3-15,8.45,8.45,7.997,7.998,23
2011-3-16,8,8.35,8,8.35,64
2011-3-17,8,8.1,7.805,8.1,421
2011-3-18,8.1,8.444,8.1,8.35,87
2011-3-21,8.028,8.2,7.701,8.2,62
2011-3-22,7.818,8.1,7.701,7.912,453
2011-3-23,8.047,8.047,7.8,8,371
2011-3-24,7.774,8.2,7.774,7.81,203
2011-3-25,7.999,7.999,7.774,7.998,22
2011-3-28,7.777,7.821,7.56,7.56,34
2011-3-29,7.987,7.988,7.03,7.5,270
2011-3-30,7.5,7.5,7.208,7.496,59
2011-3-31,7.248,7.5,7.248,7.499,5
2011-4-1,7.4,7.4,7.4,7.4,7
2011-4-4,7.3,7.65,7.3,7.4,260
2011-4-5,7.45,7.45,7,7.05,801
2011-4-6,7.1,7.1,6.771,6.95,215
2011-4-7,6.949,6.95,6.949,6.95,12
2011-4-11,6.95,7.464,6.501,6.845,741
2011-4-12,6.333,6.8,6.178,6.559,411
2011-4-13,6.556,6.799,6.406,6.599,244
2011-4-14,6.554,6.697,6.554,6.595,40
2011-4-15,6.595,6.595,6.595,6.595,2
2011-4-18,6.848,6.85,6.4,6.4,174
2011-4-19,6.699,6.7,6.698,6.7,180
2011-4-21,6.378,6.663,6.002,6.577,38
2011-4-22,6.592,6.6,6.2,6.6,78
2011-4-25,6.5,6.5,6.35,6.35,146
2011-4-26,6.499,6.549,6.101,6.5,330
2011-4-27,6.648,6.648,6.118,6.554,5
2011-4-28,6.106,6.5,6.105,6.5,50
2011-4-29,6.645,6.645,6.645,6.645,22
2011-5-3,6.686,6.7,6.2,6.65,18
2011-5-4,6.649,6.65,6.649,6.65,9
2011-5-5,6.119,6.64,6.119,6.64,6
2011-5-6,6.116,6.499,6.1,6.499,27
2011-5-10,6.499,6.499,6.447,6.447,6
2011-5-11,6.449,6.449,6.104,6.448,9
2011-5-12,6.5,6.555,6.497,6.555,204
2011-5-13,6.52,6.52,6.5,6.5,227
2011-5-16,6.1,7.84,6.1,6.644,103
2011-5-17,6.999,7,6.197,6.793,18
2011-5-18,7.024,7.024,6.649,6.649,10
2011-5-19,6.191,6.8,6.191,6.8,84
2011-5-20,6.179,6.8,6.152,6.8,298
2011-5-26,6.146,6.146,6.146,6.146,1
2011-5-27,6.1,6.621,5.93,6.355,111
2011-5-30,6.519,6.999,6.3,6.999,85
2011-5-31,6.501,6.875,6.5,6.51,559
2011-6-1,6.48,6.9,6.48,6.664,46
2011-6-2,6.477,6.798,5.931,6.798,17
2011-6-3,6.499,6.499,6.499,6.499,1
2011-6-6,6.454,6.499,6.454,6.497,6
2011-6-7,6.011,6.5,6.011,6.5,46
2011-6-8,6.6,6.6,6.373,6.373,3
2011-6-9,6.455,6.455,6.214,6.214,2
2011-6-10,6.5,6.5,6.5,6.5,6
2011-6-14,6.649,6.65,6.649,6.65,220
2011-6-15,6.401,6.643,6.401,6.643,5
2011-6-16,6.598,6.6,6.598,6.6,101
2011-6-17,6.598,6.598,6.598,6.598,1
2011-6-20,6.401,6.401,6.3,6.3,29
2011-6-21,6.594,6.595,6.319,6.319,102
2011-6-22,6.695,6.695,6.402,6.432,17
2011-6-23,6.32,6.492,6.317,6.374,47
2011-6-24,6.658,6.658,6.658,6.658,1
2011-6-27,6.104,6.625,6.104,6.619,3
2011-6-28,6.41,6.602,6.409,6.602,4
2011-6-29,6.28,6.456,6.003,6.456,31
2011-6-30,6.46,6.585,6.281,6.585,23
2011-7-1,6.53,6.53,6.21,6.21,8
2011-7-5,6.599,6.6,6.306,6.5,324
2011-7-6,6.491,6.491,6.3,6.3,6
2011-7-7,6.5,6.5,6.399,6.413,82
2011-7-8,6.547,6.549,6.547,6.549,14
2011-7-11,6.6,6.6,6.6,6.6,200
2011-7-12,6.45,6.45,6,6.395,278
2011-7-13,6.2,6.395,6.193,6.347,40
2011-7-14,6.485,6.485,6.2,6.3,352
2011-7-15,6.2,6.398,6.2,6.398,204
2011-7-18,6.3,6.399,6.3,6.399,717
2011-7-20,6.399,6.399,6.399,6.399,1
2011-7-22,6.299,6.35,6.299,6.35,464
2011-7-25,6.35,6.48,6.35,6.48,154
2011-7-26,6.121,6.4,6.121,6.4,6
2011-7-27,6.204,6.327,6.2,6.2,56
2011-7-28,6.107,6.399,6.107,6.399,550
2011-7-29,6.301,6.349,6.3,6.33,202
2011-8-1,6.596,6.65,6.35,6.35,922
2011-8-2,6.232,6.236,6.232,6.236,11
2011-8-3,6.029,6.497,6,6.1,359
2011-8-4,6.322,6.322,5.999,6,141
2011-8-5,5.815,6.75,5.815,6,225
2011-8-8,6,6,5.83,5.83,157
2011-8-9,5.555,5.555,5,5.515,628
2011-8-10,5.748,5.927,5.158,5.8,381
2011-8-11,5.068,6.199,5.068,5.703,27
2011-8-12,6.171,6.65,5.717,5.995,124
2011-8-15,6.198,6.999,6.17,6.4,1464
2011-8-16,6.499,6.499,6.1,6.25,42
2011-8-17,6.106,6.106,6.1,6.1,200
2011-8-18,6.154,6.3,6.154,6.3,3
2011-8-19,5.836,6,5.689,5.999,65
2011-8-22,6.444,6.444,6.444,6.444,1
2011-8-23,6.2,6.2,6,6,361
2011-8-24,6,6,6,6,100
2011-8-25,6,6,6,6,20
2011-8-26,6.009,6.009,5.801,5.801,2
2011-8-29,5.802,5.961,5.802,5.961,2
2011-8-30,6,6.004,6,6,41
2011-8-31,6,6,6,6,1
2011-9-9,6.397,6.397,6.397,6.397,7
2011-9-12,6,6,5.755,5.755,18
2011-9-13,5.701,5.952,5.653,5.952,13
2011-9-14,5.8,5.985,5.8,5.949,4
2011-9-15,5.77,6,5.555,6,236
2011-9-16,5.601,5.65,5.334,5.6,577
2011-9-19,5.54,5.541,5,5.5,2712
2011-9-20,5.4,5.6,5.216,5.5,940
2011-9-21,5.599,5.599,5.5,5.598,170
2011-9-22,5.229,5.419,4.9,4.9,173
2011-9-23,5,5.42,4.578,5.052,1094
2011-9-27,5.32,5.32,5.32,5.32,1
2011-9-28,5.3,7.448,5.3,7.448,12401
2011-9-29,8.26,9.999,6.75,7.488,7618
2011-9-30,7.5,7.5,6.5,6.995,1205
2011-10-3,6.5,6.899,6,6.487,1027
2011-10-4,6,7,5.007,6.5,6209
2011-10-5,6.02,6.714,5.9,6.397,616
2011-10-6,6.002,6.499,6.002,6.477,632
2011-10-7,6.302,6.599,6.17,6.4,137
2011-10-10,6.253,6.541,5.7,6.541,123
2011-10-11,6.207,6.5,6,6.449,224
2011-10-12,6.152,6.25,5.8,5.968,813
2011-10-13,5.803,5.844,5.602,5.7,875
2011-10-14,5.557,6.199,5.557,6,710
2011-10-17,5.9,6.098,5.8,6.098,123
2011-10-18,5.804,5.9,5.7,5.9,251
2011-10-19,5.935,6.3,5.631,5.82,1470
2011-10-20,5.779,5.999,5.7,5.749,105
2011-10-21,5.751,5.751,5.7,5.75,84
2011-10-24,5.702,5.8,5.523,5.752,290
2011-10-25,5.799,5.805,5.58,5.7,504
2011-10-26,5.611,5.8,5.611,5.749,262
2011-10-27,5.556,5.797,5.555,5.647,189
2011-10-28,5.649,5.8,5.501,5.798,321
2011-10-31,5.609,5.65,5.5,5.65,1060
2011-11-1,5.599,5.74,5.541,5.548,345
2011-11-2,5.551,5.568,5.3,5.3,796
2011-11-3,5.347,5.799,5.341,5.713,110
