Date,Open,High,Low,Close,Volume
2011-12-14,63,63,60,60,20
2011-12-15,62,62,62,62,1
2011-12-16,62,63,62,62,36
2011-12-20,62,69,62,62,2345
2011-12-21,62,63,59,59,170
2011-12-22,61.43,62,60,61.99,6
2011-12-26,60.99,73,60.99,73,57
2011-12-27,64,64,64,64,2
2011-12-28,64,64,64,64,12
2011-12-30,63,64,63,64,20
2012-1-6,61.01,64,61.01,64,7
2012-1-10,64,64,64,64,5
2012-1-11,64,64,64,64,1
2012-1-12,64,66,64,66,7
2012-1-13,66,67,66,67,11
2012-1-16,66.61,66.61,65.1,66,5
2012-1-17,66,66,66,66,3
2012-1-18,66.98,66.98,66.98,66.98,1
2012-1-19,61.03,63.9,61,63.9,58
2012-1-20,60,62.99,60,62.98,3
2012-1-23,62.97,62.97,60,62.89,12
2012-1-24,62.95,62.95,62.95,62.95,1
2012-1-25,62.9,62.9,62.89,62.89,6
2012-1-26,62.98,65.98,62.89,62.89,13
2012-1-27,63,63,63,63,1
2012-1-30,64,64,64,64,24
2012-1-31,64,64,62.1,62.98,100
2012-2-1,63,65,62.98,65,653
2012-2-2,65.64,65.64,65.1,65.1,132
2012-2-3,64.2,66.8,64.2,66.8,26
2012-2-6,66,68.97,66,68,305
2012-2-7,68,69.75,68,68,105
2012-2-8,68,69.95,68,69,109
2012-2-9,69,70,69,69,79
2012-2-10,69,71,69,69.01,83
2012-2-13,70,72.65,68,72.45,262
2012-2-14,70.99,72.5,70.99,72.5,35
2012-2-15,72.8,74,72.8,74,41
2012-2-16,74.8,76.99,72.5,72.5,157
2012-2-17,76.49,77,70.64,70.64,106
2012-2-20,75.68,77.4,72,74.99,124
2012-2-21,75,76,72.04,74,517
2012-2-22,74.99,75.5,74,74.74,1529
2012-2-24,68.1,77,68.1,76,1045
2012-2-27,76.5,76.94,75,75,679
2012-2-28,74,78,74,78,1035
2012-2-29,77,80.5,77,78,1434
2012-3-1,80,80,77.5,79,545
2012-3-2,79.3,79.99,78,79,247
2012-3-5,82,82,79.99,80.5,81
2012-3-6,79.5,79.5,79.5,79.5,1
2012-3-7,77.33,78.5,77.1,78,71
2012-3-11,79.48,79.48,78,78.95,119
2012-3-12,78.5,78.5,76.01,76.01,13
2012-3-13,77.11,77.11,75.99,76.01,55
2012-3-14,77,77,76.99,77,642
2012-3-15,77.2,77.2,77.2,77.2,1
2012-3-16,77.2,77.2,77.2,77.2,1
2012-3-19,75.01,77.16,75,75,379
2012-3-20,75,76.97,74.25,74.25,165
2012-3-21,76.45,76.47,75,75.1,31
2012-3-22,75.8,76.88,75.8,75.8,524
2012-3-26,77,77.85,76.99,77.85,200
2012-3-29,77.75,78.01,77.75,78,332
2012-3-30,78,78.49,77,78.45,1117
2012-4-2,77.03,79.79,77,78.5,84
2012-4-3,79.27,79.28,78.51,78.51,74
2012-4-4,78.7,78.7,78,78.01,623
2012-4-5,77.5,77.5,77.5,77.5,1
2012-4-6,79.48,79.9,78.15,79.5,1070
2012-4-9,79,79.99,77,77,795
2012-4-10,78.55,79,78.55,78.99,1076
2012-4-11,78.5,80.1,78.5,80.1,210
2012-4-12,83.99,86.2,80.49,86.2,108
2012-4-13,87.98,89.3,86.2,86.2,54
2012-4-16,92,92,84,87.99,35
2012-4-17,84,93.8,78.5,89,1004
2012-4-18,85,86.98,84,86.98,360
2012-4-19,88,88,85,85,260
2012-4-20,88,88.95,84,84,33
2012-4-23,88.79,90,88.79,89,20
2012-4-24,89.76,89.95,88,88,7
2012-4-25,86,86,86,86,54
2012-4-26,86,86,86,86,10
2012-4-27,87,89.85,86,86,100
2012-4-28,88.5,89.01,85.03,85.03,139
2012-5-2,88.45,89.7,88.45,89.5,144
2012-5-3,88.5,89.29,86.4,86.42,192
2012-5-4,86.01,88.4,84.01,84.01,38
2012-5-5,84.01,89.29,84,84.8,286
2012-5-7,89.28,89.28,89.28,89.28,1
2012-5-8,86.9,86.9,86.9,86.9,132
2012-5-10,87,87,87,87,1
2012-5-11,84.76,84.76,84.76,84.76,1
2012-5-12,82.55,82.55,82.55,82.55,1
2012-5-14,81.11,81.11,80.03,80.03,133
2012-5-15,73.5,73.5,73.5,73.5,1
2012-5-16,84.99,85,84.99,85,28
2012-5-23,83.99,83.99,83.99,83.99,1
2012-6-1,61.21,83.93,61.21,83.93,9
2012-6-15,83.12,83.4,70.05,72.07,10
2012-6-18,83.59,83.59,78.5,80.98,4
2012-6-26,81,83.9,81,83.9,60
2012-6-27,79.3,79.3,66,79.22,9
