Date,Open,High,Low,Close,Volume
2011-12-14,35,35,35,35,1
2011-12-20,35,35,35,35,28
2011-12-21,36,37,36,37,28
2011-12-22,37,40,37,40,78
2011-12-26,41,41,41,41,1
2011-12-27,41,41,40,40,110
2011-12-28,38.01,38.01,38,38,4
2011-12-29,40,40,40,40,23
2011-12-30,41,41,41,41,20
2012-1-6,41.9,42,41.9,42,53
2012-1-10,43,43,43,43,6
2012-1-11,43,43,42,42,2
2012-1-12,43,43,43,43,50
2012-1-13,44,44,44,44,10
2012-1-16,45,45,45,45,4
2012-1-18,43,43,43,43,8
2012-1-19,44,44,44,44,2
2012-1-20,43.978,43.978,43.978,43.978,1
2012-1-23,43.98,43.98,43.98,43.98,1
2012-1-25,43,43,43,43,4
2012-1-27,44.98,45,44.98,45,11
2012-1-31,45,46,45,46,18
2012-2-1,47.9,47.9,47.9,47.9,10
2012-2-3,45.5,45.5,45.5,45.5,10
2012-2-9,51.9,51.9,51.9,51.9,1
2012-2-13,51.9,52,51.9,51.95,7
2012-2-14,51.95,53.99,50.011,50.011,42
2012-2-22,49.06,49.06,49.06,49.06,1
2012-2-24,48.001,48.001,48.001,48.001,2
2012-3-5,48.016,49,48.016,49,2
2012-3-7,50.012,52,50,52,104
2012-3-11,54.999,54.999,46.011,46.011,4
2012-3-13,47.101,47.101,47.101,47.101,1
2012-3-15,47.1,47.1,47.1,47.1,1
2012-3-20,45.001,45.001,45.001,45.001,1
2012-3-26,46,46,46,46,2
2012-3-27,51,51,47,47,19
2012-4-4,47.502,47.502,47.502,47.502,1
2012-4-6,48.001,48.001,48.001,48.001,4
2012-4-12,49.5,49.5,49.008,49.008,23
2012-4-17,49.6,49.6,49.6,49.6,1
2012-4-20,53.999,55,53,54,44
2012-4-23,56.99,59,56.99,59,106
2012-5-4,45,45,45,45,1
2012-5-17,55,55,50,50,53
2012-5-24,56.998,57,56.998,57,23
2012-5-25,49.513,49.513,49.503,49.503,5
2012-5-28,49,49,49,49,22
2012-5-30,50,50,49.1,49.1,95
2012-6-1,49.1,49.1,49.1,49.1,1
2012-6-19,55.998,55.998,55.998,55.998,1
2012-6-22,50,50,49.999,49.999,2
2012-6-26,50,51,50,51,51
2012-6-28,52,55,52,55,95
2012-6-29,54.8,54.8,54.8,54.8,1
2012-7-4,54.8,54.8,47,50,149
2012-7-11,50,50,50,50,8
2012-7-24,50.001,50.001,50.001,50.001,1
2012-7-25,50,50,50,50,1
2012-7-26,49.5,49.5,49.5,49.5,65
2012-7-27,49.999,49.999,49.999,49.999,2
2012-7-30,49.999,49.999,49.999,49.999,2
2012-7-31,49.99,49.99,49.99,49.99,50
2012-8-9,50,50,49.999,50,31
2012-8-14,51.998,52,51.998,52,2
2012-8-16,51.999,51.999,50.012,50.012,3
2012-8-17,51,51,51,51,1
2012-9-4,51.997,53,51.5,51.5,157
2012-9-5,51,51,51,51,2
2012-9-6,50.5,50.5,50.5,50.5,34
2012-9-7,50.5,50.5,49,49,25
2012-9-10,54.996,54.996,54.996,54.996,1
2012-9-14,52.999,52.999,52.999,52.999,1
2012-9-19,52.999,52.999,52.999,52.999,4
2012-9-21,52.998,52.998,52.998,52.998,1
2012-10-9,54.497,54.5,54.497,54.5,5
2012-10-12,52,52,52,52,1
2012-10-17,51.75,51.75,51.75,51.75,1
2012-10-23,52,52,52,52,1
2012-10-25,54.497,54.497,54.497,54.497,1
2012-10-26,55,55,50.798,51.296,14
2012-10-29,50,50,50,50,10
2012-11-2,50,50,41.5,41.5,2
2012-11-6,51,52,51,52,2
2012-11-9,50,50,50,50,3
2012-11-19,47,47,47,47,1
2012-11-21,49,49.201,49,49.2,102
2012-11-22,50.499,50.499,50.499,50.499,3
2012-11-28,53.997,53.997,53.997,53.997,1
2012-11-30,49.001,49.002,49,49.002,10
2012-12-3,50,52,50,52,20
2012-12-4,50,50,50,50,1
2012-12-5,48.002,48.9,48,48.9,109
2012-12-14,48.101,48.101,48,48,10
2012-12-17,48.5,49,48,48.997,8
2012-12-18,49.493,49.494,48.997,49.494,7
2012-12-21,49.5,49.998,49.5,49.998,10
2012-12-25,51,51,50,50,20
2012-12-26,51.1,51.1,51.1,51.1,1
2012-12-27,52.999,52.999,52.999,52.999,36
2013-1-8,49.101,49.101,49.101,49.101,2
2013-1-10,52.989,53,52,52,9
2013-1-11,49.101,49.101,49.101,49.101,1
2013-1-15,53.999,67,53.999,58,132
2013-1-16,64.895,67.999,56.005,56.005,17
2013-1-17,56.4,56.4,55.014,55.014,2
2013-1-18,52,59.397,49.112,59.397,21
2013-1-21,55,55,55,55,2
2013-1-22,59.919,59.919,53,53,3
2013-1-23,55.933,55.933,55.933,55.933,1
2013-1-24,53.502,53.502,53.4,53.4,20
2013-1-28,53.522,53.522,53.522,53.522,1
2013-2-20,49.111,49.111,49.111,49.111,1
2013-2-21,54.998,54.998,54.998,54.998,1
2013-2-26,54,59,54,59,30
2013-2-28,54,54.001,53.999,54,30
2013-3-5,54.999,55,54.999,55,28
2013-3-13,54.321,54.321,54.321,54.321,1
2013-3-21,59.999,59.999,59.999,59.999,1
2013-3-26,50.001,52,50,52,23
2013-3-27,50,50,50,50,6
2013-3-29,51.1,51.1,51.1,51.1,3
2013-4-2,53.498,57,53.498,57,22
2013-4-5,56.5,59,56.5,59,24
2013-4-9,50,50,50,50,2
2013-4-11,49.112,49.112,49.112,49.112,2
2013-4-12,47.001,50,47.001,50,10
2013-4-18,50,55,50,50.021,54
2013-4-19,49.111,56.896,49.111,56.896,8
2013-4-30,56.999,58.412,56.798,56.9,45
2013-5-14,52.175,53.172,52.175,53.171,9
2013-5-17,58.775,59,58.775,59,9
2013-5-21,56.503,56.504,56,56,12
2013-5-22,54.001,54.001,54.001,54.001,1
2013-5-31,68.961,68.961,68.961,68.961,2
2013-6-20,56.998,56.998,56.998,56.998,2
2013-7-5,74.498,74.5,74.498,74.5,267
2013-7-10,64.5,64.5,64.498,64.498,153
2013-7-11,52,52.002,52,52,419
2013-7-15,71.987,71.987,71.987,71.987,2
2013-7-16,55.997,55.997,55.467,55.467,60
2013-7-17,56,56,56,56,5
2013-7-18,56,65.001,56,65,377
2013-7-19,56,56.501,56,56.501,372
2013-7-22,68.999,75,68.999,73.497,16
2013-8-9,70,70,60,60,111
2013-8-12,57.001,57.001,57.001,57.001,1
2013-8-28,53.009,55.644,52.002,54.999,111
2013-8-29,57.999,57.999,57.999,57.999,1
2013-9-3,67.675,67.675,45,51,54
2013-9-4,57.93,57.93,57.93,57.93,2
2013-9-12,52.001,52.001,52.001,52.001,1
2013-9-27,55,55,55,55,1
2013-9-30,54,54,54,54,1
2013-10-2,50.002,53.4,50,53.4,5
2013-10-15,50.001,50.001,50.001,50.001,1
2013-10-17,57.5,57.5,57.5,57.5,1
2013-10-18,50.001,50.001,50.001,50.001,1
2013-11-6,56,56,56,56,2
2013-11-7,52,52,52,52,1
2013-11-27,54.999,54.999,54.999,54.999,2
2013-11-28,50.001,55,50,55,127
2013-12-26,52.002,52.002,52.002,52.002,4
2014-1-6,52,52,52,52,1
2014-1-16,54,54,54,54,130
2014-1-17,54,54,54,54,100
2014-1-31,55,55,55,55,90
2014-2-5,52,52,52,52,1
2014-2-13,58.999,59,58.999,59,5
2014-3-7,43.021,64.998,43.021,55.999,3
2014-3-12,55,55,55,55,32
2014-3-14,43.022,43.022,43.022,43.022,1
2014-3-18,54,54,54,54,2
2014-4-9,55,55,55,55,49
2014-4-10,55,55,55,55,1
2014-4-11,55,55,55,55,49
2014-5-6,54.299,54.3,54.299,54.3,4
2014-5-8,54.3,54.3,54.3,54.3,1
2014-5-14,54.3,54.3,54.3,54.3,1
2014-5-15,54.299,54.299,54.299,54.299,1
2014-5-22,55,55,55,55,1
2014-6-9,54,54,54,54,1
2014-6-10,54,54,54,54,10
2014-7-4,54.59,54.59,54.59,54.59,1
2014-7-16,54,55,54,55,104
2014-8-14,42.111,50,42.111,50,67
2014-8-15,50,50,46,49,13
2014-8-21,51,51,51,51,3
2014-8-26,51,51,50.998,50.998,11
2014-9-2,45,45,45,45,2
2014-9-4,50.999,50.999,50.998,50.998,3
2014-10-9,40.2,44.1,40.2,43,77
2014-10-24,41,41,40,40.1,19
2014-10-27,49.7,49.7,49.7,49.7,2
2014-11-5,50,50,50,50,1
2014-11-7,49.9,49.9,49.9,49.9,30
2014-11-10,50,50,50,50,2
2014-11-11,49,49,49,49,30
2014-11-13,49.9,49.9,49.9,49.9,1
2014-11-14,49.9,49.9,49.9,49.9,2
2014-11-17,50,50,50,50,28
2014-11-18,50,50,50,50,47
2014-11-20,51,51,51,51,5
2014-11-24,50,50,50,50,18
2014-11-27,52,52,52,52,4
2014-12-8,53.4,53.4,53.4,53.4,1
2014-12-10,49,49,49,49,1
2014-12-16,50,50,50,50,46
2014-12-25,50,50,50,50,50
2014-12-29,52.5,52.5,52.5,52.5,1
2015-1-6,48,49,48,48,10
2015-1-19,49.6,49.9,49.6,49.9,11
2015-1-20,52.9,52.9,52.9,52.9,15
2015-2-13,51.8,56,51.8,56,100
2015-2-17,57,58.5,57,58.5,3
2015-2-18,60,64,60,64,2
2015-2-19,57,57,57,57,1
2015-2-20,52,52,52,52,1
2015-2-24,54,54,52.3,52.3,2
2015-2-27,56,56,56,56,10
2015-3-2,56,56,56,56,8
2015-3-18,52.1,52.1,52,52,9
