Date,Open,High,Low,Close,Volume
2008-4-3,60,69,60,69,36
2008-4-4,69,69,69,69,2
2008-4-7,69,75,60,60,17
2008-4-8,69,69,60.12,60.12,65
2008-4-9,61.38,61.38,61.38,61.38,0
2008-4-10,65.59,65.59,65.59,65.59,0
2008-4-15,57,57,55,55.25,18
2008-4-16,55,55.1,55,55.1,5
2008-4-18,55,55,55,55,0
2008-4-23,55,55,55,55,0
2008-4-28,55.4,55.4,55.25,55.25,107
2008-4-29,62.66,62.66,62.66,62.66,0
2008-5-5,55,55,55,55,0
2008-5-12,58,58,58,58,1
2008-5-15,53.1,53.1,51,51,35
2008-5-16,51,51,51,51,16
2008-5-19,51,52,51,52,10
2008-5-22,57,58,51,51,7
2008-5-23,51,51,51,51,3
2008-5-26,51,55,51,55,3
2008-5-27,51,51,51,51,6
2008-5-28,53.55,56.15,53.55,55.01,34
2008-5-29,56,56,55.01,55.01,19
2008-6-3,58,58,55,55,101
2008-6-24,51.52,51.52,51.5,51.5,7
2008-6-26,51.51,51.51,51,51,14
2008-6-27,51,51,51,51,1
2008-6-30,51.5,51.5,51.5,51.5,0
2008-7-8,51,51,51,51,2
2008-7-10,51,51,51,51,1
2008-7-28,51,51,51,51,6
2008-7-30,51,51,51,51,0
2008-8-6,56.88,56.88,56.88,56.88,10
2008-8-12,51,51,51,51,15
2008-9-10,51,51,51,51,0
2008-9-22,51,51,51,51,26
2008-9-23,55.99,55.99,51,51,0
2008-9-26,53,53,53,53,15
2008-9-29,51,51,51,51,0
2008-10-2,55,55,55,55,15
2008-10-23,51,51,51,51,1
2008-10-29,15.3,20,15.3,20,37
2008-10-30,20.25,20.25,20.25,20.25,2
2008-10-31,20.25,20.25,20.25,20.25,0
2008-11-11,17.5,18,15.5,18,721
2008-11-13,18.8,18.8,16,17,262
2008-11-14,18.8,18.8,10.3,15.1,667
2008-11-18,17.25,17.25,17.25,17.25,7
2008-11-25,20,20,20,20,0
2008-11-27,20,20,20,20,0
2008-12-1,19.99,19.99,14.01,14.01,0
2008-12-4,14.01,14.01,14.01,14.01,50
2008-12-5,13.01,14,13,14,644
2008-12-8,13.5,17,12.96,12.96,7638
2008-12-9,14.25,14.25,12,12,200
2008-12-10,15.5,15.5,12,12,1203
2008-12-11,14.93,14.93,7.2,8,400
2008-12-12,11.2,11.2,5,11.2,101
2008-12-15,14.7,14.7,10.01,10.01,300
2008-12-16,9,11,7,8,3400
2008-12-17,8,8,8,8,4
2008-12-18,7.01,8,5.05,5.1,2953
2008-12-19,7.88,7.88,6,6,3083
2008-12-22,7,7,6,6.3,4014
2008-12-23,6.49,7.9,6,7,5825
2008-12-24,7.8,9.73,7.01,8.7,2951
2008-12-25,7.79,7.8,7.79,7.8,3
2008-12-29,10,10,7.12,8.1,3363
2008-12-30,8.1,8.1,7.5,7.5,1687
2008-12-31,6.56,6.56,6.51,6.51,10
2009-1-13,8.56,8.56,6.51,7,1203
2009-1-15,7,7,7,7,1
2009-1-16,7.75,7.75,7.75,7.75,0
2009-1-19,7.5,7.5,7.5,7.5,0
2009-1-20,7.5,7.5,6.5,7,80
2009-1-21,7,7,5,5,0
2009-1-22,7.3,8.4,7,7.5,126
2009-1-23,10,10,6,9.99,0
2009-1-26,8.3,10,7.1,8.99,11
2009-1-27,8.51,10.97,8.51,10.97,1
2009-1-28,10.96,10.96,10.96,10.96,0
2009-1-29,9.99,9.99,9.99,9.99,0
2009-2-2,9.99,12,8.15,11.99,1
2009-2-3,10.01,10.01,8,10,40
2009-2-4,8.5,11.99,8.5,8.6,1311
2009-2-5,8.5,9.99,8.5,9.8,1303
2009-2-6,10.1,11.1,8.62,9,614
2009-2-9,10.45,10.45,8.6,10,1
2009-2-10,9.9,9.9,9.9,9.9,0
2009-2-11,8.9,8.9,8.89,8.89,0
2009-2-12,8.6,8.89,8.6,8.89,1500
2009-2-13,8.89,8.92,8.89,8.92,0
2009-2-16,8.1,8.62,8.1,8.62,5
2009-2-17,8.5,8.6,8.5,8.5,6
2009-2-18,8,8,8,8,1
2009-2-19,8.2,8.2,8.2,8.2,1501
2009-2-20,5.7,6.98,5.05,6,2555
2009-2-24,7,8.3,7,8.3,8
2009-2-25,8,8,6,6.4,2652
2009-2-26,6.4,7.5,6.26,7.33,4425
2009-2-27,7.33,7.35,6.5,7.35,35
2009-3-2,8,8,6.11,7.43,152
2009-3-3,7.45,7.5,7,7.5,283
2009-3-4,7.99,8,7.45,7.45,2
2009-3-5,8,8,7,7.44,117
2009-3-6,8.8,8.8,7.06,7.79,49
2009-3-10,7.99,8.5,7.07,8.5,745
2009-3-11,7.57,8.4,7.16,7.6,1139
2009-3-12,7.5,7.98,7.5,7.98,1
2009-3-13,8,8.35,8,8.35,50
2009-3-16,8,8.14,8,8,381
2009-3-17,8.44,8.89,8.44,8.89,794
2009-3-18,9,9,8.5,8.5,3460
2009-3-19,9,10,9,9.4,460
2009-3-20,9,9,8.5,8.5,1001
2009-3-23,8.8,8.81,8.8,8.81,260
2009-3-24,8.5,8.5,8.4,8.4,250
2009-3-25,8.9,8.9,8.9,8.9,0
2009-3-26,8.9,9.5,8.9,9.5,1513
2009-3-27,8.7,9.7,8.7,9.19,1
2009-4-1,9.24,9.24,9.24,9.24,20
2009-4-2,9.02,9.02,9,9,379
2009-4-3,10.39,10.39,9.98,10,278
2009-4-6,9.31,9.31,9.2,9.2,247
2009-4-9,10.5,11,10.5,11,3
2009-4-10,10.99,11,10.99,11,500
2009-4-13,11,11,10.5,10.98,443
2009-4-14,10.45,11,10.45,11,325
2009-4-15,13,15.4,12,15.4,36495
2009-4-16,16,16.5,13.12,16.5,9284
2009-4-17,16.99,17.99,15.01,17.39,6417
2009-4-20,17.3,17.99,15.63,17.96,4446
2009-4-21,17.9,17.96,15,16.56,4027
2009-4-22,16.87,17,14,15.54,4663
2009-4-23,17.35,17.35,13.5,15.98,1124
2009-4-24,15.98,16.7,14.11,16.2,246
2009-4-27,16.6,16.6,14,15.7,1424
2009-4-28,16.35,17.24,14.5,17.16,2370
2009-4-29,17.59,18,16.3,17.48,2431
2009-4-30,18.73,18.73,16.02,17.19,111
2009-5-4,18.97,18.97,15.44,17.99,18370
2009-5-5,17.99,18.43,15.57,17.98,857
2009-5-6,17.94,19.44,16.2,17.91,2785
2009-5-7,19.44,19.44,16.51,19.35,7136
2009-5-8,19.2,19.97,17.2,19.97,6949
2009-5-12,19.97,20.3,18.82,18.82,385
2009-5-13,20,22,19.18,21.65,12650
2009-5-14,20.61,22.01,20.5,21.79,12845
2009-5-15,21.79,21.79,18.94,18.94,354
2009-5-18,19,20.8,17,18.06,18332
2009-5-19,17.21,18.03,17.21,17.85,4762
2009-5-20,19,19,17.01,17.77,1277
2009-5-21,18,18,16.45,16.45,292
2009-5-22,18,18,16,16.8,349
2009-5-25,17.7,20,16.32,17.5,961
2009-5-26,17.4,17.98,16.4,17.76,294
2009-5-27,17.7,17.7,16.47,17.38,301
2009-5-28,17.8,17.8,16.55,17.28,1311
2009-5-29,17.35,17.35,16,16.95,6786
2009-6-1,18.25,18.25,16.51,17.39,2558
2009-6-2,17.4,17.5,16.65,17.49,1236
2009-6-3,17.4,17.4,16,17.13,683
2009-6-4,17.13,17.49,15.55,17.39,1071
2009-6-5,17,17,15.6,16.14,214
2009-6-8,17,17,15.5,16.95,66
2009-6-9,17,17,15.55,15.9,4362
2009-6-10,17.5,17.5,15.5,15.99,2073
2009-6-11,15.99,15.99,15.05,15.3,6
2009-6-15,15.9,15.9,15.2,15.88,885
2009-6-16,15.74,15.74,14.81,15.72,3139
2009-6-17,15.72,15.72,14.8,15.6,3865
2009-6-18,15.6,15.62,12,14.11,872
2009-6-19,14,16.5,12.62,15.97,3622
2009-6-22,16,16,14.55,14.55,33
2009-6-23,15.99,15.99,13.25,15.75,91
2009-6-24,15.8,15.8,12.82,15.8,34
2009-6-25,16,16,16,16,0
2009-6-26,15.49,15.49,14.45,15.1,193
2009-6-29,16,16,15.75,15.75,4
2009-6-30,16,16,14.06,14.89,4268
2009-7-1,15.5,15.5,14.07,14.47,326
2009-7-2,15.8,15.8,14.22,14.44,6
2009-7-3,15.98,15.98,14.14,14.28,5
2009-7-6,15.28,15.28,14.1,14.29,980
2009-7-7,15.55,15.55,14.1,14.26,558
2009-7-8,15.29,15.29,14.1,14.19,300
2009-7-9,14,14,12.99,13.05,1811
2009-7-10,13.89,13.89,12.5,12.98,41
2009-7-13,13.89,13.89,12.32,13.38,267
2009-7-14,13.88,13.88,12.82,13.44,1312
2009-7-15,13.99,14.37,12.41,14.09,6
2009-7-16,14.96,14.96,12.88,14.05,713
2009-7-17,14,14.5,14,14.38,296
2009-7-20,16.49,16.49,12.85,14.88,5421
2009-7-21,14.9,14.9,13.08,14.85,0
2009-7-22,14.98,14.98,13.5,14.86,2809
2009-7-23,14.98,14.98,13.5,14.78,541
2009-7-24,14.88,14.88,14.36,14.83,1
2009-7-27,14.96,14.96,13.12,14.7,425
2009-7-28,14.57,14.96,13.19,14.3,107
2009-7-29,14.69,14.7,13.22,14.69,10703
2009-7-30,14.7,14.7,14.5,14.5,0
2009-7-31,14.95,14.95,13.42,13.85,2010
2009-8-3,13.86,13.93,13.85,13.89,15
2009-8-4,15.46,15.46,13.27,13.68,319
2009-8-5,14.45,14.5,14.45,14.5,39
2009-8-6,14,14,13.7,14,1817
2009-8-7,14.85,14.85,14.85,14.85,0
2009-8-10,15.55,15.77,13.73,14.87,13
2009-8-11,15.43,15.43,14.5,14.5,207
2009-8-12,15.29,15.29,15.29,15.29,2
2009-8-13,15.44,15.9,13.16,15.02,117
2009-8-14,13.76,14.86,13.76,14.86,81
2009-8-17,13.98,14,13.98,14,4286
2009-8-18,16.66,16.66,14.03,14.03,2
2009-8-19,16.35,16.35,16.35,16.35,0
2009-8-20,13.31,14.98,13.31,14.51,63
2009-8-21,14.27,14.27,14.27,14.27,20
2009-8-24,13.33,15.69,13.33,14.39,458
2009-8-25,13.42,13.99,13.42,13.99,100
2009-8-27,13.76,14.04,12,13.5,668
2009-8-28,12.5,13.42,12.5,13.27,27
2009-8-31,12.69,13.37,12.69,12.77,11
2009-9-1,13.59,13.59,12.61,13.5,64
2009-9-2,12.67,13.45,12.67,13.45,28
2009-9-3,13.43,13.43,13.4,13.4,226
2009-9-4,13.59,15.78,13.59,15,862
2009-9-7,15.82,15.86,14.03,14.39,330
2009-9-8,15.49,15.49,15.49,15.49,0
2009-9-9,14.9,15.39,14.5,15.39,563
