Date,Open,High,Low,Close,Volume
2010-5-11,230,230,200,227.99,430
2010-5-12,264,264,180,196.75,680
2010-5-13,195,200,182.11,195,250
2010-5-14,198,273,190,200,1268
2010-5-17,197.99,198,177.5,191,28
2010-5-18,189.1,197.97,189.1,197.97,10
2010-5-19,197.97,197.97,197.97,197.97,0
2010-5-20,197.5,197.5,180.04,185,286
2010-5-21,180.02,180.02,180,180,31
2010-5-25,185,185,184,184,12
2010-5-26,197.99,197.99,179,184.01,13
2010-5-27,170,179.01,170,175,58
2010-5-28,187.88,187.88,186.87,186.87,5
2010-5-31,174,188.89,174,188.89,3
2010-6-1,185.5,194.98,174.02,180.01,25
2010-6-2,197.93,197.93,178.51,178.51,2
2010-6-7,157,175,157,175,102
2010-6-9,184.99,194.99,180,191,2911
2010-6-10,185,185,185,185,1500
2010-6-11,181,187.69,170.02,185,76
2010-6-15,187,187,177,177,0
2010-6-16,170.01,185,170,180,221
2010-6-17,177.01,182,177,182,140
2010-6-18,182,182,182,182,20
2010-6-21,181.01,191.01,181,191.01,8071
2010-6-23,190,190,190,190,10
2010-6-24,177.5,177.5,177.5,177.5,11
2010-6-29,171.01,175,171.01,175,2
2010-6-30,187,187,187,187,0
2010-7-12,233.97,233.97,233.97,233.97,0
2010-7-13,310,310,170.51,193.99,10
2010-7-14,198.98,198.99,176.02,198.99,6
2010-7-16,199,199,178.73,198.99,5
2010-7-19,180.03,258.99,180.03,258.99,12
2010-7-20,176.04,258.99,176.04,258.99,2
2010-7-21,171.63,210,171.63,186,407
2010-7-22,188,188,171.04,184,64
2010-7-23,180,186.99,180,183.17,67
2010-7-26,186,186,184,185,11
2010-7-27,183.17,185,176,183.17,76
2010-7-29,184.9,184.99,179.6,181,56
2010-7-30,181.35,185,180,185,4010
2010-8-2,181.35,184.98,179.57,184.98,2
2010-8-3,185,199,185,185.99,254
2010-8-4,185.99,186,185,185,29
2010-8-5,186,186,186,186,3
2010-8-6,186,186,186,186,231
2010-8-9,186.88,188,186.88,188,3
2010-8-10,185.03,185.03,185.03,185.03,0
2010-8-11,185.2,185.2,170.06,183.2,34
2010-8-12,183,183,181.5,183,20
2010-8-13,185,188,185,188,96
2010-8-16,185.03,185.03,182,182,73
2010-8-17,184.99,187.97,184.99,187.97,72
2010-8-18,185.03,187.77,182.02,182.02,1
2010-8-19,185.03,198.95,185.03,189,92
2010-8-20,188,188,186.9,186.9,4002
2010-8-23,188.77,198,188.77,188.9,1
2010-8-24,190.66,198.9,190.66,198.9,0
2010-8-25,187.01,187.01,180.03,181.36,274
2010-8-26,188.77,188.77,179.42,179.42,12
2010-8-27,180,198.89,180,183.22,13
2010-8-30,183.22,186.91,183.22,186.91,1
2010-8-31,185.06,185.06,185,185,1
2010-9-1,181,181,181,181,150
2010-9-2,181,181,181,181,6
2010-9-3,180.02,181,180.02,181,1
2010-9-6,170.02,190.67,170.02,180,31
2010-9-7,179.63,179.63,179.63,179.63,1
2010-9-8,178.03,178.2,171.01,178.2,273
2010-9-9,177.86,183.18,177.86,183.18,3
2010-9-10,180.02,180.02,180.02,180.02,0
2010-9-13,179.64,180,175,175.75,121
2010-9-14,176,185.07,176,177.89,152
2010-9-15,176.13,176.13,176.12,176.12,7
2010-9-16,174.38,174.38,155,168.8,237
2010-9-20,174.38,174.38,168.81,173,0
2010-9-21,169.01,172.95,169.01,172.95,9
2010-9-22,173,175.88,173,175.88,4
2010-9-24,175,176.04,175,175,4
2010-9-28,174,174,155,165,63
2010-9-29,169.96,169.96,169.93,169.93,9
2010-9-30,169.98,174.38,169.98,174.38,41
2010-10-1,172.66,173,165,169,87
2010-10-4,172.6,172.6,172.6,172.6,0
2010-10-5,169,169,167,167,586
2010-10-6,165.4,165.4,160.02,160.02,8
2010-10-7,160.1,160.1,159.99,160.01,60
2010-10-11,160.77,161.9,158.02,161.9,30
2010-10-12,164,164,160.08,160.08,3
2010-10-13,163.99,165,163.99,165,19
2010-10-14,164,164,150.5,161.05,40
2010-10-15,165.79,169,159.56,169,3276
2010-10-18,167,167,167,167,8
2010-10-19,169,170,167,167,81
2010-10-21,169.98,170,167,169,2357
2010-10-22,169,170,169,170,300
2010-10-25,173,173,173,173,0
2010-10-26,174.38,177.9,172.66,174.41,552
2010-10-27,174,176.15,167,176.15,481
2010-10-28,177.76,180,177,177,6
2010-10-29,179.7,183.99,177.93,179.9,15
2010-11-1,178.31,181,177,180,563
2010-11-2,180.95,185.82,180.95,182.5,86
2010-11-3,183,187.01,183,186,5571
2010-11-8,188,199.99,188,194.94,124
2010-11-9,194.94,194.95,187.13,194.95,13
2010-11-10,194.94,194.94,188,193.89,12
2010-11-11,193,194.94,188.02,188.03,60
2010-11-12,187,199.45,187,199.43,350
2010-11-13,199,199.71,188.32,197.13,64
2010-11-15,204.99,205,199.85,205,202
2010-11-16,210,210,195.32,205,159
2010-11-17,200.73,209.99,200.5,205.27,126
2010-11-18,203.06,219,197.79,217,307
2010-11-19,216.42,224.46,207.29,213.1,62
2010-11-22,214.26,218.45,208.03,212.16,43
2010-11-23,210.07,210.07,202.01,207,125
2010-11-24,210.07,215.99,210,214.17,243
2010-11-25,214.74,214.75,212.15,212.19,343
2010-11-26,214.32,214.75,208,212.19,740
2010-11-29,210.05,212.2,209,210,167
