Date,Open,High,Low,Close,Volume
2008-9-23,0.207,0.207,0.207,0.207,0
2008-9-30,0.207,0.207,0.207,0.207,0
2008-10-2,0.207,0.207,0.207,0.207,0
2008-11-5,0.207,0.207,0.207,0.207,0
2008-12-8,0.207,0.207,0.207,0.207,0
2008-12-15,0.23,0.23,0.23,0.23,0
2008-12-16,0.25,0.25,0.15,0.15,0
2008-12-17,0.25,0.25,0.12,0.12,2
2008-12-18,0.184,0.19,0.11,0.11,1
2008-12-19,0.13,0.13,0.0661,0.13,1
2008-12-22,0.1615,0.1615,0.1615,0.1615,0
2008-12-23,0.1599,0.1599,0.1599,0.1599,0
2008-12-24,0.1599,0.16,0.0959,0.16,0
2008-12-25,0.1817,0.1817,0.1817,0.1817,0
2009-1-16,0.109,0.1362,0.109,0.1362,2
2009-1-20,0.13,0.13,0.13,0.13,0
2009-1-22,0.078,0.078,0.078,0.078,0
2009-1-23,0.0468,0.0888,0.0468,0.0888,4
2009-1-26,0.0588,0.0588,0.0534,0.0534,1
2009-1-27,0.0733,0.0733,0.0733,0.0733,0
2009-1-28,0.044,0.044,0.044,0.044,0
2009-1-29,0.055,0.0616,0.055,0.0616,1
2009-1-30,0.0405,0.0405,0.0405,0.0405,0
2009-2-2,0.0566,0.0566,0.0566,0.0566,0
2009-2-3,0.0729,0.0729,0.0729,0.0729,0
2009-2-4,0.1021,0.1021,0.1021,0.1021,0
2009-2-5,0.1429,0.1429,0.1429,0.1429,0
2009-2-6,0.2001,0.2001,0.2001,0.2001,1
2009-2-9,0.2801,0.2801,0.2801,0.2801,1
2009-2-10,0.39,0.39,0.39,0.39,0
2009-2-11,0.5459,0.5459,0.5459,0.5459,0
2009-2-13,0.4093,0.4093,0.3275,0.3275,11
2009-2-17,0.205,0.2696,0.1965,0.2,2
2009-2-20,0.1206,0.2813,0.1205,0.207,81
2009-3-2,0.1244,0.205,0.1244,0.205,0
2009-3-4,0.2057,0.2058,0.1511,0.1511,2
2009-3-19,0.228,0.228,0.2249,0.2249,0
2009-3-20,0.1712,0.1712,0.1699,0.1699,1
2009-3-26,0.1352,0.2126,0.1352,0.2126,1
2009-4-2,0.1405,0.1405,0.1405,0.1405,0
2009-4-3,0.1454,0.1454,0.14,0.14,4
2009-4-6,0.1729,0.1729,0.1729,0.1729,0
2009-4-7,0.1996,0.1996,0.143,0.143,1
2009-4-8,0.1806,0.1806,0.1243,0.1548,8
2009-4-9,0.1541,0.16,0.129,0.16,27
2009-4-10,0.165,0.165,0.1332,0.1638,0
2009-4-13,0.155,0.165,0.1323,0.1638,1
2009-4-14,0.167,0.167,0.1402,0.1402,11
2009-4-15,0.165,0.165,0.138,0.138,30
2009-4-17,0.1371,0.1371,0.137,0.137,0
2009-4-20,0.1251,0.1389,0.1251,0.13,0
2009-4-21,0.1398,0.1398,0.1398,0.1398,0
2009-4-22,0.1252,0.1401,0.121,0.1401,4
2009-4-23,0.1385,0.1403,0.1379,0.1403,2
2009-4-24,0.13,0.1415,0.1241,0.1415,0
2009-4-27,0.1414,0.1414,0.1414,0.1414,0
2009-4-28,0.13,0.13,0.1127,0.1127,0
2009-4-29,0.1373,0.1373,0.1373,0.1373,0
2009-4-30,0.1372,0.1372,0.12,0.12,0
2009-5-4,0.12,0.1475,0.12,0.1475,1
2009-5-5,0.1473,0.1475,0.1473,0.1475,0
2009-5-6,0.1471,0.1473,0.1471,0.1472,0
2009-5-7,0.1473,0.1473,0.1473,0.1473,0
2009-5-8,0.1479,0.1485,0.1479,0.1485,0
2009-5-12,0.1351,0.1351,0.13,0.13,0
2009-5-13,0.1302,0.1302,0.125,0.125,10
2009-5-15,0.14,0.1409,0.14,0.1409,0
2009-5-18,0.1283,0.14,0.128,0.14,12
2009-5-19,0.14,0.14,0.14,0.14,0
2009-5-20,0.1399,0.14,0.1399,0.14,2
2009-5-21,0.1254,0.14,0.125,0.14,5
2009-5-22,0.1413,0.1413,0.1389,0.141,1
2009-5-25,0.1261,0.1398,0.125,0.1388,6
2009-5-26,0.127,0.1394,0.125,0.1388,3
2009-5-27,0.125,0.1388,0.125,0.1388,0
2009-5-28,0.1394,0.1394,0.1202,0.125,71
2009-5-29,0.125,0.1251,0.125,0.125,11
2009-6-2,0.1252,0.1252,0.125,0.125,0
2009-6-4,0.1201,0.1201,0.115,0.1182,0
2009-6-10,0.1326,0.133,0.1326,0.133,1
2009-6-18,0.1252,0.1252,0.1251,0.1251,1
2009-6-23,0.1151,0.1151,0.115,0.115,0
2009-6-24,0.1144,0.1144,0.0999,0.1119,3
2009-6-25,0.1175,0.1175,0.1175,0.1175,0
2009-6-26,0.1102,0.1198,0.1102,0.1198,10
2009-6-29,0.1051,0.1102,0.105,0.1102,1
2009-6-30,0.1011,0.1011,0.1011,0.1011,0
2009-7-1,0.1159,0.117,0.1159,0.117,1
2009-7-6,0.1056,0.1056,0.1056,0.1056,0
2009-7-7,0.1051,0.1149,0.1,0.1149,8
2009-7-29,0.0951,0.1061,0.084,0.0866,10
2009-7-31,0.1,0.1,0.1,0.1,0
2009-8-3,0.1149,0.1199,0.1149,0.1199,12
2009-8-4,0.0913,0.114,0.0913,0.114,0
2009-8-10,0.097,0.1,0.0902,0.0902,1
2009-8-11,0.1289,0.13,0.1169,0.117,0
2009-8-12,0.1147,0.1147,0.0939,0.1139,0
2009-8-13,0.0957,0.117,0.0957,0.117,1
2009-8-14,0.0965,0.1169,0.0963,0.1168,1
2009-8-17,0.117,0.117,0.117,0.117,0
2009-8-21,0.095,0.135,0.095,0.135,14
2009-8-24,0.1355,0.1355,0.1151,0.13,1
