Date,Open,High,Low,Close,Volume
2012-10-29,50.95,51,50.95,51,33
2012-10-31,50.95,51.13,50.95,51.13,150
2012-11-23,51.04,51.05,51.04,51.05,10
2012-12-27,51.03,51.03,51,51,10
2013-2-13,40.03,40.03,40.03,40.03,10
2013-2-26,24.02,55.999,24.02,55.999,2
2013-2-27,51,69.997,50.9,69.997,8
2013-2-28,51,69.998,51,69.998,10
2013-3-5,97.997,97.997,97.997,97.997,1
2013-3-7,137.195,137.195,134.99,134.99,2
2013-3-11,113,188.986,110,110,5
2013-3-12,66,66,66,66,2
2013-3-22,40.01,40.01,40.01,40.01,3
2013-3-28,24.01,51.05,24.01,51,44
2013-3-29,51,51,51,51,4
2013-4-1,71.4,71.4,71.4,71.4,1
2013-4-16,51.3,51.43,51.3,51.43,37
2013-4-17,51.29,51.45,51.29,51.45,23
2013-5-29,51.2,51.2,51.15,51.15,23
2013-5-31,51.1,51.15,51,51.15,69
2013-6-26,51.1,51.1,51.1,51.1,20
2013-6-27,51.11,51.15,31,31,47
2013-6-28,51.2,51.2,51.2,51.2,15
2013-7-3,70.999,70.999,70.999,70.999,1
2013-7-12,51.09,51.15,51.09,51.15,11
2013-7-15,51.11,51.3,51.11,51.3,33
2013-7-22,69.999,69.999,42,42,2
2013-7-30,51.15,51.15,51.15,51.15,24
2013-7-31,51.04,51.04,51.04,51.04,1
2013-8-8,51.04,51.04,36.1,36.1,7
2013-8-12,51.1,51.1,51.04,51.04,21
2013-8-13,51.04,51.04,51.04,51.04,6
2013-8-14,51.04,51.04,51.04,51.04,5
2013-8-23,51.04,51.04,41.052,41.052,7
2013-8-26,51.04,51.04,36.239,51.04,49
2013-8-27,51.04,51.11,50.006,50.006,53
2013-8-28,51.04,59.999,39.352,51.04,66
2013-8-30,51.1,53,51.1,53,10
2013-9-10,51.04,51.04,51.04,51.04,80
2013-9-11,51.1,51.1,51.1,51.1,50
2013-9-12,51.01,51.01,51,51,5
2013-9-16,51.12,51.12,51.12,51.12,30
2013-9-17,51,51,51,51,1
2013-9-18,51,51,51,51,6
2013-9-19,51,51,50.3,50.3,20
2013-9-20,51,51.14,51,51.14,45
2013-9-23,50.001,50.001,50,50,11
2013-9-24,51.05,51.12,51.05,51.12,121
2013-9-30,51.11,51.11,51.11,51.11,12
2013-10-1,53,53,53,53,1
2013-10-14,51.07,51.07,51.07,51.07,2
2013-10-15,51.04,51.04,51.04,51.04,2
2013-10-21,51.04,51.04,51.04,51.04,70
