Date,Open,High,Low,Close,Volume
2005-9-16,9.3,9.3,9.3,9.3,1
2005-9-21,9,9,9,9,5
2005-9-30,8.8,8.8,8.8,8.8,1
2005-10-10,7,7,7,7,1
2005-12-14,6.5,6.5,6,6,15
2005-12-22,8.5,8.5,8.5,8.5,1
2005-12-27,6,6,6,6,10
2006-1-17,3,3,2.97,3,201
2006-1-18,4.22,4.22,3,3,5
2006-1-19,2.71,3.25,2.71,3.25,4
2006-1-20,2.3,3.05,2.3,3.05,5
2006-1-24,2.3,2.95,2.3,2.95,9
2006-1-25,1.94,2.9,1.94,2.9,7
2006-1-26,2.4,2.98,2.4,2.9,4
2006-1-27,3.33,3.33,2.3,2.75,21
2006-1-30,3,3,2.1,2.1,4
2006-2-1,2.08,2.45,2.08,2.45,7
2006-2-2,2.5,2.5,2,2.35,19
2006-2-3,2.73,2.85,2.73,2.85,2
2006-2-7,2.2,2.7,2.2,2.57,17
2006-2-8,2.75,2.75,2.75,2.75,1
2006-2-14,2.84,2.84,2.84,2.84,50
2006-2-16,2.98,2.98,2.98,2.98,1
2006-2-17,2.9,3.1,2.3,2.86,1292
2006-2-20,2.98,3.33,2.9,3,485
2006-2-21,3.33,4.95,2.7,4.95,5859
2006-2-22,4.79,4.8,3.7,3.82,1063
2006-2-26,3.7,3.96,3.54,3.56,1060
2006-2-27,3.08,3.8,3.08,3.64,97
2006-2-28,3.5,3.6,3.3,3.38,165
2006-3-1,3.7,3.7,3.35,3.35,23
2006-3-2,3.3,3.85,3.3,3.3,61
2006-3-3,3.5,3.87,3.22,3.8,538
2006-3-6,4.1,4.1,3.5,3.53,202
2006-3-9,3.5,3.5,3.4,3.4,41
2006-3-14,3.4,3.65,3.4,3.4,33
2006-3-15,3.5,3.5,3.5,3.5,30
2006-3-16,3.55,3.61,3.5,3.5,125
2006-3-17,3.5,3.85,3.5,3.5,33
2006-3-21,4.1,5.5,3.76,5,1135
2006-3-22,5.39,5.39,3.7,4,53
2006-3-23,5.29,5.29,4.5,4.5,37
2006-3-24,4.1,4.1,4.1,4.1,5
2006-3-27,3.95,3.95,3.75,3.75,10
2006-3-29,3.94,3.94,3.84,3.84,5
2006-3-31,5,5,4.2,4.95,711
2006-4-3,4.3,5.2,4.3,4.8,107
2006-4-4,5.2,6.3,5.08,6.3,1451
2006-4-5,6.3,6.3,6.25,6.25,45
2006-4-6,5.5,5.5,5.5,5.5,10
2006-4-7,6.3,6.3,6.3,6.3,10
2006-4-10,6.45,6.45,6.1,6.1,105
2006-4-11,5.7,5.7,5.3,5.3,35
2006-4-12,5.5,5.5,5,5,160
2006-4-14,5,5,5,5,100
2006-4-19,5,5,5,5,50
2006-4-20,4.84,7.95,4.84,7.95,2685
2006-4-21,6.9,6.9,6.5,6.5,2
2006-4-24,4.794,6.232,4.794,6.232,24
2006-4-25,5.555,5.93,5.555,5.93,70
2006-4-26,4.737,6.7,4.737,6.7,651
2006-4-27,5.05,5.05,4.3,4.31,50
2006-4-28,4.35,4.35,4.31,4.31,35
2006-5-2,4.3,4.3,4.3,4.3,62
2006-5-11,3.9,3.91,3.9,3.9,101
2006-5-16,3.85,3.85,3.85,3.85,1204
2006-5-17,5.2,5.21,5.2,5.21,10
2006-5-18,5.211,5.215,3.7,3.7,1220
2006-5-22,3.7,3.7,3.7,3.7,50
2006-5-23,3.7,3.7,3.7,3.7,50
2006-5-29,3.85,3.85,3.56,3.57,109
2006-5-30,3.5,3.5,3.5,3.5,65
2006-5-31,3.5,3.5,3.5,3.5,11
2006-6-2,3.5,3.5,3.5,3.5,15
2006-6-6,4.5,4.5,3.5,4.5,1305
2006-6-7,4.75,4.77,3.5,3.5,219
2006-6-8,4.555,4.986,4.555,4.986,120
2006-6-9,4.95,6.75,4.4,6.75,3516
2006-6-16,4.5,4.5,4.1,4.1,40
2006-6-23,4.5,4.5,4.5,4.5,25
2006-6-28,5.9,5.9,5.9,5.9,5
2006-6-29,5.1,5.1,4.9,4.9,200
2006-6-30,5.2,5.2,5.1,5.1,200
2006-7-3,4.5,4.5,4.5,4.5,50
2006-7-4,5,5,5,5,20
2006-7-5,5.1,5.1,5.1,5.1,100
2006-8-2,4.8,4.8,4.8,4.8,150
2006-8-3,4.3,4.35,4.3,4.3,13
2006-8-9,6.55,6.75,5.1,6.75,2405
2006-8-10,7.665,7.9,5.1,7.7,2589
2006-8-29,5.5,7.5,5.5,7.5,69
2006-8-30,7.5,7.5,7.5,7.5,2
2006-8-31,5.5,7.45,5.5,7.45,32
2006-9-13,5.9,6.7,5.9,6.7,148
2006-9-15,5.8,5.95,5.8,5.95,35
2006-9-18,6,6,5.5,5.5,36
2006-10-2,5.5,5.7,5,5.5,107
2006-10-3,5.02,5.02,5.02,5.02,1
2006-10-19,5.1,5.5,5.1,5.5,220
