Date,Open,High,Low,Close,Volume
2006-6-28,33.01,33.899,33.01,33.33,2
2006-6-29,33.003,33.98,32.701,33.98,25
2006-6-30,32.6,37.8,32.6,37.8,6
2006-7-3,35,35.98,34,34.053,19
2006-7-4,33.852,34.39,33.81,34.25,4
2006-7-5,34,34.3,33.5,33.5,19
2006-7-6,33.898,34.248,33.8,33.8,1
2006-7-7,33.658,34.196,33.658,34,2
2006-7-10,34,34.055,34,34,1
2006-7-11,33.6,34.144,33.6,33.622,1
2006-7-12,34,34.048,33.15,33.603,3
2006-7-13,34.009,34.22,33,33,5
2006-7-14,32.67,32.888,30.51,31.6,2
2006-7-17,33,33.737,31.522,32.6,7
2006-7-18,32.9,32.9,32,32.8,5
2006-7-19,33.29,35.4,32.6,33,4
2006-7-20,32.71,32.71,32.6,32.6,0
2006-7-21,33.48,33.99,32.41,32.554,1
2006-7-24,33,34.3,32.4,33,24
2006-7-25,33,33.2,32.5,32.5,4
2006-7-26,32.99,32.99,32.4,32.8,9
2006-7-27,32.96,34.8,32.65,34,43
2006-7-28,33.015,35.23,33.015,34.5,47
2006-7-31,34.6,35,34.25,34.895,9
2006-8-1,34.9,35.893,34.502,35.398,17
2006-8-2,35.5,37.298,35.5,36.45,24
2006-8-3,36.2,36.7,34.7,35.06,14
2006-8-4,35.1,36,34.56,35.945,4
2006-8-7,36.397,36.5,35.4,36.19,4
2006-8-8,36.4,37.2,35.051,35.051,16
2006-8-9,35.89,36,35.259,35.697,15
2006-8-10,35.85,35.85,33.002,35.3,25
2006-8-11,34.802,35.996,34.802,35.85,5
2006-8-14,35,35.6,35,35.302,18
2006-8-15,35.01,36.15,35.01,36.111,9
2006-8-16,36.397,36.65,36,36.2,13
2006-8-17,36.4,36.498,35.75,36.25,12
2006-8-18,36.393,36.399,34.601,35.7,9
2006-8-21,34.605,35.799,34.605,35.41,2
2006-8-22,35.5,36.11,35.3,35.78,2
2006-8-23,35.737,35.89,35.227,35.78,0
2006-8-24,35.01,36.1,34.8,36,7
2006-8-25,35.6,35.8,35.252,35.8,0
2006-8-28,35.66,35.66,34.8,35.05,9
2006-8-29,35.1,35.49,35,35.295,3
2006-8-30,34.95,35.34,34.612,34.801,4
2006-8-31,34.725,35.34,34.65,34.949,4
2006-9-1,34.517,34.523,33.3,34,9
2006-9-4,34.022,34.692,33.501,33.949,3
2006-9-5,33.8,34.268,33.8,34.001,1
2006-9-6,34,34.195,33.75,33.762,3
2006-9-7,33.601,33.601,33.001,33.201,2
2006-9-8,33.2,33.5,33,33.5,1
2006-9-11,33.002,33.003,31.733,32.32,10
2006-9-12,32.89,34.28,32.25,33.998,54
2006-9-13,34.01,35,33.75,34.99,14
2006-9-14,35,35.12,34.252,34.9,3
2006-9-15,34.9,35,34.3,34.79,4
2006-9-18,34.985,35.72,34.97,35.7,9
2006-9-19,35.61,38.49,35.61,37.45,8
2006-9-20,37.4,37.948,36.502,37.4,17
2006-9-21,37.5,38.3,37.3,38,9
2006-9-22,38.5,38.5,36,36.75,12
2006-9-25,36.6,36.6,34.2,34.99,7
2006-9-26,35.485,36.499,35,35.67,3
2006-9-27,35.425,36.25,35.011,36.09,9
2006-9-28,36.1,36.36,35.8,36.05,12
2006-9-29,36.006,36.09,35.5,35.8,3
2006-10-2,36.37,36.5,35.851,35.9,2
2006-10-3,35.9,36.17,34.764,35.71,8
2006-10-4,35.9,36.3,35.4,36.099,8
2006-10-5,36.47,37.26,36.1,37.2,3
2006-10-6,37.28,37.3,36.504,37.2,5
2006-10-9,37.47,40,37.22,40,37
2006-10-10,40.06,40.9,39.6,40,23
2006-10-11,40.02,40.4,39.9,40.05,8
2006-10-12,39.9,41,39.9,40.5,3
2006-10-13,40.905,44,40.2,42.75,13
2006-10-16,43.79,43.79,41.5,42.5,10
2006-10-17,42.7,43.15,42.1,42.75,3
2006-10-18,43.147,43.147,41.89,42.49,3
2006-10-19,42.1,43.5,41.11,43.5,51
2006-10-20,41.307,43.6,41.307,43.47,6
2006-10-23,42.9,44.99,42.9,44.2,4
2006-10-24,44.3,44.5,43.55,43.55,2
2006-10-25,43.75,44.3,43.511,43.7,4
2006-10-26,43.6,44,43.6,43.6,3
2006-10-27,43.601,43.99,43.5,43.75,14
2006-10-30,43.3,43.36,43.1,43.15,5
2006-10-31,43.545,43.545,42.85,42.85,4
2006-11-1,43.399,43.88,43.399,43.693,6
2006-11-2,43.89,44,43.4,43.6,10
2006-11-3,44.15,45,43.451,45,22
2006-11-7,45.49,46.299,44.9,46.2,12
2006-11-8,46.489,46.489,45.55,45.955,2
2006-11-9,46.459,46.46,45.505,46.289,2
2006-11-10,46.23,47.1,45.53,46.995,6
2006-11-13,47.247,47.47,46.95,47.38,7
2006-11-14,47.497,47.99,47,47.98,7
2006-11-15,48,48.39,47.8,48.299,13
2006-11-16,48.39,48.494,47.7,48,3
2006-11-17,48.27,48.489,47.04,48.2,24
2006-11-20,48.72,48.72,48.15,48.399,1
2006-11-21,48.5,48.749,48.055,48.539,4
2006-11-22,48.54,48.54,48.2,48.45,3
2006-11-23,48.1,48.449,48.05,48.43,1
2006-11-24,48.25,48.47,48,48.37,7
2006-11-27,48.25,48.5,48,48.499,20
2006-11-28,48.47,50.89,48.25,50,17
2006-11-29,50,50,49.2,49.507,4
2006-11-30,50,50,49.03,49.888,8
2006-12-1,49.995,49.995,49,49,7
2006-12-4,49.774,50.49,49,50.4,14
2006-12-5,50.5,50.5,50,50,3
2006-12-6,50.47,50.49,50,50.4,0
2006-12-7,50.45,50.45,50,50,11
2006-12-8,50.245,50.29,49,50.055,9
2006-12-11,50,50,49.15,49.65,4
2006-12-12,49.11,49.98,48.5,49.5,8
2006-12-13,49.97,49.97,49,49.73,17
2006-12-14,49.6,49.89,49.45,49.5,2
2006-12-15,49.8,49.99,49.5,49.76,5
2006-12-18,49.94,49.94,48.7,49.558,3
2006-12-19,49.87,49.87,49.5,49.5,4
2006-12-20,49.49,50.3,49.49,50,15
2006-12-21,50.24,51,47,49.85,4
2006-12-22,50.275,50.33,49.75,49.75,1
2006-12-25,50.02,50.147,49.6,49.77,3
2006-12-26,50.03,50.147,49,49.99,2
2006-12-27,49.751,50.2,49,49.77,3
2006-12-28,50.4,50.9,49.9,50.5,7
2006-12-29,50.9,51,50.2,51,15
2007-1-9,50,50,49.116,49.5,2
2007-1-10,49.59,50,49.3,50,6
2007-1-11,50,50,49.5,50,1
2007-1-12,49.5,50,49.5,49.77,1
2007-1-15,49.75,51,49.75,50.74,7
2007-1-16,51.2,51.2,50.1,50.85,14
2007-1-17,50.7,51.71,50,51.71,7
2007-1-18,52.2,53,51.5,52.34,51
2007-1-19,51.01,51.994,50.6,51.745,18
2007-1-22,51.2,51.99,51.1,51.8,10
2007-1-23,51.97,53.5,51.6,53.4,30
2007-1-24,53.499,54,52.25,52.75,11
2007-1-25,53.44,53.44,52.21,52.3,3
2007-1-26,52.8,53.24,52.5,52.52,7
2007-1-29,52.52,52.52,50.5,51.01,2
2007-1-30,50,50.797,49.02,49.8,7
2007-1-31,49.805,52.4,49.805,50.5,8
2007-2-1,51.99,51.99,50.5,50.801,1
2007-2-2,51.897,51.897,49.85,50.501,0
2007-2-5,51.37,51.7,50.8,51.7,6
2007-2-6,51.9,52.67,50.1,52,10
2007-2-7,52.67,52.67,51.5,52.4,8
2007-2-8,52,52.87,51.01,52,11
2007-2-9,52.78,56,52.45,54.884,31
2007-2-12,55,55.999,53,54.19,32
2007-2-13,56.5,56.785,54.1,56.548,13
2007-2-14,58.5,58.5,56.05,56.97,5
2007-2-15,57.897,57.997,56.051,56.897,3
2007-2-16,56.98,58.4,56,58,14
2007-2-19,57.97,59.5,57.97,59.5,16
2007-2-20,58.5,61.4,58.5,60.915,38
2007-2-21,61.39,61.9,58.7,61.749,9
2007-2-22,62.5,62.5,60.5,61.8,10
2007-2-26,62.75,62.75,59.5,61,8
2007-2-27,62.385,62.385,59.5,61,17
2007-2-28,59.5,61,57.5,59.5,45
2007-3-1,60.2,60.2,54,55.55,15
2007-3-2,55.98,58.5,55.45,56.25,22
2007-3-5,56,58.99,52.02,58.5,78
2007-3-6,60,60.1,58,59,4
2007-3-7,60.5,60.5,55.001,60.1,10
2007-3-9,60.5,60.6,60,60.48,7
2007-3-12,61.5,61.5,59.999,60.89,20
2007-3-13,60.99,61,60,60.894,3
2007-3-14,59.51,60.69,59,60.11,17
2007-3-15,60.5,60.89,59.75,59.75,12
2007-3-16,59.812,60.87,59.81,60.1,4
2007-3-19,60.65,61,60,60,4
2007-3-20,60.011,60.75,60.011,60.04,8
2007-3-21,60.69,60.69,60.01,60.5,4
2007-3-22,60.5,60.888,60,60.202,5
2007-3-23,60.21,61.2,60.1,60.51,13
2007-3-26,60.3,60.699,60.05,60.31,4
2007-3-27,60.75,60.75,60.3,60.6,4
2007-3-28,60.7,60.79,60,60.21,4
2007-3-29,60.75,61,60,60.601,12
2007-3-30,60.6,65,60.6,63.5,65
2007-4-2,63.5,65.6,63.5,65.4,8
2007-4-3,65.6,65.8,65,65.4,9
2007-4-4,65.481,66.6,65.481,66.55,5
2007-4-5,68,68,66.5,66.8,3
2007-4-6,68.4,68.4,66,66.011,1
2007-4-9,67,67,63.6,67,14
2007-4-10,66.85,67.3,66.25,66.65,1
2007-4-11,67.29,67.9,66.9,67,3
2007-4-12,67.148,69.979,67.148,69.451,15
2007-4-13,69.9,71,69.45,70,7
2007-4-16,67.625,71,67.25,70.1,6
2007-4-17,70.12,70.8,69.5,70.8,11
2007-4-18,71.2,71.2,70,70.99,4
2007-4-19,69.502,70.85,69.5,70.6,18
2007-4-20,69.75,71,69.75,70.98,1
2007-4-23,71.005,71.005,69.5,69.7,12
2007-4-24,70.54,70.7,69.501,69.51,5
2007-4-25,69.999,70,68.5,69.49,6
2007-4-26,70,70.5,69.5,70.489,14
2007-4-27,70.5,70.5,70,70.4,3
2007-4-28,69.8,74.9,69.8,74.9,6
2007-5-2,72.95,74.9,70.673,73.9,3
2007-5-3,73.3,73.85,71.98,73.85,3
2007-5-4,73.8,79,73,79,6
2007-5-7,79,79,75.117,76.01,3
2007-5-8,77,79,77,77.99,1
2007-5-10,79.98,79.98,76.56,76.56,1
2007-5-11,76.5,76.7,73.752,73.752,2
2007-5-14,74.86,77.43,74.86,77.3,15
2007-5-15,77,78,76.5,77.9,15
2007-5-16,78.499,79,77.3,78,7
2007-5-17,78.95,79.99,78,78.7,13
2007-5-18,78,79.68,78,79.4,22
2007-5-21,79.4,80.5,79,79.75,4
2007-5-22,79.75,80.78,79.75,80.7,8
2007-5-23,83.368,83.368,81.2,82.3,12
2007-5-24,82,82.62,79.117,81.751,18
2007-5-25,81,81.97,80.751,80.803,3
2007-5-28,80.803,82.5,80.803,81.5,3
2007-5-29,80.75,82,80.7,81.8,13
2007-5-30,81,81.5,80.25,80.57,5
2007-5-31,81,82.99,80.57,82,3
2007-6-1,82.1,83.4,82,83,20
2007-6-4,83,83.48,82.501,83,3
2007-6-5,83,84.79,83,84.79,8
2007-6-6,84.75,93.5,84.75,90.7,22
2007-6-7,90.8,99.5,90.8,99.49,31
2007-6-8,99.695,103.9,98,103.9,30
2007-6-9,104,137.99,103.99,115.612,113
2007-6-13,116.065,117,101.02,116.999,70
2007-6-14,116,124.76,115,121.8,22
2007-6-15,124.7,125,112,113,18
2007-6-18,113,113,105.216,109.1,38
2007-6-19,109.1,109.1,100.6,102.5,33
2007-6-20,101,104.55,101,104,12
2007-6-21,104,105.9,97.2,100,39
2007-6-22,99.7,108.7,97.621,106.9,44
2007-6-25,106.645,121,104.109,116.576,75
2007-6-26,118,120,110.001,112.397,50
2007-6-27,112,114,109.588,110.001,16
2007-6-28,111,113.98,105.1,109.403,16
2007-6-29,111,112.001,107.021,109.67,7
2007-7-2,109.5,109.5,107,107.99,8
2007-7-3,107.99,111.5,106.202,111,15
2007-7-4,111.98,112.488,108,111,14
2007-7-5,112,112,109,109.201,19
2007-7-6,109.011,110.249,109.001,109.98,8
2007-7-9,108.5,109.992,108.5,109.2,2
2007-7-10,110,125,108.511,115.197,101
2007-7-11,114.26,118,114,116.12,9
2007-7-12,119.023,119.023,115.005,115.9,8
2007-7-13,116.5,120.2,115.102,118.5,13
2007-7-16,119,119.98,118,118,4
2007-7-17,118,118.97,116.354,117.9,4
2007-7-18,117,122,108.001,122,7
2007-7-19,120.85,120.85,117.56,119.45,5
2007-7-20,118.98,120.777,118.45,120,3
2007-7-23,119.99,120,117.51,118.995,65
2007-7-24,119.488,119.797,117.001,117.264,5
2007-7-25,115.1,118.3,112.1,115.5,6
2007-7-26,114,116.89,113.112,114.51,3
2007-7-27,115,115,112.011,113,2
2007-7-30,114.85,116.9,113,116,2
2007-7-31,116,116.5,114.5,115,9
2007-8-1,115.499,117,113,116.5,7
2007-8-2,116.5,117.999,114.751,117.299,5
2007-8-3,118,119.8,117.901,119.7,4
2007-8-6,118.45,119.49,117,118,1
2007-8-7,117.999,118.999,117.1,118.999,1
2007-8-8,118.888,118.888,116.5,117,10
2007-8-9,117.2,117.46,116,117.449,2
2007-8-10,116,118,115.62,116,5
2007-8-13,116.5,117,116,116.5,5
2007-8-14,116.25,116.5,115,116,1
