Date,Open,High,Low,Close,Volume
2009-11-13,1500,2950,1300,1300,19
2010-1-19,1400,1400,1400,1400,1
2010-1-20,1449,1449,1449,1449,1
2010-1-25,1449,1450,1449,1450,2
2010-1-27,1501,1501,1501,1501,1
2010-1-28,1650,1650,1650,1650,1
2010-2-2,1750,1750,1750,1750,1
2010-2-3,1750,1750,1750,1750,49
2010-2-4,1750,1750,1750,1750,1
2010-2-5,1743,1748,1743,1748,47
2010-2-8,1900,1900,1900,1900,1
2010-2-9,1660,1800,1650,1800,40
2010-2-10,1800,1940,1750,1820,585
2010-2-11,1800,1800,1780,1780,506
2010-2-12,1700,1750,1700,1750,13
2010-2-15,1660.01,1660.01,1650,1650,39
2010-2-16,1660,1739.99,1650,1718,561
2010-2-17,1724.99,1740,1724.97,1739,269
2010-2-18,1710,1720,1710,1720,475
2010-2-19,1650,1735,1650,1735,327
2010-2-24,1660,1675,1620,1650,14
2010-2-25,1720,1733,1610,1650,390
2010-2-26,1664.99,1780,1650,1650,321
2010-2-27,1699.93,1699.93,1699.93,1699.93,1
2010-3-1,1729.95,1729.95,1729.95,1729.95,3
2010-3-3,1670.01,1720,1670.01,1680,18
2010-3-4,1749.99,1750,1700.01,1711,77
2010-3-5,1776.99,1950,1760,1882.99,353
2010-3-9,1849.93,1849.94,1760,1760,43
2010-3-10,1790,1790,1770.01,1770.01,2
2010-3-11,1775.04,1800,1739.99,1740,99
2010-3-12,1740,1740,1700,1700,250
2010-3-15,1725,1725,1701,1725,53
2010-3-16,1725,1839,1650,1838.98,384
2010-3-17,1750,1800,1750,1774.99,65
2010-3-18,1750.01,1750.01,1740,1740,16
2010-3-22,1748,1748,1748,1748,2
2010-3-23,1717,1717,1699.99,1700,229
2010-3-26,1620.01,1630,1620,1630,17
2010-3-29,1709.34,1728,1709.34,1728,45
2010-3-30,1700,1728,1700,1711,220
2010-4-1,1700,1700,1700,1700,37
2010-4-2,1720,1720,1690,1720,141
2010-4-5,1708,1709,1708,1709,10
2010-4-7,1664.01,1665.01,1660,1665,30
