Date,Open,High,Low,Close,Volume
2009-2-6,60000,60000,60000,60000,1
2009-2-9,36000,36000,36000,36000,14
2009-2-10,25680,25680,25680,25680,10
2009-3-24,25680,28990,25680,28990,21
2009-4-15,20000,24950,18050,19950,90
2009-4-16,20000,24900,16100,19970,124
2009-4-27,24000,26000,18600,20800,53
2009-5-12,18350,22900,18350,22900,117
2009-5-15,17100,21300,17100,21290,56
2009-5-22,17300,22900,17300,22900,98
2009-5-29,22000,22000,22000,22000,1
2009-6-1,22000,22000,22000,22000,1
2009-6-3,23000,25000,20100,24990,63
2009-6-10,22000,22000,20000.01,22000,44
2009-6-15,20000,20000,20000,20000,20
2009-6-22,27000,27000,27000,27000,3
2009-6-25,21100,26000,21100,26000,58
2009-7-2,26999.99,26999.99,26999.99,26999.99,10
2009-7-22,27000,27000,27000,27000,10
2009-7-24,28000,28000,28000,28000,2
2009-7-27,29000,29000,29000,29000,6
2009-7-29,26050,28500,24500,28500,18
2009-7-31,30000,30000,27000,29999,7
2009-8-3,30000,30000,30000,30000,6
2009-8-4,37500,37500,31500,36000,15
2009-8-5,34500,34900,30500,34900,6
2009-8-7,31100,35000,31100,34900,29
2009-8-11,35000,35000,32000,34000,23
2009-8-12,34999,34999,34999,34999,1
2009-8-13,33100,38000,33100,36500,27
2009-8-14,33100,38000,33100,37499,6
2009-8-17,36000,36000,36000,36000,2
2009-8-18,37000,37000,37000,37000,2
2009-8-19,37600,39000,37600,38500,63
2009-8-20,38000,39000,38000,39000,43
2009-8-24,38555,39988,38555,39988,36
2009-8-25,39999,39999,39999,39999,1
2009-8-27,39500,39500,39000,39000,6
2009-8-28,39999,39999,38000,38000,2
2009-9-3,38100,38100,38100,38100,1
2009-9-4,38000,38000,38000,38000,1
2009-9-7,37005,37005,37005,37005,1
2009-9-8,37015,37015,37015,37015,1
2009-9-9,37035,37035,37015,37015,3
2009-9-10,37035,37035,37035,37035,2
2009-9-15,36490,38000,36490,38000,4
2009-9-18,39000,39000,39000,39000,5
2009-9-23,39000,39000,39000,39000,7
2009-9-24,36120,36120,36120,36120,1
2009-9-25,37002,37002,37002,37002,1
2009-9-28,38500,39000,38500,38600,20
2009-9-29,38520,38999.97,38501,38999.97,10
2009-9-30,39900,41000,35001,35001,372
2009-10-1,39555,39900,39555,39900,4
2009-10-2,37000,38750,36100,36100,16
2009-10-5,38500,38650,38500,38650,2
2009-10-7,38999,38999,38900,38900,23
2009-10-8,38000,40000,38000,40000,51
2009-10-9,40499.97,41666,40099.97,41666,53
2009-10-12,41000,41000,40005,40999,9
2009-10-16,40000.01,40700,40000,40700,20
2009-10-19,40222,40250,40000.01,40000.01,12
2009-10-20,40700,41000,40500,41000,12
2009-10-21,41000,41000,41000,41000,1
2009-10-22,41000,41700,41000,41700,2
2009-10-23,41222,41500,40700,41500,33
2009-10-26,41700,41700,41700,41700,1
2009-10-27,41700,44700.01,41700,41700,8
2009-10-28,41500,41500,40000,41000,14
2009-10-29,41000,42000,41000,42000,3
2009-10-30,41000,42800,41000,41500,50
2009-11-2,41500,41500,41500,41500,10
2009-11-3,41000,41000,41000,41000,10
2009-11-5,42000,43000,42000,43000,62
2009-11-9,44000,44000,44000,44000,1
2009-11-10,43500,43500,43000,43000,4
2009-11-11,43500,43500,43500,43500,2
2009-11-12,45800,45800,45000,45000,27
2009-11-13,47000,47000,47000,47000,14
2009-11-20,44000.01,47000,44000.01,47000,4
2009-11-27,44000,47001,43000,47001,5
2009-11-30,47000,47000,47000,47000,1
2009-12-3,47000,47000,47000,47000,2
2009-12-8,47000,47000,47000,47000,1
2009-12-9,47000,47000,47000,47000,1
2009-12-10,47000,47000,47000,47000,2
2009-12-11,43102,43102,43102,43102,2
2009-12-16,46000,46000,46000,46000,2
2009-12-18,46000,46000,46000,46000,1
2009-12-30,50000,56999.99,43300.01,48000,107
2009-12-31,50000,50000,43501,45500,107
2010-1-11,46500,46500,46500,46500,6
2010-1-12,46500,46500,46500,46500,4
2010-1-13,46500,46500,46500,46500,8
2010-1-14,46500,46500,46500,46500,50
2010-1-15,46500,49000,46500,49000,12
2010-1-18,49000,49700,47500,47500,22
2010-1-19,47500,56500,47500,56500,229
2010-1-20,57000,58500,56000,58100,98
2010-1-21,58100,58250,57200,57200.01,30
2010-1-22,56500,57200.01,55500,56000,71
2010-1-25,56750,57600,56750,57600,52
2010-1-27,57600,58250,57560,57560,3
2010-1-28,58250,58500,58250,58500,6
2010-1-29,56000.1,58450,55500,58450,24
2010-2-1,56565,58250,56565,58000,7
2010-2-2,58250,59000,58250,59000,21
2010-2-3,59000,59500.07,59000,59500,22
2010-2-4,59500,60000,56500,57497.99,44
2010-2-5,57000,57399.99,55500,57399.99,46
2010-2-9,52222.23,57191.99,52222.23,57191.99,2
2010-2-10,57500,57500,55000.01,57497,3
2010-2-11,57000,57000,51000,57000,3
2010-2-12,57300,57500,56071.34,57500,11
2010-2-15,50100,56980,50100,56980,2
2010-2-17,52100,56500,52100,55201.01,7
2010-2-19,50110,56000,50110,54036.66,4
