Date,Open,High,Low,Close,Volume
2012-1-18,5800,5800,5800,5800,1
2012-1-26,6000,6090,4305,5500,211
2012-1-31,5800,5800,5800,5800,1
2012-2-17,5555,5555,5555,5555,1
2012-2-21,5500,5500,5500,5500,2
2012-2-22,5500,5500,5500,5500,4
2012-2-24,5500,5500,5500,5500,1
2012-2-29,5500,5500,5500,5500,11
2012-3-11,4500,5050,4500,4900,13
2012-3-29,4500,4500,4500,4500,4
2012-4-4,4300,4399,4006,4399,3
2012-4-26,4600,4600,4600,4600,4
2012-4-27,4600,4600,4600,4600,1
2012-4-28,4250,4600,4250,4600,11
2012-5-2,4750,4999,4700,4900,46
2012-5-3,4700,4700,4675,4675,7
2012-5-4,4725,4725,4725,4725,10
2012-5-5,4899,5000,4899,5000,3
2012-5-14,4700,4700,4700,4700,7
2012-5-15,4700,4899,4700,4899,19
2012-5-16,4700,4700,4700,4700,7
2012-5-23,5000,5000,5000,5000,9
2012-5-31,5301,5301,5301,5301,6
2012-6-6,5300,5300,5300,5300,5
2012-6-7,5300,5300,5300,5300,5
2012-6-20,5201,5201,5201,5201,42
2012-6-26,5351,5351,5351,5351,2
2012-7-2,5500,5500,5500,5500,20
2012-7-6,5250,5251,5250,5251,4
2012-7-17,5250,5250,5250,5250,10
2012-7-19,5250,5250,5250,5250,19
2012-7-20,5250,5250,5230,5230,14
2012-7-26,5300,5300,5300,5300,10
2012-7-30,5250,5250,5250,5250,1
2012-8-6,5250,5260,5220,5260,12
2012-8-8,5300,5300,5300,5300,1
2012-8-9,5450,5600,5450,5600,44
2012-8-27,5700,5700,5700,5700,5
2012-8-29,6000,6000,6000,6000,1
2012-9-3,5600,5600,5600,5600,3
2012-9-10,6100,6300,6100,6300,8
2012-9-11,6200,6430,6200,6374,83
2012-9-12,5820,6370,5820,6350,64
2012-9-14,6300,6550,6300,6550,119
2012-9-17,6400,6560,6400,6560,23
2012-9-18,6500,6560,6001,6001,25
2012-9-19,6449,6500,6449,6500,23
2012-9-21,6448,6500,6448,6500,22
2012-9-25,6490,6490,6490,6490,2
2012-9-28,6400,6590,6400,6550,119
2012-10-1,6500,6600,6500,6600,65
2012-10-2,6550,6550,6550,6550,1
2012-10-3,6250,6250,6100,6100,16
2012-10-9,6395,6596,6350,6350,77
2012-10-10,6300,6448,6300,6448,84
2012-10-11,6350,6395,6350,6395,36
2012-10-16,6350,6400,6350,6399,30
2012-10-17,6350,6449,6350,6449,12
2012-10-18,6450,6595,6450,6450,71
2012-10-19,6450,6599,6450,6599,66
2012-10-22,5593,6584,5593,6584,30
2012-10-24,6580,6580,6580,6580,9
2012-10-30,6550,6550,6550,6550,2
2012-11-1,6550,6550,3930,5021,6
