Date,Open,High,Low,Close,Volume
2011-12-12,6800,6800,6800,6800,1
2011-12-15,5001,5001,5001,5001,1
2011-12-19,6290,6290,6290,6290,1
2011-12-22,6000,6300,5312,6000,87
2011-12-30,6150,6150,6150,6150,1
2012-1-9,6100,6150,6100,6150,2
2012-1-10,6100,6150,5600,5600,47
2012-1-11,5600,5800,5500,5800,7
2012-1-12,5500,5500,5500,5500,1
2012-1-13,6000,6200,5001,6200,63
2012-1-16,5950,6300,5950,6300,5
2012-1-17,6300,6300,6300,6300,11
2012-1-18,6300,6300,6300,6300,42
2012-1-19,6500,6500,6500,6500,2
2012-1-20,6500,7000,6300,6300,16
2012-1-26,6402,6402,6402,6402,1
2012-1-30,6020,6020,6020,6020,1
2012-1-31,6300,6300,6300,6300,1
2012-2-1,6490,6490,6490,6490,1
2012-2-6,6304,6304,6207,6207,5
2012-2-7,6400,6400,6400,6400,2
2012-2-10,6490,6490,6490,6490,1
2012-2-17,6505,6650,6505,6650,3
2012-2-20,6600,6600,6401,6401,15
2012-2-21,6950,6950,6200,6200,2
2012-2-24,6100,6100,6100,6100,2
2012-2-27,6150,6161,6150,6151,24
2012-2-28,6000,6000,5950,5950,2
2012-2-29,6000,6550,6000,6550,12
2012-3-2,6200,6200,6200,6200,3
2012-3-5,6200,6200,6160,6160,6
2012-3-6,6790,6790,6200,6200,8
2012-3-7,6150,6199,6150,6199,5
2012-3-12,5870,5870,5870,5870,8
2012-3-13,5910,5910,5910,5910,4
2012-3-14,6450,6450,5820,6000,16
2012-3-15,6200,6200,6200,6200,2
2012-3-19,5430,6598,5430,6598,8
2012-3-20,6650,6650,5832,5832,2
2012-3-21,5820,5820,5820,5820,4
2012-3-26,6390,6390,6360,6360,10
2012-3-29,5805,5805,5705,5705,11
2012-4-3,6380,6380,6380,6380,2
2012-4-4,5562,5562,5561,5561,6
2012-4-6,5500,5505,5415,5500,38
2012-4-9,5210,5400,5210,5400,53
2012-4-10,5499,5499,5499,5499,1
2012-4-13,5500,5600,5500,5600,2
2012-4-16,5800,5870,5800,5850,9
2012-4-19,5050,5350,5005,5200,19
2012-4-20,5100,5198,5100,5150,3
2012-4-23,5150,5150,5000,5100,42
2012-4-24,5005,5005,5001,5002,54
2012-4-25,5001,5001,5001,5001,1
2012-4-26,5595,5595,5000,5000,4
2012-5-2,5100,5300,5100,5300,6
2012-5-3,5500,5500,5350,5350,7
2012-5-4,5101,5101,5101,5101,1
2012-5-5,5500,5800,5500,5800,9
2012-5-7,5006,5100,5000,5100,10
2012-5-11,5150,5150,5150,5150,1
2012-5-15,5100,5100,5100,5100,6
2012-5-16,4710,4710,4710,4710,1
2012-5-17,5100,5100,5000,5000,11
2012-5-18,5099,5100,5000,5100,7
2012-5-21,4995,4995,4851,4851,3
2012-5-22,4902,4902,4902,4902,1
2012-5-23,5100,5100,5050,5050,4
2012-5-29,5050,5050,5050,5050,5
2012-5-30,5050,5050,5050,5050,2
2012-5-31,5150,5151,5150,5150,15
2012-6-1,5055,5150,5055,5150,24
2012-6-4,5150,5392,5150,5392,14
2012-6-6,5198,5200,5198,5200,8
2012-6-7,5486,5550,5486,5550,13
2012-6-8,5499,5500,5499,5500,6
2012-6-18,5553,5555,5553,5555,6
2012-6-19,5100,5300,5100,5300,2
2012-6-20,5001,5140,5000,5140,38
2012-6-28,5150,5150,5150,5150,5
2012-6-29,5285,5285,5285,5285,1
2012-7-4,5388,5388,5308,5308,4
2012-7-16,5555,5555,5555,5555,1
2012-7-18,5001,5188,5000,5188,21
2012-7-20,5015,5015,5000,5000,31
2012-7-23,5008,5388,5000,5000,7
2012-7-25,5599,5599,5400,5400,2
2012-7-27,5150,5299,5150,5299,6
2012-7-30,5102,5102,5102,5102,1
2012-8-7,5200,5300,5200,5300,37
2012-8-8,5349,5350,5349,5350,4
2012-8-9,5550,5700,5550,5600,39
2012-8-10,5555,5555,5400,5400,5
2012-8-13,5600,5600,5600,5600,1
2012-8-16,5690,5690,5690,5690,2
2012-8-17,5352,5352,5352,5352,12
2012-8-20,5680,5680,5666,5666,2
2012-8-21,5690,5695,5690,5690,15
2012-8-23,5700,5700,5600,5600,3
2012-8-29,5800,6000,5800,6000,9
2012-8-31,6000,6000,6000,6000,2
2012-9-3,6000,6000,5751,5801,49
2012-9-5,5999,6000,5800,5900,25
2012-9-6,6200,6200,6200,6200,4
2012-9-11,6250,6250,6250,6250,4
2012-9-12,6200,6200,6000,6000,5
2012-9-14,6400,6799,6400,6500,149
2012-9-17,6500,6650,6500,6550,10
2012-9-18,6008,6650,6008,6450,16
2012-9-19,6115,6115,6115,6115,4
2012-9-21,6645,6645,6645,6645,12
2012-9-24,6450,6450,6450,6450,2
