Date,Open,High,Low,Close,Volume
2011-12-9,11,11,11,11,1
2011-12-13,9,9,9,9,1
2011-12-15,10,10,10,10,1
2011-12-28,12.5,13.25,12.5,13.25,5
2012-1-5,11.75,12,11.75,11.75,8
2012-1-13,8,8,8,8,50
2012-1-16,8.088,11,8.088,11,7
2012-1-19,10.95,11,10.95,11,7
2012-1-24,10.999,10.999,9.2,9.889,387
2012-1-25,9.5,10.7,9.5,9.77,223
2012-1-31,9.024,9.024,9.024,9.024,1
2012-2-8,9.975,9.975,9.975,9.975,3
2012-2-15,10,10,10,10,5
2012-2-17,10.499,10.5,10.499,10.5,17
2012-2-20,10.5,10.5,10.5,10.5,26
2012-2-21,10.5,11,9.25,10.5,117
2012-2-24,11,12.699,11,12.4,1265
2012-2-27,11.001,11.5,11.001,11.001,23
2012-2-28,11.5,12,11,11.5,44
2012-3-1,11.25,11.25,11.25,11.25,38
2012-3-14,13,13,13,13,1
2012-3-29,11.5,11.5,11.5,11.5,2
2012-3-30,10.51,10.51,10.51,10.51,1
2012-4-3,10.502,10.502,10.5,10.5,5
2012-4-9,10,10,10,10,3
2012-4-10,10,10,10,10,4
2012-4-25,8.15,8.15,8.134,8.134,2
2012-4-26,10.5,11.388,10.5,11.388,113
2012-4-27,10.002,10.002,10,10,6
2012-5-2,9.118,9.118,9.003,9.003,2
2012-5-5,9,11.75,8.5,11.25,46
2012-5-17,11.25,11.25,11.25,11.25,4
2012-5-18,10,10.6,10,10.6,15
2012-5-21,10,10,10,10,16
2012-5-23,11.25,11.75,11.25,11.75,345
2012-5-31,11.25,11.749,11.25,11.749,172
2012-6-1,11.75,12.25,11.75,12.25,300
2012-6-4,12.5,13.2,12.5,13.2,110
2012-6-5,14.2,14.2,14.2,14.2,11
2012-6-8,14.25,14.25,14.25,14.25,5
2012-6-9,14.2,14.2,12.001,14.199,3
2012-6-21,12.03,12.1,12.03,12.1,3
2012-6-27,12.1,12.1,12.1,12.1,2
2012-6-28,12.551,12.551,12.551,12.551,1
2012-6-29,12.561,12.561,12.5,12.55,121
2012-7-2,12.735,12.748,12.54,12.54,607
2012-7-5,12.501,12.501,12.5,12.5,10
2012-7-9,12.499,12.5,12.499,12.5,5
2012-7-23,13.75,13.75,12.26,12.26,181
2012-7-24,12.45,12.5,12.45,12.5,106
2012-7-25,12.501,12.6,12.4,12.6,554
2012-8-8,12.751,12.751,12.75,12.75,61
2012-8-15,12.705,12.705,12.705,12.705,24
2012-8-22,12.7,12.7,12.5,12.5,40
2012-8-30,12.5,12.5,12.5,12.5,10
2012-9-10,12.801,12.801,12.801,12.801,330
2012-9-19,12.7,12.7,12,12,19
2012-9-25,12.7,12.7,12.7,12.7,10
2012-9-26,12.7,12.7,12.5,12.5,11
2012-9-27,12.65,12.65,12.65,12.65,1
2012-10-10,12.909,12.91,12.909,12.91,11
2012-10-12,12.949,14.209,12.8,12.8,9
2012-10-15,13.501,13.501,12.51,12.51,11
2012-10-18,12.7,12.7,12.7,12.7,1
2012-10-29,13,13,12.501,12.501,3
2012-10-31,12.5,12.5,12.5,12.5,3
2012-11-8,12.75,12.75,12.75,12.75,9
2012-11-9,13.997,14,12.751,12.751,205
2012-11-14,12.753,12.753,12.753,12.753,1
2012-11-22,13.999,13.999,12.751,12.751,2
2012-11-26,12.753,12.753,12.75,12.75,110
2012-11-27,12.75,12.75,12.75,12.75,10
2012-11-30,12.01,12.01,12.01,12.01,1
2012-12-7,12.7,12.7,12.5,12.5,11
2012-12-13,12.7,12.7,12.7,12.7,3
2012-12-24,12.35,12.35,12.35,12.35,2395
2012-12-25,12.503,12.503,12.5,12.5,100
2012-12-26,12,12,12,12,1
2012-12-28,12.001,12.001,11.8,11.8,500
2013-1-8,12,12,12,12,2
2013-1-15,11.81,12.2,11.81,12.2,1010
2013-1-23,12,12,12,12,2
2013-1-31,12.749,12.75,12.101,12.101,2403
2013-2-6,12.8,12.8,12.8,12.8,13
2013-2-26,12.7,12.7,12.7,12.7,10
2013-3-26,12.7,12.7,12.1,12.102,192
2013-3-28,11.85,11.85,11.1,11.75,110
2013-4-19,12.736,12.736,12.736,12.736,1
2013-4-23,11.99,11.99,11.99,11.99,1
2013-6-11,12,12,12,12,123
2013-7-25,11.25,11.25,11.25,11.25,1
2013-8-12,12,13.993,12,13.993,144
2013-8-13,12,12,11.8,11.8,21
2013-8-14,11.801,11.801,11.8,11.8,15
2013-8-15,11.751,11.751,11.75,11.75,10
2013-8-16,11.701,11.701,11.7,11.7,6
2013-8-21,11.501,11.501,11.5,11.5,16
2013-8-26,11.501,11.501,11.5,11.5,6
2013-8-29,11.75,11.75,11.75,11.75,10
2013-9-2,11.75,11.75,11.75,11.75,1
2013-9-3,11.8,11.8,11.8,11.8,5
2013-9-4,11.8,11.8,11.8,11.8,2
2013-9-9,11.85,11.85,11.85,11.85,5
2013-9-13,11.85,11.85,11.85,11.85,5
2013-9-17,11.86,11.86,11.86,11.86,3
2013-9-20,11.88,11.88,11.88,11.88,1
2013-9-23,11.89,11.89,11.89,11.89,10
2013-9-24,11.89,11.89,11.87,11.87,30
2013-9-25,11.989,11.989,11.89,11.89,2
2013-9-30,11.89,11.89,11.89,11.89,5
2013-10-3,11.89,11.89,11.89,11.89,1
2013-10-10,11.905,11.905,11.9,11.9,11
2013-10-17,11.915,11.915,11.915,11.915,10
2013-10-22,11.915,11.915,11.91,11.91,10
2013-10-23,11.915,11.94,11.915,11.935,233
2013-10-24,11.92,11.92,11.92,11.92,5
2013-10-25,11.93,11.946,11.93,11.94,62
2013-11-26,11.1,11.1,11.1,11.1,28
2013-12-20,10.5,10.5,10.5,10.5,40
2013-12-24,10.5,10.5,10.5,10.5,28
