Date,Open,High,Low,Close,Volume
2011-12-21,9.25,9.5,9.25,9.5,111
2011-12-22,9,9,8.5,9,173
2011-12-23,8.5,8.5,8.5,8.5,80
2011-12-26,9.25,9.25,9.25,9.25,1
2011-12-27,9.5,10,9.5,10,368
2011-12-30,9,9,7.4,7.4,131
2012-1-5,6.899,7.329,6.5,7.329,12
2012-1-12,5.001,6.574,5,6.574,13
2012-1-13,5.109,5.109,3.944,4.9,37
2012-1-16,5.537,6.77,5,5,44
2012-1-19,5.499,6.33,5.499,6.33,7
2012-1-25,6,6,4.889,5.978,20
2012-1-27,5,5.011,5,5.011,5
2012-2-1,5.662,5.662,5.1,5.1,7
2012-2-6,5.035,5.499,5.003,5.499,3
2012-2-7,5.749,5.749,5.749,5.749,1
2012-2-8,6.113,6.226,4.231,4.231,22
2012-2-9,4.6,5.873,4.6,5.873,11
2012-2-14,5.999,6,5.999,6,8
2012-2-15,6,6,6,6,22
2012-2-16,6.25,6.5,6.25,6.5,23
2012-2-17,6.5,6.5,6.5,6.5,1
2012-2-20,6.5,6.721,5.03,6.25,22
2012-2-21,6.25,7,6.25,7,185
2012-2-24,8,8,8,8,2
2012-2-28,7.25,7.25,6.75,7,12
2012-2-29,6.273,6.273,6.273,6.273,1
2012-3-1,6.277,8.419,6.25,8.419,25
2012-3-6,7.002,7.019,7.002,7.019,2
2012-3-7,7.002,7.002,7,7,272
2012-3-11,6.79,6.79,6.79,6.79,118
2012-3-12,6.5,7.67,6.5,7,60
2012-3-13,7.5,7.5,7.5,7.5,2
2012-3-14,7.25,7.25,7.25,7.25,10
2012-3-15,7.25,7.25,7.25,7.25,10
2012-3-16,7.25,7.25,7.25,7.25,15
2012-3-19,7.25,7.25,7.25,7.25,20
2012-3-20,7.25,7.25,7.25,7.25,1
2012-3-21,7.25,7.25,7.25,7.25,5
2012-3-22,7.35,7.35,7.249,7.249,61
2012-3-26,7.4,7.4,7.35,7.35,166
2012-3-27,7.4,8.454,7.4,8.454,52
2012-3-28,8.498,9.4,7.32,7.35,18
2012-3-29,7.5,8.997,7.25,7.25,199
2012-4-2,7.999,7.999,7.999,7.999,20
2012-4-3,7.251,7.6,7.25,7.5,55
2012-4-4,7.251,7.251,7.25,7.25,90
2012-4-6,7.5,7.5,7.5,7.5,22
2012-4-9,7.251,7.251,7.25,7.25,33
2012-4-18,7.25,7.25,7.25,7.25,25
2012-4-19,7.25,7.25,7.25,7.25,25
2012-4-23,7.25,7.25,7.25,7.25,10
2012-4-24,7.25,7.25,7.25,7.25,1
2012-4-25,7.25,7.27,7.25,7.25,12
2012-4-26,7.95,9,7.255,8,184
2012-4-27,8,8,7.25,7.251,9
2012-4-28,7.251,7.251,7.25,7.25,5
2012-5-4,7.25,7.25,7.25,7.25,14
2012-5-5,7.25,7.975,7.25,7.975,170
2012-5-11,7.5,7.5,7.5,7.5,30
2012-5-12,7.501,7.501,7.501,7.501,1
2012-5-14,7.7,8.01,7.7,8,227
2012-5-16,7.999,8,7.999,8,241
2012-5-17,8.2,8.2,8.2,8.2,4
2012-5-22,8.248,8.25,8.248,8.25,160
2012-5-23,8.001,8.001,8,8,40
2012-6-1,8.25,8.75,8.25,8.75,962
2012-6-4,9,9.75,9,9.7,280
2012-6-5,9.75,9.75,9.75,9.75,59
2012-6-9,9.999,9.999,9.999,9.999,10
2012-6-13,10,10,10,10,16
2012-6-18,10,10,10,10,4
2012-6-21,9.01,9.01,9,9,575
2012-6-22,8.601,8.601,8.601,8.601,4
2012-6-27,9.49,9.5,9.49,9.5,140
2012-7-2,9.16,9.16,9.16,9.16,100
2012-7-9,9.5,9.74,9.5,9.74,29
2012-7-10,9.5,10.19,9.5,10.19,180
2012-7-23,10.199,10.2,9.26,9.26,154
2012-8-6,10.5,10.5,10.5,10.5,10
2012-8-8,10,10,9.9,9.9,16
2012-8-16,11,11.5,11,11.5,17
2012-8-20,10.102,10.102,10.102,10.102,1
2012-8-21,10.999,11,10.999,11,32
2012-8-29,10.999,11,10.999,11,6
2012-8-31,11.017,11.017,11.017,11.017,1
2012-9-4,11,11,11,11,3
2012-9-6,10.9,10.9,10.899,10.9,17
2012-9-7,10.9,10.9,10.501,10.501,14
2012-9-11,10.5,10.5,10.5,10.5,10
2012-9-12,10.5,10.5,10.5,10.5,162
2012-9-14,11.499,12,10.501,10.501,46
2012-9-27,10.5,10.5,10.5,10.5,4
2012-9-28,10.5,10.5,10.5,10.5,50
2012-10-8,10.5,10.5,10.5,10.5,3
2012-10-10,14.699,14.7,10.5,10.5,22
2012-10-11,11.3,12.049,10.5,10.5,20
2012-10-12,10.221,10.503,10.221,10.503,632
2012-10-15,11.498,11.498,10.511,10.511,298
2012-10-18,11.2,11.3,10.53,10.53,33
2012-10-22,10.58,10.58,10.58,10.58,1
2012-10-24,10.5,10.5,10.5,10.5,4
2012-10-25,10.5,10.5,10.5,10.5,2
2012-10-31,11,11,10.725,10.725,8
2012-11-1,10.75,11,10.75,10.9,12
2012-11-2,10.9,10.9,10.9,10.9,1
2012-11-6,10.77,10.91,10.75,10.75,12
2012-11-9,11,11.5,10.77,10.77,241
2012-11-12,11.5,11.5,10.752,10.752,109
2012-11-14,10.751,10.751,10.751,10.751,1
2012-11-23,11.997,11.997,10.75,10.75,3
2012-11-27,10.765,10.765,10.765,10.765,1
2012-11-29,11.99,11.99,11.99,11.99,1
2012-11-30,10.6,10.6,10.175,10.175,67
2012-12-3,11.997,11.997,10.5,10.501,19
2012-12-4,10.75,10.75,10.5,10.5,12
2012-12-5,10.5,10.5,10.5,10.5,4
2012-12-7,10.75,10.75,10.75,10.75,1
2012-12-10,10.5,10.5,10.5,10.5,1
2012-12-14,10.5,10.5,10.5,10.5,65
2012-12-17,10.5,11,9.9,10,60
2012-12-18,10,10,10,10,9
2012-12-21,10.48,10.48,10,10,2
2012-12-25,10,10,9.6,9.6,17
2012-12-26,9.755,9.755,9.6,9.6,44
2012-12-28,9.755,9.9,9.601,9.601,16
2013-1-8,9.612,9.612,9.612,9.612,1
2013-1-10,9.997,9.997,9.605,9.605,7
2013-1-11,9.999,9.999,9.602,9.602,11
2013-1-14,10,10,9.7,9.7,56
2013-1-15,9.7,10,9.7,10,77
2013-1-16,10.099,10.1,10,10,44
2013-1-17,10.2,10.2,10,10,315
2013-1-18,10,10,10,10,29
2013-1-21,10.2,10.2,10,10,41
2013-1-22,10.2,10.2,10.2,10.2,1
2013-1-23,10,10,10,10,1
2013-1-28,10.002,10.002,10.002,10.002,1
2013-1-29,10.002,10.002,10.002,10.002,1
2013-1-30,10.002,10.42,10.002,10.42,2
2013-2-4,10.012,10.012,10,10,13
2013-2-5,10.498,10.75,10.498,10.75,101
2013-2-6,11.997,11.997,10.8,10.8,13
2013-2-8,10.8,10.8,10.8,10.8,1
2013-2-12,10.8,10.8,10.6,10.6,15
2013-2-13,10.81,10.81,10.6,10.6,71
2013-2-14,10.8,10.801,10.6,10.8,43
2013-2-15,10.8,10.8,10.8,10.8,20
2013-2-18,10.8,10.8,10.8,10.8,19
2013-2-19,10.8,10.8,10.8,10.8,10
2013-2-21,10.8,10.8,10.8,10.8,5
2013-2-25,10.8,10.8,10.8,10.8,22
2013-2-28,10.8,10.8,10.8,10.8,1
2013-3-1,10.8,10.8,10.8,10.8,5
2013-3-4,10.8,10.8,10.8,10.8,15
2013-3-6,10.8,10.8,10.8,10.8,7
2013-3-14,10.8,10.8,10.8,10.8,30
2013-3-15,10.8,10.8,10.8,10.8,60
2013-3-19,10.8,10.8,10.8,10.8,3
2013-3-26,10.8,10.8,10.7,10.7,30
2013-3-27,9.75,9.75,9.75,9.75,4
2013-4-2,9.752,9.752,9.752,9.752,1
2013-4-9,9.301,9.301,9.301,9.301,1
2013-4-10,9.301,9.4,9.301,9.4,2
2013-4-15,9.401,9.401,9.4,9.4,12
2013-4-19,9.77,9.77,9.77,9.77,1
2013-4-23,9.3,9.3,9.3,9.3,10
2013-4-24,9.3,9.3,9,9,6
2013-4-26,9.3,9.3,9.3,9.3,5
2013-4-29,9.2,9.2,9.2,9.2,5
2013-4-30,9,9,9,9,15
2013-5-2,9,9,8.02,8.02,11
2013-5-3,9.001,9.001,9,9,12
2013-5-6,9,9,9,9,10
2013-5-10,9,9,9,9,3
2013-5-15,9,9,9,9,10
2013-5-16,8.5,8.5,8.5,8.5,10
2013-5-21,8.01,8.01,8.001,8.001,60
2013-5-22,8.25,8.25,8.25,8.25,10
2013-5-23,8.01,8.01,8.01,8.01,40
2013-5-24,8.01,8.01,8.01,8.01,20
2013-5-29,8.01,8.01,8.01,8.01,20
2013-5-30,8.011,8.011,8.011,8.011,40
2013-5-31,9.098,9.098,9.098,9.098,4
2013-6-3,8.002,8.003,8.002,8.002,91
2013-6-4,8.25,8.25,8.25,8.25,24
2013-6-6,8.001,8.001,8.001,8.001,11
2013-6-11,8.5,9.4,8.002,8.002,723
2013-6-14,8.326,8.326,8.326,8.326,1
2013-6-25,5.65,5.65,5.65,5.65,19
2013-6-26,7.1,7.1,7.1,7.1,19
2013-6-28,6.001,6.001,5.5,5.5,8
2013-7-2,7.099,7.1,7,7,6
2013-7-4,6.8,6.8,6.8,6.8,1
2013-7-8,6.91,6.91,6.91,6.91,1
2013-7-16,6.8,6.8,6.8,6.8,1
2013-7-24,6.6,6.6,6.6,6.6,1
2013-7-25,6.5,6.6,6.4,6.4,6
2013-7-31,6.5,6.5,6.5,6.5,4
2013-8-1,6.5,6.5,5.601,6.4,11
2013-8-12,6.5,6.8,6.5,6.8,12
2013-8-14,6,6,6,6,2
2013-9-10,6.779,7.997,6.779,7.997,96
2013-10-4,7,7,7,7,15
2013-10-15,6.201,6.201,6.201,6.201,18
2013-12-20,4.551,5.6,4.3,5.6,113
2013-12-25,6.999,6.999,6.999,6.999,1
2013-12-26,6.999,6.999,6.999,6.999,1
2013-12-30,6.5,6.5,6.5,6.5,3
2014-1-6,4.431,4.431,4.431,4.431,1
2014-1-8,6.2,6.2,6.2,6.2,1
2014-1-13,6,6,6,6,2
2014-1-28,6,6,5.7,5.7,2
2014-1-31,5.7,5.7,5.7,5.7,1
2014-2-3,5,5,5,5,60
2014-2-7,6.498,6.498,6.498,6.498,1
2014-3-4,5.1,5.1,5.1,5.1,1
2014-3-17,5.85,5.85,5.251,5.251,32
2014-3-18,5.3,5.6,5.21,5.6,5
2014-3-19,5.212,5.4,5,5.399,566
2014-3-31,5,5.002,5,5.002,47
2014-4-2,4.6,4.6,4.6,4.6,30
2014-4-11,4.3,4.3,4.25,4.25,140
2014-5-5,4.002,4.002,4.002,4.002,1
2014-5-6,5.6,5.6,5.6,5.6,1
2014-5-7,6.48,6.48,6.48,6.48,197
2014-5-15,6.45,6.45,5.35,5.35,1021
2014-5-16,5.5,5.5,5.3,5.3,14
2014-5-20,5.499,5.499,5.499,5.499,1
2014-5-22,4.5,4.7,4.33,4.5,686
2014-5-23,4.2,4.25,4.1,4.1,462
2014-6-2,4,4,4,4,1
2014-6-3,4.6,4.6,4.599,4.599,16
2014-6-6,3.7,3.8,3.7,3.8,200
2014-6-9,4.6,4.6,4.6,4.6,1
2014-6-10,4.6,4.6,4.6,4.6,9
2014-6-16,4,4,4,4,1
2014-6-23,4.1,4.1,4.1,4.1,1
2014-7-1,3.602,3.602,3.602,3.602,1
2014-7-3,4.001,4.101,4.001,4.101,2
2014-7-8,3.8,4.5,3.102,4.5,117
2014-7-15,4.1,4.1,3.27,3.33,373
2014-7-16,3.777,3.997,3.399,3.399,85
2014-7-17,3.398,3.398,3.398,3.398,1
2014-7-21,3.398,3.398,3.397,3.397,10
2014-7-24,3.4,3.4,3.4,3.4,21
2014-7-30,3.4,3.4,3.4,3.4,1
2014-7-31,3.007,3.306,2.892,3.3,21
2014-8-1,3.2,3.2,2.9,3.1,122
2014-8-4,3,3,3,3,99
2014-8-5,2.9,2.9,2.9,2.9,3
2014-8-6,2.9,2.9,2.9,2.9,1
2014-8-7,3.79,3.79,2.9,2.9,14
2014-8-8,2.883,2.883,2.851,2.851,9
2014-8-11,2.852,2.852,2.8,2.8,35
2014-8-12,2.997,3,2.99,2.99,61
2014-8-13,2.988,3.5,2.988,3.3,47
2014-8-18,2.67,2.69,2.67,2.69,65
2014-8-19,3,3,3,3,51
2014-8-25,3.1,3.1,3.1,3.1,10
2014-8-26,3,3,3,3,10
2014-8-28,3,3,3,3,30
2014-9-3,2.69,2.8,2.57,2.8,106
2014-9-4,2.8,2.8,2.8,2.8,1
2014-9-8,2.8,2.8,2.8,2.8,1
2014-9-10,2.6,2.6,2.6,2.6,234
2014-9-15,2.57,2.79,2.5,2.5,296
2014-9-16,2.48,2.48,2,2.44,132
2014-9-18,2.8,2.8,2.8,2.8,1
2014-9-19,2.6,2.6,2.6,2.6,1
2014-9-22,2.6,2.6,2.5,2.5,2
2014-9-29,2.5,2.5,2.5,2.5,1
2014-10-6,2.5,2.5,2.5,2.5,20
2014-10-9,2.3,2.3,2.3,2.3,73
2014-10-10,2.3,2.3,2.3,2.3,32
2014-10-17,2.3,2.3,2.3,2.3,1
2014-10-21,2.3,2.3,2.3,2.3,1
2014-10-24,2.1,2.1,2.1,2.1,12
2014-10-27,2.29,2.29,2.29,2.29,1
2014-10-28,2.22,2.22,2.22,2.22,1
2014-11-6,2.2,2.2,2.2,2.2,2
2014-11-10,2.49,2.49,2.49,2.49,32
2014-12-2,2.2,2.2,1.91,2,478
2014-12-3,2.03,2.03,2.01,2.01,97
2014-12-4,2.2,2.2,2.19,2.2,23
2014-12-8,2.19,2.2,2.19,2.2,11
2014-12-26,2.19,2.19,2.19,2.19,1
2014-12-29,2.19,2.34,2.19,2.34,35
2015-1-5,2,2,2,2,2
2015-1-13,2,2,2,2,10
2015-1-21,1.95,1.95,1.95,1.95,1
2015-1-22,1.95,2.05,1.8,2,60
2015-1-23,1.95,2,1.7,1.95,58
2015-1-26,1.95,1.95,1.95,1.95,5
2015-2-2,2,2,2,2,6
2015-2-4,2,2.19,2,2.14,33
2015-2-5,2,2.25,1.95,2,49
2015-2-6,2.05,2.05,2.05,2.05,1
2015-2-9,2.07,2.07,2.07,2.07,1
2015-2-10,2.06,2.07,2,2,76
2015-2-12,2.09,2.11,2.07,2.07,15
2015-2-17,2.04,2.08,2,2,165
2015-2-18,2,2.01,2,2,213
2015-2-19,2,2,2,2,42
2015-2-20,2.04,2.09,2.01,2.01,1002
2015-2-24,2.08,2.08,1.95,1.95,222
2015-2-26,2,2,2,2,50
2015-2-27,2.05,2.09,2,2,238
2015-3-2,2.15,2.15,1.97,2,74
2015-3-3,2,2,1.95,1.99,203
2015-3-4,2,2,2,2,10
2015-3-5,2,2.08,2,2.08,70
2015-3-6,2.04,2.07,2,2.07,49
2015-3-10,2.05,2.19,2.05,2.18,234
2015-3-11,2.17,2.17,2.1,2.1,63
2015-3-12,2.09,2.09,2.06,2.08,54
2015-3-13,2.09,2.1,2.09,2.1,20
2015-3-17,2.07,2.07,1.99,1.99,10
2015-3-18,2,2,2,2,17
2015-3-20,2.08,2.08,2.08,2.08,1
2015-3-26,2.02,2.07,2,2,26
2015-3-27,2.01,2.03,2.01,2.03,4
2015-3-31,1.99,1.99,1.99,1.99,7
2015-4-1,2.01,2.03,2.01,2.03,12
2015-4-2,2.04,2.05,2.04,2.05,11
2015-4-3,2.03,2.03,2.03,2.03,1
2015-4-6,2.04,2.11,2.04,2.11,42
2015-4-7,2.04,2.1,2.04,2.1,120
2015-4-8,2.1,2.78,2.1,2.24,902
2015-4-9,2.2,2.38,2.2,2.2,36
2015-4-13,2.2,2.5,2.2,2.22,197
2015-4-21,2.19,2.19,2.18,2.18,20
2015-4-22,2,2.2,2,2.2,14
2015-4-23,2.2,2.2,2.15,2.15,88
2015-4-24,2.15,2.15,2.15,2.15,86
2015-4-27,2.2,2.2,2.14,2.14,8
2015-4-28,2.15,2.15,2.15,2.15,2
2015-4-29,2,2,2,2,5
2015-4-30,2.15,2.15,2.15,2.15,9
2015-5-5,2.15,2.15,2.09,2.1,76
2015-5-6,2,2.13,1.85,1.85,414
2015-5-7,1.94,2,1.94,1.99,3
2015-5-8,1.8,2,1.8,1.99,30
2015-5-12,1.99,2,1.96,1.99,16
2015-5-13,2,2,1.87,1.95,5
2015-5-14,1.99,1.99,1.99,1.99,3
2015-5-15,1.99,1.99,1.91,1.99,5
2015-5-18,1.96,1.96,1.9,1.9,17
2015-5-19,1.85,1.85,1.85,1.85,6
2015-5-20,1.99,1.99,1.86,1.86,11
2015-5-21,1.87,1.99,1.87,1.99,3
2015-5-22,1.97,1.97,1.85,1.85,100
2015-5-25,1.83,1.99,1.83,1.99,2
2015-5-26,1.89,1.92,1.89,1.92,76
2015-5-28,2,2,1.89,2,9
2015-5-29,1.99,1.99,1.99,1.99,59
2015-6-1,1.96,1.99,1.96,1.99,5
2015-6-2,2.06,2.5,2.06,2.2,377
