Date,Open,High,Low,Close,Volume
2006-1-31,700,700,700,700,1
2006-2-2,650,650,650,650,1
2006-2-7,650,650,650,650,0
2006-2-8,600,600,600,600,1
2006-2-10,670,670,670,670,0
2006-2-13,650,670,650,660,8
2006-2-14,665,670,600,640,71
2006-2-15,640,640,620,620,5
2006-2-16,640,640,640,640,2
2006-2-17,666,666,666,666,0
2006-2-20,670,750.22,660,700,53
2006-2-21,675,694,675,694,9
2006-2-26,702,726,680,680,10
2006-2-27,777.77,899.13,666.66,666.66,14
2006-2-28,715,715,715,715,5
2006-3-2,777,790,765,765,6
2006-3-3,888.88,899,888.88,899,1
2006-3-7,710,715,670,715,14
2006-3-9,676,676,656,675,6
2006-3-10,675,675,675,675,1
2006-3-13,660,670,660,670,2
2006-3-16,670,670,670,670,3
2006-3-17,640,640,640,640,2
2006-3-20,641,650,641,650,12
2006-3-21,650,650,640,640,5
2006-3-23,640,640,640,640,2
2006-3-27,654,654,640,640,20
2006-3-28,650,650,650,650,4
2006-3-29,649,649,645,645,4
2006-3-30,645,645,600,640,8
2006-3-31,620,650,620,650,5
2006-4-3,663.75,663.75,620,620,21
2006-4-4,620,620,606,606,1
2006-4-5,620,650,615,615,18
2006-4-6,625,670,625,630,32
2006-4-7,625,640,620.01,620.01,43
2006-4-12,640,640,640,640,0
2006-4-18,601.08,625,600.02,600.02,5
2006-4-19,620,620,600,600,1
2006-4-20,610,620,610,620,5
2006-4-24,600,600,600,600,0
2006-4-26,619,619,619,619,5
2006-5-2,600,600,600,600,3
2006-5-11,575,575,575,575,1
2006-5-15,450.02,519,450,519,24
2006-5-16,520,569.99,490,520,11
2006-5-17,520,521,520,521,1
2006-5-18,573,599,573,599,14
2006-5-19,520.01,520.01,520,520,1
2006-5-22,500,500,490,490,11
2006-5-23,451,516,451,516,1
2006-5-25,500,500,500,500,2
2006-5-26,500,500,500,500,6
2006-5-30,514,514.44,514,514.44,9
2006-5-31,500,500,500,500,6
2006-6-1,500,500,490,490,2
2006-6-2,460.01,469.99,460,469.99,10
2006-6-5,450,460,450,460,6
2006-6-8,445,452,445,450,5
2006-6-13,440,440,440,440,6
2006-6-14,436,436,432.91,433,10
2006-6-15,450,475,450,475,3
2006-6-19,433,433,432.91,432.91,5
2006-6-27,444,444,444,444,5
2006-6-30,445,445,445,445,1
2006-7-5,445,445,444,444,0
2006-7-6,445,445,445,445,2
2006-7-10,425,445,425,445,10
2006-7-11,435,435,435,435,4
2006-7-12,449.99,450,449.99,450,35
2006-7-13,450,580,450,580,20
2006-7-19,475,475,475,475,6
2006-7-20,450,450,450,450,0
2006-7-25,450,450,450,450,1
2006-7-28,444,450,440,450,15
2006-7-31,465,465,465,465,0
2006-8-4,445,455,445,455,20
2006-8-7,455,455,455,455,0
2006-8-8,450,450,450,450,10
2006-8-10,455.02,455.02,455,455,5
2006-8-11,470,470,470,470,2
2006-8-14,475,475,475,475,8
2006-8-15,480,480,480,480,10
2006-8-16,480,490,480,490,15
2006-8-17,497,888.87,497,560,13
2006-8-18,500,500,500,500,1
2006-8-22,517,599.98,517,599.98,4
2006-8-25,560,560,560,560,3
2006-8-28,550,600,550,600,2
2006-8-29,550,560,550,560,3
2006-8-31,580,580,580,580,0
2006-9-1,501,501,501,501,0
2006-9-11,482,600,482,600,34
2006-9-13,600,625,600,625,10
2006-9-14,630,630,630,630,10
2006-9-20,600,629,600,629,2
2006-9-21,600.09,600.09,600.06,600.06,0
2006-9-25,600,877,535,664.68,97
2006-9-26,637.37,1900,555,1200,874
2006-9-27,1200.04,1400,1080.01,1385,500
2006-9-28,1500,1530,999.99,1050,31
2006-9-29,1000,1380,1000,1125,603
2006-10-2,1250,1775,1200,1599.9,341
2006-10-3,1599.9,1800,1352,1500,130
2006-10-4,1599.86,1700,1360,1528,24
2006-10-5,1650,1650,1300,1540,124
2006-10-6,1600,1694,1001,1694,284
2006-10-9,1697,1980,1500,1760,750
2006-10-10,1770,1899.98,1603.1,1859.1,535
2006-10-11,1899,2075,1601,1715.67,465
2006-10-12,1750,1850,1030,1165,989
2006-10-13,1281.43,1281.44,949,980,667
2006-10-16,977,1014,720,760,1677
2006-10-17,800,800,720,750,421
2006-10-18,705.5,779,705.5,754.89,326
2006-10-19,750,773.4,740.01,758.89,86
2006-10-20,769,769,730.05,740,135
2006-10-23,730.04,750,691.11,712.95,249
2006-10-24,700.16,710,681,690,57
2006-10-25,688,689,601,643,329
2006-10-26,640.11,640.11,620,636.98,82
2006-10-27,625.53,638,621,633,32
2006-10-30,616.5,750,616.5,709,607
2006-10-31,738,740,682,695,209
2006-11-1,710,710,682,694,122
2006-11-2,690,771,690,706,585
2006-11-3,680.5,724.81,630,709,280
2006-11-7,718.9,718.9,692.2,702,88
2006-11-8,701.11,767,700,729.85,372
2006-11-9,735,768,735,760,168
2006-11-10,762,773.95,745,765,106
2006-11-13,794.1,794.1,736,751.91,95
2006-11-14,755,764,730,756.9,69
2006-11-15,750.03,759,750,750.06,14
2006-11-16,759.99,762.55,750,758.2,41
2006-11-17,750.01,765,745,756.99,191
2006-11-20,765,765,727,730,21
2006-11-21,730,739,720.01,739,28
2006-11-22,748.5,748.5,721,736.99,26
2006-11-23,737.5,737.5,700,724.99,85
2006-11-24,726.46,732.37,711,723.97,106
2006-11-27,725.7,725.7,719,724.97,9
2006-11-28,724,728.95,708,719,17
2006-11-29,720,729.88,706.51,724.9,99
2006-11-30,726,732.95,715,716.01,62
2006-12-1,729.98,729.98,719,719,54
2006-12-4,724,724,705.11,720,9
2006-12-5,720,725,685,709.91,34
2006-12-6,709.91,730,706,715.01,74
2006-12-7,720,724.98,700.02,724.98,101
2006-12-8,708,727.75,706.47,714.99,16
2006-12-11,710.5,724,710.25,715.01,49
2006-12-12,708.03,722,705,710,38
2006-12-13,707,710,701.01,704.99,21
2006-12-14,702.01,704.48,696,697,69
2006-12-15,709.99,715.01,703,707,17
2006-12-18,707,717.98,695,695,44
2006-12-19,696,696.99,675.01,696.99,89
2006-12-20,681.01,699.9,677.35,699.9,9
2006-12-21,700,700,680.18,694.99,9
2006-12-22,671.62,690,671.62,680.1,9
2006-12-25,687.59,700,687.59,698,41
2006-12-26,699.97,699.99,681,690.89,16
2006-12-27,687.3,716,687.3,698,59
2006-12-28,690.01,738.98,690,708.11,87
2006-12-29,708.05,730,700,715.11,297
2007-1-9,700.1,703.77,700.1,701.12,28
2007-1-10,710,710,692,708,25
2007-1-11,710,724.99,698,722,207
2007-1-12,729.96,730,703.01,727.46,49
2007-1-15,727.5,730,710.11,719,41
2007-1-16,700.93,727.99,700.93,718.3,7
2007-1-17,726,726,521.21,717.99,65
2007-1-18,688.06,718.9,653.31,690,134
2007-1-19,689.99,714.9,660.01,714.9,32
2007-1-22,713.45,717.45,550.01,685,25
2007-1-23,700,709.98,680,691,23
2007-1-24,691,748,691,715,148
2007-1-25,726.99,738.99,720.01,724,36
2007-1-26,713.33,730,701,718,35
2007-1-29,675.28,733.99,675.28,710,46
2007-1-30,705,729.9,705,714,62
2007-1-31,710.01,712.01,710.01,711.06,3
