Date,Open,High,Low,Close,Volume
2006-3-2,350,350,350,350,3
2006-3-17,350,350,340,340,4
2006-3-20,350,350,350,350,0
2006-4-6,350,350,325,325,8
2006-4-10,330,330,330,330,29
2006-4-11,333,333,333,333,10
2006-4-12,334,370,334,370,58
2006-4-20,333,333,333,333,0
2006-4-24,325,325,325,325,1
2006-4-26,370,370,370,370,10
2006-5-2,375,375,375,375,3
2006-5-10,320,320,320,320,0
2006-5-23,296.8,296.8,296.8,296.8,29
2006-6-27,350,350,350,350,2
2006-7-4,325,325,325,325,3
2006-7-7,330,330,330,330,3
2006-7-10,325,325,325,325,2
2006-7-20,355,355,355,355,8
2006-7-21,340,340,340,340,0
2006-7-25,325,325,325,325,3
2006-9-26,380,420,380,420,150
2006-9-27,425,435,410,430,104
2006-9-28,449,570.85,420,470,38
2006-9-29,539.97,539.97,360,440,30
2006-10-2,449.9,499,445,450,253
2006-10-3,450,450,402,408.98,94
2006-10-4,405,410,404,405.01,23
2006-10-5,380.07,404.89,363,404.89,25
2006-10-6,387,429.9,370,427,18
2006-10-9,410,442,390,409,142
2006-10-10,410,415,382,412,43
2006-10-11,410,500,410,427.77,302
2006-10-12,427,443.5,390,390,125
2006-10-13,400,415,390,400,6
2006-10-16,400,400,375,385,10
2006-10-17,350,390,350,387,1
2006-10-18,378.99,378.99,378.99,378.99,3
2006-10-23,385,385,384.98,385,5
2006-10-25,350,373.95,340,363.99,77
2006-10-26,345,345,337,340,1
2006-10-27,330.01,359.9,330.01,359.9,0
2006-10-30,360,369.98,349.01,349.01,11
2006-10-31,380,380,350,350,8
2006-11-1,351,355,345,355,11
2006-11-2,370.9,370.9,360,370.5,4
2006-11-3,374.8,378.9,351,376,60
2006-11-7,386.97,386.97,351,377.99,1
2006-11-8,360,369,350,360,79
2006-11-9,365,365,345.6,364.5,1
2006-11-10,350.01,350.01,345.17,345.17,0
2006-11-13,340.01,340.01,340,340,5
2006-11-14,356.9,359,340,340,20
2006-11-16,364.99,364.99,364.99,364.99,0
2006-11-20,350,350,350,350,0
2006-11-28,364.98,364.98,364.98,364.98,0
2006-11-29,359,359,359,359,1
2006-11-30,363,363,359,359,0
2006-12-6,360.01,360.01,360.01,360.01,0
2006-12-7,360,360,360,360,0
2006-12-11,385,385,385,385,0
2006-12-12,365,365,365,365,0
2006-12-13,360,360,360,360,10
2006-12-14,355,355,354.5,355,23
2006-12-15,355,355,355,355,10
2006-12-18,345.01,350,345,350,27
2006-12-19,345,345,345,345,2
2006-12-20,369,386.97,340.03,365,1
2006-12-21,350,368.8,350,368.8,11
2006-12-22,355,355,355,355,10
2006-12-26,360,360,355,355,0
2006-12-27,355,360,341,360,121
2006-12-28,360,370,358,370,57
2006-12-29,370,370,369.98,369.98,45
2007-1-9,383.99,383.99,300,340,11
2007-1-10,312,340,311,340,1
2007-1-12,364.99,364.99,364.99,364.99,0
2007-1-15,350,365.85,350,365,10
2007-1-19,350,350,350,350,0
2007-1-24,337.02,369.99,335,358.03,18
2007-1-29,350,350,349.99,350,38
2007-1-30,360,360,336.05,345,51
2007-1-31,345.11,367.96,345.1,367.96,1
2007-2-1,367.91,370,359,370,17
2007-2-2,370.99,380,365,380,25
2007-2-5,386.99,386.99,386.98,386.98,1
2007-2-6,361,379,361,379,5
2007-2-7,370.99,370.99,370.99,370.99,0
2007-2-9,355.06,371,355.06,371,5
2007-2-12,360,360,355,360,69
2007-2-13,365,365,365,365,69
2007-2-14,378.89,378.99,378.89,378.99,7
2007-2-15,371,371,360,360,1
2007-2-16,370,370,361.01,365,5
2007-2-19,383.39,394,375,375,11
2007-2-20,365.01,365.01,365.01,365.01,2
2007-2-21,386.89,413.98,386,413.98,52
2007-2-22,417.95,443.95,360.01,410.01,88
2007-2-26,419.88,419.88,380,400,44
2007-2-27,414.69,414.69,414.69,414.69,5
2007-2-28,395.51,395.51,360,360,1
2007-3-1,375,375,367,367,10
2007-3-2,389,389,360,360,1
2007-3-5,365,383.83,365,383.83,2
2007-3-6,377.77,389,377,389,4
2007-3-7,380,404.99,380,399.99,8
2007-3-9,399,404.99,351.01,404.99,13
2007-3-12,399.37,399.37,399.37,399.37,3
2007-3-13,399.98,400,399.97,400,2
2007-3-20,400,415,400,415,2
2007-3-21,380,380,380,380,1
2007-3-22,400,400,380,390,6
2007-3-23,400,400,400,400,1
2007-3-30,400,400,400,400,0
2007-4-5,414.5,414.5,414.5,414.5,0
2007-4-9,400,400,400,400,5
2007-4-10,400,400,399.9,400,13
2007-4-11,407.77,407.77,407.77,407.77,0
2007-4-12,399.99,400,390,390,29
2007-4-13,404.99,412.99,400,400,4
2007-4-16,400,408.99,393,400,45
2007-4-17,405,410,400,410,17
2007-4-18,414.99,414.99,414.99,414.99,0
2007-4-19,400,409.99,400,400,15
2007-4-20,409.99,410,409.99,410,20
2007-4-23,409.99,410,409.99,410,30
2007-4-24,413.4,418,413.4,418,61
2007-4-25,416,416,416,416,1
2007-4-26,418.99,419.94,416,417,26
2007-4-27,410.01,410.01,410,410,6
2007-4-28,412,412,405,412,32
2007-5-2,422.98,450,412,434.99,1
2007-5-3,426.99,427,422,422,6
2007-5-8,400,400,400,400,10
2007-5-14,400.01,489,400,400,95
2007-5-15,416,440,416,440,2
2007-5-16,410.01,410.01,410.01,410.01,1
2007-5-17,410,419.37,405.52,419.37,4
2007-5-21,420,420,420,420,14
2007-5-23,428,428,428,428,2
2007-5-24,407,407,407,407,0
2007-5-29,424.37,424.37,410,410,2
2007-5-31,420,430,420,430,0
2007-6-1,429.9,430,429.9,430,10
2007-6-8,400,414.37,400,414.37,146
2007-6-9,400.01,400.01,400,400,77
2007-6-13,414.37,429.99,414.37,429.99,76
2007-6-19,420,420,420,420,12
2007-6-27,415,434.37,415,434.37,2
2007-7-3,415,434.37,415,434.37,6
2007-7-9,434.37,434.37,415,420,5
2007-7-10,427,427,427,427,5
2007-7-12,439.99,440,439.99,440,10
2007-7-20,410,410,401,401,43
2007-7-23,430,430,430,430,10
2007-7-24,410,430,410,430,301
2007-7-27,400,415,400,415,34
2007-7-30,409,409,409,409,14
2007-7-31,409,409,373,405,45
2007-8-21,380.01,380.01,360,360,11
2007-8-22,400,400,400,400,1
2007-9-3,402,402,402,402,10
2007-9-4,395,405,395,405,132
2007-9-5,405,500,390,412,40
2007-9-6,400,415,400,401.5,12
2007-9-7,415,415,402.1,402.1,2
2007-9-10,400,405,400,405,22
2007-9-11,410,415,400,415,29
2007-9-12,414.99,414.99,400,400,4
2007-9-13,405,405,350.01,405,12
2007-9-14,395,396.48,371.01,371.01,7
2007-9-17,395,405,394.99,405,33
2007-9-20,390,400,390,400,0
2007-9-27,415,415,415,415,10
2007-10-1,415,415,415,415,0
2007-10-9,415,415,415,415,5
