Date,Open,High,Low,Close,Volume
2008-10-24,0.2244,0.2244,0.2244,0.2244,0
2008-10-28,0.2244,0.2244,0.2244,0.2244,10
2008-11-7,0.2244,0.2244,0.2244,0.2244,12
2008-11-17,0.2244,0.2244,0.2244,0.2244,6
2008-11-25,0.3036,0.3036,0.3036,0.3036,16
2008-11-28,0.3,0.3,0.3,0.3,1
2008-12-1,0.31,0.31,0.3,0.3,2
2008-12-3,0.42,0.42,0.42,0.42,31
2008-12-8,0.588,0.588,0.588,0.588,27
2008-12-9,0.8232,0.8232,0.59,0.59,46
2008-12-17,0.826,0.826,0.826,0.826,4
2008-12-18,0.9999,0.9999,0.9999,0.9999,0
2008-12-19,0.75,0.75,0.65,0.65,3
2008-12-22,0.7,0.7,0.65,0.65,12
2008-12-23,0.65,0.65,0.65,0.65,1
2008-12-24,0.65,0.65,0.65,0.65,10
2008-12-25,0.7,0.7,0.65,0.65,3
2008-12-26,0.9,0.9,0.55,0.55,2
2008-12-30,0.6,0.73,0.6,0.65,9
2009-1-11,0.65,0.65,0.65,0.65,53
2009-1-12,0.72,0.72,0.72,0.72,0
2009-1-13,0.72,0.74,0.72,0.74,8
2009-1-16,0.85,0.9,0.85,0.9,32
2009-1-19,1,1,0.77,0.77,3
2009-1-20,0.82,1,0.82,1,2
2009-1-21,0.76,0.9,0.76,0.77,7
2009-1-22,0.77,0.77,0.77,0.77,1
2009-1-26,0.9,0.9999,0.9,0.9999,1
2009-1-29,1,1,1,1,10
2009-1-30,0.9,0.9,0.9,0.9,3
2009-2-10,1.017,1.017,1.017,1.017,0
2009-2-11,0.8,0.8,0.8,0.8,6
2009-2-17,0.8,0.8,0.8,0.8,4
2009-2-18,0.75,0.75,0.75,0.75,10
2009-2-19,1.05,1.05,1.05,1.05,12
2009-2-20,1,1,1,1,2
2009-2-24,0.999,1.055,0.999,1.055,40
2009-2-25,1.19,1.19,1.01,1.01,0
2009-2-26,1.05,1.05,1.05,1.05,14
2009-2-27,1,1.1,1,1.1,28
2009-3-3,1,1,1,1,9
2009-3-4,1,1.05,1,1.05,4
2009-3-6,1.25,1.25,1.25,1.25,0
2009-3-10,1,1.15,1,1.15,20
2009-3-13,1.001,1.001,1.001,1.001,1
2009-3-24,1,1.15,1,1.15,36
2009-3-25,1.2,1.25,1.2,1.25,15
2009-3-27,1.2,1.2,1.2,1.2,0
2009-3-30,1.465,1.465,1.465,1.465,43
2009-4-2,1.2,1.2,1.2,1.2,2
2009-4-15,1.25,1.49,1.25,1.49,3
2009-4-16,1.597,1.597,1.597,1.597,0
2009-4-17,1.497,1.5,1.497,1.5,2
2009-4-21,1.873,2,1.873,2,58
2009-4-22,2.19,2.25,2.19,2.25,1
2009-4-23,2.24,2.24,2.24,2.24,0
2009-4-29,1.8,2.6799,1.5,2,1
2009-5-5,2,2,2,2,0
2009-5-6,2.1,2.1,1.9999,1.9999,29
2009-5-13,2.06,2.06,1.1999,1.5,51
2009-5-14,1.55,1.55,1.55,1.55,0
2009-5-18,1.5,1.5,1.5,1.5,2
2009-5-19,1.6,1.6,1.6,1.6,37
2009-5-21,1.6,1.7,1.6,1.7,4
2009-5-22,1.9999,1.9999,1.9999,1.9999,1
2009-5-25,2,2,1.8,1.8,8
2009-5-26,1.71,1.71,1.35,1.35,31
2009-5-27,1.7999,1.8,1.3,1.3132,52
2009-6-1,1.42,1.6999,1.4199,1.6999,169
