Date,Open,High,Low,Close,Volume
2008-10-28,0.85,0.85,0.85,0.85,0
2008-11-13,0.85,0.85,0.85,0.85,10
2008-11-27,0.85,0.85,0.85,0.85,0
2008-11-28,0.85,0.85,0.85,0.85,1
2008-12-3,0.52,0.6,0.51,0.51,63
2008-12-4,0.52,0.52,0.52,0.52,0
2008-12-5,0.5,0.5,0.5,0.5,2
2008-12-8,0.5,0.5,0.5,0.5,0
2008-12-11,0.4201,0.4201,0.4201,0.4201,25
2008-12-24,0.4201,0.4201,0.4201,0.4201,10
2008-12-26,0.5881,0.5881,0.5881,0.5881,0
2008-12-29,0.5,0.5,0.5,0.5,60
2008-12-30,0.495,0.495,0.495,0.495,1
2008-12-31,0.69,0.69,0.3,0.43,200
2009-1-13,0.6,0.6001,0.6,0.6001,0
2009-1-14,0.6,0.6,0.6,0.6,10
2009-1-16,0.8,0.84,0.8,0.84,13
2009-1-20,0.6,0.6,0.52,0.52,40
2009-1-21,0.55,0.728,0.55,0.728,3
2009-1-29,0.97,0.97,0.92,0.95,72
2009-2-10,0.75,0.75,0.75,0.75,14
2009-2-11,0.75,0.75,0.57,0.57,9
2009-2-12,0.7,0.95,0.5,0.55,4483
2009-2-18,0.77,0.77,0.77,0.77,1493
2009-2-19,0.95,1.05,0.801,1.05,2002
2009-3-2,1,1,1,1,45
2009-3-12,1.02,1.02,1.02,1.02,8
2009-3-13,1.02,1.02,1.02,1.02,5
2009-3-17,1.27,1.27,1.27,1.27,2
2009-3-23,1.2,1.2,1.2,1.2,0
2009-3-24,1.1,1.2,1.1,1.2,54
2009-3-25,1.2,1.2,1.2,1.2,30
2009-3-27,1.27,1.27,1.27,1.27,8
2009-3-30,0.77,0.77,0.77,0.77,30
2009-4-2,1,1,1,1,18
2009-4-3,1.1,1.1,1.1,1.1,27
2009-4-9,0.66,0.66,0.66,0.66,0
2009-5-4,0.924,0.924,0.924,0.924,0
2009-5-6,1.2,1.2,1.2,1.2,1
2009-5-8,1.67,1.679,1.67,1.679,30
2009-5-14,1.6,1.6,1.6,1.6,31
