Date,Open,High,Low,Close,Volume
2006-1-16,5,5,5,5,0
2006-3-16,3,3,2.5,2.5,0
2006-3-17,0.22,0.22,0.22,0.22,0
2006-3-21,0.6,1.5,0.6,0.8,1
2006-3-22,1,1.5,1,1.01,2
2006-3-23,0.71,1.1,0.71,1,0
2006-3-24,1.2,1.2,0.9,1.2,0
2006-3-27,1,1.11,1,1.11,1
2006-3-28,0.81,0.81,0.8,0.8,1
2006-3-30,1,1.05,1,1.05,0
2006-4-5,1.03,1.03,1.03,1.03,0
2006-4-6,1,1,0.7,1,2
2006-4-10,0.7,1,0.7,1,0
2006-4-12,1.2,1.2,1.2,1.2,0
2006-4-13,0.91,0.91,0.91,0.91,0
2006-4-14,0.7,0.7,0.7,0.7,0
2006-4-17,0.99,0.99,0.99,0.99,0
2006-4-18,1.04,1.04,1.04,1.04,0
2006-4-25,0.7,0.7,0.7,0.7,0
2006-4-27,1.165,1.165,1.165,1.165,0
2006-6-19,1.16,1.16,1.159,1.159,0
2006-6-20,1.157,1.157,1.157,1.157,0
2006-6-26,0.15,0.15,0.15,0.15,0
2006-7-3,2.5,2.5,1.5,1.5,0
2006-7-4,1.01,1.01,1,1,0
2006-7-6,1.05,1.05,0.75,0.9,0
2006-7-10,0.736,0.736,0.736,0.736,0
2006-7-17,0.575,0.575,0.435,0.435,0
2006-7-26,1.6,1.6,0.326,0.326,0
2006-7-27,0.325,0.325,0.21,0.21,50
2006-8-1,2.9,2.9,0.235,0.5,1
2006-8-2,0.5,0.5,0.5,0.5,0
2006-8-3,0.5,0.5,0.3,0.3,0
2006-8-8,0.39,0.39,0.35,0.35,0
2006-8-9,0.21,0.35,0.21,0.35,0
2006-8-10,0.35,0.35,0.35,0.35,0
2006-8-11,0.449,0.564,0.321,0.56,0
2006-8-14,1.35,1.35,1.35,1.35,0
2006-8-15,1.35,1.35,1.35,1.35,0
2006-8-17,1.1,1.1,1.1,1.1,0
2006-8-21,0.825,0.825,0.322,0.322,1
2006-8-23,0.4,0.4,0.4,0.4,0
2006-8-28,0.49,0.49,0.49,0.49,0
2006-8-29,0.45,0.45,0.45,0.45,0
2006-8-30,0.45,0.45,0.45,0.45,0
2006-9-1,0.45,0.45,0.4,0.45,2
2006-9-4,0.45,0.45,0.425,0.425,12
