Date,Open,High,Low,Close,Volume
2005-2-18,250,250,250,250,5
2005-2-22,200.01,200.01,200,200,5
2005-3-2,249.99,249.99,249.99,249.99,0
2005-5-11,230,230,230,230,0
2005-6-1,250,250,250,250,5
2006-3-16,100,450,100,402.48,90
2006-3-17,500,740,500,630,76
2006-3-20,650,668,650,668,7
2006-3-21,670,700,611,690,3
2006-3-22,610.05,610.05,610,610.05,17
2006-3-23,650,650,640,650,35
2006-3-24,675,848,650,847,187
2006-3-27,800,800,800,800,0
2006-3-28,940,940,929.99,929.99,2
2006-4-3,800,815,800,815,1
2006-4-4,800,800,800,800,0
2006-4-6,800,830,721,830,0
2006-4-10,850,850,850,850,0
2006-4-11,870,899.01,870,870,0
2006-4-17,800,800,800,800,1
2006-4-18,860,860,850,850,2
2006-4-20,600,800,600,800,4
2006-4-21,800,850,800,850,5
2006-4-24,890,890,888,888,1
2006-4-27,900,900,870,900,9
2006-5-2,950,975,950,975,2
2006-5-3,999,1048,900,900,13
2006-5-4,900,900,900,900,35
2006-5-12,750,750,750,750,1
2006-5-17,900,900,800,800,3
2006-5-24,750,750,750,750,9
2006-5-25,567,567,567,567,0
2006-5-30,726,726,726,726,2
2006-6-13,651,651,651,651,1
2006-6-14,700.01,700.01,700.01,700.01,1
2006-6-15,681,681,681,681,1
2006-6-16,740,740,740,740,5
2006-6-20,750,750,750,750,1
2006-6-22,800,800,800,800,0
2006-6-26,830.56,830.56,750,750,0
2006-6-28,730,730,730,730,8
2006-6-29,811.99,811.99,811.99,811.99,0
2006-7-3,590,590,590,590,2
2006-7-20,570,570,570,570,0
2006-7-27,557.18,557.18,557.18,557.18,0
2006-8-30,557.18,565,557.18,565,1
2006-9-6,600,600,600,600,0
2006-9-7,560,560,560,560,3
2006-9-19,599.99,599.99,599.99,599.99,0
2006-9-27,580,580,580,580,1
2006-9-29,605,700,605,700,0
2006-10-6,700,700,695,695,23
2006-10-10,699,700,680,680,40
2006-10-12,686.81,700,686.81,700,29
2006-10-18,700,700,685,685,0
2006-10-27,620,787,620,787,1
2006-10-30,890,942,890,942,0
2006-10-31,942,942,710,710,1
2006-11-1,800,900,799,799,1
2006-11-2,710,730,710,730,38
2006-11-3,720,720.01,720,720,7
2006-11-7,734.99,735.01,734.99,735,5
