Date,Open,High,Low,Close,Volume
2011-12-5,5.36,5.36,4.251,4.7,9
2011-12-6,4.6,4.7,4.6,4.65,9
2011-12-7,4.25,4.25,3,4.2,16
2011-12-8,4.2,4.4,4.2,4.4,3
2011-12-9,4,4.5,4,4,3
2011-12-12,4.4999,4.55,4.4999,4.5,10
2011-12-13,4.5,4.5,4.5,4.5,1
2011-12-15,3.75,3.75,3.75,3.75,2
2011-12-20,3.8,5.25,3.8,4.2,883
2011-12-21,4.2,4.3,4.2,4.29,9
2011-12-22,4.2,4.49,3.75,4.2,899
2011-12-27,4.1,4.1,4.1,4.1,1
2011-12-29,3.81,3.9,3.8001,3.9,31
2011-12-30,3.8002,4.1,3.8001,4.1,98
2012-1-4,3.9,3.9,3.9,3.9,1
2012-1-19,3.85,3.85,3.85,3.85,50
2012-1-20,3.7601,3.7601,3.75,3.75,29
2012-1-23,4,4,3.6,3.6,3
2012-1-25,3.83,4.08,3.83,4.08,173
2012-1-26,4.09,4.1,4.09,4.1,4
2012-1-30,3.95,3.95,3.95,3.95,1
2012-2-6,4.1,4.1,4.1,4.1,1
2012-2-7,4.2,4.3,4.05,4.1999,212
2012-2-8,4.2,4.2,3.95,3.95,23
2012-2-10,4.2,4.6999,3.7109,3.7109,122
2012-2-14,4.2,4.2,4.2,4.2,1
2012-2-15,4.4,4.5,4.4,4.4,36
2012-2-24,3.9001,3.9001,3.9001,3.9001,1
2012-2-27,4.0003,4.0003,4.0003,4.0003,1
2012-2-28,4,4,4,4,45
2012-3-1,4,4,4,4,4
2012-3-5,4.3,4.3,4.3,4.3,4
2012-3-12,4.2,4.2,4.2,4.2,2
2012-3-13,3.91,4.1,3.9,4.1,230
2012-3-14,4.1999,4.1999,4.1999,4.1999,1
2012-3-16,4.0001,4.0238,4.0001,4.0238,3
2012-3-23,4.05,4.15,4.05,4.15,27
2012-3-26,4.05,4.05,4.0001,4.0001,10
2012-3-27,4.2598,4.2598,4.2598,4.2598,1
2012-4-9,4.0001,4.0001,4,4,10
2012-4-10,3.9,4,3.9,4,25
2012-4-11,4,4,4,4,7
2012-4-12,4.3,4.5,4.1,4.1,107
2012-4-16,4.1,4.1,4.1,4.1,2
2012-4-17,4.1,4.1,4.1,4.1,1
2012-4-18,4.1,4.1,4.1,4.1,10
2012-4-20,4.2,4.2,4.1,4.1,69
2012-4-24,4.1,4.1,4,4.05,110
2012-4-25,4.24,4.24,4.24,4.24,204
2012-4-26,3.9,3.9,3.9,3.9,1
2012-5-2,4,4,4,4,3
2012-5-3,4,4,3.9999,4,498
2012-5-4,3.998,3.998,3.998,3.998,500
2012-5-5,3.99,3.99,3.99,3.99,28
2012-5-11,3.5001,3.5001,3.5001,3.5001,3
2012-5-17,3.9999,3.9999,3.9999,3.9999,1
2012-5-23,3.9,3.9,3.9,3.9,20
2012-5-30,3.9999,4.2,3.9,3.9,185
2012-6-1,4,4.0985,4,4.0985,100
2012-6-4,4,4,4,4,1
2012-6-6,3.1001,3.1001,3.1001,3.1001,1
2012-6-13,3.7001,3.7001,3.7,3.7,7
2012-6-14,3.22,3.22,3.22,3.22,1
2012-6-18,3,3,3,3,1
2012-6-19,3.01,3.1,3.01,3.1,18
2012-6-21,3.6,3.6,3.6,3.6,34
2012-7-5,3.5999,3.6,3.5999,3.6,46
2012-7-6,3.4,3.4,3.4,3.4,12
2012-7-9,3.4,3.9,3.3891,3.3891,117
2012-7-10,3.333,3.4558,3.333,3.4558,102
2012-7-12,3.49,3.5995,3.49,3.5995,58
2012-7-13,3.3001,3.3001,3.3,3.3,11
2012-7-16,3.4999,3.5996,3.4999,3.5996,113
2012-7-17,3.5,3.5,3.5,3.5,95
2012-7-18,3.3011,3.3011,3.3,3.3,20
2012-7-19,3.3,3.4795,3.2999,3.2999,80
2012-7-20,3.3,3.4995,3.25,3.25,161
2012-7-23,3.25,3.25,3.25,3.25,3
2012-7-26,3.25,3.25,3.25,3.25,1
2012-7-27,3.25,3.25,3.25,3.25,7
2012-7-30,3.25,3.3895,3.1,3.1,78
2012-7-31,3.25,3.3995,3.25,3.3995,132
2012-8-1,3.25,3.25,3.25,3.25,1
2012-8-2,3.25,3.3998,3.25,3.3998,264
2012-8-3,3.3,3.8755,3.3,3.3011,256
2012-8-6,3.3001,3.7995,3.3,3.75,124
2012-8-7,3.65,3.7998,3.65,3.7998,113
2012-8-8,3.65,3.7992,3.65,3.7992,147
2012-8-9,3.65,3.7997,3.65,3.65,177
2012-8-10,3.65,3.7995,3.65,3.7995,154
2012-8-13,3.8,3.9997,3.8,3.9997,108
2012-8-14,3.79,4,3.79,3.9,783
2012-8-15,3.9,3.9997,3.9,3.9995,106
2012-8-16,3.9,4,3.9,4,143
2012-8-17,4,4.4,4,4.4,57
2012-8-20,4.3,4.3899,3.9001,4.05,212
2012-8-21,4.05,4.06,4.0499,4.06,221
2012-8-22,4.1,4.2985,4.09,4.225,427
2012-8-23,4.225,4.3,3.8182,4.1001,810
2012-8-24,4.3,4.4985,4,4.288,2300
2012-8-27,4.4,4.6,4.2401,4.2401,305
2012-8-28,4.238,4.54,4.238,4.3,172
2012-8-29,4.3999,4.49,4.3,4.49,306
2012-8-30,4.4999,4.55,4.3,4.3,364
2012-8-31,4.35,4.45,4.1,4.2,123
2012-9-3,4.3554,4.525,4.2202,4.2203,194
2012-9-5,4.34,4.3495,4.34,4.3495,20
2012-9-6,4.3494,4.4,4.215,4.24,239
2012-9-7,4.3999,4.4,4.3999,4.4,101
2012-9-10,4.2151,4.2151,4.2151,4.2151,2
2012-9-11,4.2203,4.2203,4,4,64
2012-9-12,4,4.02,3.9,4,993
2012-9-13,4.15,4.1798,3.35,4,1606
2012-9-14,4.03,4.1999,4.03,4.1999,523
2012-9-17,4.2,4.3,4.2,4.3,32
2012-9-18,4.2,4.3,4.2,4.3,698
2012-9-19,4.0901,4.3,4.09,4.3,223
2012-9-20,4.1101,4.2,4.11,4.11,27
2012-9-21,4.2699,4.2699,4.2699,4.2699,2
2012-9-24,4.2499,4.25,4.2,4.2,154
2012-9-25,4.06,4.1999,4.06,4.19,170
2012-9-26,4.11,4.225,4.11,4.225,188
2012-9-27,4.2,4.225,4.19,4.19,443
2012-9-28,4.195,4.24,4.16,4.205,1314
2012-10-1,4.0501,4.215,4.0501,4.215,101
2012-10-2,4.2,4.22,4.2,4.22,220
