Date,Open,High,Low,Close,Volume
2012-1-9,4.1,4.1,4.1,4.1,1
2012-3-1,3.6,3.6,3.6,3.6,38
2012-3-6,3.9,3.9,3.9,3.9,53
2012-3-16,4,4,4,4,8
2012-3-20,4.05,4.05,4.05,4.05,1
2012-3-23,4.6,4.6,4.6,4.6,1
2012-3-27,4.3,4.3,4.3,4.3,62
2012-4-12,4.35,4.35,4.35,4.35,10
2012-4-23,4.1,4.1,4.05,4.05,50
2012-4-24,4.3,4.3,4.3,4.3,1
2012-4-25,4.24,4.24,4.24,4.24,49
2012-5-2,4,4,4,4,32
2012-5-4,3.998,3.998,3.998,3.998,16
2012-7-6,3,3,3,3,5
2012-7-9,3.1,3.4,3,3.2,111
2012-7-10,3.033,3.033,3.033,3.033,100
2012-7-19,2.55,3,2.5058,3,230
2012-7-20,2.9999,2.9999,2.54,2.7,160
2012-7-24,2.5003,2.5003,2.5003,2.5003,1
2012-7-27,2.4949,2.5,2.4949,2.5,6
2012-8-1,2.6999,2.6999,2.6999,2.6999,1
2012-8-2,2.5999,2.6,2.5999,2.6,10
2012-8-3,2.7,2.7,2.7,2.7,40
2012-8-6,2.7,2.7,2.7,2.7,10
2012-8-8,2.6,2.6,2.6,2.6,10
2012-8-10,2.6,2.6,2.6,2.6,150
2012-8-13,2.8,2.8,2.6,2.6,16
2012-8-14,2.75,2.8,2.642,2.642,35
2012-8-15,2.5,2.8,2.5,2.8,37
2012-8-16,2.62,2.62,2.6,2.6,100
2012-8-17,2.9485,2.9485,2.6,2.6,338
2012-8-20,2.6,2.6,2.6,2.6,503
2012-8-21,2.5999,2.6,2.5999,2.6,6
2012-8-22,2.7,2.7,2.55,2.55,4210
2012-8-23,2.7,2.75,2.5999,2.5999,57
2012-8-24,2.625,2.645,2.595,2.595,707
2012-8-27,2.6,2.9,2.6,2.605,2049
2012-8-28,2.65,2.7499,2.5501,2.5501,601
2012-8-29,2.7,2.7495,2.65,2.65,444
2012-8-30,2.7,2.725,2.58,2.71,837
2012-8-31,2.7,2.7495,2.45,2.59,477
2012-9-3,2.75,2.8499,2.505,2.6,1599
2012-9-4,2.6998,2.7497,2.65,2.6999,180
2012-9-5,2.69,2.7,2.6,2.6398,346
2012-9-6,2.6498,2.7,2.55,2.7,1218
2012-9-7,2.7,2.7498,2.55,2.55,1141
