Date,Open,High,Low,Close,Volume
2014-3-6,400,501,335.06,343.4,12633
2014-3-7,415,415,305,349,13373
2014-3-11,372,372,337.5,337.5,18455
2014-3-12,311,359,301,328,15378
2014-3-13,331,331,321.5,321.5,4602
2014-3-14,319,321,290,311.9,45235
2014-3-17,315,315,300,303,41656
2014-3-18,308.5,344.99,306.8,334,62247
2014-3-19,325,329.5,319.8,329.2,47967
2014-3-20,327.01,331,326,329.01,15093
2014-3-21,320,334.25,320,329,10087
2014-3-24,331,335,330,333,25324
2014-3-25,334.25,400,321.11,331,40445
2014-3-26,337.97,338,331.22,333,14018
2014-3-27,337.9,337.9,334,334,2137
2014-3-28,334.56,338.2,334.01,334.01,2042
2014-3-31,331,345,331,345,28545
2014-4-1,339,342.2,338,338,4375
2014-4-2,339,348.45,339,348.45,31282
2014-4-3,350,352.3,350,352.1,1455
2014-4-4,353.05,355,350.11,355,284
2014-4-7,357.42,357.42,353.62,356,49704
2014-4-8,354.01,357.39,352.93,352.93,894
2014-4-9,354.3,358.1,352.8,352.8,21703
2014-4-10,355.5,356.5,353.01,353.05,10633
2014-4-11,353,355,351.6,354,10633
2014-4-14,333.03,356,212.66,352.5,36458
2014-4-15,351.01,354.49,322.01,343.15,49739
2014-4-16,342.01,346.4,342,343,10019
2014-4-17,348.4,357,348.4,354.3,33156
2014-4-18,358.55,366.5,358.55,362.5,3092
2014-4-21,352.5,353.5,352,353.5,2086
2014-4-22,351.1,352.5,342,345.3,30083
2014-4-23,343.5,345.3,341.01,342.99,11556
2014-4-24,343,345.3,338,338,33213
2014-4-25,330,340,330,338,32878
2014-4-28,334,337.3,334,337.3,21286
2014-4-29,295.5,342.3,295.5,342.3,55929
2014-4-30,364.9,365,301.01,342.5,24455
2014-5-2,341.4,341.4,339,339,12202
2014-5-5,341.48,341.5,341.48,341.48,14045
2014-5-6,341.49,342,340,342,27404
2014-5-7,340,344.3,340,344.3,38025
2014-5-8,343,349.9,343,349.9,30111
2014-5-12,350,351,348,350,55186
2014-5-13,351,351,348.5,349,42727
2014-5-14,350,350,347.5,349.99,42820
2014-5-15,349,349,346.5,346.5,42233
2014-5-16,346,348,345.5,347,26994
2014-5-19,346,346,337.5,339.3,50514
2014-5-20,339.3,339.3,338,338,25906
2014-5-21,338.3,338.3,335,337.5,28543
2014-5-22,337,359.5,336,358.5,116266
2014-5-23,370,379.38,358.5,361,84081
2014-5-26,363.5,363.5,361,363.5,13142
2014-5-27,364.5,368.45,364,368.45,43101
2014-5-28,365.4,399.85,363,385,58930
2014-5-29,390,468.29,389,411,58766
2014-5-30,417.22,436.53,401.18,414.5,22624
2014-6-2,416.9,430,414,415,86534
2014-6-3,429.98,430,413,419,67438
2014-6-4,425,435,418,429,145286
2014-6-5,430,430,400.13,419,39785
2014-6-6,419,420,412,413,24694
2014-6-9,429.9,444,392.21,400,55806
2014-6-10,401,419,396,412,97780
2014-6-11,417.7,421,410,418,96121
