Date,Open,High,Low,Close,Volume
2009-1-14,1400,1400,1400,1400,2
2009-1-15,1960,1960,1960,1960,1
2009-1-21,1950,1950,1800,1830,3
2009-1-23,1650,1700,1650,1700,2
2009-1-26,1695,1719,1695,1719,3
2009-1-27,1730,1740,1730,1740,3
2009-1-28,1750,1795,1750,1795,7
2009-1-29,1760,1760,1650,1650,26
2009-1-30,1650,1675,1640,1645,8
2009-2-2,1650,1650,1650,1650,1
2009-2-3,1630,1649,1600,1649,11
2009-2-4,1620,1660,1500,1600,45
2009-2-5,1500,1620,1500,1600,6
2009-2-6,1600,1600,1300,1380,129
2009-2-9,1390,1440,1300,1435,55
2009-2-10,1430,1438.9,1350,1420,159
2009-2-11,1449,1478,1430,1478,22
2009-2-12,1500,1500,1500,1500,2
2009-2-13,1489,1540,1350,1520,609
2009-2-16,1517,1517,1350.01,1350.01,2
2009-2-17,1357,1395,1200,1318,51
2009-2-18,1300,1549,1199,1330,347
2009-2-19,1300.01,1390,1300,1390,271
2009-2-20,1399.98,1450,1081,1398.99,97
2009-2-24,1399.99,1500,1111,1348,47
2009-2-25,1300,1397.77,1113,1287,207
2009-2-26,1300.02,1300.02,1190,1214.99,5
2009-2-27,1214.99,1279,1100,1199,24
2009-3-2,1200,1200,1101,1200,6
2009-3-3,1187,1225,1100,1100,26
2009-3-4,1101,1188.99,1100,1120,27
2009-3-5,1125,1125,1120,1120,10
2009-3-6,1169.99,1200,1000,1200,68
2009-3-10,1101,1164.89,1101,1164.89,14
2009-3-11,1150,1169.99,1100,1100,5
2009-3-12,1176,1249.9,1120,1159.99,83
2009-3-13,1111.01,1197,1100,1197,31
2009-3-16,1189,1199.99,1141.01,1199.99,78
2009-3-17,1198.9,1198.9,1198.9,1198.9,1
2009-3-19,1150,1197,1150,1197,28
2009-3-20,1210,1299,1120,1199,22
2009-3-23,1200,1200,1155,1155,4
2009-3-24,1115,1200,1115,1198,56
2009-3-25,1145,1187,1100,1187,69
2009-3-26,1186,1199.9,1125,1126.01,107
2009-3-27,1157,1157,1120,1120,26
2009-3-30,1200,1218.98,1189,1200,35
2009-3-31,1299.99,1310,1124,1124,79
2009-4-1,1127,1160,1127,1160,51
2009-4-2,1170,1170,1155,1155,6
2009-4-3,1113,1195,950.83,1150,399
2009-4-6,1125,1134.99,1020,1020,120
2009-4-7,1117.7,1187.7,1040,1100,407
2009-4-8,1140,1145,1023,1114.99,14
2009-4-9,1147,1148,1120,1128,20
2009-4-10,1120,1139,1120,1120,25
2009-4-13,1112.05,1125,1100,1105,72
2009-4-14,1100.02,1130,1100,1100,88
2009-4-15,1088,1112,1029.99,1055,181
2009-4-16,1100,1127,1013,1090,318
2009-4-17,1094.98,1095,1089.99,1095,18
2009-4-20,1075,1075,1025,1039,27
2009-4-21,1094.34,1300,1035,1099,90
2009-4-22,1023,1090,1000,1019,90
2009-4-23,1095,1095,1005,1040,71
2009-4-24,1089,1100,1031,1031,71
2009-4-27,1098,1100,1006,1059.97,360
2009-4-28,1010,1020,1000,1016,126
2009-4-29,1000,1035,995,1015,105
2009-4-30,1025,1044,1000,1035,463
2009-5-4,1047,1059,1025,1049.99,192
2009-5-5,1089.5,1089.5,1001.1,1042.99,486
2009-5-6,1055.99,1079,1050,1050,217
2009-5-7,1077,1130,1062,1085,160
2009-5-8,1084,1084,1042.01,1079.99,15
2009-5-12,1069.99,1083,1020,1082.97,323
2009-5-13,1080,1125,1065,1065,295
2009-5-14,1045,1140,1038,1075,98
2009-5-15,1060,1082,1045,1082,39
2009-5-18,1082,1094,1070,1092,45
2009-5-19,1051,1080,1050,1050,275
2009-5-20,1060,1075,1045,1075,480
2009-5-21,1050.1,1069,1045,1069,38
2009-5-22,1064.5,1066,1028,1054.05,218
2009-5-25,1045,1079,1030.01,1069,376
2009-5-26,1097.56,1097.56,1040,1040,42
2009-5-27,1045,1045,1031.01,1031.01,31
2009-5-28,1025,1025,1020,1025,468
2009-5-29,1025.5,1039.98,1000,1025,597
2009-6-1,1015.09,1037.95,1013,1034.98,484
2009-6-2,1017.01,1044,1017.01,1044,101
2009-6-3,1021.1,1022,1021,1021,343
2009-6-4,1035,1044.99,1011.01,1013.01,69
2009-6-5,1014,1038.5,1007,1038,203
2009-6-8,1006.01,1024.49,989,998.99,66
2009-6-9,1047,1049,980,1000,271
2009-6-10,1001,1001,1000,1000,9
2009-6-11,973,1001.88,973,1000,103
2009-6-15,1029,1029,968.69,988,158
2009-6-16,988.01,988.01,970.1,970.1,77
2009-6-17,971.03,977,940.99,941,202
2009-6-18,995,995,860.01,949.98,121
2009-6-19,990,1008,900,900,103
2009-6-22,902.07,902.07,856,856,96
2009-6-23,950,950,823,850,26
2009-6-24,900,900,850,850,123
2009-6-25,860,860,852,852,93
2009-6-26,906,929.89,900,929.89,96
2009-6-29,852,889.96,730.01,835,148
2009-7-1,888.99,889,888,888.01,106
2009-7-3,889.99,969.99,860.01,943,49
2009-7-7,830.01,930,830.01,929,224
2009-7-8,836.01,897,780,897,102
2009-7-9,800,869.99,753,805,155
2009-7-10,844.99,844.99,815,835,4
2009-7-14,890,890,800,800,425
2009-7-15,800,800,750.01,787,257
2009-7-16,800,800,800,800,1
2009-7-22,770.01,770.05,770.01,770.05,9
2009-7-23,896,896,799.96,799.96,6
2009-7-24,799.99,800,799.98,799.98,22
2009-7-27,799.96,799.96,799.96,799.96,1
2009-7-28,795,795,795,795,1
2009-7-29,819.99,819.99,770,797.5,303
2009-7-30,730,742,650.03,715,706
2009-7-31,735,739,715,715,121
2009-8-3,739,740,720,730.77,93
2009-8-4,730,730,730,730,10
2009-8-5,722,770,700,770,255
2009-8-6,760,760,760,760,98
2009-8-7,716,722,713,722,275
2009-8-10,730,730,730,730,2
2009-8-11,740,740,705.02,705.02,51
2009-8-12,752.75,752.75,702,702,7
2009-8-13,703.23,716,702,716,35
2009-8-14,705.01,705.01,705.01,705.01,5
2009-8-18,718,718,699,699,59
2009-8-19,699.99,700,699.99,700,14
2009-8-20,667.01,691,640,691,321
2009-8-21,697.7,715,697.7,715,124
2009-8-24,700.01,715,700,706,111
2009-8-25,714.99,715.01,714.99,715,30
2009-8-26,724,724,702.02,702.02,2
2009-8-27,721,722,690,690,153
2009-8-28,640.02,670,606.66,670,140
2009-8-31,687,725,687,723,206
2009-9-1,700,700,700,700,1
2009-9-2,724.7,735,724.7,735,105
2009-9-3,710.02,760,710.02,750,297
2009-9-4,740,755,685,725,431
2009-9-7,730,730,701,701,158
2009-9-8,711,744,711,744,52
2009-9-9,715,745,715,745,14
2009-9-10,705,707,697,697,268
2009-9-11,700,729.9,697,729.9,95
2009-9-14,733.71,760,715,745.5,336
2009-9-15,758,761.32,757,761.32,151
2009-9-16,770,961,749.79,899.5,1247
2009-9-17,950,960,800,895,480
2009-9-18,889.94,889.94,889.94,889.94,1
2009-9-21,801,841.02,800,816,519
2009-9-22,814.99,849.99,814.99,839,188
2009-9-23,839,847,800,834,116
2009-9-24,829.99,829.99,800.5,827,138
2009-9-25,830,888,830,855,151
2009-9-28,855,889,826,876,125
2009-9-29,883,883,792,840,436
2009-9-30,877,877,825,825,29
2009-10-1,820.01,850,820,850,43
2009-10-2,855,855,803,819,62
2009-10-5,818.99,830,790,830,117
2009-10-6,819,849.91,800,845,168
2009-10-7,869.57,869.6,845,845,126
2009-10-8,875.5,975,875.5,929.71,581
2009-10-9,919.99,930,900,909,163
