Date,Open,High,Low,Close,Volume
2009-6-19,175,175,175,175,1
2009-6-22,245,245,245,245,5
2009-6-23,343,343,343,343,21
2009-6-24,480.2,480.2,480.2,480.2,32
2009-6-25,480.21,480.21,330.01,330.01,12
2009-6-26,343,350,280.11,350,34
2009-6-29,300.64,360,300.64,350,37
2009-6-30,355,410,330,393.64,352
2009-7-1,385.5,385.5,372,385,89
2009-7-2,385,440,246,340,543
2009-7-3,340,340,280,309.99,449
2009-7-6,293,309.68,250,299,208
2009-7-7,280,300,246,250,233
2009-7-8,285,289.99,256,256,14
2009-7-9,246,258.5,215,238.76,233
2009-7-10,275,290,250,270,4648
2009-7-13,284.5,302,241,251.01,68
2009-7-14,194.5,264,194.5,250,245
2009-7-15,256,256,250,250,5
2009-7-16,260,260,260,260,1
2009-7-17,260,284.97,257,257,12
2009-7-20,245,245,226,230.53,63
2009-7-21,260,260,200.01,216,213
2009-7-22,240,240,205,205,67
2009-7-23,225,244,210,230,76
2009-7-24,225,243.9,215,236.24,84
2009-7-27,225.5,238,201,230,222
2009-7-28,215.5,215.5,201,202.15,172
2009-7-29,201,213.12,200,213.12,73
2009-7-30,213.94,222,199.63,220,126
2009-7-31,218,225,201,215,124
2009-8-3,217,218.5,205,205.51,239
2009-8-4,217,217.8,204.05,204.05,81
2009-8-5,224,242,224,225,87
2009-8-6,239,240,239,240,16
2009-8-7,240,242,235,240,46
2009-8-10,241,241.98,230,234.99,54
2009-8-11,241.99,277.77,232,240,333
2009-8-12,250,259.99,235,257.96,101
2009-8-13,259.99,276.98,259.99,272,224
2009-8-14,278.99,278.99,255.01,278,167
2009-8-17,245,288.88,245,279.99,150
2009-8-18,296.99,297,270,270,39
2009-8-19,234.19,261,234.19,260,18
2009-8-21,260,272.61,260,272.61,48
2009-8-24,280,288,261.03,284,67
2009-8-25,272.99,289.98,262.01,289.98,217
2009-8-26,275.01,290,260,284,319
2009-8-27,272.2,284.5,269.05,273.89,106
2009-8-28,289.97,289.97,251,274,286
2009-8-31,273.22,275,250.5,275,162
2009-9-1,275,288,255,285,482
2009-9-2,269.72,305,269.72,305,1106
2009-9-3,285,309.98,285,309.98,91
2009-9-4,300,310,290,305,447
2009-9-7,305,307.5,300,307.5,44
2009-9-8,307.5,309,307.5,309,13
2009-9-10,298.09,309.97,290,309.97,53
2009-9-11,295,310,289.99,310,1215
2009-9-15,309.97,310,296,296,100
2009-9-16,309.96,330.01,309.96,325,511
2009-9-17,338,425,338,360,1009
2009-9-18,359.95,400,329.99,400,1249
2009-9-21,370.39,395,317.13,364.99,159
2009-9-22,394.84,394.99,370,394.97,38
2009-9-23,395,399,345,345,407
2009-9-24,371.97,374.99,350,373,110
2009-9-25,374.97,374.97,374.97,374.97,1
2009-9-28,372.86,397.95,350.02,396.97,137
2009-9-29,396.99,396.99,396.99,396.99,1
2009-9-30,398.97,398.97,389.99,390,22
2009-10-1,390,390,360,390,33
2009-10-2,390,390,370,370,2
2009-10-5,350.01,374,350.01,374,32
2009-10-6,390,390,350,370,240
2009-10-7,390,390,345,370,646
2009-10-8,389.99,389.99,375,375,111
2009-10-9,387,389.94,387,389.94,20
2009-10-12,398,400,390,400,29
2009-10-13,410,410,365.02,394.96,17
2009-10-14,397,397,355.01,390.88,273
2009-10-15,394.97,394.97,371,371,69
2009-10-16,379.99,400,379.99,399.49,76
2009-10-19,388,399.47,381.25,398.99,59
2009-10-20,397.65,397.65,397.65,397.65,1
2009-10-21,399.5,450,355,392.9,226
2009-10-23,399,399,399,399,1
2009-10-26,385,399,385,399,4
2009-10-27,380,392.95,355.14,392.95,21
2009-10-28,400,415,384,384,7
