Date,Open,High,Low,Close,Volume
2006-3-20,5,5,5,5,1
2006-6-20,3.75,3.75,1.76,1.76,10
2006-8-11,1.72,4.3,1.72,4.3,551
2006-8-22,4.3,4.3,4.3,4.3,1
2006-8-28,1.8,2.254,1.8,2.254,2
2006-8-29,2.301,2.301,2.301,2.301,1
2006-8-30,2.302,2.302,2.301,2.301,2
2006-8-31,4.9,4.9,3.011,3.011,3
2006-9-1,4.9,4.9,4.9,4.9,3
2006-9-6,3.6,3.601,3.6,3.601,107
2006-9-7,3.6,3.6,3.6,3.6,5
2006-9-15,3.74,3.75,3,3,61
2006-9-25,3.001,3.001,2.61,2.61,22
2006-10-20,3.6,3.6,3.6,3.6,20
2006-10-24,3.7,3.7,3.7,3.7,100
2006-10-26,3.75,3.99,1,3.099,26
2006-10-27,3.75,3.75,3.75,3.75,1
2006-11-3,2.5,3.748,2.5,3.748,133
2006-11-9,3.747,3.75,3.747,3.75,80
2006-11-13,3.25,3.25,3.25,3.25,1
2006-11-14,3.749,3.75,2.7,2.99,1504
2006-11-16,2.81,2.95,2.65,2.65,551
2006-11-22,2.8,2.85,2.8,2.85,401
2006-11-23,2.85,2.9,2.85,2.9,48
2006-11-24,2.71,2.9,2.71,2.9,552
2006-11-27,3,3,3,3,901
2006-11-28,2.85,2.85,2.85,2.85,188
2006-11-29,3,3.177,3,3.177,1088
2006-11-30,3.5,3.5,3.5,3.5,1
2006-12-5,3.5,3.95,3.5,3.95,40
2006-12-6,3.95,3.95,3.95,3.95,1
2006-12-11,3.95,3.95,3.95,3.95,1
2006-12-12,3.23,3.23,3.1,3.1,21
2007-1-15,3.47,3.47,3.47,3.47,2
2007-1-16,3.5,3.5,3.5,3.5,17
2007-1-17,3.56,3.56,3.56,3.56,20
2007-1-18,3.5,3.6,3.5,3.51,62
2007-1-22,3.5,3.5,3.5,3.5,21
2007-1-23,3.5,3.7,3.5,3.7,965
2007-1-29,4,4,3.58,3.58,7
2007-1-30,3.59,3.59,3.59,3.59,369
2007-1-31,3.75,3.797,3.75,3.797,10
2007-2-1,3.797,4,3.797,3.99,60
2007-2-5,3.95,3.98,3.95,3.98,221
2007-2-6,3.55,3.68,2.363,3.52,263
2007-2-7,3.67,3.67,3.67,3.67,81
2007-2-8,3.67,4.54,3.67,3.9,1056
2007-2-9,4.9,5,4.5,4.75,279
2007-2-12,4.705,4.705,4.705,4.705,2
2007-2-19,5.23,5.38,5.01,5.01,16
2007-3-1,4.575,4.9,4.5,4.9,212
2007-3-2,4.5,4.65,4.5,4.65,45
2007-3-5,4.5,4.5,4.5,4.5,5
2007-3-7,4.5,4.5,4.5,4.5,4
2007-3-12,4.71,4.71,4.5,4.5,25
2007-3-14,4.5,4.5,4.5,4.5,8
2007-3-20,3.7,3.7,3.3,3.5,402
2007-3-21,3.5,3.97,3.5,3.6,365
2007-3-22,4.1,4.47,3.751,3.8,52
2007-3-23,4.2,4.3,4.2,4.3,35
2007-3-26,4.3,4.502,4.3,4.5,33
2007-3-27,4.32,4.32,4,4,74
2007-3-28,4.25,4.25,3.9,3.902,398
2007-3-29,3.871,4.05,3.871,4,140
2007-3-30,4.01,4.8,4,4.299,406
2007-4-2,4,4.489,4,4.489,609
2007-4-3,4.001,4.5,4.001,4.5,31
2007-4-4,4.3,4.74,4.3,4.74,41
2007-4-5,4.352,4.559,4.35,4.559,10
2007-4-6,4.719,4.719,4.4,4.41,39
2007-4-9,4.799,5.1,4.3,4.3,210
2007-4-10,4.5,5.2,4.5,5.2,135
2007-4-11,5.2,5.2,5.2,5.2,7
2007-4-12,4.8,5,4.15,4.75,324
2007-4-13,4.351,4.4,4.3,4.3,128
2007-4-16,4.351,4.351,4.35,4.35,30
2007-4-17,4.034,4.399,4.034,4.36,3
2007-4-18,4.2,4.2,4.2,4.2,23
2007-4-19,4.04,4.377,4,4.37,335
2007-4-20,4.2,4.377,4.18,4.377,206
2007-4-23,4.478,4.478,4.3,4.3,11
2007-4-24,4.2,4.2,4,4,350
2007-4-25,4,4,3.92,4,65
2007-4-26,3.861,4.149,3.861,4.149,53
