Date,Open,High,Low,Close,Volume
2005-6-15,9.8,9.8,9.8,9.8,100
2005-6-21,9.95,9.95,9.95,9.95,100
2005-7-27,9.7,9.7,9.7,9.7,200
2005-8-3,31,31,31,31,87
2005-9-27,30,30,30,30,69
2005-9-30,33,33,30,30,5
2006-1-30,20,20,20,20,5
2006-2-15,23,23,22.5,22.5,40
2006-2-16,22,22,22,22,6
2006-3-10,21.5,21.5,21.5,21.5,1
2006-3-17,19.8,20,19.8,20,3
2006-4-14,18,18,18,18,7
2006-4-24,15,15,15,15,12
2006-5-15,15,15,15,15,22
2006-5-19,15,15,15,15,15
2006-5-22,15.5,15.5,15.5,15.5,15
2006-6-21,15.001,15.001,15.001,15.001,7
2006-7-10,14.5,14.5,14.5,14.5,7
2006-7-31,15,15,15,15,5
2006-9-19,18,19,18,19,33
2006-9-21,19.999,19.999,19.999,19.999,11
2006-9-22,22,22,22,22,15
2006-9-27,19,20.5,19,20.5,3
2006-9-29,20.5,20.5,20.5,20.5,100
2006-10-3,21,21,21,21,39
2006-10-9,23,23,23,23,9
2006-10-10,23.8,24,23.6,23.6,42
2006-10-16,24.5,24.5,24.5,24.5,20
2006-10-17,24,24,24,24,2
2006-10-18,24,25.2,24,25.1,204
2006-10-19,25.4,25.4,25.4,25.4,20
2006-10-20,25,25,25,25,170
2006-10-30,26,26,26,26,1
2006-11-1,28,33,28,33,94
2006-11-2,33.299,33.305,33,33,18
2006-11-3,33,33.3,33,33.3,64
2006-11-7,33.3,33.5,31.01,33,57
2006-11-9,32,40,32,40,129
2006-11-10,37.21,37.21,37.21,37.21,1
2006-11-13,39,42,39,42,18
2006-11-14,42,43,41.01,43,41
2006-11-15,44.2,48.8,44.2,48.8,153
2006-11-16,48,48.1,47,48,94
2006-11-17,49,50,48.5,50,50
2006-11-20,50,51.2,49.5,49.5,60
2006-11-21,49.999,49.999,48.5,48.5,57
2006-11-22,47,47,47,47,20
2006-11-23,45,48.3,45,46,18
2006-11-24,45.2,47.5,45.2,47.5,111
2006-11-27,48,48.94,48,48.75,216
2006-11-28,48.7,48.7,48.4,48.4,15
2006-11-29,48.2,49,48,49,82
2006-11-30,49.5,50,49,49.84,92
2006-12-1,49.7,50,48.25,48.25,185
2006-12-4,48.51,48.7,48.51,48.7,23
2006-12-5,48.2,49,48.2,49,51
2006-12-6,49.49,49.49,48,48.9,88
