Date,Open,High,Low,Close,Volume
2007-11-30,1769,1769,1768,1768,10721
2007-12-27,1788,1788,1787,1787,600
2008-2-20,1658,1658,1658,1658,1600
2008-2-21,1560,1675,1560,1650,1202
2008-3-3,1764,1764,1726,1763,317
2008-3-4,1752,1800,1740,1800,17
2008-3-11,1807,1807,1807,1807,45
2008-3-12,1859,1859,1859,1859,1
2008-3-13,2000,2000,1806,2000,206
2008-3-14,2000,2000,2000,2000,2
2008-3-17,1800,2100,1791.9,2100,813
2008-3-18,1791,1791,1706,1791,47
2008-3-19,1857,2000,1857,2000,11
2008-3-20,1730.02,1730.02,1710,1710,11
2008-3-21,1715,1715,1711,1712,9
2008-3-24,2000,2000,1813,1813,2
2008-3-25,1850,1860,1812,1833,419
2008-3-27,1710.01,1880,1710,1880,4
2008-3-28,1774,1774,1774,1774,51
2008-4-1,1700,1700,1700,1700,1
2008-4-7,1715,1715,1715,1715,11
2008-4-11,1880,1900,1880,1899,18
2008-4-16,1800,1800,1800,1800,9
2008-4-21,1889.99,1890,1889.99,1890,15
2008-4-22,1900,1900,1785,1785,5
2008-4-24,1750,1750,1750,1750,21
2008-4-25,1800,1800,1800,1800,340
2008-4-28,1800,1800,1800,1800,340
2008-4-29,1800,1800,1800,1800,100
2008-4-30,1835,1835,1750,1750,13
2008-5-7,1810,1845,1810,1845,7
2008-5-8,1845,1845,1765,1845,12
2008-5-12,1880,1890,1880,1890,3
2008-5-13,1890,1890,1890,1890,1
2008-5-14,1949.99,1999.98,1949.99,1950,89
2008-5-16,1920.01,1920.01,1920.01,1920.01,3
2008-5-19,1855,1855,1855,1855,1
2008-5-20,1880,1880,1880,1880,1
2008-5-21,2000,2400,1860,1860,54
2008-5-22,2000,2000,1900,1900,7
2008-5-26,1980,1980,1980,1980,1
2008-5-27,1980,1980,1980,1980,5
2008-5-28,1900,1915,1900,1915,229
2008-5-29,1880,1900,1880,1900,302
2008-5-30,1900,1900,1900,1900,300
2008-6-2,1930,1940,1930,1932,29
2008-6-4,2205.72,2205.72,1790,1790,220
2008-6-5,1810,1810,1770,1770,220
2008-6-6,1750,1850,1750,1850,35
2008-6-9,1840,1889,1700,1745,532
2008-6-10,1700,1700,1699,1699,13
2008-6-11,1731,1731,1700,1700,59
2008-6-16,1745,1880,1700,1700,40
2008-6-17,1735,1736,1735,1736,43
2008-6-18,1701,1701,1690.03,1700,201
2008-6-19,1699.03,1700,1699,1699,6
2008-6-20,1740,1740,1730,1730,23
2008-6-23,1750,1750,1750,1750,3
2008-6-24,1720,1720,1720,1720,1
2008-6-25,1750,1765,1700,1700,8
2008-6-26,1710,1710,1710,1710,1
2008-6-27,1720,1720,1650,1650,25
2008-6-30,1650,1650,1635,1635,28
2008-7-1,1636,1636,1636,1636,100
2008-7-2,1590,1590,1550,1550,7
2008-7-3,1580,1580,1540.05,1540.05,31
2008-7-4,1550,1625,1550,1550,53
2008-7-7,1650,1650,1650,1650,1
2008-7-8,1600,1780,1600,1600,7
2008-7-11,1540,1540,1490,1490,54
2008-7-15,1490,1490,1490,1490,1
2008-7-16,1500,1500,1480,1480,3
2008-7-17,1500,1600,1500,1600,50
2008-7-18,1600,1700,1500,1500,176
2008-7-21,1440,1440,1400,1400,44
2008-7-22,1400,1400,1300,1366.67,968
2008-7-23,1370,1390,1370,1390,3
2008-7-24,1370,1370,1370,1370,460
2008-7-28,1400,1499.98,1190.01,1359,12
2008-7-29,1448.99,1448.99,1448.99,1448.99,1
2008-7-30,1445.98,1445.99,1445.98,1445.99,10
2008-7-31,1549.96,1549.96,1538.96,1538.96,2
2008-8-6,1639.97,1640,1637.99,1640,10
2008-8-11,1201,1211,1195,1211,9
2008-8-12,1201,1477.58,1201,1477.58,11
2008-8-13,1501,1501,1330,1330,3
2008-8-14,1450,1450,1450,1450,1
2008-8-15,1499,1499,1499,1499,1
2008-8-19,1600,1600,1600,1600,1
2008-8-20,1430,1495,1430,1495,1202
2008-8-21,1550,1550,1550,1550,1
2008-8-22,1301,1301,1300,1300,14
2008-8-29,1445.99,1445.99,1150,1150,4
2008-9-2,1300,1300,1300,1300,1
2008-9-4,1400,1400,1400,1400,1
2008-9-8,1398.02,1398.02,1398.02,1398.02,1
2008-9-9,1400,1400,1400,1400,1
2008-9-10,1120,1399.99,1120,1120,6
2008-9-11,1395,1395,1395,1395,1
2008-9-12,1320,1320,1200,1200,28
2008-9-15,1320,1320,1320,1320,1
2008-9-19,1200,1200,842,1015.31,50
2008-9-22,1120,1120,1118.88,1118.88,11
2008-10-2,1118.88,1118.88,1118.88,1118.88,3
2008-10-3,1118.88,1118.88,1118.88,1118.88,21
2008-10-7,1118.88,1118.88,839.16,839.16,546
2008-10-13,797.68,797.68,797.68,797.68,14
2008-10-15,797.68,797.68,797.68,797.68,19
2008-10-16,797.68,797.68,797.68,797.68,10
2008-10-29,797.68,797.68,797.68,797.68,1
2008-11-1,797.68,797.68,797.68,797.68,5
2008-11-5,797.68,797.68,797.68,797.68,1
2008-11-6,797.68,800,797.68,800,666
2008-11-10,599.5,649.04,599.05,599.05,68
2008-11-14,599.05,599.99,396.41,396.41,1953
2008-11-17,396.15,396.15,396.15,396.15,15
2008-11-18,396.15,396.15,396.15,396.15,83
2008-11-19,396.15,396.15,396.15,396.15,148
2008-11-25,175,175,140,145,355
2008-11-27,140,155,121,155,1053
2008-11-28,140.01,140.01,135,138,6809
2008-12-1,145,145,130,130,690
2008-12-2,140,145,127,132.5,893
2008-12-3,130,130,108,108,12054
2008-12-4,120,120,101,110,1869
2008-12-5,107,110,107,110,501
2008-12-8,115,115,115,115,743
2008-12-9,119,119,119,119,6
2008-12-10,115,115,114,114,601
2008-12-11,119,119.9,110,110,502
2008-12-12,119.9,119.9,110,111,121
2008-12-15,112,119.9,106.1,115.15,2086
2008-12-16,120,121,113.5,118,4826
2008-12-17,122,122,116.25,122,322
2008-12-18,120,135,120,127.27,2026
2008-12-19,129,135,122.5,130,1213
2008-12-22,125,130,125,128,432
2008-12-23,126,127.98,117,117,2430
2008-12-24,130,130,125,130,294
2008-12-26,135,135,118.01,128,1468
2008-12-29,128,128,125,128,1012
2008-12-30,140,140,125,125,1397
2008-12-31,125,125,122,122,2144
2009-1-11,130,150,130,140.01,266
2009-1-12,150,150,149.98,150,789
2009-1-13,140.1,155,130,154.99,2338
2009-1-14,153,160,150,150,859
2009-1-15,144,145.12,144,145,35
2009-1-16,150,155,150,155,366
2009-1-19,150,150,139,139,518
2009-1-20,150,150,131.51,131.51,44
2009-1-21,130.01,143,130.01,135,30
2009-1-22,139.99,139.99,129.99,130,3853
2009-1-23,129,130,125,130,7162
2009-1-26,130,130,123,123,228
2009-1-27,121,128,120,121,819
2009-1-28,129,129,129,129,81
2009-1-30,112,130,111.01,130,105
2009-2-2,129,131,129,130,5371
2009-2-3,135,135,117,118.5,13581
2009-2-4,120,122,111,114,20461
2009-2-5,115.01,119,115,117,8329
2009-2-6,127.1,127.1,117,117,3633
2009-2-9,120,121,117,119,3396
2009-2-10,119,129.99,118,125,9490
2009-2-11,125,140,125,125,5479
2009-2-12,125,125,116,117.51,5966
2009-2-13,116.03,124.1,116.03,118.1,822
2009-2-16,120,122,115,122,528
2009-2-17,115.11,115.11,115,115,104
2009-2-18,115,119,110,111,2283
2009-2-19,111,114,110,110,1112
2009-2-20,106.01,113,106.01,110,1230
2009-2-24,115,123,115,116.15,369
2009-2-25,116.2,120,114.05,120,94
2009-2-26,120,122,120,122,500
2009-2-27,120.25,120.25,115.5,116,3394
2009-3-2,116,116,109,110,12793
2009-3-3,110,112,110,111,10128
2009-3-4,110,115.5,109,110,16039
2009-3-5,110,116,107,115,1460
2009-3-6,108.5,112,107,112,631
2009-3-10,112,118.5,110,118.5,1407
2009-3-11,111.11,116,110.12,113,6770
2009-3-12,112.3,113,112,112,8131
2009-3-13,114.99,115,114,114,642
2009-3-16,114,115.01,109,111,26514
2009-3-17,114.98,114.98,110.01,114.8,277
2009-3-18,111.15,114.79,111.11,111.61,2044
2009-3-19,114,130,114,125.25,9507
2009-3-20,125,145.97,124,134,36540
2009-3-23,137.51,139.87,132.09,138.5,26140
2009-3-24,138.99,138.99,128.33,131.85,10235
2009-3-25,134.98,136,130,135.48,8526
2009-3-26,133.5,143.01,133.5,143.01,28258
2009-3-27,146,168,146,157.98,33073
2009-3-30,154,154,144.5,145,4839
2009-3-31,152.99,155,151,152,2741
2009-4-1,146.01,153.99,145.52,145.52,1579
2009-4-2,154.99,159,150.61,153,13721
2009-4-3,154,155,148.04,155,6612
2009-4-6,155,160,154,155,7600
2009-4-7,154.97,157.73,152,152.5,5537
2009-4-8,149,157,149,155,4304
2009-4-9,151.1,199.99,149.4,190,41012
2009-4-10,190,195,176,190.11,13941
2009-4-13,193.8,215,193,213.99,28561
2009-4-14,219,277.58,214,255.5,28220
2009-4-15,239.95,278.4,239,258.95,25958
2009-4-16,255,266.99,234,260,8769
2009-4-17,252.01,315,252.01,299,25472
2009-4-20,300,305.3,260.03,272.97,19159
2009-4-21,260,262.98,240.01,255,6864
