Date,Open,High,Low,Close,Volume
2012-12-6,14,14.01,14,14,23
2012-12-7,14,14.04,14,14.04,10
2012-12-10,14.05,15.4,14.05,14.57,345
2012-12-11,14.6,14.6,14.57,14.57,4
2012-12-12,14.65,14.68,14.57,14.68,55
2012-12-13,14.7,14.7,14.65,14.65,46
2012-12-14,14.895,14.9,14.2,14.5,280
2012-12-17,14.5,14.5,14.46,14.46,17
2012-12-18,14.05,14.08,14.05,14.06,23
2012-12-20,14.06,14.06,14.06,14.06,2
2012-12-24,14.1,14.1,14.07,14.07,5
2012-12-27,14.15,14.2,14.15,14.2,9
2012-12-28,14.2,14.29,14.2,14.29,11
2013-1-8,14.3,14.4,14.3,14.4,15
2013-1-10,14.4,14.4,14.4,14.4,1
2013-1-11,14,14,14,14,5
2013-1-15,14.4,14.4,14.4,14.4,1
2013-1-16,14.35,14.35,14.35,14.35,1
2013-1-18,14.02,14.05,14.02,14.02,285
2013-1-21,12.666,14.02,12.666,14.02,132
2013-1-22,14.02,14.02,13.5,13.936,122
2013-1-24,14.04,14.04,14.04,14.04,1
2013-1-25,14.069,14.15,14.069,14.15,53
2013-1-29,14.25,14.405,14.25,14.366,27
2013-1-30,14.339,14.366,14.25,14.25,403
2013-2-1,14.307,14.307,14.141,14.168,14
2013-2-4,14.3,14.32,14.249,14.249,201
2013-2-5,14.184,14.229,14.184,14.2,84
2013-2-6,14.1,14.43,14.1,14.42,290
2013-2-7,14.41,14.719,14.41,14.719,747
2013-2-8,14.601,14.883,14.601,14.883,234
2013-2-11,14.601,15.03,14.601,15.03,707
2013-2-12,14.601,15.104,14.601,15.1,845
2013-2-13,14.601,15.209,14.601,15.209,391
2013-2-14,14.686,15.206,14.686,15.206,473
2013-2-15,14.631,15.601,14.601,15.601,712
2013-2-18,14.601,16.212,14.601,15.414,775
2013-2-19,15.68,15.962,15.68,15.9,776
2013-2-20,15.892,17,15.853,16.15,738
2013-2-21,16.25,21.641,16.05,16.7,1184
2013-2-22,16.7,16.998,16.333,16.333,717
2013-2-25,16.689,16.836,16.551,16.836,772
2013-2-26,16.82,18.33,16.7,17.237,474
2013-2-27,16.82,17.278,16.82,17.278,697
2013-2-28,17.279,17.294,17.1,17.26,1048
2013-3-1,17.33,17.34,16.9,17.1,758
2013-3-4,17.032,17.032,16.54,16.544,710
2013-3-5,16.45,16.45,16.21,16.21,969
2013-3-6,16.088,16.1,15.962,16.059,1146
2013-3-7,16.029,16.049,15.663,16.049,451
2013-3-11,16.25,16.25,15.772,16.064,461
2013-3-12,16.669,16.669,16,16.224,629
2013-3-13,16.257,16.286,15.865,16.286,566
2013-3-14,16.5,16.7,16.204,16.61,1137
2013-3-15,16.63,16.664,16.63,16.644,625
2013-3-18,16.688,16.688,16.363,16.363,611
2013-3-19,16.597,16.769,16.475,16.769,368
2013-3-20,16.831,16.831,16.363,16.393,991
2013-3-21,16.82,17.87,16.396,16.49,480
2013-3-22,16.506,17.22,16.495,17.22,1846
2013-3-25,17.237,17.253,17.048,17.253,503
2013-3-26,17.27,17.547,17.27,17.547,1237
2013-3-27,17.565,17.582,17.372,17.38,753
2013-3-28,17.397,17.502,17.31,17.31,439
2013-3-29,17.3,17.31,17.293,17.293,521
2013-4-1,17.276,17.284,17.276,17.284,247
2013-4-2,17.301,17.301,17.293,17.293,126
2013-4-3,17.276,17.284,17.258,17.258,137
2013-4-4,17.275,17.672,17.275,17.551,496
2013-4-5,17.566,17.848,17.463,17.497,743
2013-4-8,17.514,17.514,17.322,17.322,251
2013-4-9,17.339,17.565,17.339,17.55,404
2013-4-10,17.568,17.726,17.48,17.721,389
2013-4-11,17.72,17.774,17.703,17.774,276
2013-4-12,17.792,18.02,17.703,17.703,529
2013-4-15,17.721,18.11,17.721,18.097,775
2013-4-16,18.025,18.422,18,18.114,838
2013-4-17,18.132,18.531,18.132,18.521,718
2013-4-18,18.521,19.004,18.521,18.969,1134
2013-4-19,18.988,18.988,18.836,18.883,204
2013-4-22,18.902,19.279,18.865,19.231,588
2013-4-23,19.25,20.008,19.25,19.8,1136
2013-4-24,19.82,19.919,19.701,19.701,537
2013-4-25,19.721,20.638,19.721,20.638,1204
2013-4-26,20.659,20.782,20.648,20.651,262
2013-4-29,20.672,20.672,20.216,20.216,627
2013-4-30,20.216,20.236,20.216,20.23,578
2013-5-2,20.25,20.25,20.233,20.238,559
2013-5-3,20.216,20.518,20.216,20.498,462
2013-5-6,20.478,20.503,20.478,20.503,597
2013-5-7,20.488,20.506,20.488,20.506,562
2013-5-8,20.488,20.518,20.488,20.518,569
2013-5-10,20.497,20.518,20.497,20.504,556
2013-5-13,20.488,21.165,20.319,21.165,755
2013-5-14,21.123,21.144,21.123,21.144,701
2013-5-15,21.123,21.55,21.081,21.55,800
2013-5-16,21.572,21.615,21.572,21.615,807
2013-5-17,21.593,21.658,21.593,21.658,212
2013-5-20,21.658,21.68,21.485,21.581,663
2013-5-21,21.559,21.612,21.358,21.5,472
2013-5-22,21.337,21.35,21.337,21.337,1526
2013-5-23,21.316,21.316,21.273,21.273,525
2013-5-24,21.252,21.262,21.167,21.167,1683
2013-5-27,21.146,21.175,21.146,21.175,1629
2013-5-28,21.154,21.171,21.028,21.028,1376
2013-5-29,21.007,21.007,20.923,20.923,1581
2013-5-30,20.902,21.069,20.797,20.987,1152
2013-5-31,21.008,21.014,20.966,20.966,653
2013-6-3,20.945,20.956,20.383,20.383,1569
2013-6-4,20.22,21.005,20.22,21,116
2013-6-5,20.968,21.007,20.931,20.956,617
2013-6-6,20.925,20.959,20.925,20.959,877
2013-6-7,20.928,20.99,20.928,20.928,537
2013-6-10,20.959,20.991,20.889,20.942,1062
2013-6-11,20.911,20.972,20.534,20.941,1706
2013-6-13,20.91,20.947,20.91,20.941,707
2013-6-14,20.91,20.941,20.91,20.941,437
2013-6-17,20.91,20.935,20.785,20.785,925
2013-6-18,20.816,21.066,20.529,20.529,794
2013-6-19,20.54,21.15,20.54,21.085,641
2013-6-20,21.117,21.326,21.117,21.293,1057
2013-6-24,21.261,21.299,21.261,21.293,697
2013-6-25,21.261,21.261,21.197,21.197,8
