Date,Open,High,Low,Close,Volume
2010-11-12,1.2,1.2,1.2,1.2,0
2010-11-13,1.4,1.4,1.4,1.4,0
2010-11-15,1.96,1.96,1.96,1.96,0
2010-11-16,2.744,2.744,2.744,2.744,15
2010-11-17,3.75,3.842,2.99,3.2,544
2010-11-18,3.42,3.753,2.82,2.95,264
2010-11-19,2.95,2.95,2.603,2.707,579
2010-11-22,2.947,2.95,2.816,2.9,246
2010-11-23,2.751,2.95,2.611,2.894,174
2010-11-24,2.89,3,2.7,2.85,109
2010-11-25,2.986,3,2.7,2.9,298
2010-11-26,2.899,2.9,2.79,2.84,275
2010-11-29,2.899,3.4,2.858,3.1,202
2010-11-30,3.1,3.2,2.709,2.936,612
2010-12-1,2.959,3.1,2.788,2.848,71
2010-12-2,2.959,3.15,2.85,2.85,23
2010-12-3,2.85,2.945,2.85,2.85,61
2010-12-6,2.844,3,2.79,2.9,483
2010-12-7,2.959,3,2.901,2.901,5
2010-12-8,2.852,3.099,2.815,2.9,150
2010-12-9,2.851,2.994,2.72,2.85,359
2010-12-10,2.789,2.789,2.761,2.761,516
2010-12-13,2.975,3.1,2.713,2.77,401
2010-12-14,2.789,3,2.63,2.7,1577
2010-12-15,2.637,2.889,2.633,2.79,158
2010-12-16,2.83,2.83,2.702,2.702,507
2010-12-17,2.79,2.813,2.4,2.43,1546
2010-12-20,2.5,2.593,2.4,2.469,403
2010-12-21,2.497,2.587,2.489,2.555,176
2010-12-22,2.555,2.949,2.501,2.579,566
2010-12-23,2.647,2.647,2.42,2.48,486
2010-12-24,2.493,2.55,2.49,2.549,420
2010-12-27,2.58,2.698,2.53,2.6,185
2010-12-28,2.63,2.699,2.525,2.6,23
2010-12-29,2.526,2.526,2.45,2.49,218
2010-12-30,2.471,2.7,2.451,2.7,108
2011-1-11,2.63,2.848,2.63,2.75,36
2011-1-12,2.708,2.9,2.6,2.8,80
2011-1-13,2.737,2.796,2.525,2.683,153
2011-1-14,2.716,2.716,2.531,2.625,63
2011-1-17,2.624,2.787,2.608,2.621,55
2011-1-18,2.621,2.675,2.621,2.621,39
2011-1-19,2.623,2.625,2.621,2.621,3
2011-1-20,2.684,2.9,2.684,2.686,76
2011-1-21,2.793,2.88,2.685,2.75,154
2011-1-24,2.849,2.868,2.6,2.6,190
2011-1-25,2.61,2.714,2.6,2.712,15
2011-1-26,2.714,2.728,2.71,2.71,7
2011-1-27,2.632,2.632,2.55,2.632,40
2011-1-28,2.581,2.632,2.581,2.632,2
2011-1-31,2.599,2.599,2.549,2.55,103
2011-2-1,2.632,2.8,2.5,2.62,134
2011-2-2,2.685,2.782,2.647,2.654,14
2011-2-3,2.727,2.78,2.635,2.71,48
2011-2-4,2.632,2.632,2.632,2.632,9
2011-2-7,2.581,2.581,2.47,2.5,86
2011-2-8,2.5,2.691,2.4,2.691,278
2011-2-9,2.581,2.661,2.581,2.6,17
2011-2-10,2.581,2.581,2.4,2.489,43
2011-2-11,2.489,2.493,2.464,2.493,1
2011-2-14,2.494,2.551,2.4,2.5,245
2011-2-15,1.925,2.677,1.925,2.55,140
2011-2-16,2.55,2.55,2.401,2.548,90
2011-2-17,2.531,2.531,2.531,2.531,1
2011-2-21,2.531,2.531,2.395,2.481,3
2011-2-22,2.471,2.49,2.4,2.49,30
2011-2-24,2.481,2.481,2.481,2.481,0
2011-2-25,2.488,2.599,2.488,2.555,55
2011-2-28,2.6,2.899,2.506,2.506,190
2011-3-1,2.3924,2.8497,2.2223,2.8497,48
2011-3-2,2.6038,2.6039,2.48,2.48,66
2011-3-3,2.5001,2.5001,2.5001,2.5001,1
2011-3-4,2.5999,2.5999,2.5999,2.5999,1
2011-3-5,2.73,2.73,2.48,2.48,19
2011-3-9,2.48,2.5497,2.48,2.5497,46
2011-3-10,2.59,2.639,2.5,2.639,605
2011-3-11,2.69,2.799,2.6,2.7299,276
2011-3-14,2.6998,2.6998,2.4074,2.4074,89
2011-3-15,2.5,2.598,2.3798,2.598,154
2011-3-16,2.3626,2.3626,2.2999,2.3487,44
