Date,Open,High,Low,Close,Volume
2010-11-12,1.2,1.2,1.2,1.2,0
2010-11-13,1.68,1.68,1.68,1.68,0
2010-11-15,2.352,2.352,2.352,2.352,0
2010-11-16,3.293,3.293,2.7,3.293,483
2010-11-17,4.45,4.45,2.7,3,167
2010-11-18,3,3.79,2.9,3.1,40
2010-11-19,3,3,2.821,3,7
2010-11-22,3.1,3.1,2.636,3.1,31
2010-11-23,3,3.125,3,3.1,26
2010-11-24,2.544,3.1,2.544,3.09,44
2010-11-25,3.15,3.5,2.83,3.1,58
2010-11-26,3.049,3.049,2.85,2.989,12
2010-11-29,3,3.5,2.99,3.111,68
2010-11-30,3.173,3.25,2.551,2.861,49
2010-12-1,2.874,3.2,2.8,2.999,5
2010-12-2,3.05,3.25,2.76,2.89,2
2010-12-3,2.9,2.9,2.641,2.89,31
2010-12-6,2.88,3.235,2.7,3.051,12
2010-12-7,2.992,3.08,2.991,2.991,3
2010-12-8,3.049,3.049,2.89,2.89,6
2010-12-10,2.875,2.9,2.875,2.9,0
2010-12-13,2.932,3.1,2.932,3.1,0
2010-12-14,2.991,3.1,2.82,2.82,7
2010-12-15,2.98,3,2.932,2.932,2
2010-12-16,2.99,2.99,2.875,2.875,1
2010-12-17,2.933,2.933,2.933,2.933,0
2010-12-20,2.902,2.902,2.585,2.7,349
2010-12-21,2.675,3.399,2.65,2.739,158
2010-12-22,2.921,3.286,2.533,2.6,133
2010-12-23,2.698,2.698,2.5,2.55,14
2010-12-24,2.55,2.55,2.338,2.545,129
2010-12-27,2.55,2.55,2.498,2.498,1
2010-12-28,2.55,2.55,2.301,2.472,28
2010-12-29,2.521,2.521,2.245,2.344,19
2010-12-30,2.33,2.458,2.112,2.44,151
2011-1-11,2.489,2.489,2.489,2.489,0
2011-1-12,2.495,3.1,2.24,2.65,166
2011-1-13,2.506,2.623,2.411,2.554,21
2011-1-14,2.556,2.556,2.414,2.527,5
2011-1-17,2.546,2.859,2.505,2.609,48
2011-1-18,2.655,2.7,2.38,2.601,171
2011-1-19,2.65,2.735,2.574,2.599,23
2011-1-20,2.574,3.078,2.57,2.609,15
2011-1-21,2.558,2.66,2.383,2.5,75
2011-1-24,2.499,2.685,2.461,2.5,28
2011-1-25,2.48,2.48,2.48,2.48,0
2011-1-26,2.491,2.555,2.405,2.5,18
2011-1-27,2.558,2.558,2.48,2.498,4
2011-1-28,2.498,2.498,2.332,2.369,16
2011-1-31,2.363,2.393,2.317,2.376,7
2011-2-1,2.328,2.6,2.328,2.335,860
2011-2-2,2.5,2.711,2.38,2.464,24
2011-2-3,2.424,2.721,2.12,2.509,2933
2011-2-4,2.5,2.5,2.444,2.488,10
2011-2-7,2.514,2.616,2.2,2.355,360
2011-2-8,2.717,2.717,2.254,2.345,19
2011-2-9,2.406,2.406,2.22,2.33,17
2011-2-10,2.366,2.366,2.231,2.364,2
2011-2-11,2.367,2.367,2.23,2.349,9
2011-2-14,2.349,2.349,2.349,2.349,0
2011-2-15,2.231,2.344,2.231,2.342,3
2011-2-16,2.333,2.345,2.16,2.345,38
2011-2-17,2.231,2.348,2.231,2.347,2
2011-2-18,2.269,2.37,2.269,2.31,2
2011-2-21,2.278,2.278,2.165,2.165,7
2011-2-22,2.225,2.25,2.225,2.25,0
2011-2-24,2.223,2.246,2.222,2.246,8
2011-2-25,2.135,2.344,2.135,2.334,1
2011-2-28,2.343,2.992,2.296,2.449,541
2011-3-1,2.326,2.448,2.313,2.3779,39
2011-3-2,2.3815,2.3979,2.259,2.3511,26
2011-3-3,2.4685,2.4909,2.2686,2.3499,23
2011-3-4,2.265,2.35,2.265,2.35,5
2011-3-9,2.2384,2.3124,2.2384,2.3124,3
2011-3-10,2.331,2.59,2.277,2.58,128
2011-3-11,2.5001,2.57,2.4,2.5124,176
2011-3-14,2.56,2.7549,2.3502,2.44,94
2011-3-15,2.2807,2.4498,2.075,2.4498,126
2011-3-16,2.2523,2.3899,2.2523,2.3899,2
2011-3-17,2.0753,2.37,2.0753,2.3596,29
2011-3-18,2.3595,2.3597,2.2637,2.2637,42
2011-3-21,2.3531,2.435,2.33,2.33,9
2011-3-22,2.3314,2.3314,2.24,2.24,12
2011-3-23,2.2555,2.4,2.11,2.4,30
2011-3-24,2.33,2.33,2.33,2.33,1
2011-3-25,2.2303,2.45,2.23,2.25,71
2011-3-28,2.3,2.3,2.3,2.3,1
2011-3-29,2.3,2.4,2.3,2.4,15
2011-3-30,2.45,2.7385,2.45,2.5807,230
2011-3-31,2.3503,2.684,2.311,2.65,70
2011-4-1,2.7381,2.7381,2.45,2.45,32
2011-4-4,2.6499,2.7349,2.4703,2.7289,146
2011-4-6,2.5101,2.7,2.5,2.7,99
2011-4-8,2.69,2.729,2.69,2.729,4
2011-4-11,2.5001,2.6487,2.5001,2.6032,107
2011-4-13,2.48,2.48,2.48,2.48,1
2011-4-14,2.5,2.5001,2.5,2.5,35
2011-4-18,2.6486,2.6486,2.6486,2.6486,1
2011-4-22,2.5999,2.729,2.45,2.6997,37
2011-4-25,2.4501,2.58,2.45,2.58,31
2011-4-26,2.47,2.6999,2.42,2.42,16
2011-4-28,2.38,2.49,2.38,2.49,2
2011-4-29,2.4,2.6,2.4,2.6,201
2011-5-3,2.4038,2.45,2.3015,2.45,107
2011-5-4,2.45,2.57,2.4497,2.57,101
2011-5-5,2.68,2.68,2.4046,2.4046,3
2011-5-11,2.2573,2.4,2.2568,2.4,21
2011-5-12,2.4001,2.4001,2.4,2.4,22
2011-5-18,2.539,2.539,2.5,2.5,16
2011-5-19,2.1557,2.1557,2.1557,2.1557,1
2011-5-23,2.3,2.3,2.2999,2.2999,2
2011-5-27,2.4399,2.4399,2.4399,2.4399,1
2011-5-30,2.3001,2.4098,2.1959,2.3111,7
2011-5-31,2.4299,2.5499,2.3,2.5499,112
2011-6-1,2.295,2.3999,2.2949,2.3994,142
2011-6-2,2.3,2.32,2.2999,2.32,4
2011-6-3,2.3999,2.3999,2.28,2.29,18
2011-6-6,2.3,2.3,2.3,2.3,3
2011-6-7,1.925,2.2998,1.85,2.2005,78
2011-6-8,2.2287,2.3,2.2,2.2001,52
2011-6-9,2.25,2.25,2.25,2.25,1
2011-6-10,2.2659,2.2659,2.2659,2.2659,1
2011-6-14,2.3882,2.3882,2.25,2.3,307
2011-6-15,2.3996,2.4001,2.3996,2.4,14
2011-6-17,2.419,2.419,2.419,2.419,1
2011-6-21,2.4199,2.444,2.4,2.4,31
2011-6-22,2.4466,2.4466,2.3164,2.3164,19
2011-6-23,2.3497,2.3499,2.3497,2.3499,4
2011-6-24,2.4465,3.2897,2.39,3.2897,343
2011-6-27,3.45,3.68,3,3,37
2011-6-28,3.4997,3.4997,2.2055,2.22,1747
2011-6-29,2.3333,2.34,2.2,2.287,269
2011-6-30,2.287,2.3088,2.151,2.21,63
2011-7-1,2.235,2.2692,2.1805,2.1805,8
2011-7-4,2.2002,2.2002,2.2,2.2,4
2011-7-5,2.202,2.2789,2.202,2.255,171
2011-7-6,2.1919,2.4697,2.1677,2.2701,56
2011-7-7,2.3587,2.5,2.2851,2.2851,64
2011-7-8,2.3101,2.3101,2.1111,2.26,72
2011-7-11,2.1401,2.235,2.1401,2.235,9
2011-7-14,2.2,2.4389,2.2,2.3345,294
2011-7-15,2.34,2.489,2.34,2.47,271
2011-7-18,2.469,2.6,2.2704,2.3522,45
2011-7-19,2.5938,2.5998,2.57,2.57,80
2011-7-20,2.5,2.5,2.3351,2.3351,3
2011-7-25,2.4001,2.72,2.4001,2.6995,144
2011-7-26,2.4801,2.5999,2.3999,2.4498,42
2011-7-27,2.3761,2.4699,2.3761,2.43,8
2011-7-28,2.3969,2.42,2.3789,2.3815,226
2011-7-29,2.3696,2.6889,2.3696,2.45,33
2011-8-1,2.47,2.6971,2.3975,2.3975,8
2011-8-2,2.6992,2.6992,2.3061,2.5001,491
2011-8-3,2.4029,3.29,2.2715,2.95,562
2011-8-4,2.7099,3.1197,2.62,2.7977,365
2011-8-5,2.9595,3,2.4,2.894,78
2011-8-8,2.8,2.8,2.6,2.6,42
2011-8-9,2.2002,2.2999,2,2.2997,106
2011-8-10,2.35,2.8501,2.2015,2.67,484
2011-8-11,2.2513,2.7399,2.25,2.6886,16
2011-8-12,2.3362,2.8359,2.3362,2.8,159
2011-8-15,2.7501,3.8431,2.75,3.843,410
2011-8-16,4.2,4.45,3.3,3.3,60
2011-8-17,4.6199,4.6199,2.79,2.8,228
2011-8-18,2.81,2.81,2.72,2.7998,4
2011-8-19,2.83,2.83,2.63,2.7,56
2011-8-22,2.6031,2.6031,2.601,2.601,2
2011-8-23,2.6011,2.9678,2.341,2.89,33
2011-8-24,3.1,3.1,2.3102,2.79,192
2011-8-25,2.95,2.95,2.7002,2.7002,20
2011-8-26,2.69,3.7799,2.69,3.1401,107
2011-8-29,3.7364,3.7364,2.9,3,79
2011-8-30,3.4547,3.4547,2.8551,2.8551,21
2011-8-31,2.7883,3.7,2.5696,3.7,127
2011-9-2,3.0212,3.5998,3.0211,3.5998,19
2011-9-5,3.5998,3.6997,3.5997,3.6997,3
2011-9-6,3.7776,3.7776,3.3,3.777,12
2011-9-7,3.7777,4.8248,3.6001,3.9977,680
2011-9-8,3.9988,4.376,3.985,4.1978,38
2011-9-9,4.388,4.388,3.68,3.68,88
2011-9-12,3.35,3.6494,3.3124,3.6494,7
2011-9-13,3.7499,3.7747,3.62,3.7528,4
2011-9-14,3.8998,3.8998,3.8998,3.8998,1
2011-9-16,3.9,4.09,3.875,4.05,68
2011-9-19,4.141,4.141,3.172,4.141,36
2011-9-20,4.3699,4.5455,4.1998,4.5,51
2011-9-21,4.6,4.6,4,4.1993,89
2011-9-22,4.4,4.4,3.363,3.8689,23
2011-9-23,3.946,3.946,3.8813,3.8813,2
2011-9-26,3.9952,3.9952,3.9952,3.9952,1
2011-9-27,3.7057,4.348,3.7056,4.1,83
2011-9-28,4.33,4.75,4.1625,4.75,127
2011-9-29,4.8998,5.4,4.75,5.15,1130
2011-9-30,5.36,5.36,4.97,4.97,8
2011-10-3,5.3598,5.3598,4.4545,4.7,20
2011-10-4,4.6,4.6,3.9455,3.9455,23
2011-10-5,3.8003,4,3.4012,3.8,42
2011-10-6,4.4589,4.4589,3.51,4.45,382
2011-10-7,4.5,5.111,4.2886,4.9399,2911
2011-10-10,4.4999,4.9949,4.2,4.3,133
2011-10-11,4.1,4.3499,3.9,4.1,38
2011-10-12,3.7502,4.1961,3.6053,4,520
2011-10-13,4.2,4.2,3.7909,3.9499,28
2011-10-14,3.9899,3.99,3.355,3.795,872
2011-10-17,4.1624,4.1624,3.4164,3.4164,29
2011-10-18,3.7898,3.8549,3.422,3.43,40
2011-10-19,3.5498,3.5498,3.2,3.2,12
2011-10-20,3.669,4,3.231,3.231,72
2011-10-21,3.5558,3.5558,3.06,3.45,887
2011-10-24,3.8842,3.8842,3.302,3.302,19
2011-10-25,3.6989,3.6989,3.15,3.1999,43
2011-10-26,3.1503,3.3498,3.066,3.15,1295
2011-10-27,3.1502,3.4392,3.0901,3.0901,27
2011-10-28,3.05,3.39,3.0303,3.171,302
2011-10-31,3.0669,3.1398,3.0655,3.0701,10
2011-11-1,3.0699,3.3,3.0304,3.3,28
2011-11-2,3.2845,3.2845,3.1501,3.1501,2
2011-11-3,3.1103,3.279,3.1103,3.279,15
2011-11-7,3.2787,3.5,3.1,3.1095,102
2011-11-8,3.2,3.3749,3.1,3.2948,113
2011-11-9,3.16,3.35,3.14,3.2994,63
2011-11-10,3.1116,3.6108,3.1,3.4999,331
2011-11-11,3.6665,3.6665,3.2083,3.32,163
2011-11-14,3.3299,3.3299,3.2,3.2,36
2011-11-15,3.2987,3.2987,3.1,3.1,46
2011-11-16,3.1,3.1,3,3,25
2011-11-17,3.0016,3.0303,3,3.0001,118
2011-11-18,2.8005,3.0303,2.8005,3,178
2011-11-21,2.8043,3.0497,2.8042,3.0497,7
2011-11-22,3.1247,3.1247,2.806,2.9,20
2011-11-23,2.85,2.9009,2.85,2.9009,3
2011-11-28,3.0929,3.0929,3.0929,3.0929,1
2011-11-29,2.9999,3,2.7836,2.88,21
2011-11-30,2.8,2.8,2.592,2.7984,22
2011-12-1,2.9,3,2.75,2.8,87
2011-12-2,2.8,2.8785,2.8,2.8005,5
2011-12-5,2.7531,2.7552,2.7531,2.7551,4
2011-12-6,2.5206,2.8753,2.5206,2.8753,5
2011-12-7,2.7,3,2.6,2.75,136
2011-12-8,2.8558,2.8558,2.8558,2.8558,1
2011-12-14,2.9653,2.9653,2.9653,2.9653,1
2011-12-15,2.9925,3.0001,2.7804,2.9487,79
2011-12-16,2.8503,2.9849,2.6,2.9592,51
2011-12-19,2.9997,2.9997,2.8118,2.9204,16
2011-12-20,2.9994,2.9994,2.9799,2.9799,2
2011-12-21,2.9569,3.0989,2.8009,2.999,42
2011-12-22,2.9209,2.97,2.7501,2.8926,14
2011-12-23,2.8499,2.92,2.8499,2.92,3
2011-12-26,2.9545,2.955,2.7535,2.8,69
2011-12-27,2.8999,2.8999,2.8999,2.8999,1
2011-12-28,2.8899,2.9999,2.8,2.8,65
2011-12-29,2.85,2.9,2.7003,2.8991,34
2011-12-30,2.9482,2.9482,2.8,2.9298,102
