Date,Open,High,Low,Close,Volume
2006-7-4,19.695,20,19.125,19.7,28650
2006-7-5,19.502,19.94,19.12,19.122,9619
2006-7-6,19.1,19.9,19.1,19.551,5555
2006-7-7,19.37,19.7,19.37,19.5,219
2006-7-10,19.36,19.79,19.36,19.744,328
2006-7-11,19.525,19.67,19.525,19.62,640
2006-7-12,19.75,19.75,19.35,19.5,3072
2006-7-13,19.5,19.5,19.18,19.49,1387
2006-7-14,19.201,19.549,19.201,19.221,423
2006-7-17,19.498,19.498,19.18,19.18,144
2006-7-18,19.051,19.25,18.8,19.193,287
2006-7-19,19.249,19.249,18.9,19,2246
2006-7-20,19.02,19.214,18.7,18.99,2760
2006-7-21,18.8,19.097,18.526,19,63
2006-7-24,18.99,19,18.631,18.631,523
2006-7-25,18.701,19,18.6,18.6,1490
2006-7-26,18.698,18.698,18.649,18.689,47
2006-7-27,18.9,19.02,18.7,18.8,2904
2006-7-28,18.98,19,18.65,18.7,1111
2006-7-31,19.1,19.1,18.711,18.83,2452
2006-8-1,19.099,19.099,18.85,18.908,609
2006-8-2,19,19.15,19,19,3760
2006-8-3,19,19,18.85,19,1105
2006-8-4,18.82,19.3,18.82,19.05,326
2006-8-7,18.751,19.09,18.751,19,94
2006-8-8,19,19.1,18.9,19,294
2006-8-9,19.1,19.1,18.85,19.03,707
2006-8-10,19.08,19.08,18.95,19,123
2006-8-11,18.95,19.19,18.95,19,511
2006-8-14,19.1,19.15,18.8,19,137
2006-8-15,19,19,18.9,18.9,61
2006-8-16,19,19,18.83,18.83,531
2006-8-17,18.8,19.1,18.8,19,150
2006-8-18,18.9,18.93,18.83,18.83,92
2006-8-21,18.7,19,18.31,18.9,115
2006-8-22,18.9,19,18.9,19,39
2006-8-23,18.917,19,18.8,18.87,671
2006-8-24,18.87,19,18.75,18.8,371
2006-8-25,19.299,19.299,18.77,18.85,617
2006-8-28,18.8,18.97,18.601,18.91,145
2006-8-29,18.8,18.999,18.8,18.94,979
2006-8-30,18.89,18.9,18.653,18.653,251
2006-8-31,18.7,18.85,18.654,18.75,175
2006-9-1,18.8,18.95,18.601,18.7,167
2006-9-4,18.65,18.652,18.27,18.35,3626
2006-9-5,18.5,18.648,18.25,18.399,2878
2006-9-6,18.333,18.335,18.125,18.125,946
2006-9-7,18.11,18.17,17.85,17.95,851
2006-9-8,18,18.309,18,18.15,317
2006-9-11,18.002,18.002,17.551,17.551,586
2006-9-12,18.28,18.29,17.621,17.96,335
2006-9-13,18.31,18.876,17.599,17.702,1941
2006-9-14,17.701,17.987,17.61,17.611,359
2006-9-15,17.979,17.979,17.7,17.8,242
2006-9-18,17.85,18.1,17.8,17.8,715
2006-9-19,17.99,18.025,17.753,17.761,905
2006-9-20,17.75,17.75,17.501,17.681,53
2006-9-21,17.81,17.91,17.55,17.55,408
2006-9-22,17.504,17.84,17.11,17.11,945
2006-9-25,17.201,17.6,17.2,17.36,926
2006-9-26,17.05,17.698,17.05,17.33,516
2006-9-27,17.78,18.45,17.6,17.928,7381
2006-9-28,18,18.33,18,18.2,1542
2006-9-29,18.061,18.25,18.061,18.1,609
2006-10-2,17.651,18.25,17.5,18.25,421
2006-10-3,18.298,18.3,17.701,17.806,632
2006-10-4,18,18.5,17.87,18.198,2807
2006-10-5,18.2,18.55,18.2,18.33,435
2006-10-6,18.35,18.7,18.35,18.39,1065
2006-10-9,18.5,18.7,18.001,18.7,1365
2006-10-10,18.5,18.84,18.5,18.7,919
2006-10-11,18.8,19.8,18.5,19.721,13463
2006-10-12,19.55,20.96,19.171,20.649,21293
2006-10-13,20.5,21.8,20.211,21.5,52993
2006-10-16,21.36,21.36,20.5,21.099,5240
2006-10-17,21.627,21.627,20.01,21.035,5179
2006-10-18,21.1,21.35,20.7,20.76,4720
2006-10-19,20.48,21.1,20.205,21.1,10479
2006-10-20,20.8,20.95,20.508,20.85,2744
2006-10-23,20.845,20.909,20.54,20.909,1631
2006-10-24,20.7,20.999,20.056,20.899,4576
2006-10-25,20.8,20.897,20.509,20.88,746
2006-10-26,20.881,21.11,20.441,21.077,4052
2006-10-27,21.3,21.3,20.7,20.982,272
2006-10-30,19.974,21.15,19.974,21,4611
2006-10-31,20.97,20.987,20.45,20.77,958
2006-11-1,20.306,20.85,20.306,20.85,463
2006-11-2,20.798,20.799,20.482,20.5,665
2006-11-3,20.674,20.95,20.674,20.81,8059
2006-11-7,20.862,21.2,20.637,20.998,4620
2006-11-8,21.05,21.05,20.55,20.552,1265
2006-11-9,20.502,20.7,20.501,20.65,109
2006-11-10,20.461,20.96,20.461,20.888,8130
2006-11-13,20.96,20.999,20.461,20.5,2830
2006-11-14,20.7,21,20.37,20.701,9035
2006-11-15,20.897,20.9,20.37,20.69,8595
2006-11-16,21.125,21.125,20.39,20.701,7736
2006-11-17,20.569,20.999,20.457,20.599,3529
2006-11-20,20.499,20.985,20.499,20.671,1833
2006-11-21,20.68,20.68,20.41,20.648,2506
2006-11-22,20.596,20.6,20.462,20.5,2879
2006-11-23,20.5,20.599,20.32,20.519,5232
2006-11-24,20.82,21,20.602,20.669,4467
2006-11-27,20.503,20.799,20.502,20.765,1242
2006-11-28,20.8,20.999,20.651,20.791,2126
2006-11-29,20.413,20.6,20.26,20.401,11288
2006-11-30,20.4,20.585,20.4,20.496,2652
2006-12-1,20.489,20.495,20.3,20.3,1792
2006-12-4,20.553,20.75,19.98,20.198,11884
2006-12-5,20.161,20.48,20.16,20.299,1050
2006-12-6,20.448,20.65,20.275,20.399,1306
2006-12-7,20.5,20.5,20.275,20.277,1344
2006-12-8,20.252,20.4,20.15,20.389,2571
2006-12-11,20.549,20.549,20,20,8147
2006-12-12,20.189,21.5,19.96,21.5,26837
2006-12-13,21.5,22.4,20.6,21.17,19160
2006-12-14,21.25,21.5,21.16,21.2,4072
2006-12-15,22.01,22.01,21,21.38,6173
2006-12-18,21.38,23.97,21.1,22.927,35427
2006-12-19,22.002,22.491,21.251,22.05,7373
2006-12-20,23,23,21.601,21.601,5674
2006-12-21,22.28,22.35,21.602,22.139,2286
2006-12-22,21.811,22.75,21.5,22.3,6389
2006-12-25,22.296,22.37,21.999,22.188,3334
2006-12-26,22.295,22.8,22.114,22.648,5839
2006-12-27,22.7,23.05,22.211,22.701,7298
2006-12-28,22.79,23,22.656,22.79,7160
2006-12-29,22.979,23.05,22.51,22.946,64056
2007-1-9,23,23.049,22,22.294,2402
2007-1-10,22.11,23.05,21.601,22.85,3480
2007-1-11,22.85,22.88,22.41,22.7,2832
2007-1-12,22.84,22.865,22.551,22.769,1739
2007-1-15,22.82,22.859,22.389,22.743,1213
2007-1-16,22.553,22.848,22.4,22.5,2272
2007-1-17,22.483,22.988,22.05,22.794,3349
2007-1-18,22.899,22.975,22.409,22.467,2258
2007-1-19,22.795,22.85,22.305,22.495,4111
2007-1-22,22.735,22.849,22.4,22.69,25468
2007-1-23,22.75,22.8,22.5,22.785,4545
2007-1-24,22.79,22.85,22.5,22.597,1922
2007-1-25,22.589,22.85,22.499,22.499,4314
2007-1-26,22.65,22.9,22.403,22.82,2412
2007-1-29,22.799,22.89,22.51,22.51,2838
2007-1-30,22.51,22.72,22.475,22.62,9328
2007-1-31,22.82,22.985,22.7,22.97,9098
2007-2-1,22.985,23.78,22.97,23.085,16399
2007-2-2,23.29,23.8,23.01,23.79,53036
2007-2-5,23.645,23.8,23.3,23.64,52034
2007-2-6,23.7,23.989,23.56,23.79,32941
2007-2-7,23.7,23.949,23.251,23.631,6363
2007-2-8,23.599,23.85,23.41,23.564,5475
2007-2-9,23.923,23.98,23.599,23.64,9762
2007-2-12,23.511,24.24,23,24.149,12448
2007-2-13,23.9,24.4,23.9,24.255,12322
2007-2-14,23.445,24.499,23.37,24.3,21552
2007-2-15,24.2,24.8,23.999,24.05,18031
2007-2-16,23.8,24.9,23.61,24.85,7665
2007-2-19,24.7,24.9,24.511,24.8,6317
2007-2-20,24.8,24.9,24.399,24.5,5926
2007-2-21,25.375,25.375,24.401,24.979,26100
2007-2-22,25.099,25.499,24.799,25,15992
2007-2-26,25.148,25.598,24.916,25.078,8931
2007-2-27,25.176,25.25,24.68,24.809,17073
2007-2-28,24.555,24.999,23.601,24.7,17100
2007-3-1,24.699,24.98,24.05,24.35,9835
2007-3-2,24.8,24.999,24.111,24.4,5510
2007-3-5,24.4,24.8,23.111,24.389,14099
2007-3-6,24.38,25,24.251,24.699,12642
2007-3-7,24.846,24.995,24.322,24.9,6530
2007-3-9,25.3,25.3,25,25.25,11763
2007-3-12,25.289,25.295,24.96,25.049,2334
2007-3-13,25.2,25.247,24.96,25.199,4513
2007-3-14,23.675,25,23.675,24.741,3586
2007-3-15,25.119,25.5,25.06,25.187,8429
2007-3-16,25.2,25.49,25.062,25.25,2092
2007-3-19,25.198,25.4,25.08,25.332,4238
2007-3-20,25.3,25.399,24.9,25.349,7763
2007-3-21,25.35,25.75,25.2,25.74,11153
2007-3-22,25.99,25.99,25.7,25.8,5689
2007-3-23,26.545,26.545,25.995,26.011,7525
2007-3-26,26.056,26.4,26.056,26.3,14853
2007-3-27,26.746,26.746,26.42,26.45,3947
2007-3-28,26.3,27,26.3,26.608,6131
2007-3-29,26.99,27.48,26.99,27.15,7448
2007-3-30,27.151,27.5,26.613,27.299,12261
2007-4-2,27.119,27.67,26.916,27.4,11843
2007-4-3,27.4,27.998,27.2,27.449,39695
2007-4-4,28.13,28.149,27.332,28.089,22302
2007-4-5,27.8,28.334,27.8,28.149,5383
2007-4-6,28.199,28.349,27.9,28.099,6720
2007-4-9,28,28.449,27.777,27.783,9021
2007-4-10,27.91,27.999,27.23,27.9,12912
2007-4-11,27.99,28.39,27.613,27.754,14805
2007-4-12,27.72,28.28,27.72,27.99,16129
2007-4-13,28.188,28.2,27.721,28.08,6614
2007-4-16,28,28.2,27.72,27.74,3845
2007-4-17,27.77,28.3,27.71,27.74,26170
2007-4-18,28.1,28.25,27.2,27.613,12858
2007-4-19,27.35,28.2,26.9,26.9,37150
2007-4-20,27.199,28.25,26.965,27,25429
2007-4-23,27.925,28,26.65,26.794,27254
2007-4-24,25.5,25.79,24.866,25.29,15601
2007-4-25,25.932,25.932,25,25.75,7278
2007-4-26,25.95,26.2,25.5,25.636,5780
2007-4-27,25.513,25.513,24.75,24.75,5601
2007-4-28,24.785,26,24.565,25.57,1960
2007-5-2,25.301,25.599,24.9,24.98,2472
2007-5-3,25.29,25.549,24.9,25,2259
2007-5-4,26.2,26.2,24.85,24.95,4439
2007-5-7,25,25.45,24.951,25.05,8426
2007-5-8,25.195,25.195,24.95,24.98,2563
2007-5-10,25.082,25.275,24.51,24.512,2547
2007-5-11,24.501,24.75,24.401,24.749,5040
2007-5-14,24.801,25.041,24.605,24.756,2164
2007-5-15,24.99,24.99,24.582,24.85,2368
2007-5-16,24.75,25.43,24.7,24.9,5817
2007-5-17,25.009,25.389,24.915,24.999,47610
2007-5-18,25.002,25.05,24.95,25.04,529
2007-5-21,25.195,25.195,24.931,24.94,375
2007-5-22,25.092,25.092,24.603,24.715,920
2007-5-23,24.74,24.799,23.799,24.3,4725
2007-5-24,23.65,24.245,21.829,24.245,1708
2007-5-25,23.935,24.239,23.935,24.239,936
2007-5-28,24.008,24.5,24.008,24.489,499
2007-5-29,24.565,24.99,24.001,24.001,2053
2007-5-30,23.999,23.999,23.2,23.515,9016
2007-5-31,23.515,24.494,23.47,24.39,7354
2007-6-1,24.04,24.89,24.04,24.4,5923
2007-6-4,24.53,24.85,24,24.6,1316
2007-6-5,24.599,24.799,24.219,24.4,2773
2007-6-6,24.12,24.693,24.02,24.6,2209
2007-6-7,24.72,24.8,24.252,24.5,715
2007-6-8,24.26,25.1,23.81,24.8,38888
2007-6-9,24.7,25,24.613,24.9,2585
2007-6-13,25,25.49,24.851,25.25,13290
2007-6-14,25.301,26,25.1,25.7,15490
2007-6-15,26,26.8,25.2,26.754,19491
2007-6-18,26.75,27.9,26.75,27.21,8629
2007-6-19,27.45,27.54,26.86,27.2,7064
2007-6-20,27.2,27.842,27.17,27.6,7721
2007-6-21,27.17,28.098,27,27.6,18034
2007-6-22,27.506,27.899,27.35,27.4,2402
2007-6-25,27.24,27.276,26.729,26.729,1736
2007-6-26,27.15,27.15,26.701,26.8,6254
2007-6-27,27.1,27.1,26.333,26.587,21183
2007-6-28,26.9,26.949,26.01,26.07,7348
2007-6-29,26.08,26.29,25.799,26.1,18126
2007-7-2,26.04,26.69,25.8,25.861,9091
2007-7-3,26.19,26.62,26.001,26.4,19389
2007-7-4,26.875,26.875,26.41,26.85,7000
2007-7-5,26.85,28.4,26.777,28.396,25236
2007-7-6,28.498,28.8,27.802,28.23,18266
2007-7-9,28.125,29.2,28.001,29,11845
