Date,Open,High,Low,Close,Volume
2004-11-30,625,629,625,625,2
2004-12-2,590.01,596.5,585,585,196
2004-12-3,562.21,584.9,561,584.9,39
2004-12-6,550,550,505,550,122
2004-12-7,569.99,569.99,550.6,565,54
2004-12-8,552.29,552.29,520,525,41
2004-12-9,515,563.98,515,515,4
2004-12-10,503.01,515,503,503,1
2004-12-14,510,549.98,506.01,520,30
2004-12-15,510,529.96,510,529.96,6
2004-12-16,529.89,529.89,520,520,62
2004-12-17,525,525,515,516,130
2004-12-20,544.89,544.89,505,512,263
2004-12-21,534.88,534.88,520,520,59
2004-12-22,513.9,513.9,501.5,505,15
2004-12-23,505,528.59,505,528.59,108
2004-12-24,529.98,529.99,513.69,513.69,63
2004-12-27,519.99,520,519.99,520,0
2004-12-28,529.78,529.78,529.78,529.78,40
2004-12-29,500.42,509.98,500,509.98,705
2004-12-30,515.15,529.98,500.52,528,225
2005-1-11,523,535,520,529.95,1126
2005-1-12,530,530,522,522,122
2005-1-13,531.5,540,525.5,535,852
2005-1-14,516.5,545.98,516.5,538,116
2005-1-17,511,536.9,511,526.66,12
2005-1-18,527,538,521,530,32
2005-1-19,535,540,525,539.9,120
2005-1-20,540,540,534,539,103
2005-1-21,537.9,566.99,535,535,167
2005-1-24,539,559.9,539,558.5,83
2005-1-25,566.97,594.96,560,579.98,321
2005-1-26,592.99,603,570.5,600,126
2005-1-27,600,616.99,526,605,131
2005-1-28,590,637,590,624.99,692
2005-1-31,640.35,670,594,642,235
2005-2-1,640.25,679.97,640.25,652,183
2005-2-2,622,694,571,649.85,182
2005-2-3,638,669.95,630,644.97,112
2005-2-4,639,654,630,630,15
2005-2-7,630,647.99,630,638,74
2005-2-8,637.99,648,637.99,638,21
2005-2-9,643.97,643.97,643.97,643.97,0
2005-2-10,621,640,621,639,375
2005-2-11,611.5,669,552,639,340
2005-2-14,637.01,637.97,628,636.5,8
2005-2-16,634.87,638.88,610,610,11
2005-2-17,603.5,638.97,595,638.96,43
2005-2-18,639,639,606,630,216
2005-2-21,610.01,659.99,610.01,636,1383
2005-2-22,665,665,640,650,230
2005-2-24,620.15,654,620.15,654,18
2005-2-25,664.66,664.66,597,625,82
2005-2-28,613,672,613,665,781
2005-3-1,677,677,655,666.66,116
2005-3-2,630.05,685,630.05,650.01,1431
2005-3-3,650,692,640.05,691.97,68
2005-3-4,689,689,670,679,28
2005-3-5,650.05,693,650.05,689,31
2005-3-9,692,709,685.01,709,190
2005-3-10,710,710,700,703,18
2005-3-11,700,729,700,725,365
2005-3-14,656.48,739.9,656.48,720,195
2005-3-15,733,735,710.15,723.77,211
2005-3-16,710,725,693,700,140
2005-3-17,683.1,734.5,682,700,179
