Date,Open,High,Low,Close,Volume
2006-1-18,1089,1200,1089,1185.01,496
2006-1-19,1175.01,1232,1170.03,1218,478
2006-1-20,1202,1351,1201,1230,333
2006-1-23,1200,1338.5,1200,1225,204
2006-1-24,1267,1289,1240,1258,75
2006-1-25,1266.99,1287,1236.51,1257.25,242
2006-1-26,1235.11,1266.99,1235.11,1254.9,77
2006-1-27,1237.24,1255.39,1237.24,1247.99,106
2006-1-30,1236,1236,1205,1225,191
2006-1-31,1219,1219,1200.01,1200.01,394
2006-2-1,1200.01,1219,1180,1199.99,187
2006-2-2,1185,1217.5,1153,1200,289
2006-2-3,1165,1200,1165,1199.99,110
2006-2-6,1195,1280,1156,1198.99,79
2006-2-7,1180,1197.99,1170,1196.7,40
2006-2-8,1170.01,1238,1165,1190,74
2006-2-9,1217,1217,1217,1217,0
2006-2-10,1180,1180,1170,1170,22
2006-2-13,1170,1179.9,1145,1169.5,82
2006-2-14,1173.99,1173.99,1115.5,1115.5,117
2006-2-15,1137.36,1148.95,1127,1127,54
2006-2-16,1130,1151.45,1130,1140,133
2006-2-17,1140,1165.49,1100,1164.99,393
2006-2-20,1165.49,1249.79,1165.48,1189.98,345
2006-2-21,1175,1175,1130,1130,266
2006-2-22,1160,1172.98,1130,1160,236
2006-2-26,1145,1185,1145,1150,483
2006-2-27,1150,1171.87,1145,1159,237
2006-2-28,1146,1159.95,1122.1,1132.05,171
2006-3-1,1135,1149.92,1130,1137,21
2006-3-2,1149.9,1149.92,1130,1149.8,95
2006-3-3,1149.92,1154.97,1130,1154.97,408
2006-3-6,1174.77,1199,1149,1161.01,218
2006-3-7,1160,1191,1120,1150,173
2006-3-9,1120,1120,745,1075,469
2006-3-10,1077,1099,1033,1050,195
2006-3-13,1085,1098.89,1018.06,1073,141
2006-3-14,1098.79,1098.79,1060,1060,456
2006-3-15,1081,1098.76,1077,1097.97,62
2006-3-16,1085,1094,1054,1069.96,114
2006-3-17,1087,1093.98,1065,1069.01,61
2006-3-20,1090.99,1149.98,1090.99,1129,194
2006-3-21,1134.44,1149,1100,1149,347
2006-3-22,1100.02,1159.85,1100.02,1157,172
2006-3-23,1160,1190,1160,1190,126
2006-3-24,1190,1239.89,1175,1175,182
2006-3-27,1176.11,1199.83,1176.1,1198,34
