Date,Open,High,Low,Close,Volume
2012-11-28,650.1,650.1,620.1,630,629
2012-11-29,630,639,609.7,630,939
2012-11-30,643,750,633,650,11406
2012-12-3,700,730,645,660,889
2012-12-4,669.8,689.6,655,659.8,1862
2012-12-5,664.9,684.9,655.7,672,1974
2012-12-6,670,685.2,666.7,681,1931
2012-12-7,700.9,730,677.3,678.2,3065
2012-12-10,680,689,676,685,474
2012-12-11,679.7,698.9,675,694.6,2113
2012-12-12,695.3,719,681,692.3,808
2012-12-13,692.3,692.4,680,688.6,905
2012-12-14,688.1,729,665.3,723.2,1941
2012-12-17,725.9,782.9,725.9,742.2,1474
2012-12-18,744.9,890,738,738,3809
2012-12-19,745,760,742.2,750,1028
2012-12-20,743.6,756,737.3,737.6,1015
2012-12-21,739.9,739.9,702,721.7,1710
2012-12-24,722.9,731.8,711.2,724.7,707
2012-12-25,728.9,728.9,715.2,723.8,104
2012-12-26,719,731.8,715.5,727,313
2012-12-27,724.1,732,715.5,725.3,805
2012-12-28,731.7,731.9,722.1,723,218
2013-1-8,741.9,755,727.3,748,1008
2013-1-9,753.5,758,750.3,756.8,332
2013-1-10,758,766.8,747.9,760,1801
2013-1-11,767.9,770.1,750.1,754.9,1502
2013-1-14,750.1,760,750,755.1,916
2013-1-15,752.5,763,752.5,755.2,375
2013-1-16,758.4,776,757.3,768.3,925
2013-1-17,772.9,819.9,772,803,1863
2013-1-18,801.6,807,781,790,4545
2013-1-21,791.9,799.8,787,798,508
2013-1-22,794.2,799.3,790.7,792.4,605
2013-1-23,797.4,815,797.4,810,3350
2013-1-24,800.9,827.8,799.8,827.4,789
2013-1-25,822.5,854.9,813.5,818,2440
2013-1-28,818,824,813,813.2,660
2013-1-29,801.1,813.2,801.1,805.1,405
2013-1-30,807.1,812.4,801.2,806.2,635
2013-1-31,803.3,818,794.1,811.8,726
2013-2-1,811.8,849.9,805.9,830,2093
2013-2-4,838.5,851,825.3,847,5164
2013-2-5,845.1,852.4,840,845,2000
2013-2-6,850.7,850.7,845,850,777
2013-2-7,840,847.5,830.3,847.5,812
2013-2-8,849.8,862,838.8,846.6,1281
2013-2-11,846.3,853.1,838.9,848.4,497
2013-2-12,848.4,849,845,845.5,109
2013-2-13,848,856,840.5,848.5,329
2013-2-14,844.3,849.9,832.9,833.6,370
2013-2-15,828.6,835.2,822,829.6,747
2013-2-18,830.1,830.1,819.7,825.1,458
2013-2-19,824,831.2,817.9,829.4,586
2013-2-20,825.2,840,822.1,824,399
2013-2-21,816.1,829.6,804.8,811.9,417
2013-2-22,805.1,829,805.1,825,505
2013-2-25,826.3,828,815.1,819.9,105
2013-2-26,818,818,809,815.4,215
2013-2-27,815,840,811.5,834.4,814
2013-2-28,845,874.3,842.6,864,2431
2013-3-1,863.7,924.5,857,899.9,2863
2013-3-4,900,900.4,852.8,857.3,517
2013-3-5,860,875,852.7,866,442
2013-3-6,879.9,896.9,867.3,895,316
2013-3-7,892,914.9,892,910.3,229
2013-3-11,916.1,954.8,916.1,943.5,1893
2013-3-12,951.5,979,940.1,944.8,1187
2013-3-13,959.8,959.8,906,923,1743
2013-3-14,923.1,951,923,934.9,948
2013-3-15,946,966.7,930.1,943.4,1348
2013-3-18,951,957.7,925.3,955,505
2013-3-19,946.9,959.2,915.1,918.8,1100
2013-3-20,916,934.4,890,934.4,384
2013-3-21,940.9,940.9,910.8,914,784
2013-3-22,910.2,910.8,887.2,895.2,532
2013-3-25,901.6,921.5,883,907,1022
2013-3-26,913.3,931,899.4,929.9,1781
2013-3-27,927.3,968.8,925.2,954.7,1901
2013-3-28,955,965.8,941.1,956.5,393
2013-3-29,963.3,994,947.2,962,655
2013-4-1,965,985,960,968.4,421
