Date,Open,High,Low,Close,Volume
2006-5-16,810,810,730,730,6
2006-6-7,638,641,633,636,20
2006-6-8,635.26,644,630.13,644,9
2006-6-14,600,600,595,597,31
2006-6-15,595,620,595,597,65
2006-6-16,540.13,545,540.13,545,8
2006-6-19,560,561,555,555,16
2006-6-28,560,595,560,595,4
2006-6-29,608,608,608,608,2
2006-6-30,608,608,608,608,42
2006-7-3,604.5,604.5,604.5,604.5,5
2006-7-4,650,665.9,650,665.9,17
2006-7-6,642,642,642,642,5
2006-7-10,650,650,650,650,2
2006-7-11,660,660,660,660,4
2006-7-12,680,700,680,700,11
2006-7-17,680,690,680,690,20
2006-7-18,680,690,680,690,14
2006-7-19,695.3,695.3,695.3,695.3,2
2006-7-20,705,705,705,705,3
2006-7-21,720,720,720,720,5
2006-7-28,711,730,705,730,7
2006-8-1,720,720,720,720,6
2006-8-3,724,724,711,724,3
2006-8-4,738,739,738,739,20
2006-8-8,739,739,738,738,8
2006-8-9,739,742,739,742,4
2006-8-14,745,745,745,745,2
2006-8-15,738,744,737,744,13
2006-8-16,739,743,739,743,5
2006-8-17,741,741,737,737,4
2006-8-18,737,737,737,737,1
2006-8-21,740,745,740,745,9
2006-8-22,739.26,740,739.26,740,4
2006-8-23,748,760,748,760,8
2006-8-24,757,757,757,757,10
2006-8-25,757,765,757,765,2
2006-8-29,1000,1000,1000,1000,1
2006-9-1,850,850,850,850,1
2006-9-4,795,795,795,795,4
2006-9-5,870,1000,870,1000,4
2006-9-8,820,850,820,850,4
2006-9-11,870,870,850,850,4
2006-9-12,870,870,825,825,9
2006-9-14,787,870,787,870,2
2006-9-18,876,876,876,876,6
2006-9-19,888,899.99,888,892,64
2006-9-21,895,900,888,888,8
2006-9-22,870,889.9,870,874,10
2006-9-25,867.1,867.1,867.1,867.1,1
2006-9-26,882,883,882,883,2
2006-9-28,879,879,879,879,4
2006-10-2,883,883,875,875,4
2006-10-3,880,880,880,880,1
2006-10-4,875,875,875,875,2
2006-10-5,875,875,875,875,7
2006-10-6,870,870,870,870,1
2006-10-17,888,890,885,885,11
2006-10-18,800,891,800,880,282
2006-10-19,878.01,878.01,878.01,878.01,3
2006-10-23,890,890.99,870,889,4
2006-10-24,852,890.99,852,890.99,3
2006-10-25,887,900,887,900,6
2006-10-26,900,900,885.01,900,6
2006-10-27,899.99,900,825.1,825.1,6
2006-10-31,880,883,880,883,4
2006-11-1,888,900,888,900,27
2006-11-7,900,900,900,900,1
2006-11-9,899,910,898,910,11
2006-11-16,910,915,898,915,5
2006-11-21,919.99,920,919.99,920,2
2006-11-22,907,912,900,912,18
2006-11-23,910,920,905,920,45
2006-11-24,926,926,922,922,4
2006-11-27,920,930,915,915,5
2006-11-28,920,925,915,915,9
2006-11-29,919,919,900,905,20
2006-12-1,905,905,895,900,14
2006-12-4,891,891,875,891,17
2006-12-5,818,889,818,889,6
2006-12-6,882.03,891,880,880,38
2006-12-7,881.02,881.02,881,881,12
2006-12-11,890,892,890,892,2
2006-12-12,891,893,890,890,13
2006-12-13,880,880,870,870,5
2006-12-14,880,892,878,891,11
2006-12-15,890,1000,890,904,97
2006-12-18,905,945,905,940,35
2006-12-19,910.01,949.99,910,910,10
2006-12-20,949.99,990,949.99,990,25
2006-12-21,990,990,990,990,1
2006-12-25,999.9,999.9,950,950,7
2006-12-26,926,930,925,925,33
2006-12-27,930,946,925,929,296
2006-12-28,928,940,920,925,29
2006-12-29,930,984,930,984,40
2007-1-9,900,950,900,920,30
2007-1-10,928,931,900.01,900.01,21
2007-1-11,900.01,995,900.01,995,11
2007-1-12,950,1000,950,1000,20
2007-1-15,1000,1000,1000,1000,1
2007-1-16,1070,1200,1070,1200,16
2007-1-17,1200,1200,1050,1075,19
2007-1-18,1099,1099.99,1099,1099.99,2
2007-1-19,1100,1100,1100,1100,39
2007-1-22,1200,1400,1090,1110,22
2007-1-23,1100.01,1100.01,1050,1050,21
2007-1-24,1060,1088,990.01,990.01,93
2007-1-25,1000.5,1004.44,998,998,37
2007-1-26,975.2,987,975.2,987,3
2007-1-29,985,985,980,980,3
2007-1-30,946,990,946,986,16
2007-1-31,999.9,1000,972.01,980,35
2007-2-1,1000,1049.99,1000,1040,93
2007-2-2,1050,1074,1050,1073,30
2007-2-5,1056,1110,1041.02,1070,167
2007-2-6,1095.99,1130,1070,1120,36
2007-2-7,1081.1,1133.97,1080,1100,140
2007-2-8,1100,1136.99,1075,1090,24
2007-2-9,1124,1124,1092,1123,16
2007-2-12,1124.99,1147,1071.2,1071.2,45
2007-2-13,1045,1120,1045,1109,21
2007-2-14,1111,1124,1083,1083,89
2007-2-15,1055.04,1100,1055.04,1072,51
2007-2-16,1078,1080,1072,1079,36
2007-2-19,1080,1086,1075,1075,141
2007-2-20,1070.2,1118.9,1070,1070,110
2007-2-21,1074.99,1099,1060,1069.8,91
2007-2-22,1071.9,1099,1071,1084,56
2007-2-26,1080,1081,1070,1076.1,32
2007-2-27,1071.12,1098.5,1065.01,1070,74
2007-2-28,1060,1065,1030,1031,82
2007-3-1,1058,1065,1030.01,1035,18
2007-3-2,1087.4,1087.8,1020,1050,28
2007-3-5,935,1010,935,1000,57
2007-3-6,995,1037,995,1025,12
2007-3-7,1030,1045,1030,1040,11
2007-3-9,1090,1090,1080,1089.99,15
2007-3-12,1090,1090,1080,1090,8
2007-3-13,1089,1090,1065,1065,6
2007-3-14,1050,1050,1015,1030,9
2007-3-15,1055,1090,1055,1074.99,15
2007-3-16,1080,1086.63,1080,1086.63,18
2007-3-19,1052,1084,1052,1076,64
2007-3-20,1089.99,1100,1085,1100,71
2007-3-21,1100,1120,1100,1120,49
2007-3-22,1120,1135,1117,1128,56
2007-3-23,1130,1130,1122,1124,14
2007-3-26,1127,1137,1124.01,1125,403
2007-3-27,1158.13,1158.13,1100,1129,2500
