Date,Open,High,Low,Close,Volume
2011-2-17,704,1600,704,1600,30
2011-2-28,1600,2240,1600,2240,11
2011-3-1,3117.3,3134.5,3117.3,3134.5,5
2011-3-2,4344.2,4388.3,2200,2401,320
2011-3-3,2200,2400,1861,2120,638
2011-3-4,2140,2280,1922.2,2000,153
2011-3-5,1901,2000,1755,1889.2,114
2011-3-9,1800,1869.9,1500,1684,276
2011-3-10,1555.6,1570.2,1407,1499.9,152
2011-3-11,1450,1601,1450,1497.1,18
2011-3-14,1438.8,1500,1400,1400,84
2011-3-15,1400,1749.9,1300.2,1548.8,97
2011-3-16,1426,1525,1300.4,1525,20
2011-3-17,1540,1540,1540,1540,1
2011-3-18,1590,1590,1590,1590,1
2011-3-21,1500,1600,1460.1,1499.6,59
2011-3-22,1649.9,1649.9,1465.5,1489.8,13
2011-3-23,1450.6,1450.6,1450.6,1450.6,2
2011-3-24,1506,1506,1451,1500,86
2011-3-25,1619.9,1620,1600,1611,27
2011-3-28,1477.7,2200,1450,2200,271
2011-3-29,2379.3,2750,1835,1902,260
2011-3-30,2047.8,2662.8,1801.5,2662.8,717
2011-3-31,3185,3692.9,2500.2,3001,1316
2011-4-1,3377.7,3438.8,2748,2894.7,350
2011-4-4,2943.9,2943.9,2601.1,2650,272
2011-4-5,2782.6,2900,2555,2800.1,214
2011-4-6,2949.8,3920.4,2801,3920,1553
2011-4-7,4160,5425,3450,4500,2525
2011-4-8,4500,6249.3,4276,6209.5,3306
2011-4-11,6198,7994.2,6198,7889,4060
2011-4-12,7854.4,10797.6,7854.4,10797.6,2773
2011-4-13,12000,14979.9,8252,9100,3136
2011-4-14,9061,9700,6666.6,7200,1456
2011-4-15,7250,9777,6752.8,9398,2796
2011-4-18,8900,11666.6,8900,11300,3384
2011-4-19,11550,12600,9850,10255,1602
2011-4-20,10700,10700,8100,9399,1927
2011-4-21,9200.1,9350,8700.1,8974.7,428
2011-4-22,9100,9449.9,8200.1,8499.6,799
2011-4-25,8190,9800,8190,9099.9,1003
2011-4-26,8888.1,8888.1,8299.9,8300,291
2011-4-27,8700,8700.5,6620,7480,1686
2011-4-28,7600,7769.8,6800.2,7100,892
2011-4-29,6901.8,7063.7,5850,6350,2011
2011-5-3,6650,6650,5723,5886.6,444
