Date,Open,High,Low,Close,Volume
2004-12-14,266.86,266.86,266,266.49,55
2004-12-15,260,265.99,260,264.5,71
2004-12-16,260.01,261,260,261,24
2004-12-17,256.01,263.2,255,260,232
2004-12-20,266.98,266.98,250.01,263.93,136
2004-12-21,251.11,264.79,251,255.67,117
2004-12-22,256,259.97,255.01,259.97,57
2004-12-23,256.11,263.35,256,263.35,25
2004-12-24,263.43,263.43,255.04,261.88,163
2004-12-27,264.89,264.89,255,260,450
2004-12-28,259.02,267,259.01,267,368
2004-12-29,267.48,273.44,260,271,428
2005-1-11,277.77,277.77,277.77,277.77,4
2005-1-14,266.65,278.5,266.65,278.5,404
2005-1-17,278,278,266,272,14
2005-1-18,270,276.95,270,275,641
2005-1-19,277.99,283,276.87,280,1052
2005-1-20,284.98,294.45,280,290,2178
2005-1-21,294.95,294.95,284,289.98,67
2005-1-24,289.49,289.5,280,284.99,149
2005-1-25,284,284,275,275,150
2005-1-26,277.99,278,277,278,5
2005-1-27,277.8,280,277.8,280,3
2005-1-28,275,279.99,275,279.99,35
2005-1-31,280,284,277,282,241
2005-2-1,284,284,277,282.9,3
2005-2-2,267.5,284,267.5,283,386
2005-2-3,285,287.09,280,287.09,174
2005-2-4,275,294.99,275,294.99,753
2005-2-7,284.51,287.9,284,287,233
2005-2-8,290,290,287,289,41
2005-2-9,289,293.5,289,293.5,190
2005-2-10,289.87,289.87,282.5,289,29
2005-2-11,287,288.95,283.31,287.99,23
2005-2-14,279.01,286.9,279.01,286.9,17
2005-2-15,287.9,288,281,285,92
2005-2-16,285,288,282,288,882
2005-2-17,288.94,293.9,285.1,292.4,373
2005-2-18,294.99,305,294.99,302.9,1472
2005-2-21,303.99,303.99,296.5,297.01,6
2005-2-22,302.99,302.99,291,295,513
2005-2-24,299,302,292,299.9,129
2005-2-25,302.9,306.06,300.01,304.99,157
2005-2-28,293,315,293,304.15,382
2005-3-1,311.5,314.5,300.16,300.16,6
2005-3-2,300,314.49,294.4,310,309
2005-3-3,285.8,305.7,285.8,305.69,90
2005-3-4,316.5,316.5,300,307.99,3115
2005-3-5,307.99,307.99,307,307,0
