Date,Open,High,Low,Close,Volume
2006-9-14,1.5,1.5,1.5,1.5,62
2007-2-19,7,7,7,7,30
2007-2-20,8,8,0.7,3.7,138
2007-2-21,2.55,4.5,2,4.5,21
2007-2-22,3.99,3.99,3.99,3.99,1
2007-2-26,3.99,4.9,3.99,4.9,5
2007-2-27,4.9,5,4.9,5,12
2007-2-28,3.31,3.31,3.31,3.31,1
2007-3-1,3.311,3.311,3.31,3.31,11
2007-3-2,3,3,3,3,6
2007-3-7,4,4,4,4,3
2007-3-12,5,5,2.151,2.5,9
2007-3-13,3.005,3.005,3,3,104
2007-3-14,2.251,3,2.251,3,3
2007-3-15,2.316,2.316,2,2,900
2007-3-16,2.101,2.896,2.1,2.896,54
2007-3-19,2.476,2.889,2.476,2.887,14
2007-3-26,2.5,2.799,2.5,2.799,11
2007-3-28,2.462,2.462,2.462,2.462,2
2007-3-29,2.56,2.56,2.56,2.56,2
2007-4-5,2.5,2.5,2.5,2.5,1
2007-4-9,2.3,2.499,2.3,2.499,3
2007-4-10,2.48,2.499,2.184,2.499,13
2007-4-12,2.213,2.4,2.213,2.4,37
2007-4-13,2.38,2.4,2.38,2.4,33
2007-4-17,2.995,2.995,2.995,2.995,1
2007-4-18,2.721,2.721,2.7,2.7,2
2007-4-20,2.455,2.85,2.201,2.201,40
2007-4-23,2.301,2.301,2.21,2.21,72
2007-4-24,2.2,2.2,2.2,2.2,89
2007-4-25,1.98,2.378,1.98,2.378,3
2007-4-26,2.2,2.349,1.95,1.95,31
2007-5-2,2.449,2.449,2.21,2.21,25
2007-5-3,2.2,5,2.2,2.99,94
2007-5-4,2.999,2.999,2.999,2.999,1
2007-5-7,2.52,2.796,2.45,2.796,36
2007-5-8,2.455,2.507,2.455,2.507,5
2007-5-10,2.45,2.953,2.45,2.953,15
2007-5-14,3.1,3.3,2.5,2.55,16
2007-5-16,2.35,2.35,2.35,2.35,10
2007-5-17,2.298,3,2.107,2.107,51
2007-5-24,2.011,2.011,2.01,2.01,4
2007-5-25,2.499,2.499,2.499,2.499,1
2007-5-28,2.011,2.011,2.011,2.011,6
2007-5-29,2.011,2.011,2.01,2.01,10
2007-6-5,3,3,2.25,2.26,48
2007-6-6,2.2,2.2,2.2,2.2,1
2007-6-8,2.794,2.794,2.599,2.599,2
2007-6-9,2.013,2.5,2.01,2.5,55
2007-6-13,2.013,2.101,2.011,2.101,10
2007-6-14,2.564,2.564,2.25,2.25,7
2007-6-19,2.1,2.1,2.1,2.1,10
2007-6-20,2.602,2.603,2.602,2.603,10
2007-6-21,2.984,2.985,2.984,2.985,6
2007-6-25,2.011,2.011,2.011,2.011,10
2007-7-2,2.1,2.23,2.1,2.23,7
2007-7-4,2.559,3.299,2.015,2.998,451
2007-7-6,2.998,2.998,2.998,2.998,2
2007-7-10,2.549,2.633,2.5,2.5,11
2007-7-11,2.157,2.35,2.147,2.35,112
2007-7-12,2.4,2.4,2.28,2.28,4
2007-7-13,2.35,2.496,2.35,2.496,5
2007-7-16,2.4,2.4,2.4,2.4,3
2007-7-17,2.17,2.299,2.134,2.299,70
2007-7-20,2.315,2.315,2.201,2.299,17
2007-7-23,2.389,2.5,2.3,2.5,23
2007-7-25,2.75,2.859,2.39,2.39,14
2007-7-26,2.291,2.446,2.277,2.29,25
2007-7-27,2.067,2.29,2.03,2.29,995
