Date,Open,High,Low,Close,Volume
2012-7-30,57.66,57.66,57.66,57.66,17
2012-7-31,57.66,57.66,57.66,57.66,10
2012-8-1,57.66,57.66,57.66,57.66,7
2012-8-2,57.66,57.66,57.66,57.66,18
2012-8-3,46.76,46.76,46.76,46.76,9
2012-8-6,46.76,46.76,46.76,46.76,9
2012-8-7,57.66,57.66,57.66,57.66,182
2012-8-8,50,50,50,50,1
2012-8-9,46.76,46.76,46.76,46.76,180
2012-8-10,46.76,57.7,46.76,57.7,10891
2012-8-13,57.66,57.66,57.66,57.66,139
2012-8-17,57.7,57.73,47.5,48.02,6593
2012-8-22,48.03,48.03,48.03,48.03,1
2012-8-23,57.69,57.71,57.69,57.71,343
2012-8-24,57.71,57.71,57.71,57.71,1
2012-8-27,57.71,57.71,57.71,57.71,1740
2012-8-28,57.71,57.71,57.71,57.71,1260
2012-8-29,57.7,57.72,57.7,57.72,1180
2012-8-30,57.71,57.71,57.71,57.71,1018
2012-9-5,50.5,51.32,50.5,51.32,51
2012-9-7,57.71,57.71,57.71,57.71,50
2012-9-11,57.7,57.7,57.7,57.7,1
2012-9-17,60.5,60.5,57.8,57.8,21
2012-9-18,54.39,54.39,54.39,54.39,17
2012-9-21,58,58,58,58,14
2012-9-26,58,80,53,58,53
2012-9-27,58,58,58,58,1
2012-10-5,58,58,58,58,5
2012-10-9,58,58,58,58,1
2012-10-10,60,60,49.22,49.22,2
2012-10-12,58,58,58,58,1
2012-10-15,57.95,57.95,57.95,57.95,1
2012-10-16,78,78,78,78,1
2012-10-22,58,58,57.99,57.99,3
2012-10-23,56,56,56,56,2
2012-10-25,57.05,57.05,57.05,57.05,2
2012-10-26,56.75,56.75,56.75,56.75,1
2012-10-29,57,57,56.95,56.95,2
2012-10-30,57.95,57.95,57.95,57.95,1
2012-10-31,57.05,57.05,57.05,57.05,1
2012-11-6,57.2,57.2,57.2,57.2,1
2012-11-9,58.19,58.2,58.19,58.2,3
2012-11-12,58,58,58,58,2
2012-11-13,58,58.3,58,58.3,26
2012-11-14,58.2,58.3,58.2,58.3,37
2012-11-15,58.3,58.3,57.3,58.2,17
2012-11-16,57.35,57.35,57.35,57.35,1
2012-11-20,58.3,58.3,57.35,57.35,10
2012-11-21,57.4,57.4,57.4,57.4,1
2012-11-22,57.4,57.4,57.4,57.4,1
2012-11-23,58.22,58.25,58.22,58.25,4
2012-11-27,58.22,58.25,57.28,57.28,9
2012-11-28,57.35,57.35,57.35,57.35,1
2012-12-3,58.19,58.28,58.19,58.28,91
2012-12-4,58.28,58.28,58.15,58.21,171
2012-12-5,58.1,58.26,58.1,58.26,108
2012-12-6,58.05,58.26,58.05,58.26,98
2012-12-7,58,58,58,58,60
2012-12-10,58.15,58.22,58.15,58.22,112
2012-12-11,58.23,58.25,58.15,58.15,73
2012-12-12,58.2,58.21,58.2,58.2,176
2012-12-13,58.21,58.21,58.2,58.2,79
2012-12-14,57.4,58.1,57.4,58.1,10510
2012-12-17,57.4,58.2,57.4,58.01,8752
2012-12-18,57.4,58.26,57.4,58.26,7081
2012-12-19,58.19,58.3,58.19,58.3,47
2012-12-20,58.19,58.25,58.19,58.25,176
2012-12-21,58.24,58.28,58.24,58.28,143
2012-12-24,58.26,58.26,58.26,58.26,89
2012-12-25,57.45,57.5,57.45,57.5,10376
2012-12-26,58.3,58.3,57.55,58.26,2293
2012-12-27,58.25,58.25,57.45,58.25,12262
2012-12-28,57.45,58.3,57.45,58.3,5352
2013-1-9,58.28,58.28,58.15,58.15,222
2013-1-10,58.33,58.33,58.3,58.33,270
2013-1-11,58.28,58.28,58.28,58.28,88
2013-1-14,58.14,58.29,58.14,58.29,277
2013-1-15,58.29,58.29,58.15,58.29,414
2013-1-16,58.3,58.31,58.3,58.31,501
2013-1-17,58.4,58.41,58.38,58.41,758
2013-1-18,58.9,58.9,58.9,58.9,300
2013-1-21,59,59.45,59,59.45,452
2013-1-22,59.38,59.38,59.21,59.23,439
2013-1-23,59.22,59.22,59.2,59.2,266
2013-1-24,59.2,59.21,58.45,59.21,17552
2013-1-25,59.25,59.25,58.43,59.06,6772
2013-1-28,59.25,59.31,59.24,59.31,470
2013-1-29,59.31,59.31,59.27,59.31,495
2013-1-30,59.4,59.4,59.25,59.4,428
2013-1-31,59.45,60.05,59.41,59.42,531
2013-2-1,59.42,59.45,59.42,59.45,320
2013-2-4,59.4,59.4,59.4,59.4,496
2013-2-5,59.4,59.42,59.25,59.25,675
2013-2-6,59.2,59.35,59.2,59.35,389
2013-2-7,59,59.01,59,59,8475
2013-2-8,62,62,62,62,171
2013-2-11,61,65,61,61.52,167
2013-2-12,59.95,59.95,59.21,59.45,518
2013-2-13,59.4,59.4,59.4,59.4,376
2013-2-14,59.45,59.45,59.45,59.45,600
2013-2-15,59.47,59.47,59.46,59.47,640
2013-2-18,59.16,59.53,59.15,59.53,754
2013-2-19,59.53,59.53,59.4,59.4,619
2013-2-20,59.5,59.55,59.4,59.51,752
2013-2-21,59.85,59.85,59.09,59.09,525
2013-2-22,59.46,59.46,59.4,59.45,3431
2013-2-25,59.5,59.5,59.2,59.5,717
2013-2-26,59.23,59.35,59.21,59.35,485
2013-2-27,59.32,59.62,59.32,59.32,316
2013-2-28,59.39,59.55,59.31,59.31,8657
2013-3-1,59.21,59.4,58.88,59.21,594
2013-3-4,59.21,59.22,59.21,59.22,304
2013-3-5,59.3,59.32,59.28,59.32,687
2013-3-6,59.32,59.32,59.25,59.25,349
2013-3-7,59.33,59.5,59.33,59.33,545
2013-3-11,59.33,59.45,59.31,59.31,709
2013-3-12,59.2,59.44,59.2,59.27,779
2013-3-13,59.5,59.5,59.49,59.49,750
2013-3-14,59.44,59.75,59.44,59.47,814
2013-3-15,59.51,59.61,59.45,59.55,610
2013-3-18,59.31,59.65,59.2,59.2,554
2013-3-19,59.33,59.34,59.32,59.34,737
2013-3-20,59.32,60,59.32,59.41,765
2013-3-21,59.4,59.5,59.35,59.5,788
2013-3-22,59.32,59.45,59.32,59.43,426
2013-3-25,59.41,59.57,59.41,59.43,1035
2013-3-26,59.55,61,59.5,61,8370
2013-3-27,59.85,60.75,59.7,59.7,8344
2013-3-28,59.21,59.51,59.21,59.51,923
2013-3-29,59.5,59.6,59.45,59.52,637
2013-4-1,59.49,59.6,59.48,59.52,927
2013-4-2,59.55,59.7,59.45,59.7,9134
2013-4-3,59.45,59.95,59.45,59.95,8408
2013-4-4,59.51,59.61,59.5,59.53,999
2013-4-5,59.55,59.55,59.4,59.52,900
2013-4-8,59.53,59.56,59.49,59.56,909
2013-4-9,59.55,59.56,59.49,59.49,956
2013-4-10,59.55,59.55,59.55,59.55,743
2013-4-11,60.1,60.1,59.49,59.49,758
2013-4-12,59.52,59.54,59.49,59.49,932
2013-4-15,59.5,59.5,59.44,59.44,807
2013-4-16,60.1,60.1,59.43,59.49,1003
2013-4-17,59.45,59.45,59.4,59.4,570
2013-4-18,59.46,59.46,59.4,59.46,627
