Date,Open,High,Low,Close,Volume
2013-2-15,58.15,58.15,51.23,55,608255
2013-2-18,55,56.6,54.18,56.02,276735
2013-2-19,56.54,56.6,55.95,56,176163
2013-2-20,56.3,56.5,54.98,55.4,143860
2013-2-21,55.18,55.39,54.41,54.7,51935
2013-2-22,55.82,55.82,53.89,54.4,123487
2013-2-25,54.76,54.8,54.07,54.3,10600
2013-2-26,54.57,54.74,52.57,54.4,149303
2013-2-27,54.25,54.25,53.4,53.93,276476
2013-2-28,54.74,54.74,53.5,54,36184
2013-3-1,53.7,54.28,52.5,52.5,235684
2013-3-4,52.5,52.97,52.3,52.8,204895
2013-3-5,52.88,54.17,52.7,54.17,58542
2013-3-6,53.3,54.2,53.3,53.8,108054
2013-3-7,53.49,54.2,53.43,53.76,57378
2013-3-11,53.98,54.6,53.27,54.18,155346
2013-3-12,53.52,54.8,53.28,54.6,170775
2013-3-13,54.23,55.08,54.22,54.55,438316
2013-3-14,54.8,55.15,54.3,54.9,269098
2013-3-15,55,55.24,54.16,55,905901
2013-3-18,52.9,53.43,51.1,52.95,114396
2013-3-19,53.2,53.2,51.87,51.9,140804
2013-3-20,49.41,52.36,49.41,52.12,101321
2013-3-21,52.57,52.96,51.95,52.13,40740
2013-3-22,52.3,52.3,51.5,51.5,45661
2013-3-25,52.38,52.38,51.8,51.92,19982
2013-3-26,51.55,52,50.3,51.49,33892
2013-3-27,52.03,52.03,50.55,50.55,26560
2013-3-28,51,51,48.8,48.85,62875
2013-3-29,49.5,51.95,49,51.95,38866
2013-4-1,50.18,50.18,49.16,49.63,7979
2013-4-2,49.61,49.63,48.38,48.59,16838
2013-4-3,48.52,48.52,47.89,48.23,13319
2013-4-4,48.07,48.65,47.42,48.43,18176
2013-4-5,48.43,48.61,47.5,48.5,12394
2013-4-8,48.67,48.88,47.5,47.51,11053
2013-4-9,48.23,48.23,47.4,47.4,20998
2013-4-10,48,48,46.75,46.87,42417
2013-4-11,47.22,47.6,45.64,45.64,60214
2013-4-12,45.7,45.97,45,45.45,46935
2013-4-15,45.5,46.2,45.42,45.66,139363
2013-4-16,45.77,45.77,42.57,43.39,57848
2013-4-17,43.88,44.48,43.11,43.3,103405
2013-4-18,43.5,43.5,42.58,43.03,88860
2013-4-19,43.18,43.57,43,43.38,133426
2013-4-22,43.99,44.05,43.5,43.55,47255
