Date,Open,High,Low,Close,Volume
2011-12-14,3.998,3.998,3.9978,3.9978,8
2012-1-9,4,4,4,4,1
2012-1-11,4,4,4,4,2
2012-1-12,4,4,4,4,3
2012-2-2,4,4,4,4,9
2012-2-7,4,4,4,4,6
2012-2-9,3.9999,3.9999,3.9999,3.9999,2
2012-2-10,3.9998,3.9998,3.9997,3.9997,4
2012-2-14,5.5968,5.5968,4.5,4.5,2
2012-2-15,3.3001,4.48,3.3001,4.48,2
2012-2-28,3.3001,3.3001,3.3001,3.3001,1
2012-2-29,3,3.7,2.8,3.7,4
2012-3-7,2.22,2.22,2.22,2.22,1
2012-3-14,3.108,3.108,3.108,3.108,2
2012-3-15,4.3512,4.3512,4,4.3512,24
2012-3-16,6.09,6.091,6.09,6.091,7
2012-3-19,8.5274,8.5274,8,8.5274,8
2012-3-20,11.9383,11.9384,11.9383,11.9384,5
2012-3-21,16.713,16.7138,14,16.5798,40
2012-3-22,16,23.21,9.9479,9.9479,95
2012-3-23,10.5,10.5,6.73,8.18,12
2012-3-26,9.4999,9.4999,6.32,6.32,24
2012-3-27,6.25,6.25,4.61,5.41,44
2012-3-28,5.0105,5.0115,5.0103,5.011,6
2012-3-29,6.4499,6.9467,4.61,5.3861,9
2012-3-30,5.0001,5.5555,5.0001,5.5,4
2012-4-2,6,7.7,6,7.7,49
2012-4-3,8.33,10.7,7.4113,9.4999,66
2012-4-4,9.5,9.5,9.5,9.5,1
2012-4-5,8.5001,10.0825,8.5001,10,43
2012-4-6,10.6,14,10.2,12.0001,84
2012-4-9,11.5001,15.88,10,14.3997,75
2012-4-10,12.5003,14.8,9,11.9999,45
2012-4-11,11.9999,11.9999,9.18,9.5,25
2012-4-12,9.7,9.7,8.32,9,19
2012-4-13,8.5501,10.85,8,9.3,57
2012-4-16,9.85,11.9997,9.1279,10,71
2012-4-17,10.1,10.1,8.5502,9.85,40
2012-4-18,8.6202,9,8.1717,8.9999,13
2012-4-19,8.3,9,8,8.9996,42
2012-4-20,8.5,9.2349,8.5,9.2347,22
2012-4-23,8.5,9,8.1,9,18
2012-4-24,9,9,8.2504,8.2504,2
2012-4-26,9.1997,9.1997,8.9999,8.9999,2
2012-4-27,8.8,9.0003,8.8,9,10
2012-4-28,9,9.2255,9,9.2255,7
2012-5-5,6.0503,7.5,6.05,7,18
2012-5-7,7.0001,7.0001,7,7,5
2012-5-8,7.4999,7.4999,7.1,7.2,5
2012-5-10,7.4,7.4986,7.0001,7.4986,3
2012-5-11,7.4995,10.1492,7.0001,8.0157,54
2012-5-12,8.0111,11.2156,8.0111,11.2156,15
2012-5-14,9.5001,11.6999,7.2003,7.3105,81
2012-5-15,7.6,7.9998,7.005,7.9,14
2012-5-16,7.9998,8.444,7.8326,7.8326,6
2012-5-17,7.7834,7.7834,7.5,7.7,8
2012-5-18,7.7097,7.7456,7.4,7.7456,4
2012-5-21,7.9974,7.9974,7.9974,7.9974,1
2012-5-24,6.8,6.8,5.5157,6.2,18
2012-5-25,5.8,6.4,5.8,6.389,5
2012-5-28,6.389,6.389,6.389,6.389,1
2012-5-29,6.1601,7.5,6.1,7,23
2012-5-30,7,7.5,6.5021,7.0001,8
2012-5-31,6.1,6.6,6.1,6.6,2
2012-6-1,6.1001,6.1001,5.4995,5.85,27
2012-6-4,6,6.5,5.8,6.5,10
2012-6-5,6.5,7,5.95,6.4999,14
2012-6-6,6,6.7877,6,6.7877,6
2012-6-7,6.4,6.7,5.9,5.9999,18
2012-6-8,6.03,6.5,6.03,6.5,8
2012-6-9,7,7,6.3,6.9999,6
2012-6-13,6.0021,6.5997,6.0001,6.5997,6
2012-6-14,6.0501,6.101,6.0001,6.0001,4
2012-6-15,6.0001,6.9998,6,6.3,30
2012-6-18,6.4,6.4,5.9998,6.0001,36
2012-6-19,5.8,5.8,5.5005,5.5005,12
2012-6-20,5.3,5.55,5.3,5.55,5
2012-6-21,5.36,5.36,4.9,5.3,36
2012-6-22,5.15,5.15,5.15,5.15,1
2012-6-26,4.8001,4.8001,4.8,4.8,4
2012-6-27,5,5.07,4.815,4.815,10
2012-6-28,4.5012,4.8,4.3,4.64,16
2012-6-29,4.8999,6.2,4.8999,5.655,58
2012-7-2,5.2002,5.9999,5.1001,5.9999,4
2012-7-3,5.5001,5.54,5.2,5.54,19
2012-7-4,5.41,5.54,5.41,5.5101,15
2012-7-5,5.25,5.2999,5.1001,5.2,22
2012-7-6,5.21,5.21,5.05,5.05,5
2012-7-9,4.87,5.1,4.87,5.1,8
2012-7-10,4.9999,5.4,4.9999,5.4,9
2012-7-11,5.4,5.4,5.2101,5.25,8
2012-7-12,5.25,5.255,5.25,5.255,7
2012-7-13,5.25,5.8499,5.25,5.8499,17
2012-7-16,5.647,5.65,5.647,5.65,2
2012-7-17,5.5,5.7,5.2501,5.7,11
2012-7-18,5.979,6.7199,5.979,6.5,17
2012-7-19,6.66,7.6999,6.5021,7.6999,45
2012-7-20,7.4001,7.8,7.4,7.4,18
2012-7-23,8,8.3,7.9996,8.11,23
2012-7-24,8.11,9.999,8.11,8.6,67
2012-7-25,7.012,7.45,6.15,7.45,5
2012-7-26,5.7,10.3599,5.1888,9.3001,60
2012-7-27,10,10,7,7.9993,41
2012-7-30,7.1502,8.5,7.1,8.0999,13
2012-7-31,9.0994,9.0994,7.0001,7.0001,5
2012-8-1,7.0001,8,7,8,7
2012-8-6,8.9998,8.9998,8.005,8.005,2
2012-8-7,6.5003,8.7699,6.5003,8.7699,7
2012-8-8,8.9999,8.9999,7.5,7.5511,8
2012-8-9,7.5511,7.5511,7.5511,7.5511,1
2012-8-14,6.22,6.22,6.22,6.22,1
2012-8-15,6.72,6.72,6.6,6.6,3
2012-8-16,6.4999,6.5,6.4999,6.5,2
2012-8-17,6.0005,6.0005,6.0005,6.0005,1
2012-8-20,6.0005,7.9998,6.0005,7,8
2012-8-24,7.7772,7.7772,6.2111,7.2221,6
2012-8-27,6.3,6.3,6.3,6.3,1
2012-8-29,5.8001,7.1177,5.8,5.8501,18
2012-8-30,5.85,5.85,5.7501,5.78,7
2012-8-31,5.8,6.4479,5.7005,6.4419,104
2012-9-3,6.5,6.5,6.5,6.5,1
2012-9-5,7,7,7,7,1
2012-9-6,6.3412,6.3412,6.3412,6.3412,1
2012-9-7,6.9998,7.2999,6.3149,6.3149,9
2012-9-10,6.53,7.1319,6.53,7.1319,2
2012-9-11,6.7215,6.7215,6.5,6.5,2
2012-9-13,7.2498,7.2498,6.5001,6.5001,8
2012-9-14,6.25,6.25,6.25,6.25,1
2012-9-19,6.4999,6.4999,6.4999,6.4999,1
2012-9-24,5.8412,5.9996,5.7195,5.9996,3
2012-9-25,5.8002,6,5.8002,6,2
2012-9-26,5.71,5.9983,5.71,5.9983,2
2012-9-27,6,6,6,6,2
2012-9-28,5.9999,5.9999,5.9999,5.9999,1
2012-10-1,5.6845,5.6845,5.6845,5.6845,1
2012-10-11,5.9999,6,5.8934,5.8934,19
2012-10-12,5.8339,5.8339,5.8339,5.8339,1
2012-10-17,5.9998,5.9998,5.9998,5.9998,2
2012-10-18,6,6,6,6,3
2012-10-19,5.8001,5.8001,5.8001,5.8001,1
2012-10-22,5.5026,5.5026,5.5026,5.5026,2
2012-10-23,5.5,5.5,5,5.0003,16
2012-10-24,5.1997,5.1997,4.95,4.95,3
2012-10-26,4.5034,5.04,4.5023,5.04,3
2012-11-6,5,5,5,5,2
2012-11-7,5,5,4.5012,4.5012,5
2012-11-8,4.9998,4.9999,4.9998,4.9999,2
2012-11-13,4.9999,5,4.9999,5,11
2012-11-14,5,5.2499,5,5.2499,4
2012-11-15,5,5,5,5,2
2012-11-23,4.7405,4.7405,4.7058,4.7059,7
2012-11-26,4.8,4.8,4.8,4.8,1
2012-11-27,6.1993,6.1993,6.1993,6.1993,1
2012-11-28,5.4999,5.4999,5,5,3
2012-11-29,4.7,4.7,4.6501,4.6501,3
2012-11-30,4.5254,5.3,4.5254,5.3,5
2012-12-13,4.6101,4.6101,4.6101,4.6101,1
2012-12-17,4.5409,4.5409,4.5408,4.5408,2
2012-12-18,4.9261,4.9261,4.9261,4.9261,1
2012-12-27,4.5102,4.5104,4.5102,4.5104,2
2013-1-9,4.5001,4.85,4.5,4.85,3
2013-1-10,4.6203,4.6203,4.6203,4.6203,1
2013-1-16,4.6603,5,4.6602,5,3
2013-1-18,4.9999,5.495,4.61,4.8,49
2013-1-21,4.8,4.8,4.8,4.8,9
2013-1-22,4.57,4.86,4.4011,4.5,67
2013-1-23,4.4801,4.4999,4.3,4.48,22
2013-1-24,4.7972,4.7972,4.7972,4.7972,1
2013-1-25,4.623,4.623,4.623,4.623,2
2013-1-29,4.2637,4.2637,4.2637,4.2637,2
2013-1-31,4.2108,4.3,4.2108,4.3,2
2013-2-1,4.21,4.3,4.1514,4.3,4
2013-2-5,4.35,4.35,4.35,4.35,1
2013-2-8,4.32,4.35,4.32,4.35,3
2013-2-11,4.0029,4.0029,4.0018,4.0018,2
2013-2-13,4.1008,4.1008,4.1008,4.1008,1
2013-2-14,4.0513,4.2,4,4,6
2013-2-15,4.2,4.2,4.2,4.2,1
2013-2-19,4.0062,4.0062,4,4,10
2013-2-20,3.9006,3.9006,3.9,3.9,18
2013-2-26,3.8005,3.8005,3.8,3.8,10
2013-2-27,4.01,4.01,4.01,4.01,2
2013-3-1,3.5002,4.24,3.4,4.24,12
2013-3-6,3.5051,3.9,3.5051,3.9,5
2013-3-7,4.0001,4.3999,3.6231,3.85,21
2013-3-11,4.0999,5.39,3.95,4.07,170
2013-3-12,3.9999,3.9999,3.95,3.95,8
2013-3-13,3.71,4,3.71,4,2
2013-3-15,3.999,4.1999,3.7778,3.86,7
2013-3-19,3.7401,3.7401,3.7401,3.7401,3
2013-3-20,3.56,3.7999,3.5013,3.7999,6
2013-3-26,3.61,3.61,3.55,3.55,3
2013-4-2,3.72,3.72,3.72,3.72,1
2013-4-3,3.9997,3.9997,3.9997,3.9997,1
2013-4-9,3.6701,3.6701,3.6701,3.6701,1
2013-4-10,3.6,3.7999,3.6,3.7999,2
2013-4-12,3.3101,3.3101,3.3101,3.3101,4
2013-4-22,3.3,4.0998,3.3,4.0998,3
2013-5-23,3.7499,3.7499,3.5,3.5,9
2013-5-28,3.14,3.14,3.0011,3.0011,12
2013-5-29,3.24,3.24,3.24,3.24,1
2013-7-10,2.8113,3.77,2.8112,3.77,7
2013-7-11,3.555,3.555,3.555,3.555,1
2013-7-18,3.2,3.2,3.2,3.2,4
2013-7-24,3.2012,3.2012,3,3.0999,11
2013-7-29,3.8997,3.8997,3.8997,3.8997,1
2013-7-30,3.5555,3.5555,3.5555,3.5555,1
2013-8-5,3.9914,3.9914,3.9914,3.9914,1
2013-8-6,3.5,3.8975,3.2,3.2,4
2013-8-28,3,3,3,3,1
2013-9-19,2.6411,2.6411,2.6005,2.6005,4
2013-9-20,2.94,2.94,2.94,2.94,1
2013-9-23,3.1999,3.6673,3.1999,3.6673,27
2013-9-24,3.8603,3.8603,3.8603,3.8603,1
2013-9-25,2.7507,3.06,2.3023,3.06,13
2013-9-27,3.2995,3.2995,3.2995,3.2995,1
2013-9-30,2.86,2.99,2.5,2.99,7
2013-10-23,2.38,2.38,2.2011,2.2011,3
2013-10-25,2.81,2.81,2.81,2.81,1
2013-11-11,2.4501,2.4501,2.4501,2.4501,1
2013-11-19,2.2403,2.2403,2.2403,2.2403,1
2013-11-29,2.14,2.22,1.8701,2.22,34
2013-12-6,1.8703,2.1,1.8703,2.1,11
2013-12-9,2,2,2,2,1
2013-12-26,2.2212,2.2212,2.22,2.2202,5
2013-12-27,2.22,2.22,2.22,2.22,5
2014-2-4,2,2,2,2,2
2014-2-7,2.2,2.2,2.2,2.2,3
2014-2-12,2.499,2.499,2.499,2.499,1
2014-3-7,1.6012,2.772,1.6012,2.772,2
2014-3-14,2.1,2.1,2.1,2.1,1
2014-3-18,2.77,2.77,2.77,2.77,1
2014-3-27,2.7216,2.7216,2.7216,2.7216,1
2014-4-23,1.7702,2,1.77,2,3
2014-4-25,2.0011,2.0011,2.0011,2.0011,1
2014-4-28,2.0011,2.0011,2,2,4
2014-5-2,1.78,1.78,1.78,1.78,1
2014-5-19,2.1,2.1,1.9,1.9,13
2014-5-22,2.08,2.08,2.08,2.08,17
2014-5-27,2,2,2,2,2
2014-8-14,2.35,2.35,2.35,2.35,1
2014-9-15,1.8448,2.2,1.8448,2.2,2
