Date,Open,High,Low,Close,Volume
2009-4-14,0.44,0.44,0.415,0.424,31594
2009-4-15,0.438,0.438,0.412,0.429,65
2009-4-16,0.416,0.419,0.416,0.419,125
2009-4-17,0.42,0.43,0.418,0.426,1962
2009-4-20,0.449,0.449,0.413,0.413,1397
2009-4-21,0.412,0.412,0.41,0.41,15880
2009-4-22,0.412,0.429,0.41,0.411,264
2009-4-23,0.422,0.44,0.411,0.429,2145
2009-4-24,0.418,0.437,0.417,0.417,373
2009-4-27,0.416,0.425,0.409,0.411,15616
2009-4-28,0.41,0.419,0.41,0.411,2552
2009-4-29,0.412,0.422,0.412,0.422,122
2009-4-30,0.42,0.425,0.41,0.41,281
2009-5-4,0.42,0.431,0.419,0.42,5486
2009-5-5,0.421,0.43,0.421,0.422,657
2009-5-6,0.421,0.46,0.42,0.45,755
2009-5-7,0.459,0.498,0.459,0.46,2208
2009-5-8,0.457,0.471,0.457,0.46,2657
2009-5-12,0.473,0.475,0.445,0.454,694
2009-5-13,0.456,0.483,0.445,0.481,6618
2009-5-14,0.483,0.498,0.46,0.498,8685
2009-5-15,0.509,0.509,0.476,0.5,571
2009-5-18,0.517,0.54,0.506,0.536,6197
2009-5-19,0.533,0.649,0.515,0.576,4262
2009-5-20,0.593,0.619,0.553,0.603,3859
2009-5-21,0.611,0.611,0.555,0.598,967
2009-5-22,0.567,0.606,0.567,0.6,905
2009-5-25,0.599,0.599,0.565,0.592,363
2009-5-26,0.61,0.61,0.55,0.565,4183
2009-5-27,0.592,0.6,0.57,0.593,30844
2009-5-28,0.593,0.6,0.58,0.582,30495
2009-5-29,0.58,0.603,0.55,0.588,837
2009-6-1,0.56,0.63,0.56,0.629,3852
2009-6-2,0.619,0.629,0.598,0.612,38528
2009-6-3,0.61,0.629,0.569,0.599,8821
2009-6-4,0.6,0.608,0.6,0.6,725
2009-6-5,0.611,0.663,0.603,0.652,3851
2009-6-8,0.629,0.65,0.616,0.644,347
2009-6-9,0.636,0.749,0.636,0.735,46742
2009-6-10,0.73,0.78,0.73,0.77,13043
2009-6-11,0.76,0.831,0.75,0.798,19719
2009-6-15,0.795,0.81,0.75,0.75,42236
2009-6-16,0.74,0.765,0.7,0.735,17700
2009-6-17,0.744,0.798,0.72,0.77,1932
2009-6-18,0.76,0.792,0.68,0.707,13163
2009-6-19,0.731,0.742,0.693,0.71,24850
2009-6-22,0.71,0.84,0.665,0.691,93334
2009-6-23,0.63,0.8,0.63,0.673,40420
2009-6-24,0.631,0.668,0.631,0.66,2262
2009-6-25,0.662,0.676,0.66,0.66,928
2009-6-26,0.67,0.679,0.64,0.64,231
2009-6-29,0.638,0.643,0.628,0.642,114
2009-6-30,0.642,0.65,0.55,0.57,35143
2009-7-1,0.64,0.64,0.618,0.636,24769
2009-7-2,0.641,0.641,0.59,0.595,22853
2009-7-3,0.61,0.61,0.58,0.59,48159
2009-7-6,0.58,0.609,0.576,0.609,233
2009-7-7,0.616,0.616,0.579,0.579,0
2009-7-8,0.575,0.612,0.568,0.605,87
2009-7-9,0.602,0.602,0.55,0.56,39751
2009-7-10,0.564,0.567,0.53,0.531,440
2009-7-13,0.483,0.542,0.483,0.53,5553
2009-7-14,0.533,0.57,0.512,0.52,8503
2009-7-15,0.515,0.54,0.515,0.525,51480
2009-7-16,0.559,0.559,0.517,0.517,1550
2009-7-17,0.527,0.53,0.506,0.518,2060
2009-7-20,0.533,0.55,0.51,0.523,976
2009-7-21,0.506,0.54,0.506,0.527,5558
2009-7-22,0.518,0.518,0.51,0.515,953
2009-7-23,0.52,0.52,0.5,0.513,1286
2009-7-24,0.513,0.53,0.511,0.512,470
2009-7-27,0.501,0.538,0.491,0.52,59856
2009-7-28,0.51,0.518,0.51,0.515,100
2009-7-29,0.523,0.523,0.505,0.519,127
2009-7-30,0.518,0.526,0.517,0.517,191
2009-7-31,0.522,0.539,0.515,0.518,527
2009-8-3,0.537,0.595,0.52,0.552,2189
2009-8-4,0.531,0.569,0.531,0.555,338
2009-8-5,0.537,0.57,0.522,0.538,1230
2009-8-6,0.548,0.56,0.536,0.548,177
2009-8-7,0.558,0.558,0.522,0.545,76
2009-8-10,0.555,0.555,0.528,0.528,430
2009-8-11,0.567,0.567,0.517,0.517,595
2009-8-12,0.515,0.515,0.511,0.515,245
2009-8-13,0.524,0.529,0.513,0.529,2472
2009-8-14,0.513,0.528,0.506,0.514,3204
2009-8-17,0.51,0.514,0.49,0.514,381
2009-8-18,0.525,0.53,0.504,0.53,33
2009-8-19,0.511,0.547,0.505,0.525,2949
2009-8-20,0.506,0.518,0.5,0.513,1073
2009-8-21,0.511,0.545,0.498,0.545,4092
2009-8-24,0.511,0.544,0.51,0.531,9562
2009-8-25,0.48,0.53,0.48,0.52,6810
2009-8-26,0.482,0.533,0.482,0.524,1607
2009-8-27,0.484,0.533,0.484,0.514,1183
2009-8-28,0.482,0.595,0.482,0.559,10842
2009-8-31,0.503,0.575,0.503,0.552,8512
2009-9-1,0.548,0.566,0.536,0.565,1829
2009-9-2,0.546,0.569,0.5,0.549,2112
2009-9-3,0.537,0.59,0.537,0.57,4160
2009-9-4,0.568,0.58,0.555,0.571,464
2009-9-7,0.565,0.585,0.564,0.585,2568
2009-9-8,0.586,0.62,0.578,0.61,10310
2009-9-9,0.6,0.64,0.594,0.631,9277
2009-9-10,0.635,0.659,0.633,0.64,4220
2009-9-11,0.64,0.644,0.635,0.64,3032
2009-9-14,0.631,0.693,0.625,0.686,8021
2009-9-15,0.668,0.729,0.668,0.72,10282
2009-9-16,0.728,0.728,0.695,0.695,2945
2009-9-17,0.707,0.711,0.675,0.689,4042
2009-9-18,0.712,0.712,0.68,0.7,1309
2009-9-21,0.7,0.703,0.67,0.67,1645
2009-9-22,0.678,0.693,0.668,0.668,2572
2009-9-23,0.669,0.698,0.669,0.691,10621
2009-9-24,0.686,0.71,0.685,0.7,827
2009-9-25,0.707,0.714,0.704,0.71,2183
2009-9-28,0.705,0.725,0.695,0.714,1188
2009-9-29,0.714,0.786,0.714,0.786,4029
2009-9-30,0.79,0.984,0.79,0.898,20991
2009-10-1,0.924,0.98,0.84,0.94,15438
2009-10-2,0.939,0.939,0.8,0.857,8360
2009-10-5,0.904,0.904,0.819,0.822,5550
2009-10-6,0.91,0.91,0.781,0.797,6900
2009-10-7,0.801,0.82,0.79,0.802,2580
2009-10-8,0.81,0.848,0.796,0.835,3778
2009-10-9,0.843,0.859,0.81,0.835,4062
2009-10-12,0.852,0.855,0.83,0.833,4308
2009-10-13,0.84,0.85,0.83,0.834,4141
2009-10-14,0.842,0.845,0.817,0.821,1356
2009-10-15,0.822,0.822,0.796,0.8,4041
2009-10-16,0.813,0.813,0.766,0.796,1450
2009-10-19,0.791,0.813,0.79,0.81,491
2009-10-20,0.796,0.82,0.79,0.8,987
2009-10-21,0.801,0.801,0.76,0.787,1259
2009-10-22,0.79,0.819,0.77,0.796,20099
2009-10-23,0.808,0.819,0.772,0.785,12965
2009-10-26,0.785,0.793,0.767,0.784,6585
2009-10-27,0.785,0.798,0.745,0.758,2859
2009-10-28,0.77,0.787,0.716,0.721,4478
2009-10-29,0.713,0.742,0.65,0.718,5226
2009-10-30,0.72,0.741,0.67,0.68,7451
2009-11-2,0.68,0.704,0.671,0.69,3747
2009-11-3,0.694,0.7,0.681,0.7,2627
2009-11-5,0.7,0.705,0.681,0.695,1262
2009-11-6,0.695,0.733,0.682,0.71,3388
2009-11-9,0.71,0.754,0.709,0.741,1608
2009-11-10,0.74,0.769,0.731,0.768,8388
2009-11-11,0.762,0.791,0.761,0.78,2757
2009-11-12,0.78,0.805,0.76,0.798,12441
2009-11-13,0.797,0.84,0.789,0.79,15624
2009-11-16,0.801,0.825,0.785,0.81,10229
2009-11-17,0.81,0.811,0.787,0.789,4996
2009-11-18,0.79,0.86,0.789,0.836,18938
2009-11-19,0.83,0.852,0.751,0.835,26588
2009-11-20,0.838,0.855,0.81,0.83,27965
2009-11-23,0.83,0.85,0.828,0.837,6778
2009-11-24,0.837,0.837,0.802,0.83,31018
2009-11-25,0.83,0.844,0.781,0.807,8420
2009-11-26,0.79,0.807,0.77,0.79,6645
2009-11-27,0.779,0.82,0.751,0.793,2513
2009-11-30,0.807,0.818,0.785,0.799,2570
2009-12-1,0.802,0.815,0.8,0.81,1356
2009-12-2,0.813,0.814,0.789,0.791,1397
2009-12-3,0.8,0.815,0.8,0.805,2114
2009-12-4,0.81,0.815,0.752,0.812,3001
2009-12-7,0.816,0.817,0.79,0.803,2088
2009-12-8,0.797,0.807,0.791,0.8,2711
2009-12-9,0.8,0.813,0.79,0.808,3589
2009-12-10,0.802,0.817,0.791,0.813,1386
2009-12-11,0.812,0.816,0.799,0.815,916
2009-12-14,0.817,0.817,0.804,0.804,63
2009-12-15,0.802,0.809,0.779,0.802,583
2009-12-16,0.818,0.845,0.791,0.811,3016
2009-12-17,0.802,0.817,0.786,0.793,1708
2009-12-18,0.801,0.81,0.789,0.79,2528
2009-12-21,0.801,0.808,0.78,0.79,1084
2009-12-22,0.79,0.808,0.772,0.808,4184
2009-12-23,0.805,0.808,0.791,0.795,724
2009-12-24,0.794,0.799,0.755,0.788,2503
2009-12-25,0.787,0.798,0.784,0.797,244
2009-12-28,0.786,0.799,0.781,0.79,1224
2009-12-29,0.786,0.79,0.768,0.778,11198
2009-12-30,0.78,0.795,0.771,0.79,1841
2009-12-31,0.799,0.81,0.796,0.802,1097
2010-1-11,0.8,0.835,0.797,0.806,2687
2010-1-12,0.806,0.81,0.795,0.803,632
2010-1-13,0.794,0.819,0.772,0.809,2515
2010-1-14,0.809,0.834,0.801,0.815,12158
2010-1-15,0.729,0.835,0.729,0.835,4405
2010-1-18,0.835,0.85,0.821,0.826,5970
2010-1-19,0.83,0.848,0.82,0.821,2989
2010-1-20,0.831,0.838,0.822,0.834,4336
2010-1-21,0.834,0.837,0.81,0.82,4840
2010-1-22,0.888,0.888,0.795,0.81,2440
2010-1-25,0.893,0.893,0.803,0.834,3803
2010-1-26,0.831,0.92,0.8,0.84,29861
2010-1-27,0.881,0.884,0.821,0.84,11745
2010-1-28,0.85,0.89,0.82,0.853,286942
2010-1-29,0.839,0.876,0.81,0.85,13073
2010-2-1,0.835,0.85,0.827,0.841,12396
2010-2-2,0.842,0.859,0.838,0.859,19427
2010-2-3,0.861,0.88,0.847,0.863,18275
2010-2-4,0.863,0.863,0.81,0.827,49634
2010-2-5,0.804,0.831,0.8,0.82,12943
2010-2-8,0.825,0.834,0.8,0.801,3406
2010-2-9,0.827,0.827,0.788,0.812,7184
2010-2-10,0.833,0.834,0.803,0.826,5483
2010-2-11,0.826,0.837,0.816,0.832,4806
2010-2-12,0.838,0.848,0.79,0.825,33544
2010-2-15,0.825,0.828,0.8,0.821,12305
2010-2-16,0.823,0.827,0.817,0.827,4491
2010-2-17,0.83,0.832,0.82,0.832,15146
2010-2-18,0.834,0.834,0.79,0.823,25829
2010-2-19,0.82,0.824,0.813,0.817,3073
2010-2-24,0.825,0.835,0.818,0.828,6133
2010-2-25,0.83,0.836,0.818,0.831,4308
2010-2-26,0.835,0.839,0.816,0.838,3619
2010-2-27,0.837,0.85,0.8,0.83,70334
2010-3-1,0.835,0.839,0.83,0.839,7066
2010-3-2,0.835,0.847,0.81,0.834,74184
2010-3-3,0.846,1.007,0.836,0.992,204491
2010-3-4,0.985,1.118,0.929,0.994,166018
2010-3-5,1.048,1.048,0.967,0.979,50347
2010-3-9,0.976,1.02,0.948,1.005,31414
2010-3-10,1.006,1.018,0.982,1.002,22471
2010-3-11,1,1.012,0.98,0.985,14719
2010-3-12,0.995,1.028,0.99,1.02,30412
2010-3-15,1.016,1.089,1.007,1.059,31092
2010-3-16,1.06,1.175,1.06,1.152,61088
