Date,Open,High,Low,Close,Volume
2008-9-4,221,221,221,221,0
2008-9-5,125.98,125.98,95,115.98,484
2008-9-8,118.98,143,113.15,113.15,254
2008-9-9,112,115.01,103,103,531
2008-9-10,100,103.5,92.12,92.2,115
2008-9-11,99.99,100.9,89.01,89.01,133
2008-9-12,114,114,86.01,98.49,217
2008-9-15,99.99,99.99,83.09,97,1
2008-9-16,94.99,94.99,68,78.49,302
2008-9-17,86,86,80.01,80.01,0
2008-9-19,96.5,96.5,76.02,93,43
2008-9-22,97.96,97.96,80.01,80.01,338
2008-9-23,90,95.99,76,80,356
2008-9-24,83.99,92.99,69,75,1785
2008-9-25,77.1,82,69,71,1831
2008-9-26,79.39,79.39,66.55,67.08,64
2008-9-29,72.75,72.75,62.5,62.99,865
2008-9-30,71.97,71.97,56.69,68,13334
2008-10-1,71.96,71.96,64,65.72,1598
2008-10-2,68.25,69,65.7,66.02,789
2008-10-3,66.64,66.64,65.4,65.5,414
2008-10-6,65.49,65.49,50.25,59.99,11447
2008-10-7,57,60,55,59.99,13438
2008-10-9,57,57,53,53,9669
2008-10-13,50,52,47.12,47.12,122
2008-10-14,60,60,46.51,49.01,17583
2008-10-15,54,54,43,44.01,16304
2008-10-16,42.59,48.99,35,39.01,19799
2008-10-17,44.99,44.99,36.11,42.91,18537
2008-10-20,40.88,52,39,39.01,17438
2008-10-21,42.96,47,36.52,39.97,18175
2008-10-22,38,40.9,34,39.5,19570
2008-10-23,39,44.9,37,37.03,20726
2008-10-24,35,35.99,30,30,21357
2008-10-28,33,37.96,29.1,32,23321
2008-10-29,37,37,29.05,32.98,25317
2008-10-30,31.64,35.9,30.18,31.5,25415
2008-10-31,30.34,35.78,29.1,32,25884
2008-11-1,34.99,34.99,31,34.49,27945
2008-11-5,35.03,36.8,33,36.15,22706
2008-11-6,36.42,36.42,32.7,35.94,21594
2008-11-7,32.55,37.13,32.55,37.13,23402
2008-11-10,39.47,39.47,36,38.34,26896
2008-11-11,33.05,38,33.04,35.05,21470
2008-11-13,32.61,35,29.97,33.79,22975
2008-11-14,39.99,39.99,31,33.5,21085
2008-11-17,32.57,34.38,30.5,33.67,23424
2008-11-18,33.9,33.93,31.93,32.89,23628
2008-11-19,33,33.15,31,32,23189
2008-11-20,28.06,31,28.06,30,24146
2008-11-21,28.52,33,28.52,30.85,25992
2008-11-24,28.76,31.9,28.76,31,26598
2008-11-25,33.85,33.85,30.5,32,23990
2008-11-26,29.92,33.77,29.92,33.16,24550
2008-11-27,33.71,33.76,30.5,31.13,25385
2008-11-28,30.54,32.67,27.55,29,30102
2008-12-1,30.44,30.44,28.5,28.5,27325
2008-12-2,27.7,28.92,25.55,28,28407
2008-12-3,26.82,29,26.82,28,27061
2008-12-4,27.5,29,26.66,27.15,26996
2008-12-5,27.15,28,26.6,27.03,28150
2008-12-8,29.91,29.91,27.5,28.49,27040
2008-12-9,27.36,28.88,27,28.28,27190
2008-12-10,27.03,28.86,27,28,27809
2008-12-11,28.5,28.92,28,28.29,27586
