Date,Open,High,Low,Close,Volume
2008-8-5,0.323,0.3565,0.3,0.3205,585
2008-8-6,0.325,0.325,0.3101,0.3152,322
2008-8-7,0.3249,0.3249,0.2415,0.3,302
2008-8-8,0.3139,0.3179,0.282,0.29,1876
2008-8-11,0.288,0.3,0.2801,0.285,234
2008-8-12,0.285,0.311,0.285,0.3098,644
2008-8-13,0.3,0.3048,0.296,0.2961,119
2008-8-14,0.303,0.3069,0.298,0.3068,13242
2008-8-15,0.3099,0.31,0.3,0.3,636
2008-8-18,0.3288,0.3288,0.3,0.3,1592
2008-8-19,0.296,0.3078,0.29,0.295,185
2008-8-20,0.294,0.299,0.292,0.295,240
2008-8-21,0.291,0.297,0.282,0.297,22179
2008-8-22,0.29,0.297,0.289,0.2899,1401
2008-8-25,0.285,0.288,0.28,0.28,650
2008-8-26,0.285,0.299,0.2699,0.2757,20053
2008-8-27,0.275,0.295,0.264,0.278,13782
2008-8-28,0.294,0.294,0.2714,0.275,281
2008-8-29,0.282,0.293,0.275,0.281,14125
2008-9-1,0.2798,0.2798,0.2798,0.2798,1
2008-9-2,0.28,0.28,0.274,0.274,235
2008-9-3,0.275,0.28,0.275,0.28,20053
2008-9-4,0.289,0.289,0.2452,0.255,9825
2008-9-5,0.259,0.259,0.2012,0.2205,10221
2008-9-8,0.258,0.258,0.2305,0.24,8266
2008-9-9,0.2302,0.2369,0.22,0.22,742
2008-9-10,0.2061,0.2198,0.2031,0.2051,2020
2008-9-11,0.2389,0.2389,0.2101,0.2101,6573
2008-9-12,0.215,0.2265,0.2,0.2263,581
2008-9-15,0.22,0.22,0.203,0.21,572
2008-9-16,0.226,0.226,0.1502,0.1502,7025
2008-9-17,0.155,0.155,0.112,0.112,35
2008-9-19,0.1568,0.1792,0.1568,0.171,354
2008-9-22,0.2,0.205,0.1325,0.1899,4093
2008-9-23,0.1924,0.1924,0.17,0.1833,293
2008-9-24,0.21,0.21,0.173,0.1777,255
2008-9-25,0.169,0.1877,0.169,0.1777,41777
2008-9-26,0.17,0.1802,0.16,0.1769,380
2008-9-29,0.1889,0.1889,0.1562,0.169,1700
2008-9-30,0.166,0.1697,0.156,0.1595,4355
2008-10-1,0.195,0.195,0.1502,0.1579,277
2008-10-2,0.1504,0.1794,0.148,0.16,40
2008-10-3,0.1739,0.1811,0.1248,0.1375,366
2008-10-6,0.1408,0.1499,0.12,0.12,1396
2008-10-7,0.1307,0.1495,0.111,0.12,912
2008-10-8,0.1,0.1299,0.1,0.1299,238
2008-10-9,0.12,0.1259,0.1001,0.11,198
2008-10-13,0.1257,0.1257,0.104,0.118,550
2008-10-14,0.1056,0.1248,0.1056,0.1115,508
2008-10-15,0.1159,0.1159,0.09,0.1097,2263
2008-10-16,0.1096,0.1096,0.091,0.091,425
2008-10-17,0.1,0.1098,0.08,0.0938,7114
2008-10-20,0.0877,0.1099,0.0877,0.0996,388
2008-10-21,0.104,0.135,0.0977,0.1274,875
2008-10-23,0.1255,0.1255,0.101,0.101,152
2008-10-28,0.119,0.119,0.0875,0.0995,1056
2008-10-29,0.1,0.1,0.085,0.09,1221
2008-10-30,0.097,0.097,0.086,0.0898,1117
2008-10-31,0.087,0.0915,0.0822,0.088,2495
2008-11-1,0.0899,0.09,0.085,0.089,2410
2008-11-5,0.111,0.115,0.0833,0.0897,1616
2008-11-6,0.0944,0.095,0.0849,0.0895,1711
2008-11-7,0.0897,0.0897,0.0821,0.0887,1543
2008-11-10,0.0899,0.09,0.0811,0.0849,788
2008-11-11,0.0875,0.0875,0.0759,0.0769,774
2008-11-13,0.082,0.0897,0.075,0.079,1535
2008-11-14,0.0789,0.079,0.0763,0.0789,28
2008-11-17,0.0753,0.0779,0.0737,0.0774,720
2008-11-18,0.0749,0.0749,0.06,0.0648,757
2008-11-19,0.0682,0.0704,0.0542,0.0587,1852
2008-11-20,0.0511,0.0589,0.049,0.0539,4095
2008-11-21,0.0637,0.0637,0.0512,0.0579,2033
2008-11-24,0.052,0.0596,0.0519,0.0579,1002
2008-11-25,0.0638,0.0687,0.0525,0.057,6731
2008-11-26,0.06,0.066,0.0571,0.0641,7278
2008-11-27,0.0658,0.072,0.062,0.07,11029
2008-11-28,0.0749,0.078,0.0674,0.0708,2192
2008-12-1,0.07,0.07,0.0628,0.0679,10175
2008-12-2,0.067,0.088,0.0623,0.0799,7652
2008-12-3,0.088,0.088,0.0771,0.0796,4451
2008-12-4,0.085,0.0869,0.0731,0.08,12420
2008-12-5,0.087,0.0879,0.075,0.076,5104
2008-12-8,0.087,0.087,0.077,0.0805,2933
2008-12-9,0.086,0.086,0.0731,0.077,6996
2008-12-10,0.0783,0.0807,0.0712,0.0729,3390
2008-12-11,0.0781,0.085,0.0729,0.0739,4784
2008-12-12,0.0793,0.081,0.0712,0.0724,3109
2008-12-15,0.0764,0.0764,0.0705,0.074,7288
2008-12-16,0.0764,0.0815,0.0714,0.073,10492
2008-12-17,0.0793,0.0799,0.073,0.0743,14998
2008-12-18,0.0788,0.0788,0.0716,0.0739,21898
2008-12-19,0.0857,0.0857,0.0526,0.0739,11007
2008-12-22,0.0804,0.0804,0.0722,0.0727,7176
2008-12-23,0.076,0.076,0.0722,0.073,10966
