Date,Open,High,Low,Close,Volume
2008-9-11,0.34,0.38,0.34,0.3797,146
2008-9-12,0.3499,0.3599,0.341,0.3598,74
2008-9-15,0.3401,0.349,0.32,0.3388,971
2008-9-16,0.3028,0.3298,0.2388,0.26,986
2008-9-17,0.269,0.269,0.2,0.2,61
2008-9-19,0.2501,0.3186,0.2053,0.3186,1368
2008-9-22,0.2699,0.33,0.2649,0.315,559
2008-9-23,0.2702,0.3299,0.2702,0.3199,8
2008-9-24,0.2801,0.3099,0.28,0.3099,109
2008-9-25,0.285,0.285,0.27,0.27,10
2008-9-26,0.275,0.275,0.255,0.275,294
2008-9-29,0.2501,0.274,0.24,0.24,280
2008-9-30,0.2588,0.2687,0.228,0.2687,465
2008-10-1,0.2507,0.35,0.2505,0.3385,2867
2008-10-2,0.289,0.309,0.2701,0.285,1039
2008-10-3,0.28,0.36,0.26,0.36,6568
2008-10-6,0.29,0.3,0.2565,0.2565,573
2008-10-7,0.2552,0.27,0.23,0.26,648
2008-10-8,0.2263,0.2599,0.19,0.2593,46
2008-10-9,0.245,0.2589,0.22,0.241,330
2008-10-13,0.2584,0.2584,0.2105,0.2411,321
2008-10-14,0.23,0.255,0.21,0.224,296
2008-10-15,0.229,0.229,0.19,0.195,173
2008-10-16,0.19,0.2,0.17,0.17,53
2008-10-17,0.17,0.21,0.15,0.21,497
2008-10-20,0.1541,0.1848,0.1485,0.1525,1856
2008-10-21,0.1599,0.206,0.148,0.1525,10430
2008-10-22,0.15,0.15,0.135,0.1465,44
2008-10-23,0.1302,0.1499,0.113,0.113,7248
2008-10-24,0.11,0.11,0.1,0.1001,79
2008-10-28,0.1,0.1,0.0975,0.0985,105
2008-10-29,0.09,0.09,0.082,0.0855,7008
2008-10-30,0.11,0.11,0.086,0.0949,553
2008-10-31,0.0949,0.095,0.08,0.0849,800
2008-11-1,0.0849,0.0993,0.0849,0.0993,2
2008-11-5,0.1,0.1149,0.0905,0.0909,37
2008-11-6,0.0907,0.0907,0.0837,0.0854,204
2008-11-7,0.085,0.085,0.0801,0.085,91
2008-11-10,0.0812,0.0938,0.0812,0.085,6553
2008-11-11,0.0826,0.085,0.0826,0.0849,336
2008-11-13,0.0933,0.0933,0.0845,0.089,677
2008-11-14,0.09,0.0999,0.0856,0.0857,1144
2008-11-17,0.09,0.092,0.0801,0.085,3566
2008-11-18,0.084,0.089,0.0815,0.082,230
2008-11-19,0.0889,0.1149,0.0802,0.09,4866
2008-11-20,0.085,0.085,0.0809,0.084,420
2008-11-21,0.083,0.083,0.0809,0.0809,78
2008-11-24,0.09,0.09,0.0801,0.087,1699
2008-11-25,0.0812,0.0835,0.0786,0.081,939
2008-11-26,0.0812,0.0849,0.0789,0.079,2267
2008-11-27,0.0812,0.0886,0.077,0.078,2066
2008-11-28,0.0839,0.0839,0.0772,0.0799,20
2008-12-1,0.0838,0.0839,0.076,0.0784,808
2008-12-2,0.0789,0.079,0.0757,0.0785,82
2008-12-3,0.0784,0.0849,0.0784,0.0811,1705
2008-12-4,0.0811,0.0888,0.0806,0.0843,1253
2008-12-5,0.084,0.0845,0.0801,0.0815,1528
2008-12-8,0.0816,0.0899,0.079,0.0825,103
2008-12-9,0.0899,0.09,0.082,0.0823,575
2008-12-10,0.082,0.0828,0.0799,0.0799,592
2008-12-11,0.0801,0.0826,0.08,0.0826,6759
2008-12-12,0.0803,0.0876,0.0803,0.081,1618
2008-12-15,0.0829,0.083,0.0815,0.0821,1477
2008-12-16,0.082,0.0848,0.082,0.0839,421
2008-12-17,0.0858,0.0858,0.0826,0.0839,2638
2008-12-18,0.086,0.088,0.0839,0.0839,3088
2008-12-19,0.0634,0.086,0.0634,0.085,1208
2008-12-22,0.0896,0.0896,0.083,0.0845,1062
2008-12-23,0.0889,0.0895,0.084,0.0845,1648
2008-12-24,0.086,0.0889,0.085,0.087,4790
2008-12-25,0.0875,0.088,0.085,0.086,1782
2008-12-26,0.0851,0.086,0.0851,0.0859,318
2008-12-29,0.085,0.088,0.084,0.085,6019
2008-12-30,0.0802,0.088,0.08,0.085,1877
2008-12-31,0.087,0.0871,0.086,0.086,619
2009-1-11,0.089,0.0894,0.0854,0.089,1
2009-1-12,0.0897,0.0897,0.0851,0.0882,1131
2009-1-13,0.087,0.088,0.086,0.086,2122
2009-1-14,0.0889,0.0889,0.086,0.086,217
2009-1-15,0.088,0.088,0.0853,0.0869,1608
2009-1-16,0.0861,0.0879,0.086,0.0869,513
2009-1-19,0.087,0.087,0.084,0.084,1155
2009-1-20,0.0826,0.0854,0.0825,0.0826,470
2009-1-21,0.0834,0.0889,0.082,0.0854,631
2009-1-22,0.0899,0.0899,0.0825,0.0839,750
2009-1-23,0.0801,0.0839,0.0797,0.0807,551
2009-1-26,0.079,0.08,0.0775,0.08,1234
2009-1-27,0.08,0.08,0.0765,0.0765,562
2009-1-28,0.0769,0.077,0.072,0.0754,779
2009-1-29,0.075,0.0754,0.0721,0.0721,14
2009-1-30,0.0722,0.0725,0.0711,0.0711,1012
2009-2-2,0.0703,0.0703,0.069,0.0695,1408
2009-2-3,0.0699,0.07,0.0699,0.07,2
2009-2-4,0.0705,0.0705,0.0682,0.07,5
2009-2-5,0.0682,0.0704,0.068,0.0695,9
2009-2-6,0.0709,0.071,0.07,0.07,1224
2009-2-9,0.07,0.074,0.07,0.0718,2827
2009-2-10,0.071,0.0719,0.07,0.07,1879
2009-2-11,0.0716,0.0716,0.0691,0.0711,278
2009-2-12,0.07,0.0716,0.0693,0.0716,1154
2009-2-13,0.0715,0.072,0.0699,0.07,3632
2009-2-16,0.0717,0.073,0.07,0.0702,2126
2009-2-17,0.07,0.07,0.068,0.068,2836
2009-2-18,0.0676,0.0705,0.0676,0.0682,1874
2009-2-19,0.0704,0.072,0.069,0.0718,710
2009-2-20,0.0714,0.0748,0.07,0.0722,1084
2009-2-24,0.0749,0.0749,0.0724,0.0742,98
2009-2-25,0.0745,0.0745,0.0745,0.0745,13
2009-2-26,0.0749,0.0749,0.0735,0.0748,150
2009-2-27,0.0723,0.0747,0.0722,0.0747,21
2009-3-2,0.0723,0.0723,0.0704,0.072,906
2009-3-3,0.0705,0.072,0.0704,0.072,758
2009-3-4,0.0728,0.075,0.0728,0.073,322
2009-3-5,0.075,0.075,0.072,0.075,1096
2009-3-6,0.0741,0.0972,0.0741,0.08,10383
2009-3-10,0.081,0.081,0.0794,0.081,1107
2009-3-11,0.0795,0.08,0.079,0.079,388
2009-3-12,0.08,0.08,0.077,0.077,188
2009-3-13,0.0809,0.0809,0.0767,0.0788,1385
2009-3-16,0.0766,0.0785,0.0765,0.0785,15
2009-3-17,0.079,0.0809,0.0746,0.0808,897
2009-3-18,0.0794,0.0794,0.0758,0.0783,27
2009-3-19,0.0792,0.0792,0.076,0.076,304
2009-3-20,0.0768,0.077,0.0725,0.0755,89
2009-3-23,0.0759,0.0779,0.071,0.0752,1288
2009-3-24,0.075,0.075,0.0743,0.0745,1155
2009-3-25,0.076,0.076,0.0745,0.076,1034
2009-3-26,0.0767,0.0799,0.0741,0.0775,1403
2009-3-27,0.0798,0.0798,0.0751,0.077,3075
2009-3-30,0.0779,0.0779,0.0772,0.0772,221
2009-3-31,0.0771,0.0795,0.0771,0.0776,986
2009-4-1,0.0772,0.0795,0.0772,0.0795,4198
2009-4-2,0.08,0.0886,0.08,0.0837,1727
