Date,Open,High,Low,Close,Volume
2008-8-22,0.3323,0.3323,0.3225,0.3225,242
2008-8-25,0.36,0.36,0.321,0.321,154
2008-8-26,0.31,0.31,0.31,0.31,677
2008-8-27,0.34,0.34,0.28,0.309,2935
2008-8-28,0.3099,0.3099,0.28,0.28,6
2008-8-29,0.298,0.298,0.278,0.29,57
2008-9-1,0.3294,0.3294,0.2801,0.3,7
2008-9-2,0.2935,0.3,0.2935,0.3,31
2008-9-3,0.2999,0.2999,0.2804,0.2816,60
2008-9-4,0.2802,0.2999,0.2802,0.2993,101
2008-9-5,0.2902,0.2902,0.275,0.285,362
2008-9-8,0.285,0.285,0.285,0.285,370
2008-9-9,0.2702,0.296,0.2702,0.2809,2
2008-9-10,0.2701,0.2701,0.24,0.2401,114
2008-9-11,0.2964,0.2964,0.2413,0.2413,104
2008-9-12,0.2171,0.2398,0.2,0.2398,18
2008-9-15,0.2003,0.2337,0.2002,0.21,74
2008-9-16,0.2099,0.2099,0.2099,0.2099,29
2008-9-17,0.2,0.2,0.2,0.2,5
2008-9-19,0.2,0.2548,0.2,0.2548,3
2008-9-22,0.205,0.23,0.1947,0.2295,4
2008-9-23,0.2498,0.2498,0.2001,0.2397,1
2008-9-24,0.1947,0.2199,0.1947,0.2199,2
2008-9-25,0.2199,0.2199,0.1947,0.1947,6
2008-9-26,0.1947,0.1947,0.1947,0.1947,7
2008-9-29,0.198,0.199,0.154,0.154,66
2008-9-30,0.199,0.21,0.19,0.2029,359
2008-10-1,0.221,0.223,0.1754,0.1754,238
2008-10-2,0.1886,0.1887,0.1605,0.1605,12
2008-10-3,0.185,0.185,0.15,0.175,12
2008-10-6,0.175,0.175,0.1425,0.1425,480
2008-10-7,0.124,0.1415,0.1,0.11,144
2008-10-9,0.15,0.15,0.14,0.14,1
2008-10-14,0.1143,0.12,0.103,0.103,20
2008-10-15,0.119,0.119,0.1142,0.1142,0
2008-10-16,0.1142,0.1142,0.1142,0.1142,45
2008-10-17,0.1148,0.1148,0.1142,0.1142,9
2008-10-21,0.119,0.119,0.119,0.119,0
2008-10-22,0.1142,0.1142,0.1142,0.1142,1
2008-10-23,0.1142,0.1142,0.1142,0.1142,1
2008-10-29,0.1142,0.1142,0.1142,0.1142,4
2008-10-30,0.15,0.15,0.1142,0.1142,1
2008-10-31,0.1142,0.1142,0.1142,0.1142,0
2008-11-1,0.12,0.12,0.12,0.12,0
2008-11-5,0.115,0.1265,0.1142,0.1142,52
2008-11-10,0.1144,0.1145,0.1142,0.1142,4
2008-11-13,0.1142,0.1142,0.1142,0.1142,1
2008-11-19,0.1142,0.1142,0.1142,0.1142,0
2008-11-25,0.1142,0.1142,0.1142,0.1142,0
2008-11-26,0.1142,0.1142,0.1142,0.1142,0
2008-11-27,0.137,0.137,0.1142,0.1142,0
2008-11-28,0.1142,0.1142,0.1142,0.1142,1
2008-12-1,0.0686,0.089,0.0686,0.072,221
2008-12-2,0.0789,0.0789,0.0663,0.0663,958
2008-12-3,0.07,0.07,0.062,0.0625,2188
2008-12-4,0.0603,0.0638,0.0602,0.0638,21
2008-12-5,0.0701,0.0771,0.0585,0.06,342
2008-12-8,0.0649,0.065,0.0504,0.065,1081
2008-12-9,0.0649,0.0649,0.0601,0.0645,118
2008-12-10,0.0611,0.0611,0.0581,0.059,308
2008-12-11,0.0613,0.0613,0.0586,0.0586,154
2008-12-12,0.058,0.059,0.056,0.0589,50
2008-12-15,0.058,0.06,0.056,0.06,353
2008-12-16,0.055,0.0599,0.054,0.0555,309
