Date,Open,High,Low,Close,Volume
2008-9-4,0.2295,0.2295,0.2295,0.2295,1
2008-9-5,0.2295,0.2295,0.2295,0.2295,0
2008-9-9,0.2295,0.2295,0.2295,0.2295,0
2008-9-10,0.2088,0.2088,0.145,0.1549,690
2008-9-11,0.1698,0.1698,0.1405,0.1405,350
2008-9-12,0.16,0.16,0.1382,0.1382,861
2008-9-15,0.1205,0.1565,0.1205,0.13,111
2008-9-16,0.1499,0.1499,0.085,0.085,1509
2008-9-17,0.1399,0.1399,0.085,0.085,70
2008-9-19,0.1099,0.1099,0.0861,0.1045,41
2008-9-22,0.1087,0.1298,0.104,0.105,214
2008-9-23,0.1006,0.118,0.1005,0.118,8
2008-9-24,0.101,0.1188,0.1,0.106,743
2008-9-25,0.11,0.11,0.09,0.0949,689
2008-9-26,0.0925,0.0949,0.0904,0.0948,166
2008-9-29,0.0905,0.0945,0.0861,0.0901,825
2008-9-30,0.0853,0.0894,0.085,0.0894,213
2008-10-1,0.09,0.0985,0.0802,0.0932,152
2008-10-2,0.0969,0.0969,0.0816,0.0816,140
2008-10-3,0.088,0.0898,0.0801,0.0811,392
2008-10-6,0.0873,0.0873,0.0608,0.0608,92
2008-10-7,0.057,0.07,0.0501,0.0619,226
2008-10-9,0.0749,0.0749,0.0581,0.0697,0
2008-10-13,0.069,0.069,0.0505,0.0624,410
2008-10-14,0.06,0.067,0.0565,0.058,543
2008-10-15,0.0535,0.06,0.0528,0.0587,97
2008-10-16,0.05,0.059,0.05,0.0576,40
2008-10-17,0.0521,0.0579,0.045,0.0498,206
2008-10-20,0.045,0.0549,0.033,0.0359,7543
2008-10-21,0.035,0.0409,0.033,0.0349,106
2008-10-22,0.0335,0.0396,0.028,0.0348,640
2008-10-23,0.028,0.04,0.028,0.0355,3233
2008-10-24,0.0355,0.0397,0.0332,0.0333,351
2008-10-28,0.0388,0.0388,0.0322,0.0374,281
2008-10-29,0.0326,0.035,0.0325,0.0348,1603
2008-10-30,0.0389,0.0389,0.03,0.034,1536
2008-10-31,0.0335,0.0405,0.03,0.038,6587
2008-11-1,0.0351,0.041,0.0346,0.0399,244
2008-11-5,0.0498,0.0498,0.041,0.044,2032
2008-11-6,0.04,0.045,0.039,0.042,5553
2008-11-7,0.037,0.042,0.037,0.04,1272
2008-11-10,0.047,0.047,0.0401,0.0401,2048
2008-11-11,0.0371,0.0401,0.037,0.0375,1288
2008-11-13,0.0331,0.0415,0.0303,0.0405,270
2008-11-14,0.037,0.0437,0.0369,0.04,819
2008-11-17,0.04,0.04,0.034,0.039,344
2008-11-18,0.0341,0.0397,0.0341,0.0385,668
2008-11-19,0.0383,0.0383,0.034,0.0347,257
2008-11-20,0.034,0.0355,0.0306,0.0338,1998
2008-11-21,0.0354,0.0359,0.0335,0.0338,297
2008-11-24,0.0334,0.036,0.0334,0.036,20866
