Date,Open,High,Low,Close,Volume
2006-7-7,0.55,0.614,0.42,0.6,717
2006-7-10,0.555,0.624,0.55,0.588,614
2006-7-11,0.586,0.6,0.586,0.587,217
2006-7-12,0.589,0.59,0.589,0.59,52
2006-7-13,0.6,0.6,0.575,0.575,310
2006-7-14,0.585,0.607,0.585,0.595,2158
2006-7-17,0.615,0.728,0.615,0.726,6413
2006-7-18,0.7,0.82,0.7,0.8,19739
2006-7-19,0.839,0.89,0.82,0.889,4549
2006-7-20,0.891,0.94,0.844,0.899,5250
2006-7-21,0.903,1.01,0.85,1,9067
2006-7-24,0.999,1.15,0.999,1.102,4840
2006-7-25,1.1,1.148,0.811,1.013,2791
2006-7-26,1.099,1.099,0.976,1.05,1463
2006-7-27,1.09,1.17,1.03,1.13,2962
2006-7-28,1.17,1.17,1.025,1.141,858
2006-7-31,1.174,1.174,0.91,1.038,1547
2006-8-1,1.084,1.084,0.98,1.01,484
2006-8-2,1.04,1.09,1,1.068,83
2006-8-3,1.069,1.069,1,1.04,215
2006-8-4,0.998,1.15,0.998,1.133,1960
2006-8-7,1.152,1.32,1.095,1.289,12222
2006-8-8,1.3,1.35,1.27,1.34,14490
2006-8-9,1.385,1.385,1.3,1.32,3242
2006-8-10,1.385,1.385,1.262,1.299,2913
2006-8-11,1.37,1.37,1.267,1.301,10372
2006-8-14,1.37,1.37,1.3,1.301,3892
2006-8-15,1.319,1.319,1.296,1.307,2055
2006-8-16,1.307,1.339,1.307,1.337,3291
2006-8-17,1.321,1.376,1.295,1.34,820
2006-8-18,1.315,1.37,1.315,1.356,1135
2006-8-21,1.368,1.37,1.29,1.305,1154
2006-8-22,1.4,1.4,1.3,1.339,99
2006-8-23,1.295,1.369,1.295,1.368,253
2006-8-24,1.332,1.5,1.332,1.47,5549
2006-8-25,1.531,1.545,1.422,1.54,1518
2006-8-28,1.535,1.679,1.504,1.54,3687
2006-8-29,1.694,1.694,1.505,1.679,3578
2006-8-30,1.59,1.79,1.59,1.785,6293
2006-8-31,1.795,1.945,1.77,1.898,10978
2006-9-1,1.9,1.919,1.849,1.881,3766
2006-9-4,1.905,1.98,1.9,1.945,1332
2006-9-5,1.98,2.054,1.933,2.03,6717
2006-9-6,2.05,2.098,1.981,2.032,5180
2006-9-7,2.015,2.022,1.81,2,8655
2006-9-8,1.99,2.032,1.99,2.02,844
2006-9-11,1.88,2.042,1.88,2,1416
2006-9-12,1.96,2.07,1.95,2.003,1453
2006-9-13,2.002,2.045,1.972,2.045,1336
2006-9-14,2.045,2.045,2,2.007,147
