Date,Open,High,Low,Close,Volume
2012-12-27,10.1,11.997,9.3,10.997,132
2012-12-28,10.998,10.998,10,10,6
2013-1-8,11.999,12,10.003,10.003,487
2013-1-9,9.9,10.87,9.8,10.87,218
2013-1-10,10.2,10.2,10,10,61
2013-1-11,9.5,9.738,9.5,9.7,90
2013-1-14,9.6,9.839,9.365,9.839,99
2013-1-15,9.5,9.636,9.32,9.501,76
2013-1-16,9.6,9.6,9.501,9.501,66
2013-1-17,9.501,9.501,9.401,9.401,62
2013-1-18,9.4,9.4,9.3,9.351,66
2013-1-21,9.3,9.3,9.3,9.3,50
2013-1-22,9.25,9.25,9.24,9.24,51
2013-1-23,9.24,9.24,9.24,9.24,84
2013-1-24,9.108,9.2,8.871,8.997,88
2013-1-25,8.868,9.848,8.8,9.65,729
2013-1-28,9.5,9.612,9.5,9.612,51
2013-1-29,9.7,9.949,9.7,9.949,75
2013-1-30,9.645,9.752,9.6,9.752,90
2013-1-31,9.5,9.799,9.5,9.799,103
2013-2-1,9.79,10.245,9.75,10.245,172
2013-2-4,10.55,10.55,10.55,10.55,15
2013-2-5,10.54,11.4,10.54,10.92,854
2013-2-7,11.076,11.85,11.076,11.2,29
2013-2-11,11.157,11.157,11.021,11.021,38
2013-2-15,11.2,11.25,11.18,11.18,40
2013-2-21,11.02,11.02,11.02,11.02,6
2013-2-26,11.178,11.178,11.018,11.018,34
2013-2-28,11,11,11,11,200
2013-3-1,10.843,10.843,10.7,10.7,71
2013-3-4,10.722,10.853,10.722,10.853,16
2013-3-6,11,11,11,11,48
2013-3-11,10,11.22,10,10.847,93
2013-3-12,10,10.98,10,10.823,84
2013-3-13,10.928,11.223,10.893,11.223,1181
2013-3-14,11.095,11.37,10.979,11.37,1055
2013-3-15,11.407,11.481,11.33,11.481,814
2013-3-18,11.481,11.544,11.134,11.41,654
2013-3-19,11.5,12.026,11.253,11.956,885
2013-3-20,12,12.24,11.7,12.24,496
