Date,Open,High,Low,Close,Volume
2010-11-3,264,264,191.9,203,48479
2010-11-8,205,205,196.43,200.3,28607
2010-11-9,199.99,200.2,197,198,39792
2010-11-10,196,198.2,192.01,197.01,20500
2010-11-11,195,198.34,195,195,5551
2010-11-12,194.48,198.34,194.48,196.71,1886
2010-11-13,192.7,198.35,180,196.7,9814
2010-11-15,198.34,203,196,200.39,35506
2010-11-16,200.5,200.5,198.5,199,7805
2010-11-17,200.3,203,200.3,200.75,7889
2010-11-18,200.51,221,200.1,200.5,54822
2010-11-19,202.5,204.99,198.52,201,10677
2010-11-22,202.51,208,200,203,11601
2010-11-23,204,204.89,196.11,204,11915
2010-11-24,204,204.56,202.06,203.35,7045
2010-11-25,204,204,200.54,202.3,1020
2010-11-26,204.57,204.65,202,203,5816
2010-11-29,204,206.49,203.1,204,14564
2010-11-30,203,206.9,202.5,204.12,469
2010-12-1,206.62,218.49,204.1,212.95,9791
2010-12-2,208.77,227,208.75,226,32777
2010-12-3,230.5,265,230.5,239.99,265655
2010-12-6,240,250,230,234,13425
2010-12-7,233.23,238.77,230,235,24371
2010-12-8,234.95,234.95,228.03,232,2186
2010-12-9,238.77,239,230.05,234.09,13527
2010-12-10,232.3,240,230,233.99,38648
2010-12-13,233,234.99,227.99,227.99,19388
2010-12-14,227.99,230.01,223.01,225,2637
2010-12-15,228,229.99,225.1,226.89,8802
2010-12-16,226.89,232,226,231.19,10907
2010-12-17,233,233,226.99,231.04,3168
2010-12-20,234.09,258.54,231,234.49,62467
2010-12-21,235.4,246.8,235.19,237.24,104651
2010-12-22,239.8,243.8,237.01,243.39,40330
2010-12-23,243.38,254,241.02,247.95,38063
2010-12-24,247.99,247.99,243.97,247.99,16378
2010-12-27,248.25,248.25,240.01,243,32668
2010-12-28,245.99,245.99,238.1,242,15831
2010-12-29,250,251,238.11,249,35210
2010-12-30,248.5,249.5,228,242.63,40845
2011-1-11,242.64,247,239,246.5,50442
2011-1-12,246.5,262.98,245,260,99084
2011-1-13,276,287.99,261,273.5,116185
2011-1-14,276,287,271.13,280,66598
2011-1-17,286,286,272.18,276.1,48966
2011-1-18,280.24,281,273.01,274.3,35537
2011-1-19,282.5,282.5,273.9,278,43113
2011-1-20,251.28,279.99,251.28,276.22,18176
2011-1-21,278.88,280,274.5,276.99,30496
2011-1-24,278,280.09,270.99,274.99,5950
2011-1-25,278.64,280,269.05,269.11,16477
2011-1-26,272.86,272.86,267.99,269,10210
2011-1-27,267.63,270,264.04,264.04,7725
2011-1-28,263.24,263.89,241,255,143208
2011-1-31,250.02,258,247.46,253.98,15218
2011-2-1,257,258.79,250,252.04,10891
2011-2-2,254,254.44,252.35,253.91,4829
2011-2-3,254.08,269.99,252.1,269.99,72734
2011-2-4,270,280,265.12,273.87,62599
2011-2-7,275.88,285.9,272,280,30503
2011-2-8,280.49,280.5,269.52,274,21870
2011-2-9,270.93,281,270,273.13,24071
2011-2-10,273.13,273.64,261.24,266.1,8235
