Date,Open,High,Low,Close,Volume
2008-12-26,123.25,123.25,110,114,9
2008-12-29,114,114,110.6,110.6,6
2008-12-30,112.7,112.7,112.7,112.7,351
2008-12-31,113.4,113.4,113.4,113.4,1
2009-1-11,130,130,116,121,1877
2009-1-12,124.85,145,122.66,132.85,12504
2009-1-13,128.88,140,120.02,121.99,34763
2009-1-14,121.45,122,111.11,113,11532
2009-1-15,112.9,118.49,105.03,106,12011
2009-1-16,108.25,111.9,106,107.5,13325
2009-1-19,108,108,97.5,99.6,6489
2009-1-20,95,100,90,92.5,22316
2009-1-21,85.05,89.99,83,85,69797
2009-1-22,94.88,94.88,76,80,84730
2009-1-23,84.99,84.99,73,75,15911
2009-1-26,77,88.5,76.7,87,247892
2009-1-27,89.99,105,82,93,82223
2009-1-28,93.5,93.5,88.11,91.51,10706
2009-1-29,94.79,99.95,92,92,6901
2009-1-30,92,97.47,90.01,95.13,13007
2009-2-2,99.29,103.99,96,101.89,27533
2009-2-3,102.9,111.99,100.02,111.9,63973
2009-2-4,113,125,112,124,74388
2009-2-5,124.25,149.99,124.25,130,292125
2009-2-6,138.45,148.49,129.02,147,56380
2009-2-9,149.21,205.86,149.21,173.99,231330
2009-2-10,180,217,175.47,188.8,253318
2009-2-11,181.02,183.5,168.8,175.1,115028
2009-2-12,175.05,175.1,150,154.15,63691
2009-2-13,163,163.3,155,159,45449
2009-2-16,157.13,159.79,149.5,156,18777
2009-2-17,158.6,158.79,131,143.69,32462
2009-2-18,145,147,130.1,139,26270
2009-2-19,145.7,147,135.02,142,22858
2009-2-20,142.5,160,126.62,134,82777
2009-2-24,128.1,139.87,123.01,134.9,17410
2009-2-25,149.23,156,139.9,143.68,110906
2009-2-26,155.5,159,135.2,150.01,295294
2009-2-27,139.8,146,131.02,134.97,304060
2009-3-2,131.27,133.99,125,130.46,59018
2009-3-3,127.75,140.35,126.5,128,115676
2009-3-4,134.25,140,130,131.54,251256
2009-3-5,137.99,137.99,128.5,128.51,100658
2009-3-6,128.26,129.9,125.13,126,98215
2009-3-10,128.5,134.5,126.1,132.8,294403
2009-3-11,133.47,135.99,126.8,128.44,165833
2009-3-12,128.2,128.97,120,121.12,141898
2009-3-13,123.34,128.8,122,126,209897
2009-3-16,128.5,133.5,126,133,118418
2009-3-17,135.55,135.55,124.99,129,233945
2009-3-18,130.06,131,124.8,126.5,93384
2009-3-19,133.15,138.14,130,137,360525
2009-3-20,135.25,145,135.11,142,259237
2009-3-23,144.5,163,140.02,160.41,304911
2009-3-24,157.35,165,144.05,147,471222
2009-3-25,147,157.3,140.1,154,240800
2009-3-26,156.05,159.9,148.5,157.99,232613
2009-3-27,157.55,159.99,146.01,151,205380
2009-3-30,149.75,149.75,138.81,140,85725
2009-3-31,141,148,136.04,146.89,55983
2009-4-1,148.99,149.95,141.1,145.92,57386
2009-4-2,149.59,157,146.53,152.5,195027
2009-4-3,157.5,157.5,151.99,156.29,101882
2009-4-6,161.75,168.3,157,157.99,220117
2009-4-7,156.51,161.51,155.01,158.98,66186
2009-4-8,158,168.87,152.51,167,330105
2009-4-9,170.5,199,169.05,198.9,293615
2009-4-10,211,211,190.01,194.5,88065
2009-4-13,187.42,198,187.42,195,59768
2009-4-14,202.35,214.9,201.01,209.9,122949
2009-4-15,200,204.94,190,202,91539
2009-4-16,204.01,210,200.82,206.5,53433
2009-4-17,211.36,218.01,208,218,104203
2009-4-20,215.13,221.95,195.2,199,127344
2009-4-21,195,199,180.18,193.6,216834
2009-4-22,195.08,203.87,192.99,200.57,107069
2009-4-23,201,207,198.75,203,131762
2009-4-24,208.67,208.67,200,206,59546
2009-4-27,200.89,203.5,195.5,198.9,22064
2009-4-28,196,196,181.01,186.78,43867
2009-4-29,187.5,189.89,185.01,187,202953
2009-4-30,187,189.9,183.99,186.96,351933
2009-5-4,200,207,193,206,259145
2009-5-5,214.5,216.99,206.14,212.96,150332
2009-5-6,213.65,223,206.18,214.5,97101
2009-5-7,230,239.99,218,228.8,177723
