Date,Open,High,Low,Close,Volume
2011-4-21,562.74,562.74,477.02,480,6633
2011-4-22,480,484,480,482.5,2772
2011-4-25,480,498.61,480,485,633
2011-4-26,480.05,483,472,474,6356
2011-4-27,482,482,465.1,470,4215
2011-4-28,465.01,474.97,462,469.99,2470
2011-4-29,460.11,478.99,460.11,463,539
2011-5-3,460.11,464.97,450,450,1886
2011-5-4,448.7,448.7,430,430,4495
2011-5-5,435,440,432,432,15183
2011-5-6,440,442,434,442,2197
2011-5-10,447,447,443.99,445,1240
2011-5-11,445.02,451,445,446,2901
2011-5-12,442,459,433.34,440.15,1067
2011-5-13,445.99,446,435,444.48,395
2011-5-16,443.9,451,441.1,443,6159
2011-5-17,430.01,442.87,421,421,1053
2011-5-18,356.35,445.99,356.35,432,1938
2011-5-19,432,439,422,428,4314
2011-5-20,429.99,446,427,427,786
2011-5-23,420,426,406.85,410,2108
2011-5-24,414.95,420,414,420,1358
2011-5-25,417.03,424.98,412,416.66,365
2011-5-26,431.74,431.74,417,417,629
2011-5-27,425.46,431.35,416.18,424,3099
2011-5-30,425.9,434.99,420.8,425,136
2011-5-31,428,441,428,437,4553
2011-6-1,435,439,434,436.98,1687
2011-6-2,428,439,421,439,280
2011-6-3,431.05,440,431,434.9,334
2011-6-6,426.02,434,420.5,434,35
2011-6-7,422.23,431.98,422,430,535
2011-6-8,428,439.99,425.23,430,3151
2011-6-9,433.99,434,429.93,433,1229
2011-6-10,434,434,430.74,433,4311
2011-6-14,431.01,431.01,430,430,48
2011-6-15,430,432,425,429.99,929
2011-6-16,428.5,430,423,425,105
2011-6-17,423.54,429.39,421,421.24,64
2011-6-20,429.29,429.29,420.25,421.05,94
2011-6-21,429.98,429.99,421.5,421.55,343
2011-6-22,430.99,431,423,425.5,795
2011-6-23,427,427,422,422,516
2011-6-24,424.01,427,421,423.32,107
2011-6-27,421.1,422,419.99,419.99,106
2011-6-28,420.07,433.99,420,423.6,308
2011-6-29,426,432.83,423.01,423.01,2491
2011-6-30,420.03,424,417,424,1009
2011-7-1,425,446,421,439.01,20637
2011-7-4,442.99,443,435.44,441,822
2011-7-5,443,459.99,435.41,441,6322
2011-7-6,438,439.99,435.01,435.1,1888
2011-7-7,439.99,442.5,435,438.99,5316
2011-7-8,436.1,446.9,435.51,446.9,1128
2011-7-11,446,448,436.58,440.75,6660
2011-7-12,444.78,444.8,436.31,444,931
2011-7-13,447,447,437,439.58,1171
2011-7-14,437.5,443,437.5,440,1991
2011-7-15,438.03,443.88,438.03,442.89,49
2011-7-18,445,445,439,440.09,11
2011-7-19,442.79,445,440,440,2985
2011-7-20,442.48,442.49,438.99,439,1631
2011-7-21,440,441,437,440.48,2902
2011-7-22,442.99,443,440,442,525
2011-7-25,439.01,441,439,439.01,1101
2011-7-26,436.95,440.01,436.95,440,799
2011-7-27,439,443.9,435,440,845
2011-7-28,435.51,440,435,438,294
2011-7-29,440.99,440.99,435,440.89,22
2011-8-1,444,445.5,442,445,1581
2011-8-2,446,454,446,448,6099
2011-8-3,444.01,455,437,437,3135
2011-8-4,442,442,426,426.5,5136
2011-8-5,410.5,425,408.27,415,5183
2011-8-8,433.75,433.75,380,380,2487
2011-8-9,380,395,350,394.98,1933
2011-8-10,393.5,409.99,375.75,382,19270
2011-8-11,390,390,333.01,370,5200
2011-8-12,380,381,360,370,17570
2011-8-15,380.01,387,370,377,2319
2011-8-16,367,379,367,379,721
2011-8-17,379.99,380,374.99,375.01,10060
2011-8-18,375,375,368,368,1602
2011-8-19,363,365,360,360,627
2011-8-22,360,370,360,370,730
2011-8-23,376.5,377,368.01,368.01,395
2011-8-24,371.9,371.9,348.17,350,1766
2011-8-25,354.9,359,335,335,4063
2011-8-26,335,344,334.89,336,975
2011-8-29,348,349.5,333.06,343,12417
2011-8-30,345,345,338.7,342,2023
2011-8-31,345.5,355,342.11,353,6334
2011-9-1,365,369,348.21,354.74,14097
2011-9-2,342.04,364,342.04,351.75,1676
2011-9-5,352,352,342,347.99,638
