Date,Open,High,Low,Close,Volume
2006-6-15,145.87,151,138,145,87983
2006-6-16,146.2,147.79,141,143.6,39480
2006-6-19,149.89,149.89,142.4,145,30040
2006-6-20,141.5,145.07,141.07,143.5,43937
2006-6-21,143.12,145.4,139.01,141.68,103873
2006-6-22,143.43,144,140,141.4,23380
2006-6-23,145.18,145.18,138.51,139.2,23012
2006-6-26,140.19,141.85,138.1,140.1,15121
2006-6-27,140.11,142.15,138.2,141.65,79844
2006-6-28,141,144.34,140.01,144.18,30821
2006-6-29,144.5,145.5,143,145.4,34462
2006-6-30,148.5,148.88,145.7,147,64068
2006-7-3,146.55,158.5,146.55,158.5,98549
2006-7-4,159.75,163.27,156.6,163,69544
2006-7-5,162.01,163.2,155.05,156.51,70815
2006-7-6,156,164.4,156,164,142263
2006-7-7,163.95,167.77,162.5,165.5,91764
2006-7-10,165,168.38,163.51,165.77,59742
2006-7-11,166,167.01,163.6,165.22,19242
2006-7-12,164.54,166.29,160.63,161.85,52345
2006-7-13,161.82,162.3,152.78,154.11,54989
2006-7-14,150,156,147.33,156,45154
2006-7-17,156.37,156.37,150.5,150.88,46055
2006-7-18,150.2,155,149.2,154.9,47294
2006-7-19,154.85,157.5,152.4,156.5,20707
2006-7-20,160.15,160.2,157,157.5,36495
2006-7-21,156.95,156.95,150,153.25,26042
2006-7-24,152,154.98,152,154.93,27050
2006-7-25,154.97,158.29,154.97,155.25,37631
2006-7-26,156.67,159.9,154.66,158.12,54596
2006-7-27,158.99,166,158.99,164.32,64062
2006-7-28,165,168.98,162.51,168.65,70592
2006-7-31,170.18,170.99,168.81,169.7,88852
2006-8-1,174.79,174.79,168.87,170,65607
2006-8-2,170.25,177,169.41,176.99,46116
2006-8-3,177.89,179.47,173.99,176.9,92777
2006-8-4,178.06,180.29,176.72,179.64,56690
2006-8-7,179.42,180.17,177.1,178.78,35824
2006-8-8,177.55,180.49,177.01,177.2,53039
2006-8-9,179.5,184.9,177.3,184.9,75413
2006-8-10,184.75,184.75,181.35,184.5,55376
2006-8-11,185.06,187.25,184.51,186.5,41541
2006-8-14,187,188,185.25,186.01,42116
2006-8-15,186.28,186.28,174,182.99,81701
2006-8-16,184,184.99,181.11,183.03,45418
2006-8-17,184.01,184.89,179.58,180.87,73884
2006-8-18,180.9,182.89,177,177.55,68841
2006-8-21,179.95,187.48,177.19,186,54310
2006-8-22,182.99,189.1,182.99,187.39,61046
2006-8-23,187.25,188.8,184.91,187,70775
2006-8-24,186.75,187,185.3,186.02,27360
2006-8-25,186.8,187.99,185.99,186,23736
2006-8-28,181.75,186.5,181.75,185.5,11589
2006-8-29,186.5,189.93,185.57,186.7,104975
2006-8-30,187.7,192.75,183.3,191.18,79134
2006-8-31,192,192.94,188.9,189.31,54698
