Date,Open,High,Low,Close,Volume
2012-1-26,0.1,0.1,0.1,0.1,1
2012-1-27,0.14,0.14,0.14,0.14,1
2012-4-2,0.196,0.196,0.19,0.19,2
2012-4-3,0.185,0.19,0.185,0.19,2
2012-10-5,0.184,0.184,0.184,0.184,2
2012-10-8,0.1104,0.2576,0.1104,0.1206,8
2012-10-24,0.07388,0.16884,0.07388,0.16884,4
2012-10-25,0.117,0.18819,0.117,0.18819,2
2012-11-1,0.11113,0.15,0.11113,0.11115,3
2012-11-6,0.17373,0.17373,0.17373,0.17373,1
2012-11-7,0.2,0.2,0.2,0.2,1
2012-11-12,0.21,0.28,0.21,0.28,2
2012-12-27,0.23,0.23,0.23,0.23,1
2012-12-28,0.22,0.222,0.22,0.222,3
2013-1-29,0.27777,0.27777,0.23,0.23,2
2013-2-8,0.2,0.2,0.2,0.2,1
2013-2-26,0.147,0.147,0.147,0.147,1
2013-3-6,0.0882,0.0882,0.0882,0.0882,1
2013-3-7,0.05292,0.05292,0.05292,0.05292,1
2013-3-27,0.07409,0.07409,0.07409,0.07409,1
2013-4-1,0.14,0.14,0.14,0.14,1
2013-4-2,0.17,0.17,0.17,0.17,1
2013-4-3,0.22277,0.22277,0.22277,0.22277,1
2013-4-4,0.19,0.19,0.19,0.19,1
2013-4-5,0.162,0.162,0.162,0.162,1
2013-4-10,0.1701,0.1701,0.1701,0.1701,1
2013-4-11,0.20999,0.20999,0.20999,0.20999,2
2013-4-12,0.17,0.17,0.17,0.17,1
2013-4-15,0.15,0.15,0.15,0.15,1
2013-4-22,0.1,0.1,0.1,0.1,1
2013-6-21,0.0701,0.0701,0.0701,0.0701,1
2013-6-27,0.06505,0.06505,0.06505,0.06505,2
2013-12-18,0.04251,0.04251,0.04251,0.04251,1
2014-2-20,0.061,0.061,0.061,0.061,1
2014-3-7,0.05,0.05,0.05,0.05,1
2014-5-15,0.1,0.1,0.1,0.1,1
2014-6-5,0.13899,0.13899,0.13899,0.13899,1
2014-6-6,0.139,0.139,0.139,0.139,1
2014-7-9,0.0835,0.0835,0.0835,0.0835,1
2014-7-21,0.10986,0.11,0.10986,0.11,5
2014-8-18,0.1169,0.1169,0.1169,0.1169,7
2015-6-18,0.15,0.15,0.15,0.15,5
2015-6-22,0.15,0.15,0.15,0.15,5
2015-8-5,0.1995,0.1995,0.199,0.199,3
2015-8-6,0.2,0.2,0.2,0.2,1
2015-9-11,0.2,0.2,0.2,0.2,1
2015-9-25,0.2,0.2,0.2,0.2,1
2015-9-30,0.239,0.239,0.239,0.239,1
2015-10-15,0.19,0.19,0.19,0.19,1
2015-10-22,0.19,0.19,0.18,0.18,3
2015-11-3,0.25,0.25,0.25,0.25,4
2015-11-9,0.161,0.175,0.158,0.175,4
2015-11-10,0.24,0.246,0.24,0.246,5
2015-11-19,0.269,0.269,0.2,0.2,3
2015-11-27,0.201,0.201,0.201,0.201,1
2015-12-1,0.242,0.29,0.242,0.29,2
2015-12-10,0.33,0.33,0.33,0.33,1
2015-12-11,0.461,0.461,0.461,0.461,2
2015-12-14,0.6,0.642,0.6,0.642,4
2015-12-23,0.828,0.83,0.82,0.82,15
2015-12-24,0.94,0.94,0.78,0.825,19
2015-12-28,0.92,0.92,0.92,0.92,1
2015-12-29,0.93,0.93,0.93,0.93,4
2015-12-30,0.96,0.96,0.96,0.96,4
2016-10-10,0.379,0.379,0.379,0.379,1
2016-10-17,0.603,0.603,0.603,0.603,1
2017-2-15,0.83,0.83,0.83,0.83,1
2017-5-11,0.44,0.44,0.44,0.44,1
2017-5-12,0.426,0.426,0.426,0.426,1
2017-7-3,0.47,0.47,0.47,0.47,1
2017-10-2,0.459,0.626,0.459,0.626,2
2017-10-3,0.499,0.499,0.41,0.468,5
2017-10-4,0.654,0.654,0.654,0.654,1
2017-10-9,0.793,0.793,0.793,0.793,2
2017-10-10,0.6,0.6,0.463,0.463,3
2017-11-8,0.333,0.468,0.333,0.468,3
2017-11-9,0.392,0.5,0.392,0.5,2
2017-11-17,0.699,0.699,0.699,0.699,1
2017-11-20,0.937,0.937,0.937,0.937,2
2017-11-21,1.245,1.245,1.245,1.245,1
2017-11-22,1.637,1.637,1.598,1.637,3
2017-11-23,2.29,2.29,1.05,1.06,5
2017-11-24,1.734,1.734,1.734,1.734,3
2017-11-27,1.709,1.709,1.708,1.708,2
2017-11-28,1.02,1.031,1.02,1.025,3
2017-11-29,1.434,1.434,1.434,1.434,2
2017-11-30,1.04,1.04,1.04,1.04,2
2017-12-4,0.68,0.68,0.68,0.68,2
2017-12-5,0.612,0.612,0.612,0.612,2
2017-12-6,0.59,1.035,0.59,1.035,2
2017-12-7,0.77,1.448,0.77,1.448,4
2017-12-8,0.95,2.025,0.95,2.024,6
2017-12-11,1.95,1.95,1.95,1.95,2
2017-12-12,1.25,1.25,1.25,1.25,2
2017-12-13,1.07,1.07,1.07,1.07,2
2017-12-15,1.5,1.5,1.5,1.5,2
2017-12-18,0.935,0.935,0.935,0.935,2
2017-12-19,1.329,1.329,1.329,1.329,2
2017-12-20,0.88,0.88,0.88,0.88,1
2017-12-21,1.26,1.26,1.26,1.26,1
2017-12-27,0.911,0.911,0.911,0.911,1
2018-1-3,1.025,1.025,1.025,1.025,1
2018-4-5,0.616,0.717,0.616,0.717,2
2018-5-16,0.61,0.61,0.61,0.61,1
2018-5-18,0.49,0.49,0.49,0.49,1
2018-5-31,0.33,0.33,0.33,0.33,1
2018-6-19,0.35,0.35,0.35,0.35,1
2018-6-22,0.345,0.345,0.345,0.345,1
2018-7-20,0.559,0.559,0.559,0.559,2
2018-7-23,0.56,0.56,0.56,0.56,2
2018-7-30,0.56,0.56,0.56,0.56,1
2018-7-31,0.559,0.559,0.559,0.559,1
2018-8-2,0.431,0.431,0.431,0.431,1
2018-8-6,0.42,0.42,0.42,0.42,1
2018-8-17,0.35,0.35,0.35,0.35,1
2018-8-22,0.49,0.49,0.49,0.49,1
2018-10-30,0.499,0.499,0.499,0.499,1
