Date,Open,High,Low,Close,Volume
2011-12-29,0.064,0.064,0.064,0.064,3
2012-1-25,0.0896,0.0896,0.0896,0.0896,1
2012-1-26,0.1254,0.1254,0.1254,0.1254,1
2012-1-27,0.15,0.15,0.15,0.15,1
2012-3-20,0.21,0.21,0.21,0.21,2
2012-3-22,0.294,0.294,0.294,0.294,1
2012-3-26,0.18,0.25998,0.18,0.25998,3
2012-3-27,0.32998,0.34999,0.27,0.27,9
2012-3-28,0.25,0.25,0.22002,0.25,3
2012-3-29,0.27,0.27,0.27,0.27,1
2012-3-30,0.195,0.195,0.171,0.171,3
2012-4-3,0.195,0.195,0.195,0.195,1
2012-6-20,0.117,0.117,0.117,0.117,3
2012-6-22,0.071,0.1167,0.071,0.1167,2
2012-7-25,0.1051,0.1051,0.1051,0.1051,1
2012-7-31,0.09459,0.09459,0.09459,0.09459,2
2012-8-22,0.09999,0.1324,0.09999,0.1324,14
2012-8-23,0.12,0.14349,0.12,0.14349,3
2012-8-24,0.16,0.20089,0.16,0.2,6
2012-8-29,0.19,0.19,0.17,0.17,3
2012-8-31,0.205,0.24,0.2,0.24,3
2012-9-5,0.3,0.3,0.3,0.3,1
2012-9-10,0.399,0.399,0.24,0.24,8
2012-9-11,0.24,0.29988,0.24,0.29988,2
2012-9-12,0.41983,0.41983,0.18,0.2944,29
2012-9-13,0.20001,0.26994,0.2,0.26994,6
2012-9-14,0.31988,0.31988,0.23,0.24,10
2012-9-17,0.23159,0.23159,0.144,0.144,5
2012-9-18,0.25099,0.26496,0.12256,0.12256,16
2012-9-19,0.24,0.2564,0.15258,0.25262,15
2012-9-20,0.19134,0.19134,0.19134,0.19134,1
2012-9-21,0.22,0.26499,0.22,0.26499,4
2012-9-24,0.27,0.27,0.27,0.27,1
2012-9-25,0.22021,0.22021,0.22,0.22,21
2012-9-27,0.26499,0.26499,0.26499,0.26499,1
2012-9-28,0.36999,0.36999,0.25505,0.3289,15
2012-10-1,0.34949,0.36888,0.31,0.36787,7
2012-10-2,0.39899,0.39899,0.2712,0.32498,6
2012-10-3,0.39898,0.45496,0.22558,0.37994,10
2012-10-4,0.42899,0.42899,0.28118,0.28118,3
2012-10-5,0.34999,0.44179,0.28289,0.44179,14
2012-10-8,0.44899,0.44899,0.33568,0.38236,9
2012-10-9,0.3357,0.41889,0.3357,0.37,25
2012-10-10,0.39888,0.41487,0.39888,0.40498,4
2012-10-11,0.35001,0.36899,0.34259,0.36899,3
2012-10-12,0.39988,0.40884,0.32,0.336,9
2012-10-15,0.30157,0.38539,0.30157,0.36877,11
2012-10-16,0.28894,0.36898,0.28894,0.328,10
2012-10-17,0.33035,0.33035,0.33035,0.33035,1
2012-10-18,0.2903,0.34989,0.2903,0.349,12
2012-10-19,0.295,0.295,0.295,0.295,1
2012-10-22,0.33,0.33,0.32551,0.32551,3
2012-10-23,0.2901,0.325,0.29005,0.325,3
2012-10-24,0.29215,0.29215,0.29215,0.29215,1
2012-10-25,0.2789,0.32,0.2789,0.32,2
2012-10-29,0.2506,0.34999,0.2506,0.33,11
2012-10-30,0.30644,0.31001,0.2634,0.2638,9
2012-10-31,0.24516,0.3,0.24516,0.2567,7
2012-11-1,0.23721,0.30497,0.23721,0.30299,14
2012-11-2,0.27001,0.3,0.27001,0.3,5
2012-11-6,0.27024,0.27024,0.26446,0.2701,3
2012-11-7,0.2564,0.345,0.25254,0.28493,22
2012-11-8,0.27073,0.27073,0.26002,0.26002,2
2012-11-9,0.2637,0.27481,0.25004,0.25004,5
2012-11-12,0.25072,0.2999,0.22202,0.2332,23
2012-11-13,0.21865,0.255,0.21865,0.23075,4
2012-11-14,0.26972,0.26972,0.25623,0.25623,2
2012-11-15,0.22437,0.27999,0.22437,0.27999,12
2012-11-16,0.2333,0.30495,0.2333,0.25001,26
2012-11-19,0.23056,0.312,0.23056,0.2964,7
2012-11-20,0.23101,0.27989,0.23101,0.27989,10
2012-11-21,0.23501,0.27101,0.23501,0.23501,6
2012-11-22,0.31999,0.31999,0.2306,0.2899,21
2012-11-23,0.24051,0.3775,0.2315,0.3775,11
2012-11-26,0.3,0.36988,0.27513,0.30391,23
2012-11-27,0.28002,0.34999,0.28002,0.304,12
2012-11-28,0.283,0.37399,0.283,0.37399,9
2012-12-5,0.38439,0.38439,0.38439,0.38439,1
2012-12-6,0.32651,0.3845,0.3265,0.3845,8
2012-12-11,0.33333,0.34,0.33333,0.34,2
2012-12-17,0.35,0.35,0.35,0.35,1
2012-12-20,0.32001,0.32001,0.32001,0.32001,2
2012-12-21,0.34897,0.34897,0.34897,0.34897,1
2012-12-26,0.35,0.35,0.35,0.35,1
2012-12-28,0.34999,0.38,0.34999,0.355,22
2013-1-14,0.33337,0.33337,0.33336,0.33336,2
2013-1-15,0.34,0.34016,0.33334,0.33334,4
2013-1-17,0.34,0.34529,0.34,0.343,8
2013-1-18,0.33639,0.345,0.33639,0.345,4
2013-1-21,0.34001,0.34001,0.34001,0.34001,3
2013-1-22,0.33689,0.33689,0.33689,0.33689,1
2013-1-23,0.34001,0.34001,0.33689,0.33689,2
2013-1-24,0.32202,0.32202,0.28,0.28,2
2013-2-4,0.3,0.3,0.3,0.3,1
2013-2-5,0.32968,0.32968,0.25,0.299,38
2013-2-6,0.25,0.2643,0.25,0.2643,3
2013-2-7,0.265,0.27,0.265,0.27,3
2013-2-11,0.24201,0.24201,0.24201,0.24201,1
2013-2-13,0.23,0.23,0.23,0.23,1
2013-2-14,0.24998,0.25649,0.244,0.25199,13
2013-2-15,0.22561,0.28999,0.22242,0.245,14
2013-2-18,0.253,0.253,0.235,0.235,3
2013-2-19,0.25499,0.25499,0.25499,0.25499,2
2013-2-20,0.25,0.25,0.245,0.245,2
2013-2-21,0.245,0.245,0.245,0.245,1
2013-2-25,0.24001,0.243,0.15011,0.18853,29
2013-2-26,0.205,0.205,0.18,0.18,2
2013-2-27,0.21498,0.22,0.21498,0.22,7
2013-2-28,0.23,0.235,0.18865,0.218,14
2013-3-1,0.23399,0.28997,0.23399,0.28997,5
2013-3-4,0.265,0.27999,0.205,0.279,15
2013-3-5,0.245,0.25499,0.235,0.25499,7
2013-3-6,0.25601,0.25601,0.225,0.245,15
2013-3-7,0.25099,0.3399,0.228,0.229,13
2013-3-11,0.24999,0.25599,0.18905,0.18905,29
2013-3-12,0.215,0.215,0.19301,0.19301,11
2013-3-13,0.185,0.27,0.11581,0.266,175
2013-3-14,0.228,0.232,0.211,0.211,14
2013-3-15,0.22949,0.26534,0.221,0.23799,64
2013-3-18,0.33319,0.33319,0.215,0.2349,11
2013-3-19,0.23495,0.303,0.1903,0.207,32
2013-3-20,0.21299,0.21299,0.21299,0.21299,1
2013-3-21,0.21299,0.213,0.195,0.20661,28
2013-3-22,0.2066,0.2066,0.2066,0.2066,1
2013-3-25,0.20022,0.20643,0.20022,0.20643,2
2013-3-26,0.195,0.19501,0.16059,0.19501,5
2013-3-27,0.19502,0.19502,0.19502,0.19502,1
2013-3-29,0.195,0.2,0.195,0.2,2
2013-4-1,0.185,0.19989,0.1581,0.19989,8
2013-4-2,0.1751,0.2,0.1751,0.1865,14
2013-4-3,0.1751,0.20998,0.1751,0.20995,11
2013-4-4,0.203,0.20997,0.201,0.203,7
2013-4-5,0.19001,0.20996,0.19001,0.19501,15
2013-4-8,0.20996,0.20998,0.20216,0.20216,15
2013-4-9,0.203,0.21998,0.203,0.21998,12
2013-4-11,0.20403,0.21997,0.20403,0.21997,2
2013-4-15,0.205,0.21998,0.19501,0.21963,6
2013-4-16,0.20501,0.22997,0.20501,0.22997,7
2013-4-17,0.2,0.204,0.1755,0.204,4
2013-4-18,0.20701,0.20701,0.1437,0.1437,9
2013-4-19,0.20577,0.20997,0.1755,0.20997,5
2013-4-22,0.19001,0.19499,0.1559,0.18701,12
2013-4-23,0.18653,0.18653,0.18653,0.18653,1
2013-4-24,0.175,0.20996,0.133,0.20996,19
2013-4-25,0.17999,0.22998,0.17999,0.21021,25
2013-5-3,0.20501,0.20501,0.20501,0.20501,11
2013-5-6,0.209,0.209,0.209,0.209,1
2013-5-21,0.18501,0.2099,0.185,0.2099,3
2013-5-22,0.185,0.21994,0.15,0.165,50
2013-5-23,0.165,0.166,0.165,0.165,8
2013-5-24,0.15501,0.165,0.155,0.16499,6
2013-5-28,0.15501,0.1611,0.155,0.155,7
2013-5-29,0.14555,0.151,0.135,0.135,23
2013-5-30,0.13501,0.13501,0.135,0.135,4
2013-5-31,0.1419,0.14199,0.1419,0.14199,4
2013-6-3,0.14198,0.14198,0.14198,0.14198,1
2013-6-5,0.13501,0.13501,0.13501,0.13501,2
2013-6-6,0.135,0.135,0.11,0.125,23
2013-6-7,0.134,0.134,0.134,0.134,1
2013-6-10,0.134,0.135,0.134,0.135,27
2013-6-11,0.13031,0.13031,0.1303,0.1303,12
2013-6-13,0.1303,0.1303,0.1303,0.1303,1
2013-6-14,0.1303,0.1303,0.1303,0.1303,4
2013-6-17,0.13219,0.14,0.13219,0.14,9
2013-6-18,0.137,0.15151,0.137,0.15151,4
2013-6-19,0.14,0.14,0.13999,0.14,21
2013-6-27,0.14011,0.14011,0.1401,0.1401,4
2013-7-18,0.14299,0.14299,0.14299,0.14299,1
2013-7-23,0.155,0.155,0.155,0.155,1
2013-7-24,0.16,0.18986,0.15903,0.18986,10
2013-7-25,0.14,0.14,0.14,0.14,1
2013-7-26,0.15399,0.196,0.15399,0.196,8
2013-7-29,0.21499,0.215,0.14,0.14,43
2013-7-31,0.15589,0.19,0.15589,0.19,4
2013-8-2,0.18,0.18501,0.175,0.175,5
2013-8-5,0.18002,0.20999,0.18,0.2087,9
2013-8-6,0.16847,0.16849,0.16847,0.16849,7
2013-8-8,0.158,0.16948,0.15003,0.16668,26
2013-8-15,0.1668,0.1668,0.1668,0.1668,1
2013-8-27,0.153,0.153,0.153,0.153,1
2013-8-28,0.15001,0.15001,0.15001,0.15001,1
2013-8-30,0.16198,0.16198,0.16198,0.16198,1
2013-9-16,0.11,0.11,0.11,0.11,1
2013-10-4,0.14898,0.14898,0.14898,0.14898,1
2013-10-7,0.14049,0.14049,0.14049,0.14049,1
2013-10-10,0.13686,0.13686,0.13686,0.13686,1
2013-10-28,0.13639,0.14997,0.13639,0.14997,15
2013-11-5,0.14949,0.14997,0.14949,0.14997,2
2013-12-3,0.09805,0.11,0.09511,0.11,31
2013-12-4,0.10111,0.10111,0.10111,0.10111,6
2013-12-6,0.13235,0.13235,0.13235,0.13235,1
2013-12-11,0.12,0.12,0.12,0.12,3
2013-12-17,0.13,0.1331,0.11411,0.1331,20
2013-12-18,0.121,0.121,0.09155,0.11,28
2013-12-23,0.111,0.111,0.111,0.111,1
2013-12-27,0.1151,0.12511,0.1151,0.12511,3
2013-12-30,0.17487,0.17487,0.17487,0.17487,1
2014-1-6,0.1749,0.24468,0.14,0.22979,9
2014-1-8,0.23,0.27988,0.23,0.27988,2
2014-1-13,0.15889,0.24988,0.15551,0.17415,48
2014-1-15,0.16,0.16,0.16,0.16,1
2014-1-16,0.15555,0.15555,0.15395,0.15395,4
2014-1-17,0.15001,0.15376,0.15001,0.15376,5
2014-1-21,0.16555,0.16555,0.16555,0.16555,1
2014-1-23,0.15001,0.15001,0.15,0.15,4
2014-1-28,0.11801,0.11801,0.11801,0.11801,1
2014-1-30,0.15,0.15,0.1151,0.1151,13
2014-1-31,0.15001,0.15001,0.15001,0.15001,1
2014-2-7,0.16,0.16,0.16,0.16,1
2014-2-10,0.16001,0.16001,0.16001,0.16001,1
2014-2-11,0.16211,0.16311,0.16111,0.16311,3
2014-2-12,0.163,0.163,0.163,0.163,2
2014-2-17,0.165,0.17,0.16,0.16,13
2014-2-18,0.1699,0.1699,0.16,0.16,12
2014-2-21,0.1787,0.1787,0.1787,0.1787,1
2014-2-26,0.17423,0.17423,0.17423,0.17423,1
2014-2-27,0.16666,0.16666,0.1644,0.1644,3
2014-3-4,0.13579,0.13579,0.13579,0.13579,1
2014-3-5,0.16,0.17,0.16,0.17,5
2014-3-7,0.12345,0.19244,0.12345,0.19244,2
2014-3-13,0.15555,0.15555,0.1555,0.1555,2
2014-3-17,0.18943,0.18944,0.16666,0.16666,3
2014-3-21,0.175,0.175,0.175,0.175,1
2014-3-28,0.17321,0.17321,0.17321,0.17321,2
2014-3-31,0.18011,0.2,0.17911,0.2,6
2014-4-2,0.2,0.2,0.2,0.2,1
2014-4-3,0.2,0.2,0.2,0.2,1
2014-4-10,0.265,0.27,0.2,0.2,94
2014-5-22,0.20006,0.20006,0.20006,0.20006,4
2014-7-7,0.245,0.25098,0.245,0.25098,3
2014-7-22,0.24489,0.24489,0.2,0.2,5
2014-7-23,0.23889,0.23889,0.23549,0.23549,3
2014-7-24,0.2,0.2,0.2,0.2,1
2014-7-25,0.2,0.2,0.2,0.2,2
2014-7-28,0.2,0.2,0.2,0.2,2
2014-7-29,0.2,0.2,0.2,0.2,1
2014-8-18,0.21995,0.21995,0.21995,0.21995,234
2014-8-20,0.19898,0.19898,0.17815,0.17815,35
2014-9-4,0.18999,0.18999,0.14568,0.14568,2
2014-9-5,0.18015,0.18015,0.18015,0.18015,2
2014-9-23,0.185,0.185,0.185,0.185,1
2014-10-24,0.183,0.183,0.183,0.183,1
2014-10-31,0.1805,0.1805,0.1805,0.1805,1
2014-12-10,0.17,0.17,0.17,0.17,2
2014-12-19,0.16,0.16,0.16,0.16,20
2014-12-23,0.1345,0.1345,0.123,0.123,7
2015-1-8,0.1675,0.1675,0.1665,0.1665,3
2015-2-3,0.1315,0.16,0.1315,0.16,14
2015-2-6,0.14,0.15,0.14,0.15,3
2015-2-9,0.1605,0.1605,0.1605,0.1605,1
2015-2-10,0.1655,0.177,0.1655,0.177,13
2015-2-17,0.195,0.248,0.195,0.2105,27
2015-3-31,0.2095,0.21,0.2095,0.21,2
2015-4-24,0.2105,0.2105,0.2105,0.2105,1
2015-5-7,0.211,0.211,0.211,0.211,1
2015-5-15,0.211,0.23,0.211,0.23,2
2015-6-2,0.2985,0.299,0.2885,0.2885,18
2015-6-18,0.2845,0.2845,0.2845,0.2845,5
2015-6-19,0.276,0.276,0.276,0.276,1
2015-6-24,0.175,0.175,0.175,0.175,2
2015-6-29,0.23,0.23,0.23,0.23,1
2015-6-30,0.177,0.177,0.177,0.177,1
2015-7-8,0.234,0.234,0.234,0.234,1
2015-7-10,0.2495,0.2495,0.2495,0.2495,2
2015-7-24,0.2495,0.2495,0.249,0.2495,3
2015-8-4,0.249,0.249,0.248,0.248,2
2015-8-5,0.249,0.249,0.249,0.249,4
2015-8-6,0.249,0.259,0.249,0.25,18
2015-8-7,0.207,0.249,0.207,0.249,5
2015-8-12,0.236,0.239,0.235,0.239,3
2015-8-14,0.255,0.255,0.249,0.255,14
2015-8-19,0.249,0.249,0.249,0.249,11
2015-8-26,0.249,0.249,0.231,0.231,11
2015-8-27,0.249,0.249,0.249,0.249,1
2015-9-2,0.249,0.249,0.249,0.249,1
2015-9-3,0.249,0.249,0.249,0.249,3
2015-9-4,0.249,0.249,0.249,0.249,1
2015-9-7,0.249,0.249,0.248,0.248,2
2015-9-9,0.249,0.249,0.249,0.249,2
2015-9-10,0.249,0.249,0.249,0.249,1
2015-9-11,0.249,0.249,0.249,0.249,1
2015-9-14,0.249,0.249,0.249,0.249,4
2015-9-15,0.249,0.249,0.249,0.249,1
2015-9-16,0.249,0.249,0.249,0.249,2
2015-9-17,0.249,0.259,0.249,0.259,6
2015-9-18,0.255,0.259,0.255,0.259,3
2015-9-21,0.257,0.257,0.257,0.257,1
2015-9-22,0.257,0.257,0.257,0.257,1
2015-9-23,0.257,0.259,0.257,0.257,3
2015-9-24,0.231,0.25,0.231,0.25,2
2015-9-28,0.257,0.257,0.257,0.257,1
2015-9-29,0.251,0.251,0.25,0.25,3
2015-9-30,0.249,0.253,0.249,0.253,10
2015-10-1,0.27,0.27,0.257,0.263,5
2015-10-2,0.245,0.253,0.244,0.253,16
2015-10-5,0.249,0.252,0.249,0.252,2
2015-10-6,0.249,0.252,0.249,0.252,3
2015-10-7,0.249,0.249,0.249,0.249,1
2015-10-8,0.249,0.249,0.249,0.249,2
2015-10-9,0.249,0.253,0.249,0.253,2
2015-10-12,0.249,0.249,0.249,0.249,1
2015-10-14,0.256,0.299,0.25,0.27,21
2015-10-22,0.299,0.299,0.299,0.299,1
2015-10-29,0.281,0.399,0.277,0.399,9
2015-10-30,0.351,0.382,0.338,0.359,22
2015-11-3,0.331,0.498,0.303,0.481,31
2015-11-6,0.405,0.577,0.399,0.535,23
2015-11-9,0.405,0.432,0.35,0.387,24
2015-11-10,0.398,0.468,0.389,0.39,41
2015-11-11,0.38,0.398,0.38,0.38,3
2015-11-13,0.387,0.51,0.387,0.51,7
2015-11-16,0.39,0.43,0.385,0.409,20
2015-11-17,0.4,0.4,0.38,0.383,10
2015-11-18,0.361,0.361,0.361,0.361,1
2015-11-19,0.38,0.428,0.323,0.394,72
2015-11-20,0.355,0.398,0.339,0.37,37
2015-11-24,0.376,0.376,0.37,0.37,2
2015-11-27,0.375,0.375,0.375,0.375,1
2015-11-30,0.383,0.396,0.377,0.377,7
2015-12-1,0.398,0.444,0.377,0.377,18
2015-12-3,0.377,0.383,0.372,0.372,10
2015-12-4,0.383,0.494,0.383,0.426,76
2015-12-7,0.432,0.433,0.427,0.427,5
2015-12-10,0.406,0.406,0.406,0.406,1
2015-12-11,0.411,0.412,0.411,0.412,2
2015-12-14,0.434,0.501,0.41,0.423,46
2015-12-16,0.421,0.421,0.415,0.421,4
2015-12-18,0.413,0.413,0.404,0.411,5
2015-12-21,0.404,0.41,0.403,0.41,3
2015-12-22,0.411,0.411,0.403,0.411,6
2015-12-23,0.419,0.569,0.419,0.522,94
2015-12-24,0.69,0.69,0.587,0.645,66
2015-12-25,0.679,0.707,0.555,0.68,12
2015-12-28,0.702,0.944,0.616,0.801,70
2015-12-29,0.852,0.852,0.8,0.8,8
2015-12-30,0.818,0.818,0.808,0.808,29
2016-1-4,0.808,0.808,0.808,0.808,1
2016-1-5,0.72,0.795,0.63,0.795,3
2016-1-6,0.72,0.77,0.72,0.77,7
2016-1-11,0.778,0.778,0.605,0.605,32
2016-1-12,0.605,0.718,0.605,0.655,14
2016-1-13,0.648,0.676,0.607,0.607,13
2016-1-14,0.618,0.618,0.588,0.588,5
2016-1-15,0.578,0.578,0.518,0.525,10
2016-1-18,0.546,0.583,0.527,0.583,7
2016-1-19,0.507,0.517,0.506,0.507,18
2016-1-20,0.487,0.516,0.487,0.516,3
2016-1-21,0.491,0.606,0.491,0.586,16
2016-1-22,0.551,0.551,0.508,0.508,14
2016-1-25,0.507,0.507,0.507,0.507,1
2016-1-26,0.513,0.513,0.513,0.513,1
2016-1-28,0.515,0.515,0.492,0.499,5
2016-1-29,0.492,0.499,0.467,0.467,8
2016-2-1,0.452,0.452,0.401,0.412,25
2016-2-2,0.428,0.445,0.427,0.438,7
2016-2-3,0.444,0.468,0.444,0.448,10
2016-2-5,0.464,0.468,0.464,0.468,2
2016-2-8,0.465,0.465,0.465,0.465,1
2016-2-16,0.465,0.465,0.465,0.465,2
2016-2-19,0.452,0.459,0.448,0.459,5
