Date,Open,High,Low,Close,Volume
2007-11-6,176.7,176.7,176.7,176.7,20
2007-11-7,174.23,174.23,174.23,174.23,21
2007-11-8,179.76,179.76,174.5,174.5,0
2007-11-9,172,172,172,172,10
2007-11-12,195.97,206.09,178.94,179,155
2007-11-13,198,198,175,178.65,28
2007-11-14,198.5,198.5,165,171,229
2007-11-15,165.93,195.99,164.5,189.99,52
2007-11-16,164.64,164.64,164,164,13
2007-11-19,160.7,160.7,160,160.7,8
2007-11-20,183.91,183.91,154.94,154.94,11
2007-11-22,154.9,154.9,145.94,150,12
2007-11-23,135,148,135,148,186
2007-11-26,135.3,148,135.3,145.5,12
2007-11-27,144.44,144.44,144.44,144.44,5
2007-11-28,145.1,145.1,145.1,145.1,0
2007-11-29,145,145,145,145,10
2007-11-30,149,149,149,149,8
2007-12-4,150,151,145,150,400
2007-12-5,146.02,151,146.02,151,151
2007-12-6,154,158,154,158,552
2007-12-7,157,157,154,154,160
2007-12-10,162.2,162.2,162.19,162.2,55
2007-12-12,172,172,172,172,0
2007-12-13,159.94,165,159.94,165,3
2007-12-14,165,165,161,161,3
2007-12-17,160,166,160,166,153
2007-12-18,165,167.45,162,167.45,345
2007-12-19,170.99,170.99,166,166,0
2007-12-20,170,170,170,170,0
2007-12-21,169,169,169,169,50
2007-12-24,171,172,171,172,66
2007-12-25,174,176,173,175.99,58
2007-12-26,173,177,173,173,10
2007-12-27,173.05,178.72,173,174,64
2007-12-28,178,178.38,178,178.38,120
2008-1-9,177.03,177.03,177.03,177.03,3
2008-1-11,183,199,178,193.5,66
2008-1-14,183.34,193,181,187,128
2008-1-15,192.49,192.49,188.99,188.99,1
2008-1-16,188,188,185,188,9
2008-1-17,187.99,187.99,176.5,183.75,21
2008-1-18,182,197,181.51,194.95,49
2008-1-21,177.5,186.55,177.26,186.55,39
2008-1-22,163.5,192.99,163.5,192.99,80
2008-1-23,171.1,186,170,170,188
2008-1-24,187,187,130,170,182
2008-1-25,170,170,168.01,170,98
2008-1-28,168.11,168.11,161,168.11,13
2008-1-29,164,164,161,164,26
2008-1-30,167.28,167.28,159,159,4
2008-1-31,159,163,157,162,71
2008-2-1,162,162,159,161.74,12
2008-2-4,170,170,160,164.36,29
2008-2-5,167.25,167.25,167,167.25,2
2008-2-6,170,170,160,167.52,205
2008-2-7,166.73,167,160.01,160.01,1236
2008-2-8,168,169,167,167,1429
2008-2-11,167,175,167,168,443
2008-2-12,170,175,167.02,174.5,11
2008-2-13,175.5,175.5,175.5,175.5,2
2008-2-14,170,188,170,175,61
2008-2-15,175.5,178.38,170.01,170.01,2
2008-2-18,177,180,170.01,174.5,85
2008-2-19,173.98,175,173.98,174.75,153
2008-2-20,172,180,172,176.05,1121
2008-2-21,175.01,177,175.01,177,7
2008-2-22,175,176,175,176,139
2008-2-26,178.47,178.47,175.5,177,26
2008-2-27,177,179.31,177,179.31,187
2008-2-28,177,180,172.39,180,71
2008-2-29,180,180.6,172,172.02,243
2008-3-3,175,178,136.02,175,381
2008-3-4,176,179.99,175,179.99,22
2008-3-5,185,188,183,188,297
2008-3-6,193,194.25,193,194.25,12
2008-3-7,195,195,185.71,188,40
2008-3-11,190,195.65,187,195.65,16
2008-3-12,187,187.5,187,187.5,147
2008-3-13,187,189.68,185,189,14
2008-3-14,189,193,189,192,3493
2008-3-17,192,192,187.01,187.01,107
2008-3-18,188,188,183.3,185.35,54
2008-3-19,184,184,184,184,50
2008-3-20,184,184,180,180,103
2008-3-21,182,190,182,190,4
2008-3-24,175,188,175,188,119
2008-3-25,184,187,184,187,20
2008-3-26,183,184.05,183,184,172
2008-3-27,185,185,176.71,180,90
2008-3-28,180,180,177,177,24
2008-3-31,175,175,173,175,61
2008-4-1,165.1,179,165.1,178.5,2
2008-4-2,178,178,177.99,178,28
2008-4-3,177.01,179,177.01,179,2
2008-4-4,178,178,178,178,0
2008-4-7,178.99,178.99,177.1,178,5
2008-4-8,176.6,176.6,176,176,1
2008-4-9,177,177,177,177,10
2008-4-11,179,179,168.5,170,5
2008-4-14,170,172,170,172,2
2008-4-15,173,173,172.8,173,434
2008-4-16,170.24,170.24,160,162,202
2008-4-17,162.02,164.9,160,164.9,53
2008-4-18,164.5,164.5,164,164.5,11
2008-4-21,166,166,163,166,11
2008-4-22,165,165,160.01,164.5,15
2008-4-23,170.86,170.86,161.02,168,107
2008-4-24,169.73,176,169.21,176,1154
2008-4-25,175,179,174.85,178,12
2008-4-28,176,179,176,178,109
2008-4-29,179,186,179,184,222
