Date,Open,High,Low,Close,Volume
2013-3-18,242,242,242,242,1
2013-4-2,145.2,150,145.2,145.2,46
2013-4-3,160,200.99,88.1,200.99,20026
2013-4-4,240,260.99,140,153.01,47
2013-4-5,141.01,188.49,141.01,180,8
2013-4-9,150,200,150,200,16
2013-4-10,160,189.98,150,152.01,48
2013-4-11,179.4,179.4,150.7,169,3
2013-4-16,150.03,150.03,123,123,2769
2013-4-17,159.34,159.34,159.34,159.34,1
2013-5-8,95.87,95.87,95.86,95.86,4
2013-5-31,133.88,133.88,133.88,133.88,3
2013-6-4,100,100,100,100,1
2013-6-5,105,105,105,105,1
2013-6-11,92,92,92,92,600
2013-6-14,128.49,128.49,128.49,128.49,1
2013-6-17,91.15,166.95,91.15,110.15,664
2013-6-18,119.98,119.98,119.89,119.89,3
2013-6-19,89,109.11,89,96.18,14
2013-6-20,85.03,85.03,85.03,85.03,1
2013-6-21,92,92,92,92,1
2013-6-25,88.28,88.28,88.28,88.28,1
2013-6-26,109.96,123,109.96,122.5,14
2013-6-27,169.83,169.83,168,168,2
2013-6-28,222,222,190,198,29
2013-7-1,203,203,185,185,12
2013-7-2,187.01,201,187.01,201,10
2013-7-3,191.01,197,120.99,195.89,69
2013-7-4,197,197,182.75,184.98,11
2013-7-5,209.99,217,199.99,217,3
2013-7-8,219.96,219.99,199,199,10
2013-7-9,220,220,220,220,1
2013-7-10,219,219,189,189,28
2013-7-11,208,209.99,208,209.99,4
2013-7-12,210,211,189.8,190,9
2013-7-15,199.98,203.89,199.98,203.89,3
2013-7-16,212,213.97,212,213.97,3
2013-7-17,214,215,214,215,2
2013-7-18,216,216,207.8,207.8,16
2013-7-19,207.11,207.11,206.94,206.94,12
2013-7-22,233.49,233.49,229.89,229.89,6
2013-7-23,244.89,244.89,244.89,244.89,1
2013-7-24,239.86,239.86,226,226,3
2013-7-25,224.99,229.88,224.99,229.88,2
2013-7-26,219.49,227.04,219.19,219.4,20
2013-7-29,226.78,226.78,226.78,226.78,1
2013-7-30,227.29,227.29,227.29,227.29,1
2013-8-1,232.43,232.43,232.43,232.43,1
2013-8-5,234.49,234.49,234.49,234.49,1
2013-8-8,239.98,239.98,215.99,215.99,6
2013-8-13,227.96,227.96,227.96,227.96,1
2013-8-14,229.39,229.39,200,200,5
2013-8-15,218,218,218,218,1
2013-8-21,216.6,216.6,138.04,138.04,2
2013-8-27,203.11,204,199.99,200,6
2013-8-28,127,127,127,127,1
2013-8-29,119,119,119,119,1
2013-9-2,123.01,134.02,84,134.02,27
2013-9-3,113.01,113.01,113.01,113.01,1
2013-9-4,149.63,149.64,105.79,105.79,3
2013-9-6,84.01,100.01,84.01,100.01,2
2013-9-10,91.39,91.39,91.39,91.39,1
2013-9-18,94.35,94.35,94.35,94.35,1
2013-9-23,91.03,91.03,91.03,91.03,1
2013-9-24,125,125,111.01,111.01,2
2013-9-27,115,148.88,115,125,4
2013-10-3,174.9,174.9,174.9,174.9,1
2013-10-4,174.94,174.94,174.94,174.94,1
2013-10-9,131.51,133.97,122.13,133.97,13
2013-10-11,117.03,117.03,85,108.78,11
2013-10-14,115,115,115,115,1
2013-10-16,100.92,100.92,100.92,100.92,1
2013-10-22,100.12,100.12,100.12,100.12,1
2013-10-28,90.07,90.07,90.07,90.07,1
2013-10-29,90.07,90.1,90.07,90.1,3
2013-10-31,98,122.12,98,122.12,19
2013-11-6,100.53,100.53,100.36,100.36,3
2013-11-11,95,95,94.02,94.02,3
2013-11-18,109.67,109.67,109.67,109.67,1
2013-12-11,89.01,106.49,89.01,106.49,2
2013-12-19,96.01,96.01,89,89,10
2013-12-20,88.1,88.1,88.1,88.1,1
2013-12-24,88.15,88.15,88.15,88.15,2
2013-12-30,85.05,85.05,85.05,85.05,2
2014-1-6,85.17,85.17,85.17,85.17,1
2014-1-16,94.69,94.69,94.69,94.69,1
2014-1-22,94.69,94.69,94.69,94.69,1
2014-1-24,96.18,104.98,96.18,104.98,4
2014-1-29,95,96.5,90,94.5,5
2014-1-30,94.95,94.95,94.95,94.95,537
2014-2-3,93,93,93,93,4
2014-2-7,90,90,87,87,11
2014-2-10,95.98,95.98,90,93.95,8
2014-2-11,93.95,93.95,93.95,93.95,1
2014-2-12,95.6,110,95.6,107.1,744
2014-2-13,91,91,90,90,38
2014-2-14,89,97.99,89,97.99,36
2014-2-17,97.99,109.99,97.99,102.99,3
2014-2-18,98.01,98.99,97.99,98.99,5
2014-2-19,95.01,110,95,110,5
2014-2-25,104,105.4,100,100,12
2014-2-27,110,112,107,109.9,16
2014-2-28,109.9,119,101.18,118.9,37
2014-3-3,118,119,105,105,12
2014-3-4,113.98,126,106.5,126,40
2014-3-5,112.02,125,112.02,125,4
2014-3-6,130,158,117,158,6
2014-3-7,112.09,150,112.09,150,31
2014-3-11,112.19,150,112.19,150,5
2014-3-13,117,145,117,145,2
2014-3-19,109.3,109.3,109.3,109.3,1
2014-4-1,110.02,114,110,110,7
2014-4-2,110,110,110,110,5
2014-4-7,105,105,91,95.01,7
2014-4-8,91,91,91,91,1
2014-4-10,85.06,85.06,85.05,85.05,7
2014-4-11,85.1,99.7,85.1,99.3,6
2014-4-16,93,99.1,93,99.1,14
2014-4-17,112,124.7,108.4,124.7,11
2014-4-18,129,163.35,129,163.35,2
2014-4-21,130.01,172,130,158,13
2014-4-22,154.77,154.77,154.77,154.77,1
2014-4-24,163.4,163.4,163.4,163.4,1
2014-4-28,160,172,160,172,2
2014-4-29,117.01,164.99,117.01,164.99,8
2014-4-30,118.01,153.99,118,153.99,5
2014-5-19,176,176,176,176,3
2014-5-28,170,170,150,150,16
2014-6-4,135.01,179,135,179,6
2014-6-19,208.99,208.99,208.99,208.99,1
2014-7-1,206,231,140,154,592
2014-7-2,152,175.55,148,175.5,14
2014-7-3,199.97,199.97,140,169.99,946
2014-7-4,172.99,172.99,140,150,28
2014-7-7,160,186.22,155,161.5,38
2014-7-8,148,160.65,148,160.65,10
2014-7-9,160.89,160.9,152,159.98,48
2014-7-10,159.98,174.95,155,159.77,27
2014-7-11,173.73,173.73,173.73,173.73,7
2014-7-14,178,178,178,178,1
2014-7-17,122,179.96,122,179.96,2
2014-7-21,151.5,151.5,151.5,151.5,14
2014-7-22,151.99,159.7,151.99,159.7,29
2014-7-23,159.54,159.54,159.54,159.54,5
2014-7-25,154.53,167.7,154.53,167.7,51
2014-7-30,172.25,172.3,172.25,172.3,21
