Date,Open,High,Low,Close,Volume
2011-9-21,399,399,399,399,46
2011-9-22,250.03,325,250.03,325,4
2011-9-23,250,250,250,250,1
2011-9-26,324.97,325,324.97,325,6
2011-9-27,324.96,324.96,324.96,324.96,1
2011-9-28,323.96,324,205.07,299.99,44
2011-9-29,322.88,322.88,300,300,2
2011-9-30,322.88,322.88,322.88,322.88,21
2011-10-3,315.99,315.99,315.99,315.99,1
2011-10-4,319,319,319,319,1
2011-10-5,250,319,205.03,299.88,64
2011-10-12,260.26,260.26,260.26,260.26,1
2011-10-14,220,270.99,220,270.99,75
2011-10-19,290,290,290,290,24
2011-10-21,192.45,259.99,192.45,259.99,77
2011-10-27,220,259.99,220,259.99,28
2011-10-28,259.99,280,247.01,280,43
2011-10-31,250,274.99,250,274.99,25
2011-11-21,230,230,230,230,10
2011-11-22,230,230,230,230,10
2011-11-29,299,299,299,299,1
2011-12-1,230,230,230,230,8
2011-12-2,190.13,230,190.13,230,10
2011-12-5,230,230,200.43,200.43,7
2011-12-9,200,200,200,200,1
2011-12-23,124,124,124,124,100
2011-12-26,169.97,170,169.97,170,7
2011-12-29,124,165,124,165,101
2011-12-30,160,160,160,160,100
2012-1-4,170,170,170,170,50
2012-1-12,165,165,135.86,135.86,4
2012-1-17,154.99,170,154.99,169.99,38
2012-1-18,150,150,150,150,1
2012-1-19,150,150,150,150,21
2012-1-25,114,144.79,112.06,130,11
2012-1-26,145,145,145,145,1
2012-1-30,160,160,160,160,3
2012-1-31,160.97,162.5,150,162.5,350
2012-2-15,170,180,170,180,15
2012-2-17,180,185,179.95,180,32
2012-2-21,159.82,159.82,159.82,159.82,3
2012-2-22,155.01,155.01,155.01,155.01,1
2012-2-24,161.37,161.38,161.37,161.37,5
2012-2-29,179.94,179.94,179.94,179.94,1
2012-3-6,179.91,179.91,179.91,179.91,2
2012-3-13,165.77,169.69,165,169.69,12
2012-3-14,168,170,168,170,30
2012-3-16,179.99,185,179.99,180,101
2012-3-19,180,185,180,185,15
2012-3-21,158.35,158.35,158.34,158.34,2
2012-3-22,157,178.79,122.55,178.79,8
2012-3-30,164.99,179.99,162.01,162.02,33
2012-4-3,158.44,158.44,155,155,6
2012-4-4,155,155.01,155,155,176
2012-4-13,164.96,164.96,164.96,164.96,3
2012-4-18,164.99,164.99,157,157,2
2012-5-5,164.99,164.99,164.99,164.99,1
2012-5-22,130.09,130.09,130.04,130.04,21
2012-5-25,129.99,130,129.99,130,80
2012-6-5,147,149,147,147,289
2012-6-6,139,139,135,135,7
2012-6-7,140,164.99,140,164.99,314
2012-6-14,151,153,150,151,426
2012-6-21,130.03,130.03,124.98,125,32
2012-6-22,119,124.98,87.68,124.98,26
2012-6-26,120,125,119.99,119.99,458
2012-6-27,120,120,120,120,15
2012-6-29,120,125,120,125,104
2012-7-2,120,120,120,120,1
2012-7-16,125,125,125,125,1
2012-7-17,125,125,125,125,45
2012-7-18,125,130,125,130,102
2012-7-19,130,130,130,130,7
2012-7-23,110,110,110,110,170
2012-7-25,110.01,145,110,118.02,331
2012-7-30,129.97,135,129.97,130,75
2012-7-31,130,135,130,135,4
2012-8-3,134.87,146,134.87,146,95
2012-8-7,150,150,131.1,131.1,18
2012-8-8,135,142.2,120.06,120.06,267
2012-8-9,129.99,129.99,118,125,251
2012-8-16,130,130,130,130,11
2012-8-17,117.13,117.13,108,108,125
2012-8-21,114.97,119.11,114.97,119.11,11
2012-8-30,108,120,108,120,28
2012-9-4,129.99,130,129.99,130,60
2012-9-10,118,130.01,104.5,130,81
2012-9-11,140,150,140,150,71
2012-9-12,150,162,150,159.99,889
2012-9-13,155,162,155,155,70
2012-9-14,140.01,147,140,147,5
2012-9-17,150,150,140,140,15
2012-9-18,151.99,151.99,130.76,130.76,2
2012-9-19,152,152.01,149.95,149.96,26
2012-9-20,146.01,148.99,146,147,29
2012-9-24,149.01,149.01,149.01,149.01,1
2012-9-25,148,148,148,148,1
2012-9-26,159.97,160,149,149,62
2012-9-27,159.9,160,159.9,160,7
2012-9-28,159.99,159.99,159.99,159.99,15
2012-10-1,150.01,150.01,150,150,6
2012-10-5,150.01,150.01,150,150,31
2012-10-10,151.62,152,151.62,152,378
2012-10-11,160,160,160,160,1
2012-10-16,155.01,155.01,155,155,4
2012-10-17,155,155,155,155,5
2012-10-19,155,155,150,150,7
2012-10-26,141.66,141.66,141.66,141.66,1
2012-10-30,135,145,122.01,145,8
2012-11-6,140.03,140.03,140,140,72
2012-11-7,143.86,143.87,143.86,143.87,6
2012-11-8,125,125,125,125,1
2012-11-12,144,150.5,144,150.5,102
2012-11-14,140,140,139.99,139.99,11
2012-11-15,130.01,130.01,130,130,2
2012-11-19,143.98,143.98,143.98,143.98,1
2012-11-21,130.01,150,130.01,150,413
2012-11-22,144.99,145,144.99,145,30
2012-12-3,140,140.01,140,140,74
2012-12-17,136.61,136.62,136.6,136.62,21
2012-12-25,141.5,141.5,133,133,51
2012-12-26,149.96,149.96,149.96,149.96,5
2012-12-27,126,126,126,126,95
2013-1-8,108,111.01,108,111.01,2
2013-1-9,132,132,132,132,2
2013-1-10,120.55,120.55,120.55,120.55,3
2013-1-14,139.99,142,139.99,142,386
2013-1-15,159.99,159.99,140.5,159.8,115
2013-1-17,152,159.5,152,159.5,124
2013-1-18,159.99,177.5,159.99,165.01,505
2013-1-21,165.01,175,165.01,175,266
2013-1-22,168.12,168.12,165.01,165.01,113
2013-1-23,165,165,165,165,21
2013-1-25,174.99,175,174.99,175,13
2013-1-28,175,175,175,175,1
2013-1-29,162.01,177.99,162,177.98,395
2013-1-30,162.01,162.01,162,162,15
2013-1-31,164,164,164,164,28
2013-2-1,160,174.99,157.99,174.99,76
2013-2-4,174.49,174.49,174.49,174.49,1
2013-2-7,155.5,175.2,155.5,175.2,421
2013-2-8,155.56,155.56,149.99,150,268
2013-2-11,145.01,145.01,129,130,432
2013-2-12,125,130,120,125,350
2013-2-13,125.96,145.55,119.99,144.24,669
2013-2-14,141.42,141.42,131,138.53,144
2013-2-15,134.01,135.84,133.14,135.84,13
2013-2-19,138.5,146.98,131.02,140,60
2013-2-20,135.58,144.95,135,135,20
2013-2-21,135.01,142,135,135,10
2013-2-22,136,141,135,135,12
2013-2-25,135.99,136,134,134.01,10
2013-2-26,130.01,130.01,130,130,23
2013-2-27,135.5,135.5,132.74,132.99,9
2013-2-28,131.17,131.17,131.17,131.17,2
2013-3-1,134.98,134.98,134.98,134.98,1
2013-3-4,130.17,144.84,130,144.84,10
2013-3-5,135.4,135.4,135.4,135.4,1
2013-3-7,132.71,132.71,132.7,132.7,2
2013-3-11,130.26,130.26,129.99,130,61
2013-3-13,130,130,130,130,49
2013-3-14,127.46,127.46,124.86,127.46,4
2013-3-15,124.86,127.26,121,127.26,50
2013-3-18,124.76,124.76,122,123.99,7
2013-3-19,124.71,124.72,124.71,124.72,4
2013-3-20,122.36,122.36,122.36,122.36,1
2013-3-22,122.25,122.25,122.24,122.24,2
2013-3-26,124.7,129.99,124.7,129.99,17
2013-3-28,142,142,142,142,1
2013-4-2,117.74,126.96,117.64,126.96,19
2013-4-3,117.7,117.7,117.7,117.7,5
2013-4-5,123.01,123.01,123.01,123.01,5
2013-4-9,134.6,141.69,130,130,1510
2013-4-10,118.78,130,118.78,123.11,30
2013-4-11,125,125,117.8,117.8,2
2013-4-12,124,124,124,124,1
2013-4-15,121.5,121.5,110.01,119,160
2013-4-16,119,119,119,119,1
2013-4-17,119.35,138.5,119.35,125.02,22
2013-4-30,126.99,127,126.99,127,3
2013-5-6,127,127,127,127,2
2013-5-14,123,123,123,123,1
2013-5-31,132.03,132.03,132.03,132.03,6
2013-6-14,115,115,115,115,102
2013-6-20,122,122,95,99.79,783
2013-6-21,98.51,98.51,98.5,98.5,2
2013-6-24,98,98,98,98,2
2013-6-25,100.25,101,100.25,101,50
2013-6-28,89,91.01,88.5,89,360
2013-7-1,91,91,89.99,90,59
2013-7-2,90.99,91.01,87.21,87.21,56
2013-7-3,87.22,87.22,87.21,87.21,3
2013-7-4,97,98,97,98,2
2013-7-12,100,100,92.1,97.9,12
2013-7-18,90.01,99.99,89.99,99.99,57
2013-7-19,105,105,105,105,1
2013-8-5,109.99,109.99,109.99,109.99,1
2013-8-6,94.05,105,88,105,48
2013-8-8,89.01,99,88,98,64
2013-8-14,104,104,104,104,1
2013-8-27,90.01,100,90,99.5,52
2013-8-28,85.43,97.99,85.43,97.99,252
2013-8-29,104,109.99,104,109.99,2
2013-8-30,109.98,109.98,94.99,94.99,9
2013-9-3,107,114.01,107,114.01,8
2013-9-5,97,110.37,97,110.37,12
2013-9-9,110.29,110.29,96.2,99,58
2013-9-11,100.99,100.99,100.99,100.99,11
2013-9-17,96.99,101.96,86.03,101.96,29
2013-9-19,88.4,104.39,88.4,104.39,8
2013-9-24,98.99,120.04,94.21,108.59,76
2013-9-25,95.01,100.96,90,98.97,43
2013-9-26,90.02,99.96,90,99.77,72
2013-9-27,103.96,103.96,103.96,103.96,1
2013-9-30,88.1,94.97,88.1,94.97,5
2013-10-1,104.99,104.99,104.99,104.99,4
2013-10-4,89.91,97,80.9,95.66,192
2013-10-7,97.97,97.97,97.97,97.97,1
2013-10-8,96,97.75,89.44,97.7,18
2013-10-10,94.75,94.76,94.75,94.76,3
2013-10-11,97.71,97.71,97.71,97.71,1
2013-10-15,88.06,96.91,88,96.91,28
2013-10-16,93.99,96.99,88,96.94,42
2013-10-17,92.99,96.97,88.01,96.7,90
2013-10-25,97.95,97.95,84.14,93.54,120
2013-10-29,89,91.95,88,91.92,35
2013-10-30,89.99,92.78,89.99,92.78,18
2013-11-5,93.43,93.43,93.43,93.43,2
2013-11-7,83.04,92,80.28,90,332
2013-11-8,85,85,85,85,1
2013-11-11,82.01,82.02,82.01,82.02,2
2013-11-12,80.2,87.82,80.2,82.04,13
2013-11-20,77,81.9,77,81.9,2
2013-11-25,91.92,91.93,86,86,8
2013-11-27,86,86,85.99,86,18
2013-11-28,81.81,87.98,81.81,87.98,2
2013-11-29,91.97,91.98,91.97,91.98,27
2013-12-2,85.2,85.2,85.2,85.2,1
2013-12-16,85.01,90,85.01,90,101
2013-12-17,100,102.8,100,100,277
2013-12-18,100,103.9,100,100,11
2013-12-19,100,100,100,100,20
2013-12-20,100,100,100,100,1
2013-12-23,100.01,100.01,100.01,100.01,1
2013-12-25,100,100,100,100,8
2013-12-26,110,110,110,110,101
2013-12-27,112.49,115,112.49,115,58
2013-12-30,100.39,114.53,100.39,114.53,8
2014-1-8,113,113,113,113,65
2014-1-27,105.35,105.35,105,105,20
2014-2-4,109.99,110,109.99,110,15
2014-2-6,110,110,110,110,1
2014-2-12,100.03,100.03,100.03,100.03,1
2014-2-14,100.01,100.01,100,100,21
2014-2-20,95.02,95.02,95.02,95.02,1
2014-2-21,95.02,95.02,95.02,95.02,2
2014-2-25,95.01,95.01,95.01,95.01,1
2014-2-28,95.02,95.02,95.01,95.01,17
2014-3-3,95,95,95,95,2
2014-3-7,58.03,102.48,58.03,102.48,2
2014-3-14,80,90,80,90,9
2014-3-17,100.89,102.49,100.89,102.49,20
2014-3-21,90,90,90,90,39
2014-3-24,93,100,93,100,20
2014-3-25,100,102,100,102,238
2014-3-26,102.5,105,102.5,105,176
2014-3-27,110,113,110,113,84
2014-3-28,112.01,112.01,112,112,10
2014-3-31,112,112,112,112,42
2014-4-1,112,112,112,112,31
2014-4-9,112,112,111.99,112,82
2014-4-10,112,112,112,112,50
2014-4-14,150,150,117.01,117.01,2
2014-4-17,114,115,114,115,68
2014-5-20,113,113,113,113,20
2014-5-23,115,115,115,115,50
2014-5-26,118,120,118,120,70
2014-5-27,124.01,125,124,125,26
2014-5-28,126,126,126,126,1
2014-5-30,128,128,128,128,20
2014-6-2,125,125,125,125,1
2014-6-5,128,128,128,128,17
2014-6-16,119,119,119,119,10
2014-6-20,120,120,120,120,20
2014-6-26,129,129,129,129,30
2014-6-27,130,130,130,130,30
2014-7-3,134,134,134,134,22
2014-7-10,134,134,134,134,2
2014-7-11,134,134,134,134,10
2014-7-22,133,133,133,133,10
2014-10-31,105,105,104.5,104.5,25
2014-11-3,100,105,94.5,105,150
2014-11-6,105,107,105,107,13
2014-11-14,107,117,107,117,53
2014-11-17,129,137,129,137,2
2014-11-27,139,139,139,139,2
