Date,Open,High,Low,Close,Volume
2008-4-7,28.29,28.29,28.29,28.29,19
2008-4-8,28.29,28.29,28.29,28.29,43
2008-4-9,28.28,28.28,25.2,28,29
2008-4-10,28.2,28.29,28.2,28.29,81
2008-4-11,28.29,28.29,28.29,28.29,8
2008-4-14,28.25,28.25,28.25,28.25,10
2008-4-17,25.2,27.775,24.51,27.775,14
2008-4-18,25.4,26,25.4,25.41,11
2008-4-21,26,26.3,25.4,25.4,411
2008-4-22,25.3,25.5,25.3,25.3,549
2008-4-23,25,25,24.5,25,53
2008-4-24,26,26,24.15,24.15,206
2008-4-25,24,24.95,24,24.91,366
2008-4-28,25.15,25.15,24.5,24.5,21
2008-4-29,24.55,24.55,24.5,24.5,347
2008-4-30,26,26,26,26,1
2008-5-4,24.4,25,24.4,24.5,92
2008-5-5,24.001,24.3,24,24.3,11
2008-5-6,24,24,24,24,3
2008-5-7,24.75,25,24.75,25,551
2008-5-8,25,25.1,24.25,25,316
2008-5-12,24.5,25.5,24.3,24.7,7546
2008-5-13,24.25,26.5,24.25,24.5,186
2008-5-14,24.3,24.3,24,24,136
2008-5-15,24.301,24.301,23.576,23.9,61
2008-5-16,23.003,24,22.004,24,28
2008-5-19,23.4,23.5,22.331,23.5,13
2008-5-21,23.85,23.9,23.6,23.6,15
2008-5-22,23.59,23.59,23.51,23.51,4
2008-5-23,22.522,22.677,22.5,22.677,11
2008-5-27,22.101,22.101,22.1,22.1,21
2008-5-28,22.2,22.2,22,22,33
2008-5-29,22,22.5,22,22.5,50
2008-5-30,22.103,22.3,22.102,22.104,14
2008-6-2,23,23,22.5,22.5,7
2008-6-3,22.37,22.37,21.022,22,113
2008-6-6,21.7,21.7,21.7,21.7,30
2008-6-7,22.221,22.222,21.01,21.01,8
2008-6-9,22.32,22.32,22.32,22.32,1
2008-6-16,22.39,22.4,20.01,21.5,93
2008-6-17,22,22,22,22,5
2008-6-18,21.003,21.7,21,21.7,13
2008-6-19,21.7,21.7,21.7,21.7,2
2008-6-20,21.7,21.9,21.7,21.9,35
