Date,Open,High,Low,Close,Volume
2008-4-18,11,11,11,11,6
2008-4-22,10.3,11,10.3,11,41
2008-4-29,11,11,10.5,10.5,550
2008-5-21,9.3,9.811,9.3,9.811,52
2008-5-22,9.2,9.2,9.2,9.2,1
2008-5-28,8.01,8.01,8.01,8.01,1
2008-6-2,9.012,9.1,9,9.1,70
2008-6-7,8.9,8.9,8.9,8.9,25
2008-6-9,9.1,9.1,9.1,9.1,10
2008-6-16,9.75,9.75,9.45,9.75,4
2008-6-17,10,12.4,9.5,9.5,12
2008-6-18,9.15,9.15,8.501,9.15,32
2008-6-25,8.9,8.9,8.9,8.9,2
2008-6-27,8.9,8.9,8.9,8.9,5
2008-6-30,8,8.7,8,8.5,92
2008-7-1,9,9,8,8,11
2008-7-2,8.7,8.7,8.7,8.7,1
2008-7-10,8,8.599,8,8,5
2008-7-11,7.501,7.501,7.01,7.5,104
2008-7-14,7.495,8,7.495,7.501,26
2008-7-15,8.883,8.897,6.812,8,9
2008-7-18,7.5,7.5,7.5,7.5,10
2008-7-21,7.498,7.5,7.498,7.5,74
2008-7-22,7.999,7.999,7.999,7.999,2
2008-7-23,7.5,7.5,7.5,7.5,419
2008-7-30,10.099,10.099,5,7.8,118
2008-7-31,10.1,10.1,10.1,10.1,11
2008-8-1,8.92,8.92,8.92,8.92,1
2008-8-4,10.1,10.1,10.1,10.1,1
2008-8-5,10.1,10.1,8,8,83
2008-8-6,7.7,7.7,7.7,7.7,3
2008-8-7,5.02,5.02,5.02,5.02,1
2008-8-8,7,7.028,7,7.028,76
2008-8-11,7,7,7,7,16
2008-8-15,8.4,9,8.4,9,211
2008-8-20,8,8,6.8,6.8,178
2008-8-21,7.55,8.5,7.5,7.5,402
2008-8-22,7.6,7.6,7,7.5,302
2008-8-25,7.751,7.8,7.75,7.8,107
2008-8-27,7.8,7.8,7.8,7.8,100
2008-8-28,7.8,7.8,7.8,7.8,100
2008-8-29,7.999,8,7.999,8,204
2008-9-2,7.8,8,7.8,8,700
